Date,Open,High,Low,Close,Volume
2021-01-04,268.6985,282.85,269,268.6985,5685370
2021-01-05,284.4378,300,278.05,284.4378,7904317
2021-01-06,282.5855,301.98,288,282.5855,5033897
2021-01-07,287.8256,302.58,292.29,287.8256,4406617
2021-01-08,284.6393,306.76,291.88,284.6393,4324808
2021-01-11,282.3264,302.68,290.01,282.3264,5461910
2021-01-12,287.9119,300,290.1,287.9119,3459928
2021-01-13,299.9083,318.83,301.33,299.9083,6655833
2021-01-14,281.3859,313.5,292,281.3859,6998128
2021-01-15,272.7389,293,272.03,272.7389,8469331
2021-01-18,274.9655,294.68,282,274.9655,4029543
2021-01-19,272.0768,294.38,282.69,272.0768,3603602
2021-01-20,281.3859,293.48,281.51,281.3859,3476342
2021-01-21,285.9829,301,294.8,285.9829,3617751
2021-01-22,287.48,301,295.14,287.48,3552907
2021-01-25,297.0291,309.5,296.37,297.0291,6032676
2021-01-26,285.0808,310,296,285.0808,4267345
2021-01-27,283.4781,299.7,290,283.4781,3015244
2021-01-28,276.904,297.21,288.1,276.904,3520373
2021-01-29,286.5203,304.7,290.01,286.5203,4648689
2021-02-01,293.7373,307.8,300.13,293.7373,3996812
2021-02-02,312.5283,326.85,303.05,312.5283,6194393
2021-02-03,312.5092,338.6,323.28,312.5092,5725004
2021-02-04,323.421,338,321.2,323.421,4758467
2021-02-05,330.6188,349.9,330.18,330.6188,4518132
2021-02-08,363.6807,378.95,344.67,363.6807,6832521
2021-02-09,367.5675,398.9,370.02,367.5675,8171849
2021-02-10,378.0859,398.11,378,378.0859,5864523
2021-02-18,373.6136,405.77,380.1,373.6136,5732765
2021-02-19,367.5484,395.99,360.03,367.5484,6658977
2021-02-22,339.7456,383.88,353.99,339.7456,7888500
2021-02-23,330.8395,356.88,340.5,330.8395,5634783
2021-02-24,305.1962,348.52,313,305.1962,9655317
2021-02-25,296.7412,326.1,303,296.7412,8475076
2021-02-26,285.5031,305.71,291,285.5031,7202791
2021-03-01,289.9465,305,292.04,289.9465,5892275
2021-03-02,280.2343,308,290,280.2343,7191330
2021-03-03,286.4723,299.9,286.01,286.4723,4609704
