Date,Open,High,Low,Close,Volume
2025-08-06,116.7,119.2,115.1,116.7,73715023
2025-08-07,119.2,119.8,117.9,119.2,66845112
2025-08-08,116.3,118.6,116.1,116.3,60373207
2025-08-11,118.5,119,116.9,118.5,43065055
2025-08-12,116.6,117.5,116.1,116.6,55676119
2025-08-13,123.7,123.8,119.2,123.7,150500459
2025-08-14,121.8,125.2,121,121.8,83916791
2025-08-15,118.1,119.8,117.8,118.1,110541625
2025-08-18,118.6,120.8,118.3,118.6,76093381
2025-08-19,118.3,119.7,117.9,118.3,55732895
2025-08-20,117.5,118,116.1,117.5,62830049
2025-08-21,115.7,117.6,115,115.7,66716053
2025-08-22,118,118.3,115.3,118,73604857
2025-08-25,124.5,126,120.4,124.5,162992103
2025-08-26,121.3,123.9,121.1,121.3,90253630
2025-08-27,121.5,124.3,121,121.5,114213258
2025-08-28,115.8,119.3,115.6,115.8,171962832
2025-08-29,115.7,119,115.7,115.7,110429482
2025-09-01,137.1,138,133,137.1,404948185
2025-09-02,134.7,139.9,134.7,134.7,166594096
2025-09-03,134.1,137.8,133,134.1,104631522
2025-09-04,129.8,134.8,128.5,129.8,148595855
2025-09-05,131.8,133,128.1,131.8,127450276
2025-09-08,137.3,138,133.1,137.3,147299900
2025-09-09,141.9,142.8,138,141.9,181120225
2025-09-10,142.8,147.9,142.6,142.8,181722198
2025-09-11,143.3,146.5,139.1,143.3,174456621
2025-09-12,151.1,153.8,150.1,151.1,170663495
2025-09-15,154.6,156.8,150.1,154.6,146193613
2025-09-16,153.5,156.8,152.5,153.5,111088746
2025-09-17,161.6,162.3,156.7,161.6,156646724
2025-09-18,158.4,164.8,156.3,158.4,209809246
2025-09-19,159.1,162.8,156.6,159.1,138827373
2025-09-22,159.2,161.5,157.3,159.2,103208970
2025-09-23,159.4,163.1,156.7,159.4,119175251
2025-09-24,174,174.9,157.6,174,261023658
2025-09-25,172,177.8,171.1,172,172333447
2025-09-26,166.5,171.9,165,166.5,152987253
2025-09-29,173.4,174.3,166.9,173.4,134259119
2025-09-30,177,178,173.7,177,135460219
2025-10-02,183.1,185,179.1,183.1,96036992
2025-10-03,185.1,186.2,183.3,185.1,56780997
2025-10-06,180.5,183.8,179.8,180.5,49211980
2025-10-08,177.6,178.3,173.5,177.6,75252197
2025-10-09,173.3,179,171.5,173.3,158029622
2025-10-10,165.4,170.3,164.8,165.4,186753966
2025-10-13,162.6,163.6,156.1,162.6,282816644
2025-10-14,155.6,166.1,154,155.6,201534774
2025-10-15,161.6,162.7,156.1,161.6,111159729
2025-10-16,161.2,164.2,158.6,161.2,73190193
2025-10-17,154.4,161,153,154.4,133552318
2025-10-20,161.9,162.9,160,161.9,98042110
2025-10-21,165.1,169,164.8,165.1,110624314
2025-10-22,161.9,163.6,160,161.9,67640668
2025-10-23,164.6,165.5,159.1,164.6,86447894
2025-10-24,168.3,169.3,166.6,168.3,84064278
2025-10-27,173.6,175,172.1,173.6,96795907
2025-10-28,171,174.2,169.5,171,78492657
2025-10-30,172.1,174.8,169,172.1,112254088
2025-10-31,165.1,170.6,165.1,165.1,97457096
2025-11-03,163.2,166.3,161.5,163.2,74773287
2025-11-04,159,164,158.1,159,89529769
2025-11-05,158.5,159.3,154.2,158.5,94071358
2025-11-06,165,165.3,159.9,165,83528391
2025-11-07,160.1,163.2,158.9,160.1,66709927
2025-11-10,163.4,164.2,160.4,163.4,57596575
2025-11-11,160.4,162.4,158.6,160.4,73054852
2025-11-12,156.8,158.4,155.2,156.8,96741580
2025-11-13,162,166,153.3,162,155447392
2025-11-14,154.9,158.4,154.5,154.9,101354219
2025-11-17,154.9,158,152.1,154.9,113907864
2025-11-18,154.6,158.4,153.2,154.6,102880519
2025-11-19,156.4,157.9,155.1,156.4,71141046
2025-11-20,154.8,159.8,154,154.8,65486765
2025-11-21,147.6,150.6,146.9,147.6,141043093
2025-11-24,154.5,156.3,147.8,154.5,199790253
2025-11-25,157.8,160.5,153.4,157.8,147102629
2025-11-26,154.8,158,153.4,154.8,110863259
2025-11-27,150.6,154.9,150.1,150.6,103303822
2025-11-28,151.5,153.2,151,151.5,66572166
2025-12-01,154.9,156.9,152,154.9,93259220
2025-12-02,157,160.1,156.3,157,74133971
2025-12-03,153.6,156.6,153.1,153.6,54076752
2025-12-04,154.4,155.1,152.5,154.4,57110210
2025-12-05,155,155.1,152.6,155,78815068
2025-12-08,153.4,155.5,152.8,153.4,75226835
2025-12-09,150.9,156.8,150.4,150.9,69789164
2025-12-10,153.2,153.4,149.6,153.2,61369895
2025-12-11,150.6,155.5,150.5,150.6,59433982
2025-12-12,154.1,154.1,150.8,154.1,88532981
2025-12-15,148.6,151.7,148.5,148.6,94298860
2025-12-16,144.2,147,141.6,144.2,118119058
2025-12-17,146,147.3,143.1,146,60486179
2025-12-18,144.1,144.9,142.9,144.1,47014025
2025-12-19,145.3,146.7,144.2,145.3,70392591
2025-12-22,146.4,148.5,145,146.4,58877432
2025-12-23,147.2,148,146.4,147.2,47601549
2025-12-24,146.1,146.1,146.1,146.1,0
2025-12-29,143.3,148.5,143.3,143.3,62656820
2025-12-30,144.5,145.7,143.2,144.5,60201594
2025-12-31,142.8,143.8,142.4,142.8,35628222
2026-01-02,149,149.7,142.9,149,48902470
2026-01-05,152.8,153.8,150,152.8,102834720
2026-01-06,150.8,153.2,150.5,150.8,112004139
2026-01-07,145.9,147.8,143.5,145.9,149677478
2026-01-08,142.6,144.9,141,142.6,107421412
2026-01-09,146.5,149.5,145.9,146.5,115234256
2026-01-12,154.3,154.6,146,154.3,164580300
2026-01-13,159.9,164,157.4,159.9,153153842
2026-01-14,169,169.8,162.1,169,244622843
2026-01-15,164.6,170.1,163.1,164.6,133061563
2026-01-16,166.2,168.7,165,166.2,79370877
2026-01-19,160.4,162.5,160.1,160.4,72500898
2026-01-20,159.7,162.2,158.6,159.7,55456218
2026-01-21,163.2,164.9,158.3,163.2,67441221
2026-01-22,164.8,166.5,162.8,164.8,59810988
2026-01-23,168.5,172,168.3,168.5,93252549
2026-01-26,165.2,170.2,164.5,165.2,67819829
2026-01-27,169.9,169.9,164.9,169.9,73661350
2026-01-28,173.5,173.8,168.6,173.5,102209414
2026-01-29,173.3,174.2,170.3,173.3,67539478
2026-01-30,169.2,170.7,167,169.2,75134065
2026-02-02,163.3,167.9,161,163.3,100747598
2026-02-03,161,166,155.2,161,111086312
2026-02-04,159.5,162.3,157.1,159.5,71689072
2026-02-05,159.6,160.4,154,159.6,89720504
2026-02-06,155,156.8,153.2,155,78125091
2026-02-09,157.9,160.2,157.6,157.9,58582947
2026-02-10,160.5,162.6,158.7,160.5,58402811
2026-02-11,160.1,162.7,159.6,160.1,51639528
2026-02-12,158.6,159.5,156.1,158.6,56768511
2026-02-13,155.4,156.4,153.9,155.4,69945660
2026-02-16,154.7,154.7,154.7,154.7,0
2026-02-20,147.1,151.7,147.1,147.1,70273864
2026-02-23,152.2,153.3,149.5,152.2,44852186
2026-02-24,148,150.4,147,148,82838070
2026-02-25,148.3,150.2,148.1,148.3,47742854
2026-02-26,143,148.8,143,143,98872855
2026-02-27,142.9,145.5,142.2,142.9,88719769
2026-03-02,136.4,140.5,135.6,136.4,134838521
2026-03-03,134.8,139.2,134.6,134.8,88507248
2026-03-04,129.9,133,127.7,129.9,163124992
2026-03-05,126.3,131.4,125.1,126.3,141677427
2026-03-06,130.7,132,126.5,130.7,100859931
2026-03-09,128.7,129.4,125.1,128.7,102893047
2026-03-10,133.5,134.2,130,133.5,98445281
2026-03-11,133.2,136.1,132.4,133.2,61695884
2026-03-12,131.6,133.5,129.6,131.6,57889342
2026-03-13,132.5,134.6,130.4,132.5,51862084
2026-03-16,134,135.1,130.8,134,50025123
2026-03-17,134.6,138.5,134.6,134.6,76247583
2026-03-18,137.7,140.2,133.1,137.7,108384226
2026-03-19,132,134.2,131.2,132,112049539
2026-03-20,123.7,126.8,122.4,123.7,206068855
2026-03-23,119.7,121.6,117.7,119.7,136352855
2026-03-24,123.2,124,119.8,123.2,86973171
2026-03-25,128.9,131.4,123.4,128.9,148277825
2026-03-26,123,128,122.6,123,87500096
2026-03-27,122.6,124.1,121.4,122.6,53442572
2026-03-30,120.5,121.4,117.9,120.5,80519074
2026-03-31,119,122.1,117.8,119,72026359
2026-04-01,122.7,124,121.5,122.7,67832865
2026-04-02,118.5,121,117.5,118.5,95121535
2026-04-08,126.5,127.9,121.3,126.5,181819816
2026-04-09,122.9,124,122,122.9,82451818
2026-04-10,125.5,127.5,125,125.5,78382509
2026-04-13,123.2,124.5,122.5,123.2,51100996
2026-04-14,124.5,126.8,123.2,124.5,52390198
2026-04-15,128.6,131,128.4,128.6,95222677
2026-04-16,135.8,136.1,131.2,135.8,127392595
2026-04-17,136.4,137.2,134.6,136.4,83379143
2026-04-20,137,138.4,134.7,137,71204282
2026-04-21,136.3,138.2,134.9,136.3,44920044
2026-04-22,131.5,133.4,130.6,131.5,69494718
2026-04-23,130.4,132.7,129.5,130.4,54768842
2026-04-24,131.8,132.8,126.7,131.8,63648525
2026-04-27,130.2,133.9,130.1,130.2,51858735
2026-04-28,126.5,130.6,126,126.5,72924924
2026-04-29,130.6,130.6,128.2,130.6,59643280
2026-04-30,126,128.5,126,126,88190461
2026-05-04,131.7,134.2,128.7,131.7,67792478
2026-05-05,131.2,132.7,129.9,131.2,25517465
2026-05-06,134.2,137.3,130.9,134.2,115976497
2026-05-07,140.9,140.9,138.5,140.9,116084635
2026-05-08,139,139.8,138.2,139,59348966
2026-05-11,133.9,137.6,133.3,133.9,98275069
2026-05-12,133.3,136,133.1,133.3,57483637
2026-05-13,132.8,134.2,130.3,132.8,89332720
