Date,Open,High,Low,Close,Volume
2025-08-06,212.41,214.53,204.78,212.41,108483100
2025-08-07,219.16,219.98,215.72,219.16,90224800
2025-08-08,228.44,230.09,218.38,228.44,113854000
2025-08-11,226.54,228.91,224.13,226.54,61806100
2025-08-12,229,230.15,226.43,229,55626200
2025-08-13,232.67,234.34,229.78,232.67,69878500
2025-08-14,232.12,234.46,230.2,232.12,51916300
2025-08-15,230.94,233.62,228.69,230.94,56038700
2025-08-18,230.24,232.46,229.46,230.24,37476200
2025-08-19,229.91,232.21,228.7,229.91,39402600
2025-08-20,225.37,229.82,225.13,225.37,42263900
2025-08-21,224.27,225.88,223.15,224.27,30621200
2025-08-22,227.12,228.44,224.77,227.12,42477800
2025-08-25,226.52,228.65,225.59,226.52,30983100
2025-08-26,228.66,228.84,224.06,228.66,54575100
2025-08-27,229.84,230.25,227.62,229.84,31259500
2025-08-28,231.9,232.75,228.69,231.9,38074700
2025-08-29,231.49,232.72,230.72,231.49,39418400
2025-09-02,229.07,230.2,226.33,229.07,44075600
2025-09-03,237.8,238.18,233.7,237.8,66427800
2025-09-04,239.1,239.22,236.07,239.1,47549400
2025-09-05,239.01,240.64,237.82,239.01,54870400
2025-09-08,237.21,239.47,235.67,237.21,48999500
2025-09-09,233.69,238.11,232.7,233.69,66313900
2025-09-10,226.15,231.76,225.31,226.15,83440800
2025-09-11,229.38,229.8,226.01,229.38,50208600
2025-09-12,233.41,233.85,228.37,233.41,55824200
2025-09-15,236.03,237.52,234.37,236.03,42699500
2025-09-16,237.48,240.54,235.65,237.48,63421100
2025-09-17,238.32,239.42,237.06,238.32,46508000
2025-09-18,237.21,240.52,235.98,237.21,44249600
2025-09-19,244.81,245.61,239.53,244.81,163741300
2025-09-22,255.36,255.92,247.42,255.36,105517400
2025-09-23,253.71,256.61,252.86,253.71,60275200
2025-09-24,251.6,255.02,250.33,251.6,42303700
2025-09-25,256.15,256.44,251,256.15,55202100
2025-09-26,254.74,256.87,253.06,254.74,46076300
2025-09-29,253.71,254.28,252.3,253.71,40127700
2025-09-30,253.91,255.2,252.4,253.91,37704300
2025-10-01,254.73,258.06,254.21,254.73,48713900
2025-10-02,256.4,257.45,253.43,256.4,42630200
2025-10-03,257.29,258.51,253.23,257.29,49155600
2025-10-06,255.97,258.34,254.33,255.97,44664100
2025-10-07,255.76,256.67,254.71,255.76,31955800
2025-10-08,257.33,257.79,255.39,257.33,36496900
2025-10-09,253.32,257.27,252.43,253.32,38322000
2025-10-10,244.58,255.66,243.31,244.58,61999100
2025-10-13,246.96,248.99,244.87,246.96,38142900
2025-10-14,247.07,248.15,244.01,247.07,35478000
2025-10-15,248.64,251.11,246.77,248.64,33893600
2025-10-16,246.75,248.34,244.44,246.75,39777000
2025-10-17,251.58,252.67,246.57,251.58,49147000
2025-10-20,261.5,263.63,254.91,261.5,90483000
2025-10-21,262.03,264.54,261.09,262.03,46695900
2025-10-22,257.72,262.11,254.71,257.72,45015300
2025-10-23,258.85,259.88,257.28,258.85,32754900
2025-10-24,262.08,263.38,258.45,262.08,38253700
2025-10-27,268.05,268.36,263.9,268.05,44888200
2025-10-28,268.24,269.13,267.39,268.24,41534800
2025-10-29,268.94,270.64,266.36,268.94,51086700
2025-10-30,270.63,273.37,267.72,270.63,69886500
2025-10-31,269.61,276.54,268.4,269.61,86167100
2025-11-03,268.29,270.09,265.5,268.29,50194600
2025-11-04,269.28,270.72,266.87,269.28,49274800
2025-11-05,269.38,270.93,266.18,269.38,43683100
2025-11-06,269.01,272.63,267.13,269.01,51204000
2025-11-07,267.71,271.52,266.02,267.71,48227400
2025-11-10,268.93,273.22,266.96,268.93,41312400
2025-11-11,274.74,275.4,269.3,274.74,46208300
2025-11-12,272.96,275.22,271.2,272.96,48398000
2025-11-13,272.44,276.19,271.59,272.44,49602800
2025-11-14,271.9,275.45,269.1,271.9,47431300
2025-11-17,266.96,269.99,265.24,266.96,45018300
2025-11-18,266.94,270.21,264.83,266.94,45677300
2025-11-19,268.06,271.71,265.01,268.06,40424500
2025-11-20,265.76,274.92,265.43,265.76,45823600
2025-11-21,270.99,272.82,265.18,270.99,59030800
2025-11-24,275.41,276.49,270.4,275.41,65585800
2025-11-25,276.46,279.86,274.74,276.46,46914200
2025-11-26,277.04,279.01,276.12,277.04,33431400
2025-11-28,278.33,278.48,275.48,278.33,20135600
2025-12-01,282.58,282.89,275.63,282.58,46587700
2025-12-02,285.66,286.87,282.11,285.66,53669500
2025-12-03,283.62,288.08,282.77,283.62,43538700
2025-12-04,280.18,284.2,278.07,280.18,43989100
2025-12-05,278.26,280.62,277.53,278.26,47265800
2025-12-08,277.37,279.15,275.64,277.37,38211800
2025-12-09,276.67,279.51,276.41,276.67,32193300
2025-12-10,278.26,279.23,275.93,278.26,33038300
2025-12-11,277.51,279.07,273.3,277.51,33248000
2025-12-12,277.76,278.7,276.31,277.76,39532900
2025-12-15,273.6,279.63,272.33,273.6,50409100
2025-12-16,274.1,274.99,271.29,274.1,37648600
2025-12-17,271.34,275.65,271.14,271.34,50138700
2025-12-18,271.69,273.12,266.45,271.69,51630700
2025-12-19,273.16,274.09,269.4,273.16,144632000
2025-12-22,270.47,273.37,270.01,270.47,36571800
2025-12-23,271.85,271.99,269.06,271.85,29642000
