Date,Open,High,Low,Close,Volume
2021-01-01,0.1751,0.1847,0.17,0.1751,462201570.9
2021-01-02,0.1774,0.1846,0.1679,0.1774,660303281.2
2021-01-03,0.2062,0.2096,0.1726,0.2062,1201451449.3
2021-01-04,0.2253,0.2399,0.192,0.2253,1463415575.6
2021-01-05,0.2587,0.2643,0.207,0.2587,1478887679.33
2021-01-06,0.3331,0.3477,0.2535,0.3331,2059110042.76
2021-01-07,0.2993,0.3553,0.2785,0.2993,1411321698.55
2021-01-08,0.3039,0.3216,0.2618,0.3039,1284205249.4
2021-01-09,0.3306,0.3385,0.2958,0.3306,820267450.7
2021-01-10,0.3015,0.3412,0.2795,0.3015,908667596
2021-01-11,0.2757,0.304,0.2288,0.2757,1538966424.3
2021-01-12,0.2889,0.3144,0.2628,0.2889,1059013244.8
2021-01-13,0.3123,0.3159,0.27,0.3123,715473111.9
2021-01-14,0.312,0.3246,0.2965,0.312,656502674
2021-01-15,0.3019,0.3322,0.2774,0.3019,853517402.8
2021-01-16,0.3507,0.367,0.3019,0.3507,1219589043.23
2021-01-17,0.3808,0.3974,0.3408,0.3808,1422650839.29
2021-01-18,0.3712,0.3972,0.3641,0.3712,636785470.4
2021-01-19,0.3672,0.39,0.362,0.3672,606641543
2021-01-20,0.3753,0.3769,0.3303,0.3753,656351514.5
2021-01-21,0.3078,0.3794,0.3,0.3078,802690568.5
2021-01-22,0.3487,0.3598,0.28,0.3487,898752288
2021-01-23,0.3458,0.3576,0.3354,0.3458,418300948.7
2021-01-24,0.3534,0.3693,0.3361,0.3534,458536220.6
2021-01-25,0.3431,0.3641,0.3403,0.3431,407390809.5
2021-01-26,0.3433,0.3511,0.324,0.3433,354428194
2021-01-27,0.3114,0.344,0.304,0.3114,422544056.1
2021-01-28,0.3441,0.3558,0.3043,0.3441,487709261.2
2021-01-29,0.3475,0.3684,0.3305,0.3475,666472809.5
2021-01-30,0.364,0.3769,0.337,0.364,510716622.4
2021-01-31,0.3448,0.3775,0.338,0.3448,399794774.9
2021-02-01,0.4088,0.4241,0.3321,0.4088,844822325.13
2021-02-02,0.425,0.4559,0.3887,0.425,1501769862.49
2021-02-03,0.4419,0.4496,0.4151,0.4419,541252929.4
2021-02-04,0.4393,0.45,0.41,0.4393,536142412.3
2021-02-05,0.5392,0.56,0.4364,0.5392,1277155737.26
2021-02-06,0.6344,0.6671,0.519,0.6344,1255504052.74
2021-02-07,0.6611,0.7089,0.58,0.6611,1596532267.5
2021-02-08,0.6764,0.7238,0.6319,0.6764,1008667679.66
2021-02-09,0.7056,0.7121,0.6624,0.7056,590482327.7
2021-02-10,0.9397,0.9531,0.7056,0.9397,1693219939.33
2021-02-11,0.928,0.98,0.8651,0.928,975100368.22
2021-02-12,0.9243,0.9482,0.866,0.9243,649547803.8
2021-02-13,0.913,0.9505,0.82,0.913,586878561.3
2021-02-14,0.8436,0.919,0.8067,0.8436,539495015.4
2021-02-15,0.8614,0.911,0.6856,0.8614,932826536.9
2021-02-16,0.87,0.9059,0.8333,0.87,526075390.6
2021-02-17,0.8921,0.8974,0.8215,0.8921,460328636.1
2021-02-18,0.9144,0.9578,0.892,0.9144,580074009.4
2021-02-19,0.9258,0.9456,0.8785,0.9258,547803715.8
2021-02-20,1.1157,1.2,0.9133,1.1157,1480541916.53
2021-02-21,1.0989,1.1517,1.0675,1.0989,636265765.2
2021-02-22,1.097,1.146,0.831,1.097,1333970209.1
2021-02-23,0.962,1.142,0.81,0.962,1625220448.7
2021-02-24,1.049,1.077,0.8978,1.049,946049063.3
2021-02-25,1.0769,1.177,1.012,1.0769,961855836.2
2021-02-26,1.243,1.298,0.99,1.243,1805727721.5
2021-02-27,1.314,1.488,1.2271,1.314,1994359638.5
2021-02-28,1.312,1.3595,1.154,1.312,1599172340.3
2021-03-01,1.2963,1.348,1.2313,1.2963,984011920.2
2021-03-02,1.2228,1.3,1.18,1.2228,753904502.9
2021-03-03,1.2131,1.2664,1.2086,1.2131,454913445.3
