Date,Open,High,Low,Close,Volume
2021-01-04,485.34,500.79,476.28,485.34,3612900
2021-01-05,485.69,486.08,479.2,485.69,2010100
2021-01-06,466.31,475.87,466,466.31,4156600
2021-01-07,477.74,479.64,468.25,477.74,2901200
2021-01-08,485.1,485.54,477.21,485.1,2266100
2021-01-11,474.24,482.59,471.3,474.24,2382400
2021-01-12,471.65,475,464,471.65,2964900
2021-01-13,472.05,477.85,469.3,472.05,2105900
2021-01-14,463.27,473.55,462.2,463.27,3508300
2021-01-15,458.08,467.88,457.49,458.08,3200400
2021-01-19,456.5,461.59,453.34,456.5,4419200
2021-01-20,469.73,472.39,458.77,469.73,3859000
2021-01-21,472.02,474.69,466.1,472.02,2768700
2021-01-22,472.44,476.35,470.61,472.44,2534300
2021-01-25,473.44,477.7,463.98,473.44,2697400
2021-01-26,476.28,477.22,467.76,476.28,2363100
2021-01-27,460,473.67,455.07,460,3586400
2021-01-28,465.67,475.02,459.07,465.67,3000700
2021-01-29,458.77,465,455.11,458.77,3061100
2021-02-01,470,474.8,459.82,470,2554800
2021-02-02,484.93,487.37,472.55,484.93,3022000
2021-02-03,481.92,488.85,479.17,481.92,2146900
2021-02-04,489.38,489.88,481.92,489.38,2005100
2021-02-05,492.12,495.1,488,492.12,1675000
2021-02-08,493.76,497.86,489.21,493.76,1727000
2021-02-09,496.05,497.95,492.01,496.05,1571500
2021-02-10,492.67,499.99,490.27,492.67,1764500
2021-02-11,496.62,497,491.08,496.62,1609800
2021-02-12,498.84,499.36,491.76,498.84,1450600
2021-02-16,501.64,506.51,497.6,501.64,1845900
2021-02-17,491.23,495.55,485.51,491.23,2112000
2021-02-18,488.37,489.8,480,488.37,1803200
2021-02-19,479.12,488.65,476.1,479.12,2720700
2021-02-22,467.33,472.1,466.66,467.33,2510500
2021-02-23,467.8,471.44,450.12,467.8,4164300
2021-02-24,476.62,477.35,460.29,476.62,3390600
2021-02-25,459.16,476.31,456.01,459.16,3252500
2021-02-26,459.67,467.32,456.01,459.67,3154500
2021-03-01,469.57,470.5,462.65,469.57,2358600
2021-03-02,466.59,473.8,463.46,466.59,2211000
2021-03-03,448.45,464.68,448.09,448.45,2808100
2021-03-04,439.06,457.53,437.63,439.06,4486400
2021-03-05,440.83,444.95,423.71,440.83,4615000
2021-03-08,421.2,440.99,420.78,421.2,3885100
2021-03-09,439.18,442.75,436,439.18,3926400
2021-03-10,437.01,448.46,436.82,437.01,2747300
2021-03-11,451.06,454.07,447.31,451.06,2762200
2021-03-12,444.3,445.89,438.6,444.3,2183100
2021-03-15,447.59,447.79,437.77,447.59,2508400
2021-03-16,450.54,457.41,449.67,450.54,2618800
2021-03-17,451.01,453.94,441.02,451.01,2502700
2021-03-18,439.18,446.86,438.5,439.18,2931200
2021-03-19,441.5,444.5,438.14,441.5,3923800
2021-03-22,452.41,457.82,444.86,452.41,2944300
2021-03-23,460.2,466.88,456.41,460.2,5317000
2021-03-24,451.51,465.61,448.34,451.51,5214100
2021-03-25,450.99,456.87,445.41,450.99,3201500
2021-03-26,469.09,469.77,449.05,469.09,3615900
2021-03-29,469.32,472,462.5,469.32,3141900
2021-03-30,465.46,469.09,461.5,465.46,2436300
2021-03-31,475.37,482.41,468.7,475.37,3155900
2021-04-01,483.34,487.04,480.71,483.34,2664700
2021-04-05,491.62,495.51,480.5,491.62,2982500
2021-04-06,491.34,495.59,487.57,491.34,1878300
2021-04-07,493.41,494.85,487.89,493.41,1576800
2021-04-08,499.84,504.6,498.14,499.84,2026000
2021-04-09,504.04,504.44,492.6,504.04,1886900
2021-04-12,506.03,506.94,498.44,506.03,1584600
2021-04-13,514.86,517.26,506.78,514.86,2195400
2021-04-14,510.63,517.78,509.13,510.63,1956400
2021-04-15,523.25,524.59,515.1,523.25,2122300
2021-04-16,525.08,525.44,518.55,525.08,2031600
2021-04-19,516.17,524,514.44,516.17,1917700
2021-04-20,514.21,517.29,510.6,514.21,1677500
2021-04-21,512.34,515.48,509.55,512.34,1678100
2021-04-22,507.29,512.77,504.06,507.29,2084600
2021-04-23,515.84,517.5,508.4,515.84,2257500
2021-04-26,515.7,516.31,510.25,515.7,1387500
2021-04-27,517.32,519.16,511.35,517.32,1944000
2021-04-28,515.48,519.13,510.02,515.48,1472200
2021-04-29,516.09,520.45,510.62,516.09,1592500
2021-04-30,508.34,515.05,507.15,508.34,1950500
2021-05-03,503.46,511.74,501.12,503.46,1458600
2021-05-04,490.7,499.47,484.83,490.7,2528900
2021-05-05,486.69,498.63,484.44,486.69,1875300
2021-05-06,483.61,485.67,475.92,483.61,2537100
2021-05-07,488.73,499.15,485.78,488.73,1632300
