Date,Open,High,Low,Close,Volume
2021-01-04,83.087,89.3,86.15,83.087,8449900
2021-01-05,85.6981,89.62,86.4,85.6981,6987200
2021-01-06,86.8746,91.9,88.28,86.8746,9818000
2021-01-07,90.4421,95.06,91.99,90.4421,8784100
2021-01-08,91.3986,97.8,94.88,91.3986,9059700
2021-01-11,93.6941,98.3,94.18,93.6941,8357500
2021-01-12,95.6548,100.87,98.2,95.6548,7186100
2021-01-13,93.7802,100.49,97.96,93.7802,5310000
2021-01-14,101.1926,106.6,102.7,101.1926,11663000
2021-01-15,98.6485,105.42,101.15,98.6485,8981200
2021-01-19,104.4637,109.58,104.39,104.4637,9362200
2021-01-20,103.1438,110.88,105.16,103.1438,9926000
2021-01-21,103.2682,109.28,106.27,103.2682,7271400
2021-01-22,101.6996,109.75,106.25,101.6996,6207600
2021-01-25,103.4116,110.1,107,103.4116,8437500
2021-01-26,100.9344,108.9,105.27,100.9344,6029800
2021-01-27,94.2871,104.06,98.08,94.2871,9782700
2021-01-28,96.7451,103.35,99.97,96.7451,7433000
2021-01-29,92.4698,100.46,96.07,92.4698,7943400
2021-02-01,96.8025,102.15,97.68,96.8025,9083600
2021-02-02,99.0789,103.94,101.77,99.0789,5108600
2021-02-03,95.5209,104.41,99.82,95.5209,5399200
2021-02-04,98.7441,103.73,100.21,98.7441,6356300
2021-02-05,96.3243,105.2,100.69,96.3243,6349300
2021-02-08,101.5657,106.25,101.76,101.5657,6621400
2021-02-09,100.791,107.36,104.78,100.791,5769200
2021-02-10,101.2692,108.2,105.03,101.2692,5001700
2021-02-11,108.0791,114.3,107.29,108.0791,12147100
2021-02-12,111.618,117.82,111.69,111.618,8157500
2021-02-16,113.1961,121.13,117.69,113.1961,9260100
2021-02-17,110.6711,117.06,112.09,110.6711,7225200
2021-02-18,108.4904,115.63,112.44,108.4904,8239600
2021-02-19,114.2578,124.5,118.9,114.2578,21054100
2021-02-22,110.212,119.87,114.62,110.212,7850600
2021-02-23,111.0824,117.8,110.69,111.0824,9387900
2021-02-24,117.6848,123.02,114.42,117.6848,10098100
2021-02-25,109.1754,121.22,113.6,109.1754,11352800
2021-02-26,113.2576,120.25,113.44,113.2576,11626500
2021-03-01,117.1482,122.48,119.46,117.1482,7003000
2021-03-02,112.5964,121.91,117.24,112.5964,6505000
2021-03-03,110.6224,119.85,115.1,110.6224,7257100
2021-03-04,103.7229,116.49,107.13,103.7229,12433400
2021-03-05,108.7155,114.34,105.65,108.7155,9962700
2021-03-08,101.2697,114.12,105.5,101.2697,12091500
2021-03-09,109.4533,114.95,109.41,109.4533,12040800
2021-03-10,107.9776,116.5,112.58,107.9776,8820300
2021-03-11,112.2994,117.85,115.64,112.2994,7715500
2021-03-12,109.5204,116.45,113.33,109.5204,7426000
2021-03-15,110.0858,115.43,113.1,110.0858,7061200
2021-03-16,113.5547,121.27,116.92,113.5547,10383000
2021-03-17,114.8963,121.14,114.9,114.8963,8342600
2021-03-18,109.5108,118.78,114.11,109.5108,9040500
2021-03-19,110.0666,117.06,112.14,110.0666,13044700
2021-03-22,114.3501,121.48,116.97,114.3501,11318700
2021-03-23,111.5232,120.2,115.56,111.5232,8263800
2021-03-24,116.0462,125.8,120.42,116.0462,20252500
2021-03-25,114.7238,120.48,116.22,114.7238,10381600
2021-03-26,123.2715,128.98,119.17,123.2715,14037000
2021-03-29,120.4638,127.83,123.47,120.4638,10539600
2021-03-30,121.47,127.9,123.86,121.47,7970900
2021-03-31,128.0245,135.5,129,128.0245,18589500
2021-04-01,135.6141,142.36,137.2,135.6141,15929200
2021-04-05,137.0802,146,141.74,137.0802,14377400
2021-04-06,133.7166,145.3,136.95,133.7166,18004800
2021-04-07,133.3333,141.87,136.82,133.3333,13702700
2021-04-08,133.5346,141.68,138.21,133.5346,10238000
2021-04-09,133.1129,140.18,137.49,133.1129,9637200
2021-04-12,129.3661,138.73,134.51,129.3661,11147500
2021-04-13,129.462,136.99,133.2,129.462,8034300
2021-04-14,128.542,137.14,133.24,128.542,8134200
2021-04-15,128.8008,136.14,132.85,128.8008,8269400
2021-04-16,128.1491,134.74,133.01,128.1491,7686300
2021-04-19,125.4276,135.28,128.7,125.4276,12826400
2021-04-20,123.2236,131.67,128.31,123.2236,7583300
2021-04-21,129.414,135.16,129,129.414,12108800
2021-04-22,126.2517,135.74,130.45,126.2517,11483500
2021-04-23,129.2319,135.17,132.75,129.2319,8079100
2021-04-26,131.5702,138.67,134.2,131.5702,7927200
2021-04-27,131.0718,138.25,135.55,131.0718,5767400
2021-04-28,130.0273,136.92,134.57,130.0273,6172700
2021-04-29,129.7398,137.6,133.09,129.7398,6668400
2021-04-30,127.1717,134.4,131.4,127.1717,8691800
2021-05-03,127.3059,135.61,131.7,127.3059,7750200
2021-05-04,123.3482,130.68,125.32,123.3482,14199100
2021-05-05,124.8527,132.52,128.76,124.8527,7276600
2021-05-06,126.2326,131.89,127.76,126.2326,7270500
2021-05-07,127.4017,134.1,131.64,127.4017,7524800
2021-05-10,119.4864,131.92,124.51,119.4864,10471500
2021-05-11,118.394,124.34,117.62,118.394,15287800
2021-05-12,110.0858,121.01,114.39,110.0858,18648200
2021-05-13,114.9154,121.47,117.89,114.9154,14228000
2021-05-14,119.6205,125.8,120.26,119.6205,12422300
2021-05-17,118.4131,123.62,120.37,118.4131,9379000
2021-05-18,116.7266,125.39,121.69,116.7266,7536700
2021-05-19,119.5918,125.08,117.79,119.5918,10424200
2021-05-20,124.8718,130.67,125.24,124.8718,18239800
2021-05-21,123.2907,130.69,127.02,123.2907,14252400
2021-05-24,128.9636,135.63,129.59,128.9636,11405600
2021-05-25,131.7618,139.15,135.94,131.7618,12721000
2021-05-26,131.4162,138.97,136.21,131.4162,10577900
2021-05-27,132.2993,138.19,135.84,132.2993,10623400
2021-05-28,132.5969,139.46,137.82,132.5969,7186300
2021-06-01,132.6737,142.12,137.26,132.6737,8839300
2021-06-02,133.4417,140.36,136.92,133.4417,6401200
2021-06-03,130.9171,138.03,135.09,130.9171,8191900
2021-06-04,134.248,140.85,137.62,134.248,6662800
2021-06-07,133.4033,139.69,138.19,133.4033,5943100
2021-06-08,130.4179,140.75,135.24,130.4179,8129200
2021-06-09,129.2563,137.47,134.57,129.2563,6887800
2021-06-10,131.6658,138.17,135.3,131.6658,6163000
2021-06-11,131.3394,137.15,135.23,131.3394,6077700
2021-06-14,133.4609,139.55,135.75,133.4609,6062900
2021-06-15,133.0865,140.61,138.2,133.0865,6059300
2021-06-16,131.493,140.29,136.04,131.493,8030400
2021-06-17,131.8194,138.65,135.05,131.8194,7690300
2021-06-18,125.9733,136.26,130.63,125.9733,13258400
2021-06-21,127.7204,133.58,130.32,127.7204,5984000
2021-06-22,128.0948,134.44,131.6,128.0948,5680900
2021-06-23,130.0723,136.21,134.28,130.0723,6327400
2021-06-24,132.7217,138.47,136.71,132.7217,6374100
2021-06-25,130.7346,139.21,135.38,130.7346,7276700
2021-06-28,135.3424,141.42,137.93,135.3424,6984400
2021-06-29,136.2351,142.79,140.39,136.2351,5340500
2021-06-30,136.6959,142.64,140.07,136.6959,5963400
2021-07-01,132.4241,142.19,137.59,132.4241,7693500
2021-07-02,132.6258,140.52,137.52,132.6258,5299600
2021-07-06,131.301,141.11,134.82,131.301,7432600
2021-07-07,129.4675,138.74,134.02,129.4675,5956800
2021-07-08,127.2212,134.39,129.72,127.2212,7770900
2021-07-09,129.4963,135.38,132.09,129.4963,5762900
2021-07-12,131.3202,137.03,134.67,131.3202,5459600
2021-07-13,130.8306,136.97,134.75,130.8306,4950600
2021-07-14,130.2162,139.88,135.41,130.2162,5982300
2021-07-15,127.8644,135.93,131.6,127.8644,7057900
2021-07-16,123.0455,134.59,127.92,123.0455,8190600
2021-07-19,123.4679,128.72,123.88,123.4679,8934000
2021-07-20,126.6837,133.12,127.8,126.6837,7417600
2021-07-21,132.4721,138.27,132.53,132.4721,6434100
2021-07-22,131.685,138.75,136.37,131.685,5564000
2021-07-23,132.8849,139,136.53,132.8849,4345600
2021-07-26,132.9329,139.88,137.44,132.9329,4638200
2021-07-27,129.4963,137.63,131.58,129.4963,6344100
2021-07-28,131.7138,137.88,135,131.7138,5041900
2021-07-29,131.9922,137.86,133.51,131.9922,5382600
2021-07-30,134.3248,141.4,136.47,134.3248,8556400
2021-08-02,136.3215,145.25,140.89,136.3215,10230600
2021-08-03,136.4655,143.36,140.24,136.4655,5589600
2021-08-04,137.0414,144.7,141.81,137.0414,5434600
2021-08-05,136.5711,143.88,141.16,136.5711,4282200
2021-08-06,136.9359,143.16,141.59,136.9359,3843300
2021-08-09,136.3119,143.69,141.45,136.3119,4026600
2021-08-10,132.5297,143,135.3,132.5297,6403900
2021-08-11,129.4196,138.59,132.6,129.4196,9630600
2021-08-12,124.0439,132.02,127.69,124.0439,12962600
2021-08-13,124.6966,130.44,128.58,124.6966,8812400
2021-08-16,126.4149,132.05,129.1,126.4149,10412000
2021-08-17,123.6407,130.84,126.71,123.6407,8208400
2021-08-18,122.268,131.64,127.18,122.268,6768800
2021-08-19,124.0247,129.99,125.28,124.0247,9020200
2021-08-20,122.1048,131.99,125.25,122.1048,13707600
2021-08-23,126.2229,131.5,127.8,126.2229,7710700
2021-08-24,126.1749,133.38,130.62,126.1749,6356600
2021-08-25,127.7329,134.2,131.44,127.7329,6735100
2021-08-26,127.4155,133.83,131.59,127.4155,3958700
2021-08-27,131.32,137.15,132.86,131.32,8413900
2021-08-30,130.8391,137.89,135.38,130.8391,4617700
2021-08-31,129.9544,136.6,133.55,129.9544,5586000
2021-09-01,128.3484,136.04,133.24,128.3484,6260300
2021-09-02,129.3004,135.95,133.88,129.3004,5142200
2021-09-03,130.6276,136.43,133.35,130.6276,4836000
2021-09-07,131.2623,137.17,133.75,131.2623,5550400
2021-09-08,128.4445,135.94,131.75,128.4445,7440600
2021-09-09,129.8294,135.85,132.92,129.8294,6808600
2021-09-10,131.5989,140.8,136.61,131.5989,9054700
2021-09-13,134.0993,141.3,137.56,134.0993,8507600
2021-09-14,134.7725,141.8,137.91,134.7725,8073200
2021-09-15,135.8207,141.34,137.44,135.8207,6103200
2021-09-16,138.5712,144.63,139.17,138.5712,8467300
2021-09-17,135.4072,143,139.38,135.4072,10884400
2021-09-20,130.3391,136.69,133.55,130.3391,8822500
2021-09-21,130.0025,137.24,133.45,130.0025,5782200
2021-09-22,132.8107,138.8,135.55,132.8107,6344300
2021-09-23,135.7053,142.15,138.71,135.7053,5620700
2021-09-24,136.4843,142.37,139.16,136.4843,3729900
2021-09-27,137.2729,143.27,139.54,137.2729,5248600
2021-09-28,127.8002,139.58,132.53,127.8002,12873900
2021-09-29,123.3571,134.04,128.04,123.3571,10730100
2021-09-30,123.7995,130.85,128.51,123.7995,7329800
2021-10-01,124.1842,129.6,126.42,124.1842,6459200
