Date,Open,High,Low,Close,Volume
2025-08-06,163.12,166.18,157.8,163.12,133641800
2025-08-07,172.4,175.75,166.7,172.4,95448300
2025-08-08,172.76,176.48,170.52,172.76,68866700
2025-08-11,172.28,178.82,169.38,172.28,70651000
2025-08-12,174.95,175.16,168.5,174.95,52243500
2025-08-13,184.42,186.65,179.38,184.42,108305100
2025-08-14,180.95,185.44,179.56,180.95,66308800
2025-08-15,177.51,180.14,176.25,177.51,51543100
2025-08-18,176.14,178.8,174.36,176.14,35937500
2025-08-19,166.55,173.17,166.1,166.55,64455000
2025-08-20,165.2,166.65,158.25,165.2,60233200
2025-08-21,163.71,165.88,162.26,163.71,37880500
2025-08-22,167.76,168.53,161.8,167.76,43998600
2025-08-25,163.36,165.59,161.72,163.36,36134700
2025-08-26,166.62,169.77,164.91,166.62,52138600
2025-08-27,167.13,167.68,164.65,167.13,37031000
2025-08-28,168.58,170.99,166.65,168.58,36285200
2025-08-29,162.63,168.57,161.9,162.63,37516800
2025-09-02,162.32,162.39,156.62,162.32,38656100
2025-09-03,162.13,164.75,160.58,162.13,30752800
2025-09-04,161.79,162.05,157.79,161.79,32103500
2025-09-05,151.14,157.14,150.18,151.14,78256000
2025-09-08,151.41,152.64,149.22,151.41,41849000
2025-09-09,155.82,156.66,151.93,155.82,42802500
2025-09-10,159.54,164.53,158,159.54,52465300
2025-09-11,155.67,160.21,154.99,155.67,48817700
2025-09-12,158.57,160.41,154.92,158.57,42232800
2025-09-15,161.16,162.3,157.6,161.16,36808700
2025-09-16,160.46,161.95,159.22,160.46,27946500
2025-09-17,159.16,161.63,155.76,159.16,41823800
2025-09-18,157.92,158.77,149.85,157.92,84549500
2025-09-19,157.39,159.84,155.9,157.39,55448100
2025-09-22,159.79,162.68,157.42,159.79,46505500
2025-09-23,160.9,163.39,159.21,160.9,39448300
2025-09-24,160.88,165.1,158.43,160.88,38464100
2025-09-25,161.27,161.63,154.78,161.27,36809900
2025-09-26,159.46,162.11,157.05,159.46,30316900
2025-09-29,161.36,164.3,159.9,161.36,39828800
2025-09-30,161.79,162.28,159.33,161.79,29669300
2025-10-01,164.01,164.18,160.49,164.01,39895200
2025-10-02,169.73,171.06,166.12,169.73,55475200
2025-10-03,164.67,170.68,163.14,164.67,42699100
2025-10-06,203.71,226.71,203.01,203.71,248859600
2025-10-07,211.51,218.9,209.28,211.51,115748100
2025-10-08,235.56,235.87,210.7,235.56,159983500
2025-10-09,232.89,240.1,229.53,232.89,94290700
2025-10-10,214.9,234.22,213.2,214.9,118656600
2025-10-13,216.42,224.19,214.9,216.42,63104000
2025-10-14,218.09,224.98,215.9,218.09,71216300
2025-10-15,238.6,239.24,220.76,238.6,108481000
2025-10-16,234.56,241.2,232.24,234.56,69726400
2025-10-17,233.08,235.38,227.91,233.08,55804200
2025-10-20,240.56,242.88,234.4,240.56,56741700
2025-10-21,238.03,242.26,234.02,238.03,47122400
2025-10-22,230.23,240.13,224.88,230.23,59668800
2025-10-23,234.99,235.9,228.54,234.99,39024400
2025-10-24,252.92,253.39,241.95,252.92,71221100
2025-10-27,259.67,260.42,249.8,259.67,65613100
2025-10-28,258.01,264.58,257,258.01,47448700
2025-10-29,264.33,267.08,257.4,264.33,49335600
2025-10-30,254.84,263.88,252.31,254.84,45162500
2025-10-31,256.12,262.13,253.41,256.12,34449200
2025-11-03,259.65,260.91,253.89,259.65,36351400
2025-11-04,250.05,257.38,247.39,250.05,56491800
2025-11-05,256.33,259.65,242.81,256.33,67366600
2025-11-06,237.7,253.51,235.74,237.7,66049700
2025-11-07,233.54,235.87,224.64,233.54,52162600
2025-11-10,243.98,248.9,240.5,243.98,43361600
2025-11-11,237.52,248.46,234.64,237.52,61336800
2025-11-12,258.89,263.51,250,258.89,108942000
2025-11-13,247.96,259.63,246.06,247.96,63178600
2025-11-14,246.81,253.44,235.08,246.81,47655600
2025-11-17,240.52,248.77,237.15,240.52,37942200
2025-11-18,230.29,238,224.71,230.29,45619900
2025-11-19,223.55,235.28,219.71,223.55,52093400
2025-11-20,206.02,234.25,204.53,206.02,66342900
2025-11-21,203.78,208.83,195,203.78,67421100
2025-11-24,215.05,217.13,205.85,215.05,46749600
2025-11-25,206.13,206.58,194.28,206.13,69773500
2025-11-26,214.24,215.59,207,214.24,43270200
2025-11-28,217.53,218.3,214.02,217.53,18658000
2025-12-01,219.76,220.98,213.5,219.76,30768700
2025-12-02,215.24,225.98,214.39,215.24,42002500
2025-12-03,217.6,218.2,211.77,217.6,28545200
2025-12-04,215.98,219.12,214.14,215.98,24478200
2025-12-05,217.97,223.64,216.24,217.97,33292400
2025-12-08,221.11,223.71,218.36,221.11,30943200
2025-12-09,221.62,224.84,217.91,221.62,25166100
2025-12-10,221.42,222.61,218.67,221.42,23279400
2025-12-11,221.43,221.5,210.19,221.43,30694600
2025-12-12,210.78,222.49,209.06,210.78,37073900
2025-12-15,207.58,215.36,206.58,207.58,27222200
2025-12-16,209.17,210.22,205.11,209.17,23467600
2025-12-17,198.11,211.5,197.53,198.11,31595400
2025-12-18,201.06,206.36,200.5,201.06,29720100
2025-12-19,213.43,215.18,204.2,213.43,58445500
2025-12-22,214.95,220.17,213.31,214.95,24950700
2025-12-23,214.9,217.03,212.28,214.9,20272300
2025-12-24,215.04,216.54,213.97,215.04,7956800
2025-12-26,214.99,216.83,213.03,214.99,15792600
2025-12-29,215.61,216.05,209.24,215.61,20326900
2025-12-30,215.34,216.82,214.33,215.34,16409600
2025-12-31,214.16,217.64,213.8,214.16,17591600
2026-01-02,223.47,227.15,218.9,223.47,36446200
2026-01-05,221.08,234.02,220.48,221.08,31941100
2026-01-06,214.35,222.92,211.25,214.35,40033200
2026-01-07,210.02,212.13,207.17,210.02,29715500
2026-01-08,204.68,210.94,203.33,204.68,27505000
2026-01-09,203.17,207.3,203.07,203.17,24217300
2026-01-12,207.69,209.88,199.8,207.69,27287300
2026-01-13,220.97,223.11,214.98,220.97,56894900
2026-01-14,223.6,224.09,215.11,223.6,40466500
2026-01-15,227.92,238.35,227.22,227.92,55270200
2026-01-16,231.83,234.49,228.86,231.83,42545600
2026-01-20,231.92,239.5,225.41,231.92,44327700
2026-01-21,249.8,252.9,235.78,249.8,62385600
2026-01-22,253.73,256.08,246.63,253.73,37945000
2026-01-23,259.68,266.96,256.25,259.68,47525900
2026-01-26,251.31,258.29,250.3,251.31,30672500
2026-01-27,252.03,255.55,247.96,252.03,25691600
2026-01-28,252.74,257.4,250.21,252.74,27061200
2026-01-29,252.18,260.53,240.91,252.18,31685200
2026-01-30,236.73,245.24,234.55,236.73,40035700
2026-02-02,246.27,249.97,235,246.27,36308100
2026-02-03,242.11,252.65,237.04,242.11,53097100
2026-02-04,200.19,218.58,199.15,200.19,107173300
2026-02-05,192.5,204.04,190.72,192.5,62196400
2026-02-06,208.44,209.27,196.43,208.44,54504500
2026-02-09,216,217.6,204.15,216,38810800
2026-02-10,213.57,219.39,213.13,213.57,25326700
2026-02-11,213.58,219.65,209.21,213.58,33384700
2026-02-12,205.94,218.46,205.14,205.94,32181000
2026-02-13,207.32,210.05,203.88,207.32,26123900
2026-02-17,203.08,205.3,194.83,203.08,33712100
2026-02-18,200.12,203.2,195,200.12,35664100
2026-02-19,203.37,204.1,198.29,203.37,25842300
2026-02-20,200.15,204.87,198.56,200.15,36317300
2026-02-23,196.6,199.38,194.15,196.6,28187900
2026-02-24,213.84,216.71,206.5,213.84,81367000
2026-02-25,210.86,216.7,210.33,210.86,44588100
2026-02-26,203.68,209.79,201.46,203.68,35020500
2026-02-27,200.21,201.89,197.74,200.21,31312400
2026-03-02,198.62,198.74,190,198.62,34120200
2026-03-03,190.95,193.64,188.22,190.95,37785700
2026-03-04,202.07,202.44,189.86,202.07,40912600
2026-03-05,199.45,203.79,194.88,199.45,36000700
2026-03-06,192.43,200.24,191.25,192.43,33913800
2026-03-09,202.68,202.97,189.02,202.68,38877200
2026-03-10,203.23,206.59,202.2,203.23,29139200
2026-03-11,204.83,209.21,203.63,204.83,23076400
2026-03-12,197.74,203.62,196.67,197.74,28886900
2026-03-13,193.39,199.68,192.27,193.39,27561900
2026-03-16,196.58,200.17,194.8,196.58,30285200
2026-03-17,196.31,199.21,195.26,196.31,22779700
2026-03-18,199.46,202.86,195.75,199.46,28569100
2026-03-19,205.27,205.88,192.83,205.27,32245300
2026-03-20,201.33,206.3,198.26,201.33,37265100
2026-03-23,202.68,209.11,201.71,202.68,31857800
2026-03-24,205.37,206.43,200.13,205.37,27258800
2026-03-25,220.27,221.33,211.51,220.27,48518300
