Date,Open,High,Low,Close,Volume
2025-08-06,22.04,22.26,21.86,22.04,2636900
2025-08-07,22.7,23.19,22.28,22.7,3108000
2025-08-08,22.96,23,22.51,22.96,2284900
2025-08-11,22.98,23.56,22.94,22.98,2370100
2025-08-12,24.18,24.2,22.88,24.18,2002400
2025-08-13,24.77,24.78,24.19,24.77,1800000
2025-08-14,24.34,24.51,23.95,24.34,1655400
2025-08-15,23.58,24.09,23.47,23.58,1816000
2025-08-18,23.87,23.97,23.59,23.87,1544700
2025-08-19,23.56,24.13,23.44,23.56,1557400
2025-08-20,22.83,23.55,22.57,22.83,1969100
2025-08-21,23.04,23.06,22.64,23.04,1369500
2025-08-22,23.91,24.35,23.05,23.91,2201700
2025-08-25,23.97,24.1,23.7,23.97,1279300
2025-08-26,24.18,24.35,23.96,24.18,1768500
2025-08-27,24.4,24.43,24.09,24.4,1557700
2025-08-28,24.48,24.62,24.26,24.48,1460100
2025-08-29,24.01,24.43,23.78,24.01,1501000
2025-09-02,23.72,23.76,23.2,23.72,1412000
2025-09-03,23.71,24.25,23.52,23.71,2376900
2025-09-04,24.19,24.24,23.29,24.19,1352200
2025-09-05,24.54,24.72,24.08,24.54,2369600
2025-09-08,24.73,25.03,24.5,24.73,2371900
2025-09-09,24.77,25.28,24.68,24.77,3273200
2025-09-10,24.69,25.27,24.5,24.69,2847400
2025-09-11,25.28,25.31,24.76,25.28,2527500
2025-09-12,25.36,25.5,24.87,25.36,1630100
2025-09-15,25.58,25.9,25.42,25.58,1539300
2025-09-16,26.93,28.11,26.37,26.93,3734600
2025-09-17,26.51,27.08,26.06,26.51,2250400
2025-09-18,29.04,29.07,27.44,29.04,4287700
2025-09-19,28.2,29.27,28.13,28.2,5206800
2025-09-22,29.41,29.87,28.31,29.41,3021800
2025-09-23,29.46,30.23,29.33,29.46,2542700
2025-09-24,29.24,29.59,28.84,29.24,1725400
2025-09-25,29.04,29.22,28.21,29.04,1729800
2025-09-26,28.91,29.35,28.64,28.91,1642600
2025-09-29,28.41,29.33,28.39,28.41,2412000
2025-09-30,28.29,28.7,27.92,28.29,2088600
2025-10-01,29.35,29.43,28.06,29.35,2005900
2025-10-02,29.52,30.05,29.22,29.52,1395000
2025-10-03,29.26,29.92,29.04,29.26,2045400
2025-10-06,30.45,30.55,30.03,30.45,2468900
2025-10-07,29.63,33.41,29.21,29.63,5731200
2025-10-08,30.49,30.57,29.58,30.49,2907600
2025-10-09,30.51,30.83,29.91,30.51,2209100
2025-10-10,28.15,31.27,28.08,28.15,5046100
2025-10-13,30.34,30.4,29.59,30.34,2394900
2025-10-14,29.79,30.31,29.27,29.79,2393200
2025-10-15,31.16,31.22,30.11,31.16,2395700
2025-10-16,31.37,32.79,30.97,31.37,3730000
2025-10-17,31.17,31.36,30.47,31.17,1919100
2025-10-20,32.15,32.62,31.82,32.15,2009300
2025-10-21,32.02,32.36,31.55,32.02,2078000
2025-10-22,30.65,31.79,30.14,30.65,2310600
2025-10-23,31.85,32.06,30.32,31.85,1613100
2025-10-24,32.64,33.2,32.29,32.64,3169500
2025-10-27,33.05,33.69,32.84,33.05,4820300
2025-10-28,32.03,32.85,29.38,32.03,9760000
2025-10-29,32.56,33.62,32.17,32.56,4759300
2025-10-30,31.79,32.51,31.61,31.79,2582500
2025-10-31,32.15,32.62,31.79,32.15,2409800
2025-11-03,37.69,38.07,33.68,37.69,10475800
2025-11-04,35.11,36.65,35.05,35.11,5389300
2025-11-05,36.4,37.14,35.24,36.4,3113100
2025-11-06,35.01,36.56,34.32,35.01,3538500
2025-11-07,34.64,34.65,33.01,34.64,3550400
2025-11-10,35.07,36.13,34.76,35.07,3665500
2025-11-11,34.12,34.67,33.98,34.12,1647800
2025-11-12,34.33,35.12,34.15,34.33,2074700
2025-11-13,31.82,33.96,31.25,31.82,3383700
2025-11-14,31.55,32.36,30.33,31.55,3138100
