Date,Open,High,Low,Close,Volume
2021-01-04,163.5,163.6,157.201,159.3315,88228980
2021-01-05,158.3005,161.169,158.253,160.9255,53110960
2021-01-06,157.324,159.8755,156.558,156.919,87896300
2021-01-07,157.85,160.4271,157.75,158.108,70290900
2021-01-08,159,159.532,157.11,159.135,70754880
2021-01-11,157.4005,157.8192,155.5,155.7105,73381900
2021-01-12,156,157.1071,154.3,156.0415,70291640
2021-01-13,156.422,159.4975,156.104,158.2945,66424880
2021-01-14,158.376,158.9,156.0295,156.3735,61418380
2021-01-15,156.151,157.1273,154.7585,155.2125,84879900
2021-01-19,155.35,157.25,154.8,156.038,66102840
2021-01-20,159.0995,163.99,158.75,163.169,106196700
2021-01-21,164.65,167.4275,164.4784,165.3495,98901020
2021-01-22,165.2155,166.0955,164.1582,164.6115,56438280
2021-01-25,166.425,168.1945,162.1573,164.7,74995160
2021-01-26,164.8178,166.9,164.1435,166.3065,59104700
2021-01-27,167.0745,167.326,160.354,161.629,93203160
2021-01-28,161.752,165.084,161.4345,161.881,62984560
2021-01-29,161.5,161.8495,159.2275,160.31,85871120
2021-02-01,162.118,167.513,161.7513,167.144,83204240
2021-02-02,169,171.387,168.0563,169,141972740
2021-02-03,171.2505,171.7,165.431,165.6265,141775620
2021-02-04,166.5,167.35,163.8875,166.55,73413220
2021-02-05,165.95,168.85,165.1355,167.6075,72416160
2021-02-08,167.925,168.25,165.2,166.147,65147820
2021-02-09,165.6245,166.9,164.892,165.25,44070520
2021-02-10,165.7,165.8977,162.7,164.329,63031000
2021-02-11,164.6,164.6,162.403,163.1065,46028340
2021-02-12,162.5,164.0125,161.6655,163.8855,46706780
2021-02-16,162.7025,165.415,162.6796,163.4475,51494420
2021-02-17,163.18,166.0455,162.975,165.432,66041980
2021-02-18,164.121,166.9,163.697,166.4115,60672140
2021-02-19,166.4115,166.675,162.2875,162.495,86103680
2021-02-22,160.4065,161.616,158.613,159.037,70313580
2021-02-23,156.3515,160.2365,154.68,159.725,93544440
2021-02-24,158.3375,158.5615,156.269,157.9765,60225500
2021-02-25,156.837,158.913,152.388,152.858,90676020
2021-02-26,154.76,156.122,151.835,154.6465,85518600
2021-03-01,156.3945,157.478,154.8995,157.307,54679260
2021-03-02,157.1735,158.176,154.356,154.7265,51915240
2021-03-03,154.059,155.3888,149.75,150.25,79774500
2021-03-04,150.6,152.9065,147.2715,148.8785,109631560
2021-03-05,150.25,150.45,144.05,150.023,107771020
2021-03-08,150.75,153.2295,147.5655,147.5975,83700160
2021-03-09,150.8995,154.548,150.2574,153.1425,80600640
2021-03-10,154.9225,155.823,151.5025,152.882,60249780
2021-03-11,155.2005,156.5892,154.1465,155.6795,55527820
2021-03-12,153.75,154.949,152.275,154.4745,48437760
2021-03-15,153.7285,154.112,151.6045,154.084,58371840
2021-03-16,155.2485,156.4455,153.793,154.593,50775280
2021-03-17,153.661,158.6525,153.511,156.7865,62371680
2021-03-18,155.05,155.8315,151.25,151.3995,73140540
2021-03-19,151.4615,153.8643,150.8315,153.748,92507080
2021-03-22,153.3925,156.329,153.0025,155.5435,58043580
2021-03-23,156.35,159.1,156.0425,156.875,76345260
2021-03-24,157.552,158.0155,154.2575,154.3535,59179620
2021-03-25,153.6495,155.489,151.857,152.313,71269380
2021-03-26,152.203,152.833,149.8,152.6015,66258480
2021-03-29,152.772,154.5625,151.4223,153.7865,54919360
2021-03-30,153.5005,153.65,151.7,152.7645,46752060
2021-03-31,153.203,155.9665,153.125,154.704,61877920
2021-04-01,155.897,158.122,155.7775,158.05,58806360
2021-04-05,158.65,161.7978,158.062,161.3365,66697640
2021-04-06,161.1875,162.3655,160.852,161.191,50756180
2021-04-07,161.69,165.1806,161.1825,163.9695,66924540
2021-04-08,165.545,166.225,164.6,164.965,56241800
2021-04-09,165.235,168.61,164.445,168.61,86829460
2021-04-12,167.7605,169.752,167.5575,168.9695,65635960
2021-04-13,170.0423,171.6,169.7815,170,66316740
2021-04-14,170.202,170.2065,166.3,166.65,62904080
2021-04-15,168.55,169.85,167.6,168.9545,64671600
2021-04-16,169,170.34,167.7795,169.972,63720980
2021-04-19,169.5165,171.7967,168.008,168.6005,54508100
2021-04-20,168.68,169.1495,165.8,166.7345,52460640
2021-04-21,165.8,168.143,165.1903,168.101,44223320
2021-04-22,168.584,168.6435,165.0725,165.452,51611800
2021-04-23,165.955,168.75,165.425,167.044,63933040
2021-04-26,167.4,171.4225,166.547,170.45,97614160
2021-04-27,172.1735,173,169.9005,170.8715,76542800
2021-04-28,171.74,174.494,171.25,172.925,92637680
2021-04-29,175.2549,175.7223,171.75,173.5655,153647620
2021-04-30,176.256,177.7,173.125,173.371,140186920
2021-05-03,174.2365,174.3323,168.6351,169.3245,117510600
2021-05-04,167.8095,168.3988,163.6065,165.5935,108788980
2021-05-05,166.9428,167.7348,163.218,163.527,74226160
2021-05-06,163.5,165.72,162.36,165.3185,88953920
2021-05-07,165.9545,166.5445,164.4535,164.5805,94205520
2021-05-10,164.116,164.15,159.5,159.5245,116772060
2021-05-11,156.814,161.9,156.3685,161.1955,92395620
2021-05-12,159.25,160.397,156.655,157.597,98728200
2021-05-13,159.2735,160.192,156.65,158.0735,67137540
2021-05-14,159.278,161.443,159.15,161.145,66500440
2021-05-17,162.2965,164.6375,161.7295,163.5195,73711980
2021-05-18,164.6288,165.6,161.5185,161.614,56567820
2021-05-19,159.75,161.7375,159.2,161.59,53594160
2021-05-20,162.2202,162.984,161.809,162.384,52663840
2021-05-21,162.5,162.8347,159.8505,160.154,82097640
2021-05-24,160.775,162.8975,160.525,162.2495,48456260
2021-05-25,163.3335,163.991,160.688,162.9525,65222180
2021-05-26,163.7296,164.7865,162.9255,163.258,47679720
2021-05-27,162.8,163.0178,161.502,161.5055,51223140
2021-05-28,162.1,162.3995,160.985,161.1535,46630180
2021-06-01,162.1748,162.549,160.453,160.9325,48600900
2021-06-02,161.155,161.75,160.4,161.6995,40290480
2021-06-03,160.2115,160.7218,159.2015,159.3505,47965860
2021-06-04,160.6,161.05,159.9405,160.311,44994980
2021-06-07,159.8665,160.4,158.61,159.9005,44315120
2021-06-08,161.1305,163.9766,160.9005,163.2055,68334600
2021-06-09,163.6435,164.879,163.535,164.0575,49110600
2021-06-10,164.1005,167.55,164.0575,167.4825,69529600
2021-06-11,167.4825,168.329,166.6725,167.3415,56347040
2021-06-14,167.3415,169.25,166.775,169.1935,51393100
2021-06-15,169.2,169.8493,168.1555,169.1565,48524000
2021-06-16,169.6,171.3175,168.0265,170.7625,84055640
2021-06-17,170.159,174.86,170.05,174.462,102730620
2021-06-18,173.9995,175.35,173.6855,174.345,104954740
2021-06-21,173.821,174.1,171.7,172.698,65542600
2021-06-22,172.903,176.189,172.8045,175.272,66901640
2021-06-23,175.25,176.05,174.16,175.191,56266820
2021-06-24,175.382,176.243,171.5425,172.454,76639980
2021-06-25,173.2,173.241,169.709,170.073,78819940
2021-06-28,170.8,172.4,170.6755,172.1945,44855860
2021-06-29,171.941,172.8015,171.1515,172.407,41968780
2021-06-30,172.053,173.5801,171.75,172.008,48079840
2021-07-01,171.7305,172.85,170.471,171.6485,40741060
2021-07-02,172.582,175.586,171.846,175.549,63533940
2021-07-06,176.5055,184.274,176.45,183.787,134895360
2021-07-07,185.8689,186.71,183.9455,184.829,106561240
2021-07-08,182.178,187.9993,181.056,186.5705,103612460
2021-07-09,186.126,187.4,184.6698,185.967,74964740
2021-07-12,187.2,187.8645,184.8396,185.9275,51432700
2021-07-13,185.105,188.6539,183.566,183.868,76918340
2021-07-14,185.4425,185.883,183.0413,184.084,65931360
2021-07-15,184.71,184.77,181.046,181.56,63705840
2021-07-16,181.6655,182.303,178.5228,178.6815,80874120
2021-07-19,176.629,177.5105,174.958,177.4795,75691900
2021-07-20,178.366,179.6,175.9,178.6595,65113600
2021-07-21,178.8188,179.3225,177.1821,179.26,46379780
2021-07-22,179.3615,182.001,179.1135,181.9015,65307040
2021-07-23,182,183.3055,181.102,182.832,48725840
2021-07-26,183.6585,185.604,182.3625,184.991,58001360
2021-07-27,184.925,184.925,179.3075,181.3195,82637800
2021-07-28,181.689,182.921,180.05,181.516,59987560
2021-07-29,181.3875,181.8975,179.0005,179.996,110399040
2021-07-30,167.3975,168.407,165.349,166.3795,199311860
2021-08-02,167.655,167.946,165.85,166.574,67078300
2021-08-03,167.036,169.55,164.9885,168.312,83146860
2021-08-04,168.9675,169.444,167.278,167.736,43678900
2021-08-05,167.811,169.45,167.046,168.7995,48670060
2021-08-06,168.75,168.75,166.4519,167.247,52752880
2021-08-09,167.1805,167.744,166.426,167.0935,42964400
2021-08-10,167.2505,167.9,165.75,166.034,48251020
2021-08-11,166.5724,166.885,163.8895,164.6055,58944980
2021-08-12,164.5,165.7255,163.4835,165.175,46476460
2021-08-13,165.2835,165.3033,164.15,164.6985,41133980
2021-08-16,164.15,165,160.5565,164.9495,66569880
2021-08-17,163.875,164.0245,161.284,162.098,67758440
2021-08-18,162.0995,162.7049,160,160.061,56086220
2021-08-19,159.701,161.65,159.1232,159.3875,75657240
2021-08-20,160.1937,160.3905,158.788,159.9975,67168560
2021-08-23,160.595,164.045,160.5003,163.2935,65362620
2021-08-24,164,165.7747,163.729,165.289,51036820
2021-08-25,165.4935,166.05,164.3075,164.959,33606120
2021-08-26,164.95,166.6,164.8,165.8,41975220
2021-08-27,166.6615,167.616,165.6875,167.4815,48047380
2021-08-30,167.8713,172.25,167.761,171.0785,63844880
2021-08-31,171.24,173.629,169.7795,173.5395,87128260
2021-09-01,174.8198,176.35,173.762,173.95,72598220
2021-09-02,174.738,175.598,172.75,173.156,58511880
2021-09-03,172.6,174.1335,171.822,173.9025,51566480
2021-09-07,173.9,176.4045,173.847,175.4645,54823680
2021-09-08,175.5825,177.2815,174.7835,176.275,61067280
2021-09-09,176.301,177.4995,174.0185,174.208,54384820
2021-09-10,175.0915,175.4225,173.1453,173.4575,47945380
2021-09-13,174.14,174.898,171.9,172.8585,51380440
2021-09-14,173.7775,174.3403,171.8855,172.5,38737940
2021-09-15,172.126,174.271,170.1005,173.7895,59150740
2021-09-16,172.998,174.6275,172.3072,174.412,51671960
2021-09-17,174.4208,174.8705,172.6065,173.126,92331120
2021-09-20,169.8,170.95,165.2505,167.7865,93382600
2021-09-21,168.75,168.985,166.6195,167.1815,55617560
2021-09-22,167.55,169.45,167.0525,169.0025,48228060
2021-09-23,169.0025,171.448,169.0025,170.8,47588280
2021-09-24,170.1005,171.463,169.67,171.276,42324820
2021-09-27,168.575,170.7785,166.9805,170.29,72689000
2021-09-28,167.8855,168.4595,164.505,165.798,88616380
2021-09-29,166.1055,167.565,164.8935,165.056,51245360
2021-09-30,165.8,166.3925,163.6995,164.252,56940660
