Date,Open,High,Low,Close,Volume
2021-01-04,17.6975,18.225,17.5269,17.6975,13027200
2021-01-05,17.8756,17.995,17.7394,17.8756,8944000
2021-01-06,17.8669,18.2656,17.7556,17.8669,11672000
2021-01-07,18.4981,18.5112,18.1278,18.4981,14132800
2021-01-08,19.1325,19.2013,18.5831,19.1325,17667200
2021-01-11,18.935,19.0138,18.7844,18.935,8337600
2021-01-12,19.7675,19.8056,18.9175,19.7675,14856000
2021-01-13,19.3519,19.6341,19.2684,19.3519,7124800
2021-01-14,19.5688,20.0159,19.425,19.5688,9076800
2021-01-15,19.8169,19.9713,19.3517,19.8169,11798400
2021-01-19,19.8725,19.9375,19.5163,19.8725,7620800
2021-01-20,19.6531,20.0212,19.5759,19.6531,6363200
2021-01-21,19.4788,19.8119,19.3035,19.4788,6785600
2021-01-22,19.4506,19.5309,19.2419,19.4506,7576000
2021-01-25,19.2306,19.7563,19.1418,19.2306,7947200
2021-01-26,19.1875,19.3269,19.0756,19.1875,9342400
2021-01-27,19.1056,19.3,18.8019,19.1056,20612800
2021-01-28,19.3356,19.4275,18.9494,19.3356,10208000
2021-01-29,19.2225,19.7125,19.1353,19.2225,11091200
2021-02-01,19.7625,19.9713,19.37,19.7625,9641600
2021-02-02,19.7769,20.0231,19.6731,19.7769,7219200
2021-02-03,19.7975,19.9281,19.6063,19.7975,6299200
2021-02-04,19.9988,20.0088,19.6388,19.9988,5996800
2021-02-05,20.1194,20.2397,19.95,20.1194,8251200
2021-02-08,20.0056,20.2921,19.9119,20.0056,5281600
2021-02-09,19.9994,20.0693,19.8738,19.9994,5230400
2021-02-10,19.9094,20.1063,19.66,19.9094,8380800
2021-02-11,19.8781,19.9975,19.6425,19.8781,6390400
2021-02-12,20.2069,20.22,19.7094,20.2069,7265600
2021-02-16,19.9163,20.3875,19.8806,19.9163,6641600
2021-02-17,19.5131,19.7794,19.19,19.5131,7812800
2021-02-18,19.3031,19.4734,19.0844,19.3031,9918400
2021-02-19,19.4344,20.4125,19.1069,19.4344,22678400
2021-02-22,18.26,19.2469,18.2178,18.26,22371200
2021-02-23,17.9425,18.0525,16.8913,17.9425,22545600
2021-02-24,17.8975,18.0769,17.5,17.8975,8483200
2021-02-25,17.5163,18.0194,17.4425,17.5163,9382400
2021-02-26,17.49,17.7944,17.3381,17.49,10300800
2021-03-01,17.9963,18.0662,17.645,17.9963,8139200
2021-03-02,17.7687,18.0181,17.6588,17.7687,9987200
2021-03-03,17.4338,17.8013,17.3312,17.4338,8340800
2021-03-04,16.9538,17.4794,16.5794,16.9538,13662400
2021-03-05,17.0662,17.16,16.38,17.0662,12665600
2021-03-08,16.7394,17.3194,16.7337,16.7394,8012800
2021-03-09,17.2519,17.4269,16.91,17.2519,7324800
2021-03-10,17.0056,17.5,17,17.0056,8716800
2021-03-11,17.2237,17.475,17.1875,17.2237,7632000
2021-03-12,17.4756,17.5413,17.1256,17.4756,8347200
2021-03-15,17.9144,18.0481,17.5556,17.9144,7700800
2021-03-16,17.9394,18.0475,17.7862,17.9394,6838400
2021-03-17,18.0831,18.2131,17.5931,18.0831,9905600
2021-03-18,17.7375,18.0625,17.7262,17.7375,8409600
2021-03-19,17.8263,18.0375,17.6331,17.8263,15070400
2021-03-22,18.1406,18.2881,17.75,18.1406,9323200
2021-03-23,17.8756,18.2456,17.7744,17.8756,6459200
2021-03-24,17.7787,18.1075,17.7759,17.7787,6280000
2021-03-25,18.25,18.2563,17.6369,18.25,9268800
2021-03-26,19.4544,19.4625,18.2891,19.4544,14278400
2021-03-29,19.2306,19.7062,19.0294,19.2306,8592000
2021-03-30,18.6787,19.0594,18.6094,18.6787,11840000
2021-03-31,18.8681,19.0725,18.575,18.8681,7931200
2021-04-01,19.2525,19.5,18.9638,19.2525,6313600
2021-04-05,19.4762,19.5875,19.2531,19.4762,6334400
2021-04-06,19.2419,19.4037,19.21,19.2419,6608000
2021-04-07,19.2388,19.3337,19.0756,19.2388,4363200
2021-04-08,19.4531,19.4731,19.1162,19.4531,4280000
2021-04-09,19.7219,19.7275,19.4259,19.7219,4892800
2021-04-12,19.6256,19.7787,19.4603,19.6256,5129600
2021-04-13,19.6456,20.0619,19.6056,19.6456,5782400
2021-04-14,19.5294,19.7588,19.4659,19.5294,3630400
2021-04-15,19.6775,19.685,19.405,19.6775,4560000
2021-04-16,19.7919,19.86,19.6394,19.7919,3380800
2021-04-19,19.6756,19.8781,19.6491,19.6756,4059200
2021-04-20,19.3456,19.595,19.2606,19.3456,5316800
2021-04-21,19.7763,19.7794,19.3506,19.7763,3283200
2021-04-22,19.5519,19.7706,19.45,19.5519,6931200
2021-04-23,19.915,19.9762,19.6522,19.915,4140800
2021-04-26,20.0669,20.1717,19.8881,20.0669,5400000
2021-04-27,19.9387,20.1419,19.8312,19.9387,4811200
2021-04-28,20.0475,20.0544,19.8312,20.0475,4212800
2021-04-29,20.1569,20.2119,19.7913,20.1569,6614400
2021-04-30,19.6981,20.07,19.6575,19.6981,8614400
2021-05-03,19.6694,19.905,19.4625,19.6694,5942400
2021-05-04,19.0963,19.4675,18.9125,19.0963,9344000
2021-05-05,19.7962,20.1537,19.325,19.7962,12262400
2021-05-06,20.4538,20.47,19.75,20.4538,11180800
2021-05-07,20.5325,20.6875,20.3469,20.5325,7524800
2021-05-10,20.3875,20.7406,20.2625,20.3875,7502400
2021-05-11,20.4212,20.5475,19.9519,20.4212,9836800
2021-05-12,19.7356,20.2291,19.665,19.7356,6017600
2021-05-13,19.8675,20.0656,19.5831,19.8675,6643200
2021-05-14,20.3988,20.5469,19.9837,20.3988,5990400
2021-05-17,20.3619,20.4513,20.2131,20.3619,3401600
2021-05-18,20.355,20.5825,20.3034,20.355,4273600
2021-05-19,20.2231,20.3494,19.9062,20.2231,4979200
2021-05-20,20.9956,21.1625,20.1075,20.9956,8560000
2021-05-21,20.7581,21.0681,20.4775,20.7581,7056000
2021-05-24,21.0287,21.2244,20.885,21.0287,4192000
2021-05-25,21.1437,21.275,21.0431,21.1437,4569600
2021-05-26,21.1537,21.2869,20.9906,21.1537,4206400
2021-05-27,21.07,21.2644,21.0544,21.07,6499200
2021-05-28,21.2113,21.3494,21.1606,21.2113,4526400
2021-06-01,20.9294,21.2203,20.9181,20.9294,4801600
2021-06-02,20.8856,21.0044,20.735,20.8856,7907200
2021-06-03,21.4919,21.5931,20.8538,21.4919,10200000
2021-06-04,21.895,22.0125,21.5625,21.895,7761600
2021-06-07,22.0319,22.035,21.7881,22.0319,5441600
2021-06-08,22.17,22.3325,21.955,22.17,6185600
2021-06-09,22.4831,22.5294,22.2103,22.4831,7697600
2021-06-10,23.0725,23.0881,22.3438,23.0725,10019200
2021-06-11,22.7494,23.1281,22.5837,22.7494,8355200
2021-06-14,22.8062,22.8181,22.5737,22.8062,5832000
2021-06-15,22.6087,22.8638,22.5356,22.6087,4707200
2021-06-16,22.9912,23.03,22.5263,22.9912,6705600
2021-06-17,23.1275,23.4056,22.9819,23.1275,11195200
2021-06-18,22.6819,23.1038,22.6038,22.6819,18536000
2021-06-21,23.0938,23.3438,22.6819,23.0938,6832000
2021-06-22,22.7719,23.0722,22.6575,22.7719,9112000
2021-06-23,22.7881,22.9137,22.5438,22.7881,8760000
2021-06-24,22.7188,23.0256,22.5744,22.7188,5134400
2021-06-25,22.6388,22.76,22.5869,22.6388,9678400
2021-06-28,22.6763,22.7488,22.5446,22.6763,7280000
2021-06-29,22.735,22.7641,22.5944,22.735,5649600
2021-06-30,22.6444,22.7125,22.3394,22.6444,6016000
2021-07-01,22.7119,22.9263,22.5694,22.7119,5232000
2021-07-02,22.8494,22.9606,22.5844,22.8494,4657600
2021-07-06,23.4331,23.4375,22.9888,23.4331,8904000
2021-07-07,23.4094,23.5141,22.7794,23.4094,9817600
2021-07-08,23.135,23.3162,22.8906,23.135,9208000
2021-07-09,23.6269,23.6688,23.1875,23.6269,8267200
2021-07-12,23.1812,23.6003,23.1059,23.1812,4006400
2021-07-13,23.1238,23.4272,23.0562,23.1238,5816000
2021-07-14,23.0781,23.2756,22.8441,23.0781,4460800
2021-07-15,23.0031,23.1556,22.8438,23.0031,3998400
2021-07-16,22.7156,23.1406,22.6906,22.7156,5048000
2021-07-19,22.6325,22.8281,22.3319,22.6325,7481600
2021-07-20,22.7306,22.8113,22.61,22.7306,10112000
2021-07-21,22.9481,22.9619,22.59,22.9481,6900800
2021-07-22,23.3356,23.425,23.1081,23.3356,9025600
2021-07-23,23.8113,23.8162,23.4266,23.8113,6358400
2021-07-26,23.5856,23.8162,23.3687,23.5856,3436800
2021-07-27,23.4144,23.5575,23.0819,23.4144,4588800
2021-07-28,23.5656,23.6006,23.3333,23.5656,3587200
2021-07-29,23.8131,23.9631,23.6344,23.8131,3766400
2021-07-30,23.7744,23.9716,23.6112,23.7744,5752000
2021-08-02,23.5737,23.8744,23.4762,23.5737,10294400
2021-08-03,23.6981,23.8619,22.375,23.6981,11856000
2021-08-04,23.8825,24,23.2725,23.8825,7564800
2021-08-05,23.7875,23.9369,23.6663,23.7875,5217600
2021-08-06,23.6,23.7756,23.5462,23.6,5038400
2021-08-09,23.4688,23.6369,23.3563,23.4688,5401600
2021-08-10,23.2313,23.4894,23.115,23.2313,3945600
2021-08-11,23.0688,23.2325,22.9375,23.0688,5603200
2021-08-12,22.9369,23.0319,22.7938,22.9369,5649600
2021-08-13,22.7544,22.9212,22.5993,22.7544,5323200
2021-08-16,22.8444,22.8962,22.555,22.8444,3368000
2021-08-17,22.7894,22.8325,22.5206,22.7894,3396800
2021-08-18,22.6294,22.8944,22.5981,22.6294,3241600
2021-08-19,22.9275,23.0384,22.375,22.9275,5374400
2021-08-20,23.1162,23.1594,22.91,23.1162,4643200
2021-08-23,23.1406,23.215,22.9731,23.1406,6612800
2021-08-24,23.5281,23.5406,23.1606,23.5281,6459200
2021-08-25,23.3825,23.6975,23.295,23.3825,5870400
2021-08-26,23.0769,23.4375,23.0219,23.0769,3862400
2021-08-27,23.3037,23.4312,22.8919,23.3037,5737600
2021-08-30,23.2563,23.3956,23.0906,23.2563,8788800
2021-08-31,23.0956,23.3363,22.9456,23.0956,6976000
2021-09-01,22.4737,23.0963,22.3931,22.4737,12425600
2021-09-02,22.7444,22.8681,22.4013,22.7444,8356800
2021-09-03,22.695,22.8088,22.545,22.695,7267200
2021-09-07,22.4662,22.6544,22.3094,22.4662,8563200
2021-09-08,22.4725,22.6313,22.3256,22.4725,5676800
2021-09-09,22.3831,22.6606,22.3725,22.3831,5283200
2021-09-10,21.9325,22.62,21.9188,21.9325,7113600
2021-09-13,22.3937,22.4,21.6481,22.3937,11259200
2021-09-14,22.36,22.55,22.1406,22.36,6470400
2021-09-15,22.43,22.5175,22.0681,22.43,6854400
2021-09-16,22.8081,22.9762,22.4719,22.8081,7473600
2021-09-17,22.4456,22.6953,22.2106,22.4456,21648000
2021-09-20,22.1231,22.3731,21.8,22.1231,6227200
2021-09-21,21.9713,22.2644,21.9088,21.9713,4835200
2021-09-22,21.885,22.165,21.8563,21.885,7126400
2021-09-23,22.3694,22.4487,22.0206,22.3694,5294400
2021-09-24,22.5094,22.58,22.2544,22.5094,3353600
2021-09-27,22.2994,22.4234,22.0941,22.2994,4388800
2021-09-28,21.6612,22.1275,21.6325,21.6612,5166400
2021-09-29,21.6238,21.8363,21.6063,21.6238,6190400
2021-09-30,21.4775,21.8069,21.4619,21.4775,6286400
2021-10-01,21.905,21.995,21.295,21.905,5484800
2021-10-04,21.4825,21.8231,21.3459,21.4825,7566400
