Date,Open,High,Low,Close,Volume
2025-08-06,108.92,108.92,106.97,108.92,6507700
2025-08-07,107.98,109.8,107.26,107.98,5794200
2025-08-08,109.4,110.02,107.93,109.4,5052400
2025-08-11,109.23,110.41,108.67,109.23,4859600
2025-08-12,111.26,111.28,109.21,111.26,7075400
2025-08-13,109.25,111.76,107.1,109.25,9871600
2025-08-14,110.16,110.25,108.2,110.16,6247100
2025-08-15,108.63,110.14,106.95,108.63,6535500
2025-08-18,110.47,110.79,109.14,110.47,6809200
2025-08-19,109.4,111.43,108.6,109.4,7000600
2025-08-20,108.08,108.88,104.16,108.08,9011700
2025-08-21,108.24,108.9,107.32,108.24,7320500
2025-08-22,108.78,110.58,107.86,108.78,7552500
2025-08-25,109.15,110.89,108.97,109.15,4086900
2025-08-26,109.32,110.2,109.15,109.32,10309400
2025-08-27,109.55,110.08,108.82,109.55,4433400
2025-08-28,111.35,111.47,108.98,111.35,5076800
2025-08-29,108.29,110.7,107.35,108.29,6200800
2025-09-02,108.67,108.74,104.89,108.67,6986600
2025-09-03,110.11,110.15,108.33,110.11,6826300
2025-09-04,112.16,112.19,109.68,112.16,8145700
2025-09-05,109.87,113.09,108.11,109.87,12409800
2025-09-08,109.96,111.38,109.81,109.96,9279700
2025-09-09,116.17,116.62,110.02,116.17,14095800
2025-09-10,118.46,120.16,116.04,118.46,18913200
2025-09-11,118.84,119.6,118.2,118.84,9832000
2025-09-12,118.05,118.96,117.2,118.05,6358900
2025-09-15,118.61,119.87,117.61,118.61,6063400
2025-09-16,118.58,119.35,117.75,118.58,7717500
2025-09-17,117.95,119.03,116.88,117.95,11958900
2025-09-18,121.59,122.31,118.42,121.59,12130400
2025-09-19,123.46,123.91,120.82,123.46,15836500
2025-09-22,123.21,123.46,120.72,123.21,12207200
2025-09-23,124.91,125.57,123.37,124.91,12013100
2025-09-24,122.65,125.51,121.06,122.65,8434100
2025-09-25,121.85,121.9,119.15,121.85,9004700
2025-09-26,122.12,122.6,120.85,122.12,6212500
2025-09-29,120.54,123.76,119.8,120.54,8113000
2025-09-30,123.27,123.39,120.84,123.27,7326200
2025-10-01,124.17,125.05,121.33,124.17,7350000
2025-10-02,123.1,125.32,121.43,123.1,6071500
2025-10-03,121.74,124.2,121.65,121.74,6315600
2025-10-06,122.92,124.54,122.03,122.92,6568600
2025-10-07,124.05,124.26,122.44,124.05,7395500
2025-10-08,125.3,125.62,123.35,125.3,6318300
2025-10-09,125.76,126,123.89,125.76,3322800
2025-10-10,121.23,127,120.92,121.23,5715100
2025-10-13,123.43,124.67,122.35,123.43,6140000
2025-10-14,122.16,123.96,119.57,122.16,5912200
2025-10-15,125.11,126.98,123.62,125.11,10113500
2025-10-16,126.86,127.62,125.97,126.86,6941900
2025-10-17,125.16,126.56,123.98,125.16,5884300
2025-10-20,127.17,127.44,125.21,127.17,5275300
2025-10-21,123.96,127.59,123.87,123.96,7927200
2025-10-22,128.43,135.41,124.51,128.43,22134700
2025-10-23,134.78,135.99,128.6,134.78,11987100
2025-10-24,133.3,137.11,132.78,133.3,9074000
2025-10-27,135.38,136.48,134.63,135.38,8472300
