Date,Open,High,Low,Close,Volume
2024-07-24,4.57,5.18,4.541,4.57,5869000
2024-07-25,4.445,4.635,4.26,4.445,4955400
2024-07-26,4.44,4.84,4.43,4.44,4664100
2024-07-29,4.26,4.67,4.23,4.26,3729200
2024-07-30,3.98,4.345,3.93,3.98,4895400
2024-07-31,4.86,4.95,4.13,4.86,7750200
2024-08-01,4.49,4.94,4.28,4.49,4492600
2024-08-02,4.24,4.36,4.07,4.24,3451700
2024-08-05,3.97,4.04,3.6,3.97,4716000
2024-08-06,4.21,4.28,3.9,4.21,3086800
2024-08-07,3.9,4.32,3.88,3.9,3044800
2024-08-08,4.14,4.165,3.9,4.14,3751800
2024-08-09,3.9,4.19,3.87,3.9,6672900
2024-08-12,3.98,4.11,3.83,3.98,3519600
2024-08-13,3.95,4.075,3.89,3.95,2255100
2024-08-14,3.84,4.05,3.735,3.84,2107900
2024-08-15,4,4.2,3.88,4,4357400
2024-08-16,4.01,4.09,3.84,4.01,4056500
2024-08-19,4.11,4.11,3.83,4.11,2675600
2024-08-20,4.03,4.25,3.985,4.03,1990500
2024-08-21,4.19,4.19,3.98,4.19,4415800
2024-08-22,4.09,4.25,4.04,4.09,2340400
2024-08-23,4.55,4.64,4.08,4.55,5238200
2024-08-26,4.92,4.929,4.56,4.92,3890500
2024-08-27,4.73,4.82,4.5,4.73,3801200
2024-08-28,4.41,4.78,4.25,4.41,6291600
2024-08-29,3.82,4.97,3.715,3.82,9606500
2024-08-30,3.65,3.88,3.34,3.65,12775300
2024-09-03,3.15,3.82,3.14,3.15,6437900
2024-09-04,3.24,3.33,3.01,3.24,5094900
2024-09-05,5.37,5.71,4.25,5.37,149889900
2024-09-06,4.55,5.57,4.33,4.55,27902200
2024-09-09,6.58,6.6,4.6,6.58,53031000
2024-09-10,6.44,6.45,5.8,6.44,20660300
2024-09-11,5.87,6.53,5.74,5.87,14139800
2024-09-12,6.02,6.065,5.65,6.02,9548400
2024-09-13,6.09,6.5,5.85,6.09,13880200
2024-09-16,5.89,6.067,5.73,5.89,5737900
2024-09-17,5.81,6.3,5.76,5.81,10462300
2024-09-18,6.07,6.7,5.745,6.07,16947900
2024-09-19,5.56,6.55,5.53,5.56,16552600
2024-09-20,6.02,6.09,5.51,6.02,17700800
2024-09-23,6.7,6.87,6.025,6.7,15381500
2024-09-24,7.08,7.2,6.47,7.08,15410200
2024-09-25,7.67,8.15,7.031,7.67,19647800
2024-09-26,8.25,8.52,7.75,8.25,15998300
2024-09-27,8.19,8.785,8.08,8.19,12869000
2024-09-30,8.25,8.59,7.3,8.25,13232400
2024-10-01,8.08,8.54,7.66,8.08,12116200
2024-10-02,8.19,8.49,7.68,8.19,8401600
2024-10-03,8.04,8.65,7.88,8.04,10249700
2024-10-04,7.45,8.26,7.35,7.45,13842000
2024-10-07,7.1,7.5,7.005,7.1,7893700
2024-10-08,7.85,7.99,6.9,7.85,10339500
2024-10-09,7.4,7.91,7.31,7.4,13323200
2024-10-10,6.89,8.09,6.66,6.89,24416400
2024-10-11,7.28,7.29,6.902,7.28,9087700
2024-10-14,7.55,7.76,7.15,7.55,11040100
2024-10-15,7.3,7.8,7.08,7.3,7918700
2024-10-16,8.05,8.28,7.43,8.05,15560900
2024-10-17,7.95,8.17,7.83,7.95,12985800
2024-10-18,8.18,8.55,7.55,8.18,15260700
2024-10-21,8.71,8.87,7.68,8.71,15502000
2024-10-22,9.13,9.48,8.65,9.13,15064700
2024-10-23,8.61,9.15,8.25,8.61,9918400
2024-10-24,8.23,8.97,8.04,8.23,9244700
2024-10-25,8.04,8.49,7.98,8.04,8779500
2024-10-28,8.27,8.64,8.13,8.27,8635200
2024-10-29,7.87,8.38,7.8,7.87,7363000
2024-10-30,7.36,7.91,7.35,7.36,7043200
2024-10-31,6.76,7.36,6.7,6.76,44462100
2024-11-01,6.46,7.245,6.24,6.46,21629300
2024-11-04,5.97,6.47,5.935,5.97,12795000
2024-11-05,6.37,6.46,5.96,6.37,9794400
2024-11-06,7.07,7.26,6.56,7.07,14752400
2024-11-07,7.79,7.88,7.06,7.79,13880900
2024-11-08,7.56,7.98,7.37,7.56,8627100
2024-11-11,7.58,8.22,7.44,7.58,12304100
2024-11-12,7.59,7.72,7.175,7.59,8415900
2024-11-13,7.17,7.85,6.965,7.17,10021100
2024-11-14,6.86,7.24,6.64,6.86,10971400
2024-11-15,7.23,7.57,6.9,7.23,22470900
2024-11-18,7.75,8.445,7.385,7.75,25218600
2024-11-19,9.16,9.255,7.77,9.16,30503500
2024-11-20,8.76,9.68,8.7,8.76,21967400
2024-11-21,9.15,9.615,8.51,9.15,21171800
2024-11-22,9.85,9.95,9.03,9.85,22342000
2024-11-25,10.68,10.94,9.81,10.68,29760700
2024-11-26,9.74,10.68,9.555,9.74,16050900
2024-11-27,9.66,10.185,9.37,9.66,10301000
2024-11-29,10.1,10.585,9.779,10.1,11660400
2024-12-02,9.62,10.54,9.61,9.62,15415900
2024-12-03,9.57,9.81,9.365,9.57,9368000
2024-12-04,9.62,10.44,9.18,9.62,23154100
2024-12-05,10.04,10.68,9.73,10.04,23743400
2024-12-06,10.67,11.25,10.18,10.67,25833200
2024-12-09,9.52,11.15,9.3,9.52,22732400
2024-12-10,8.94,9.77,8.86,8.94,15707100
2024-12-11,8.76,9.16,8.57,8.76,12809700
2024-12-12,9.035,9.555,8.86,9.035,17287700
2024-12-13,8.9,9.41,8.82,8.9,10821400
2024-12-16,10.01,10.27,8.96,10.01,24302800
2024-12-17,9.69,10.16,9.55,9.69,11781800
2024-12-18,8.755,10.18,8.53,8.755,18259600
2024-12-19,8.045,9.12,7.84,8.045,19621200
2024-12-20,8.01,8.35,7.81,8.01,33324900
2024-12-23,7.92,8.38,7.74,7.92,12811300
2024-12-24,8.77,8.78,7.96,8.77,10155600
2024-12-26,9.2,9.35,8.58,9.2,12570900
2024-12-27,8.39,9.1,8.23,8.39,12945300
2024-12-30,7.97,8.28,7.41,7.97,16376100
2024-12-31,7.64,8.23,7.5,7.64,10666100
2025-01-02,7.8,8.1,7.57,7.8,11162200
2025-01-03,9.11,9.13,7.8,9.11,18665400
2025-01-06,9.79,10.2,9.33,9.79,20750700
2025-01-07,9.42,10.16,9.213,9.42,14618900
2025-01-08,8.705,9.27,8.32,8.705,14192800
2025-01-10,8.29,8.58,8.01,8.29,14213000
2025-01-13,7.765,7.985,7.46,7.765,14744000
2025-01-14,8.54,9.715,8.25,8.54,69563300
2025-01-15,8.37,8.69,8.11,8.37,35324800
2025-01-16,8.98,9.73,8.26,8.98,32713900
2025-01-17,8.9,9.27,8.58,8.9,23151500
2025-01-21,9.41,9.53,8.45,9.41,22521000
2025-01-22,9.64,9.87,9.15,9.64,22555700
2025-01-23,9.27,9.9,9.24,9.27,15534100
2025-01-24,8.96,9.5,8.88,8.96,15065800
2025-01-27,6.475,8.28,6.12,6.475,58316300
2025-01-28,6.52,7.02,6.25,6.52,32116300
2025-01-29,6.69,7.06,6.38,6.69,21104600
2025-01-30,7.38,7.425,6.83,7.38,23972800
2025-01-31,7.12,7.88,7.08,7.12,23523700
2025-02-03,7.35,7.47,6.51,7.35,22691000
2025-02-04,7.69,7.76,7.32,7.69,25232000
2025-02-05,8.1,8.185,7.695,8.1,21081200
2025-02-06,7.88,8.24,7.73,7.88,14191500
2025-02-07,7.79,8.085,7.6,7.79,18269600
2025-02-10,8.11,8.45,7.77,8.11,19061900
2025-02-11,7.59,8.209,7.57,7.59,20637500
2025-02-12,7.56,7.76,7.22,7.56,17503200
2025-02-13,7.91,7.98,7.4,7.91,17935000
2025-02-14,9.11,9.28,8.3,9.11,43196700
2025-02-18,9.63,9.92,9.32,9.63,29356600
2025-02-19,9.95,10.43,9.55,9.95,27705500
