Date,Open,High,Low,Close,Volume
2024-07-24,78.68,82.855,78.55,78.68,2194700
2024-07-25,76.17,78.205,73.085,76.17,4132000
2024-07-26,77.53,78.82,76.565,77.53,1790400
2024-07-29,76.85,79.1,76.3,76.85,2339500
2024-07-30,74.83,78.39,74.12,74.83,3080500
2024-07-31,77.1,78.05,76.41,77.1,2799900
2024-08-01,75.09,81.63,74.61,75.09,3166100
2024-08-02,68.72,71.55,68.08,68.72,4368000
2024-08-05,67.14,68.72,60.67,67.14,3561700
2024-08-06,69,70.5,67.32,69,4259000
2024-08-07,67.19,73,66.97,67.19,7312900
2024-08-08,76.73,76.86,66.16,76.73,9465900
2024-08-09,77.38,78.15,72.81,77.38,4907300
2024-08-12,74.76,78.19,74.12,74.76,4957300
2024-08-13,79.79,80.17,75.89,79.79,3919500
2024-08-14,84.64,85.6,80.14,84.64,6277900
2024-08-15,85.58,86.94,84.19,85.58,3521100
2024-08-16,86.35,87.02,83.61,86.35,2782200
2024-08-19,85.815,86.305,84.17,85.815,1873300
2024-08-20,86.58,88.704,85,86.58,2363900
2024-08-21,90.89,91.1,86.29,90.89,3545900
2024-08-22,89,92.5,88.7,89,3145700
2024-08-23,90.2,91.3,88.32,90.2,1910200
2024-08-26,89.89,92.33,89.57,89.89,2055200
2024-08-27,90.3,90.89,87.63,90.3,1876100
2024-08-28,88,89.8,87.11,88,3219400
2024-08-29,91.61,93.69,88.29,91.61,4595100
2024-08-30,92.87,93.7,90.695,92.87,4581600
2024-09-03,88.13,92.81,87.78,88.13,3302500
2024-09-04,87.88,89.855,85.413,87.88,2575400
2024-09-05,88.19,89.42,86.56,88.19,2019200
2024-09-06,84.57,88.565,82.51,84.57,4251000
2024-09-09,86.31,88.2,84.73,86.31,3564600
2024-09-10,86.23,88.28,85.23,86.23,2828300
2024-09-11,97.57,98.1,87.12,97.57,7894700
2024-09-12,105.61,106.45,97.35,105.61,9795800
2024-09-13,112.58,112.88,105.94,112.58,8598400
2024-09-16,116.25,116.97,110.9,116.25,6967200
2024-09-17,123.64,124.765,117.26,123.64,9429300
2024-09-18,123.16,125.75,120.64,123.16,7244700
2024-09-19,124,128.19,122.413,124,6986000
2024-09-20,126.09,126.68,123.51,126.09,9910700
2024-09-23,126.12,127.417,124.59,126.12,3910300
2024-09-24,129.08,130.39,125.89,129.08,4925200
2024-09-25,130.71,131.414,128.13,130.71,4530400
2024-09-26,128.13,133.05,125.62,128.13,4494900
2024-09-27,127.75,128.95,126.66,127.75,2327100
2024-09-30,130.55,131.147,126.53,130.55,3814900
2024-10-01,130.65,131.668,128.01,130.65,2555900
2024-10-02,131.36,132.03,128.5,131.36,2637200
2024-10-03,135.25,135.252,130.54,135.25,3160900
2024-10-04,139.66,140.02,135.5,139.66,3961200
2024-10-07,139.95,142.27,137.2,139.95,3848900
2024-10-08,143.51,143.95,139.9,143.51,2616000
2024-10-09,143.4,144.49,140.15,143.4,4041800
2024-10-10,144.84,145.68,141.104,144.84,3846400
2024-10-11,147,147.6,144.656,147,4037700
2024-10-14,145.3,148.48,140.92,145.3,5361000
2024-10-15,143.81,146.77,143.31,143.81,4586200
2024-10-16,144.85,145.1,139.4,144.85,4297500
2024-10-17,143,146.74,142.72,143,2598900
2024-10-18,145.22,146.02,141.35,145.22,2782700
2024-10-21,158.85,159.81,148.01,158.85,5796500
2024-10-22,158.95,163.079,157.92,158.95,3411500
2024-10-23,159.4,165.38,157.88,159.4,4049400
2024-10-24,159,162.72,158.08,159,2489100
2024-10-25,161.63,164.15,159.91,161.63,2193300
2024-10-28,166.185,166.74,162.17,166.185,2584900
2024-10-29,172.24,172.55,166.57,172.24,2874200
2024-10-30,171.65,174.46,170.83,171.65,2995100
2024-10-31,169.39,171.31,164.76,169.39,2772800
2024-11-01,163.53,171.18,163.02,163.53,3567900
2024-11-04,159.11,162.45,158.33,159.11,4037600
2024-11-05,165.18,167.43,160.52,165.18,4003600
