Date,Open,High,Low,Close,Volume
2025-08-06,136.12,137.8,135.01,136.12,3241000
2025-08-07,135.57,139.68,134.61,135.57,4269200
2025-08-08,138.5,139.45,135.36,138.5,3483700
2025-08-11,141.05,146.43,139.25,141.05,5673400
2025-08-12,142.39,143,140.42,142.39,3996500
2025-08-13,141.6,145.2,141.39,141.6,3335800
2025-08-14,140.55,140.68,138.27,140.55,4927800
2025-08-15,138.91,141.78,137.77,138.91,3434500
2025-08-18,141.06,141.51,137.53,141.06,2892900
2025-08-19,134.01,142.8,133.7,134.01,4751600
2025-08-20,131.16,133.13,127.03,131.16,5838700
2025-08-21,133.28,133.63,130.21,133.28,4107200
2025-08-22,137.92,140.35,132.68,137.92,4041500
2025-08-25,137.78,139,136,137.78,1870900
2025-08-26,140.26,141.41,137.85,140.26,2515400
2025-08-27,140.66,141.96,138.83,140.66,2499500
2025-08-28,142.55,143.8,139.76,142.55,2882900
2025-08-29,138.31,140.78,137.31,138.31,3616000
2025-09-02,132.34,134.89,130.41,132.34,5833700
2025-09-03,131.42,134.1,130.71,131.42,3202100
2025-09-04,135.48,136.12,130.26,135.48,3274900
2025-09-05,138.17,138.82,135.35,138.17,2822400
2025-09-08,139.14,141.15,138.14,139.14,2573100
2025-09-09,140.8,141.74,139.1,140.8,2083400
2025-09-10,154.14,154.5,142.8,154.14,11219700
2025-09-11,154.7,158.89,152.85,154.7,6342200
2025-09-12,150.64,155.55,149.02,150.64,3605200
2025-09-15,153.86,154.98,151.02,153.86,2570400
2025-09-16,153.85,155.8,152.35,153.85,2385300
2025-09-17,153.37,154.66,150.1,153.37,2500000
2025-09-18,146.54,149.24,142,146.54,12215000
2025-09-19,142.91,145.8,142.38,142.91,8770200
2025-09-22,144.48,145.55,141.35,144.48,4705800
2025-09-23,140.99,146.16,140.28,140.99,4823900
2025-09-24,144.3,146,141.31,144.3,4545700
2025-09-25,140.65,142.8,138,140.65,4312200
2025-09-26,139.62,141.08,137.62,139.62,3757100
2025-09-29,139.8,142.3,139.34,139.8,2988900
2025-09-30,141.49,141.68,138.49,141.49,2550700
2025-10-01,150.38,151.25,142.36,150.38,7886800
2025-10-02,152.15,152.5,149.41,152.15,3573100
2025-10-03,152.64,154.55,150.66,152.64,2533600
2025-10-06,156.22,160.54,154.65,156.22,5095900
2025-10-07,159.35,161,154.35,159.35,5179100
2025-10-08,166.77,168.51,156.5,166.77,9048800
2025-10-09,170.66,171.86,161.21,170.66,8685600
2025-10-10,154.81,171.59,153.22,154.81,8384000
2025-10-13,171.94,175,157,171.94,11188200
2025-10-14,168.16,180.34,167.54,168.16,12821200
2025-10-15,170.67,174,167.1,170.67,7692800
2025-10-16,171.19,175.97,168.63,171.19,4581200
2025-10-17,165.61,169.73,163.61,165.61,4645300
2025-10-20,171.5,173.04,167.41,171.5,3654100
2025-10-21,169.38,173.85,167.06,169.38,4776100
2025-10-22,165.71,170.84,160.85,165.71,4302300
2025-10-23,166.6,169.29,164.07,166.6,2775700
2025-10-24,170.68,174.45,169.66,170.68,3665200
2025-10-27,178.62,183.16,174.27,178.62,6552400
2025-10-28,173.09,179.12,172.93,173.09,3335500
2025-10-29,170.39,177.25,169.37,170.39,3098300
2025-10-30,165.45,169,165.3,165.45,2856000
2025-10-31,169.82,171.88,166.93,169.82,3704400
2025-11-03,168.68,173.54,168.36,168.68,2230100
2025-11-04,160.73,166.14,160.4,160.73,3936600
2025-11-05,160.19,164.33,156.33,160.19,6941800
2025-11-06,158.25,167.48,155.18,158.25,7123700
2025-11-07,152.38,155.23,146.29,152.38,5794600
2025-11-10,154.84,159.32,154.55,154.84,3274200
2025-11-11,149.74,153,146.7,149.74,4075300
2025-11-12,148.75,152.48,146.85,148.75,2602100
2025-11-13,140.31,147.63,138.38,140.31,6496000
2025-11-14,139.77,143.74,135.1,139.77,3717900
2025-11-17,140.26,143.8,138.19,140.26,2977500
2025-11-18,136.04,139.54,133.24,136.04,3993000
2025-11-19,136.99,138.56,134.92,136.99,3499400
2025-11-20,132.53,143.32,131.85,132.53,4609700
2025-11-21,131.57,133.27,125.17,131.57,6166800
2025-11-24,134.71,136.01,132.55,134.71,3417600
2025-11-25,131.44,132.5,126.92,131.44,4858100
2025-11-26,132.61,134.65,132.36,132.61,2806700
2025-11-28,135.56,135.66,132.7,135.56,1559100
2025-12-01,135.01,136.58,133,135.01,2365000
2025-12-02,136.48,139.35,135.74,136.48,2184900
2025-12-03,139.19,139.56,135.81,139.19,2152000
2025-12-04,140.49,141.4,138.22,140.49,2390200
2025-12-05,141.31,144.25,140.49,141.31,2445200
2025-12-08,139.78,143.41,138.31,139.78,2168100
2025-12-09,141.93,142.22,138.36,141.93,2303400
2025-12-10,141.52,142.8,140,141.52,1765800
2025-12-11,136.14,138.26,133.09,136.14,4227500
2025-12-12,130.89,137,130.41,130.89,3965900
2025-12-15,124.37,128.74,123.14,124.37,6924800
2025-12-16,121.1,124,117.83,121.1,6198800
2025-12-17,114.58,121.64,112.63,114.58,8686600
2025-12-18,113.51,118.07,113.43,113.51,5194900
2025-12-19,114.03,115.21,113.42,114.03,7854500
2025-12-22,113.29,117.21,112.67,113.29,7754300
2025-12-23,112.02,112.9,110.29,112.02,7045300
2025-12-24,111.55,112.32,110.58,111.55,2160500
2025-12-26,110.27,111.6,110.1,110.27,3054300
2025-12-29,110.51,111.29,108.38,110.51,3347700
2025-12-30,110.86,112,110.39,110.86,3616900
2025-12-31,109.31,111.6,109.29,109.31,3455600
2026-01-02,114.73,116.29,112.83,114.73,6711800
2026-01-05,116.11,122.5,116.03,116.11,6859500
2026-01-06,115.53,117.97,114.99,115.53,3290100
2026-01-07,115.68,117.2,113.97,115.68,5117600
2026-01-08,113.08,116.28,110.55,113.08,4701000
2026-01-09,111.79,113.98,109.52,111.79,5292900
2026-01-12,111.14,111.61,109.25,111.14,4443100
2026-01-13,107.84,111.75,105.9,107.84,7749400
2026-01-14,104.99,106.49,102.01,104.99,7570100
2026-01-15,105.11,108.89,104.95,105.11,5775800
2026-01-16,105.78,107.96,105.19,105.78,5291100
2026-01-20,107.17,110.74,104.41,107.17,7318200
2026-01-21,113.92,117.28,111.07,113.92,13666000
2026-01-22,119.2,123.5,118.65,119.2,14162100
2026-01-23,116.07,121.85,114.58,116.07,6814500
2026-01-26,114.73,116.44,114.06,114.73,3716600
2026-01-27,114.88,117.39,114.24,114.88,4500600
2026-01-28,109.96,115.78,109.06,109.96,7947400
2026-01-29,108.43,110.4,104.11,108.43,6154700
2026-01-30,105.36,108,105.03,105.36,4950700
2026-02-02,106.93,108.12,104.01,106.93,5001100
2026-02-03,104.55,109.36,101.57,104.55,7058000
2026-02-04,104.9,108.18,103,104.9,12213700
2026-02-05,110.88,115.1,100.02,110.88,24625000
2026-02-06,123.7,124.31,112.53,123.7,15789000
2026-02-09,124.61,125.25,118.25,124.61,6817400
2026-02-10,125.95,130.9,124.25,125.95,8913500
2026-02-11,125.28,129.54,125.16,125.28,4145200
2026-02-12,122.19,128.24,120.82,122.19,5982000
2026-02-13,125.28,127.42,119.7,125.28,4417600
2026-02-17,126.89,127,120.58,126.89,4268900
2026-02-18,127.24,130.4,126,127.24,4275600
2026-02-19,126.93,126.99,122.65,126.93,3108800
2026-02-20,125.58,130,124.96,125.58,4056000
2026-02-23,123.78,126.71,121.91,123.78,3393800
2026-02-24,128.14,131.39,124,128.14,4273000
2026-02-25,131.74,133.28,128.35,131.74,4322700
2026-02-26,129.26,134.25,126.66,129.26,4136000
2026-02-27,127.45,128.89,126.01,127.45,3112500
2026-03-02,124.37,125.84,121.64,124.37,3832000
2026-03-03,121.72,122.15,116.39,121.72,5303800
2026-03-04,124.11,127.4,121.74,124.11,2984500
2026-03-05,120.62,124.35,118.77,120.62,3437800
2026-03-06,114.38,119.27,113.51,114.38,4331100
2026-03-09,117.63,118.14,111.26,117.63,3990700
2026-03-10,120.55,123.61,116.99,120.55,3659800
2026-03-11,120.1,123.2,119.33,120.1,2447700
2026-03-12,115.12,119.25,114.46,115.12,3451000
2026-03-13,115.75,118.06,115.05,115.75,2462500
2026-03-16,121.7,123.44,118.38,121.7,4407300
2026-03-17,127.31,128.8,124.8,127.31,5890700
2026-03-18,128.36,130.88,127.21,128.36,4206900
2026-03-19,129.82,130.73,124.5,129.82,3497600
