Date,Open,High,Low,Close,Volume
2024-07-24,10.84,11.2,10.745,10.84,1164800
2024-07-25,10.86,11.07,10.47,10.86,1239400
2024-07-26,11.04,11.24,10.88,11.04,850500
2024-07-29,11.26,11.52,11.09,11.26,944500
2024-07-30,11.43,11.59,11.22,11.43,1004500
2024-07-31,11.61,11.78,11.46,11.61,557600
2024-08-01,10.78,11.63,10.65,10.78,992000
2024-08-02,10.75,10.765,10.32,10.75,1245800
2024-08-05,10.47,10.53,10.11,10.47,799000
2024-08-06,10.72,10.81,10.35,10.72,902100
2024-08-07,11.31,11.668,10.865,11.31,1514400
2024-08-08,11.66,11.779,11.42,11.66,859700
2024-08-09,11.47,11.855,11.41,11.47,710700
2024-08-12,11.42,11.7,11.27,11.42,933500
2024-08-13,11.14,11.45,11.1,11.14,987400
2024-08-14,11.27,11.28,11.03,11.27,1550600
2024-08-15,11.66,11.78,11.56,11.66,901800
2024-08-16,11.46,11.68,11.31,11.46,987800
2024-08-19,12.35,12.51,11.58,12.35,2241100
2024-08-20,13.63,14.25,13.37,13.63,6833700
2024-08-21,14.15,14.38,13.77,14.15,3152800
2024-08-22,13.83,14.36,13.74,13.83,1323000
2024-08-23,14.12,14.4,13.6,14.12,1829700
2024-08-26,14.17,14.275,13.88,14.17,939100
2024-08-27,14.18,14.64,14.1,14.18,1128600
2024-08-28,13.91,14.121,13.72,13.91,596300
2024-08-29,13.85,14.11,13.85,13.85,489800
2024-08-30,13.65,14.11,13.65,13.65,706200
2024-09-03,13.39,13.77,13.16,13.39,1158200
2024-09-04,13.81,13.92,13.34,13.81,753600
2024-09-05,14.13,14.35,13.785,14.13,1335800
2024-09-06,14.02,14.33,13.7,14.02,1317500
2024-09-09,14.4,14.6,14,14.4,1519100
2024-09-10,13.73,14.49,13.52,13.73,1875600
2024-09-11,13.9,13.91,13.43,13.9,1019500
2024-09-12,14.11,14.13,13.8,14.11,1074100
2024-09-13,14.51,14.53,14.16,14.51,656400
2024-09-16,14.39,14.59,14.36,14.39,575200
2024-09-17,14.89,14.985,14.51,14.89,925500
2024-09-18,14.85,15.17,14.73,14.85,1208200
2024-09-19,15.03,15.25,14.76,15.03,2492600
2024-09-20,15.14,15.15,14.68,15.14,4467000
2024-09-23,14.93,15.12,14.69,14.93,1120500
2024-09-24,15.21,15.665,15.09,15.21,1970500
2024-09-25,15.1,15.255,15,15.1,1414600
2024-09-26,15.88,16.2,15.58,15.88,3376400
2024-09-27,16.38,16.54,15.77,16.38,2364000
2024-09-30,15.95,16.74,15.9,15.95,2207000
2024-10-01,16.44,16.5,15.96,16.44,1502300
2024-10-02,16.57,16.72,16.2,16.57,1349300
2024-10-03,16.6,16.72,16.1,16.6,1488900
2024-10-04,17.21,17.25,16.791,17.21,1171800
2024-10-07,17.17,17.49,16.9,17.17,1239700
2024-10-08,18.35,18.59,16.72,18.35,3853200
2024-10-09,19.28,19.6,18.17,19.28,3978700
2024-10-10,19.49,19.73,18.99,19.49,6200900
2024-10-11,19.56,19.6,19.21,19.56,2440100
2024-10-14,19.33,19.43,18.41,19.33,4111400
2024-10-15,18.04,19.33,17.94,18.04,3868000
2024-10-16,18.62,18.75,18,18.62,2355400
2024-10-17,18.37,18.79,18.36,18.37,1013000
2024-10-18,18.9,19.01,18.6,18.9,1095400
2024-10-21,18.86,19.24,18.65,18.86,1355000
2024-10-22,18.45,19.17,18.44,18.45,1171200
2024-10-23,17.62,18.4,17.32,17.62,3908400
2024-10-24,17.89,18.21,17.57,17.89,1631200
2024-10-25,18.16,18.4,18.01,18.16,1061600
2024-10-28,17.98,18.58,17.9,17.98,1111600
2024-10-29,18.22,18.38,17.69,18.22,1116900
2024-10-30,17.62,18.22,17.47,17.62,3457200
2024-10-31,17.85,18.07,17.435,17.85,1841300
2024-11-01,17.82,18.19,17.752,17.82,1224700
2024-11-04,18.71,19.09,17.99,18.71,2220600
2024-11-05,18.71,19.07,18.5,18.71,1318400
2024-11-06,18.05,18.61,17.84,18.05,2110700
2024-11-07,19.4,19.51,18.31,19.4,3183600
2024-11-08,19.37,19.569,18.75,19.37,1619500
2024-11-11,20.58,20.65,19.422,20.58,2270800
2024-11-12,19.97,20.68,19.55,19.97,1797700
2024-11-13,19.7,20.4,19.68,19.7,1644500
2024-11-14,19.92,20.28,19.77,19.92,1188900
2024-11-15,19.33,20.02,19.2,19.33,1677100
2024-11-18,19.54,20.18,19.44,19.54,3414500
2024-11-19,20.67,20.9,18.56,20.67,7635100
2024-11-20,20.96,21.69,20.42,20.96,4436600
2024-11-21,23.69,23.99,21.14,23.69,5151900
2024-11-22,24.3,24.6,23.52,24.3,4157700
2024-11-25,25.51,25.94,24.66,25.51,3157800
2024-11-26,25.6,25.669,25,25.6,1452800
2024-11-27,25.87,26,25.4,25.87,1839200
2024-11-29,26.33,26.85,25.55,26.33,1542200
2024-12-02,26.13,26.515,25.817,26.13,1476000
2024-12-03,25.73,25.88,24.28,25.73,4237600
2024-12-04,25.59,26.48,25.18,25.59,4495200
2024-12-05,24.9,25.18,24,24.9,17232000
2024-12-06,25.01,25.41,24.74,25.01,4857700
2024-12-09,25.79,26.43,25.22,25.79,5302300
2024-12-10,25.64,26.5,25.42,25.64,3164200
2024-12-11,25.76,26.05,25.35,25.76,2061600
2024-12-12,26.88,27.65,26.11,26.88,5053300
2024-12-13,27.65,27.79,26.88,27.65,2827400
2024-12-16,27.65,28,27.03,27.65,2632000
2024-12-17,28.74,29.43,27.39,28.74,3336700
