Date,Open,High,Low,Close,Volume
2021-01-04,476.2793,504.75,490.71,476.2793,1527600
2021-01-05,481.385,505.36,493.89,481.385,1029900
2021-01-06,466.9633,499.84,489.74,466.9633,977900
2021-01-07,477.6415,503.22,495.52,477.6415,936200
2021-01-08,484.6046,514.28,501.71,484.6046,734500
2021-01-11,483.8522,508.91,499.43,483.8522,703000
2021-01-12,489.5484,514.79,503.5,489.5484,651700
2021-01-13,489.6723,515.61,509.38,489.6723,513700
2021-01-14,518.8112,546.4,529.89,518.8112,1450300
2021-01-15,502.4746,536.85,525.36,502.4746,869200
2021-01-19,523.431,550.48,530.61,523.431,1504000
2021-01-20,523.3168,558.16,543.16,523.3168,1121900
2021-01-21,543.6632,573.8,565.61,543.6632,1272100
2021-01-22,542.4346,570.71,562.79,542.4346,901600
2021-01-25,540.6819,568.22,554.12,540.6819,966500
2021-01-26,522.9547,563.65,548.44,522.9547,887700
2021-01-27,499.7409,539.52,522.5,499.7409,1506800
2021-01-28,521.259,553.84,537.38,521.259,968600
2021-01-29,508.8187,543.5,528.3,508.8187,867300
2021-02-01,528.089,555.47,544.53,528.089,849600
2021-02-02,527.2412,556.79,549.45,527.2412,721600
2021-02-03,517.1536,551.72,541.95,517.1536,635400
2021-02-04,529.0892,555.98,544.28,529.0892,554500
2021-02-05,526.584,556.14,551.02,526.584,461700
2021-02-08,537.243,566.93,557.97,537.243,716900
2021-02-09,538.6718,571.93,565.5,538.6718,483300
2021-02-10,539.9961,573.06,559.7,539.9961,458600
2021-02-11,563.4479,591.79,573.83,563.4479,975400
2021-02-12,569.6205,601.46,589.15,569.6205,732400
2021-02-16,574.5261,608.71,599.17,574.5261,621600
2021-02-17,559.7043,598.48,581.46,559.7043,825100
2021-02-18,554.8464,589.46,576.05,554.8464,716800
2021-02-19,566.2008,600.75,589.39,566.2008,821500
2021-02-22,551.0552,590.12,576.5,551.0552,753400
2021-02-23,548.7404,579.18,560.13,548.7404,1004800
2021-02-24,566.7819,595.96,565.55,566.7819,1023000
2021-02-25,533.2139,586.4,559.66,533.2139,1288900
2021-02-26,540.1865,573.49,560.7,540.1865,946500
2021-03-01,555.8656,584.36,568.86,555.8656,679500
2021-03-02,536.4239,579.87,563,536.4239,696100
2021-03-03,517.8108,565.95,541.2,517.8108,1006900
2021-03-04,486.2812,541.33,502.09,486.2812,1702500
2021-03-05,502.0365,530.85,508.33,502.0365,1370100
2021-03-08,478.3654,529.17,501.11,478.3654,1180700
2021-03-09,513.9246,543.21,524.95,513.9246,1240500
2021-03-10,498.5024,541.82,521.11,498.5024,876500
2021-03-11,518.5729,548.49,540.01,518.5729,1009700
2021-03-12,512.1241,539.08,528.6,512.1241,714900
2021-03-15,521.2306,547.8,536.01,521.2306,582400
2021-03-16,523.3168,555.73,545.96,523.3168,651600
2021-03-17,533.0231,566.05,542.86,533.0231,841400
2021-03-18,513.6102,552.48,539.02,513.6102,790000
2021-03-19,521.4496,557.09,541.31,521.4496,1404600
2021-03-22,548.6643,577.99,563.83,548.6643,1216800
2021-03-23,532.3564,571.28,555.5,532.3564,866300
2021-03-24,551.1313,594.47,578,551.1313,2121400
2021-03-25,556.2942,585.84,569.09,556.2942,1088900
2021-03-26,595.9875,627.3,588.69,595.9875,1933600
2021-03-29,579.1557,616.86,601.44,579.1557,1214900
2021-03-30,572.7639,606.26,595.52,572.7639,1071600
2021-03-31,588.0717,620.94,605.2,588.0717,1579600
2021-04-01,606.8751,639.49,619.75,606.8751,1908300
2021-04-05,610.1042,653,638.03,610.1042,1529800
2021-04-06,598.2068,635.75,618.38,598.2068,1281900
2021-04-07,596.8351,631.4,622.19,596.8351,820600
2021-04-08,609.5233,641.59,632.75,609.5233,865900
2021-04-09,604.2271,638.71,628.55,604.2271,631100
2021-04-12,600.5214,631.58,620.62,600.5214,739500
2021-04-13,599.2737,636.74,623.72,599.2737,710500
2021-04-14,601.055,641.09,627.04,601.055,718000
2021-04-15,611.6284,642.9,627.52,611.6284,980400
2021-04-16,615.0576,647.94,638.48,615.0576,605200
2021-04-19,600.2167,639.26,622.45,600.2167,1138900
2021-04-20,587.6716,627.79,612.78,587.6716,988000
2021-04-21,624.3928,655.84,635.93,624.3928,2160900
