Date,Open,High,Low,Close,Volume
2021-01-01,3.6497,3.86,3.0178,3.6497,3817118.74
2021-01-02,3.4956,3.939,3.2851,3.4956,1768205.15
2021-01-03,3.4691,3.83,3.3916,3.4691,989465.26
2021-01-04,3.5999,3.83,3.2283,3.5999,1242545.27
2021-01-05,4.2501,4.3556,3.4703,4.2501,2403396.82
2021-01-06,4.5788,4.9773,4.1361,4.5788,2925158.25
2021-01-07,4.4707,4.8205,4.1827,4.4707,1471492.75
2021-01-08,5.7,5.9,4,5.7,3037659.66
2021-01-09,7.1877,7.487,5.5761,7.1877,4060100.24
2021-01-10,6.5416,7.4969,6.15,6.5416,1865913.15
2021-01-11,6.4713,7,5.72,6.4713,2065598.3
2021-01-12,7.72,8.2356,6.4198,7.72,3138438.02
2021-01-13,8.4695,8.5,7.1356,8.4695,1712008.71
2021-01-14,9.3177,9.6004,8.21,9.3177,2550051.08
2021-01-15,9.3794,9.89,8.57,9.3794,1991192.96
2021-01-16,12.8421,13.4991,9.1629,12.8421,3898717.61
2021-01-17,13.1746,14.69,12.3231,13.1746,3568856.68
2021-01-18,12.7035,13.858,12.5737,12.7035,1317372.42
2021-01-19,11.7367,14,11.3433,11.7367,1846921.9
2021-01-20,12.3768,13.0765,11.03,12.3768,1515429.53
2021-01-21,11.3225,13.0147,11.0659,11.3225,1717139.33
2021-01-22,12.7097,13.3899,10.673,12.7097,2250602.42
2021-01-23,12.8669,13.48,12.5059,12.8669,1224349.08
2021-01-24,12.4801,13.1725,12.2,12.4801,907179.12
2021-01-25,12.1816,12.95,12.0598,12.1816,613873.67
2021-01-26,12.2088,12.7333,11.3804,12.2088,873414.18
2021-01-27,11.158,12.215,10.77,11.158,740335.46
2021-01-28,11.9615,12.7524,10.8,11.9615,1091962.84
2021-01-29,11.6158,12.6757,11.3145,11.6158,1470197.45
2021-01-30,12.0433,12.65,11.293,12.0433,1122825.05
2021-01-31,13.4704,15.3728,11.83,13.4704,5017946.71
2021-02-01,13.2153,13.6408,12.5741,13.2153,1820891.9
2021-02-02,13.4703,13.725,12.765,13.4703,748745.41
2021-02-03,14.84,14.9409,13.1814,14.84,1267446.12
2021-02-04,15.2697,15.8795,13.7978,15.2697,1649348.48
2021-02-05,17.8973,18.0321,15.1206,17.8973,1654441.43
2021-02-06,18.1216,18.6228,15.8,18.1216,1547693.33
2021-02-07,23.705,24.4268,17.8802,23.705,4884650.65
2021-02-08,30.056,33.8167,23.55,30.056,5774862.08
2021-02-09,31.9194,33,27.4769,31.9194,2664482.65
2021-02-10,54.6861,60.3035,31.3408,54.6861,9715755.01
2021-02-11,46.9673,56.4998,41.6728,46.9673,4310924.37
2021-02-12,48.2978,54.4775,43.5,48.2978,3209807.22
2021-02-13,44.0832,51.9,43.4014,44.0832,1890974.72
2021-02-14,39.1711,45.75,38.3724,39.1711,2829524.14
2021-02-15,38.309,44.98,33.5,38.309,3933303.2
2021-02-16,36.5402,40,35.1417,36.5402,2556745.82
2021-02-17,37.3003,42.1299,34.1386,37.3003,3076680.22
2021-02-18,40.9656,44.4907,36.19,40.9656,3097214.68
