Date,Open,High,Low,Close,Volume
2021-01-04,43.933,44.224,42.1235,42.522,24172250
2021-01-05,42.505,42.939,42.24,42.81,15069120
2021-01-06,42.33,43.458,42.054,42.546,17226180
2021-01-07,43.2062,44.459,43.06,44.339,21269600
2021-01-08,44.7,44.999,43.8646,44.564,15273470
2021-01-11,44.061,44.878,44.042,44.576,11661680
2021-01-12,44.777,45.4758,44.56,44.939,13849010
2021-01-13,45.03,45.3493,44.8107,45.121,13118090
2021-01-14,45.351,45.85,45.133,45.207,19692430
2021-01-15,44.818,45,44.066,44.585,18167380
2021-01-19,44.828,45.949,44.828,45.927,18819350
2021-01-20,45.952,46.5789,45.5,46.188,14711160
2021-01-21,46.211,46.947,46.04,46.682,15754200
2021-01-22,46.3724,46.755,46.238,46.502,16247580
2021-01-25,46.956,47,45.608,46.479,14693910
2021-01-26,46.265,46.7034,46.188,46.387,10741740
2021-01-27,45.554,45.696,44.151,44.47,21857270
2021-01-28,45.553,45.848,44.703,45.174,16946120
2021-01-29,44.99,45.81,44.763,45.05,22071080
2021-02-01,45.585,46.9315,45.359,46.674,17028130
2021-02-02,46.976,47.697,46.8,47.688,16140830
2021-02-03,47.693,47.852,46.4585,46.519,17856990
2021-02-04,46,47.116,45.7481,47.063,15242650
2021-02-05,47.433,47.692,46.536,46.601,12489350
2021-02-08,46.875,47.342,46.558,47.27,17611310
2021-02-09,47.2,47.519,46.862,47.463,12759220
2021-02-10,47.721,47.7485,46.549,47.005,14590420
2021-02-11,47.369,47.935,46.919,47.839,17123540
2021-02-12,47.838,48.702,47.4885,48.632,13551910
2021-02-16,49.0875,49.478,48.702,48.913,15163380
2021-02-17,48.423,48.612,47.506,48.248,14085890
2021-02-18,48.023,48.541,47.5127,48.326,16714530
2021-02-19,48.725,49.514,48.6765,48.996,17994490
2021-02-22,48.4,48.661,47.5315,47.636,16967050
2021-02-23,47.114,47.462,45.606,47.19,21306080
2021-02-24,46.768,48.141,46.266,48.088,15125300
2021-02-25,47.475,47.9375,45.521,45.716,23147970
2021-02-26,46.753,47.576,46.074,46.987,22643470
2021-03-01,47.97,49,47.386,48.958,24682390
2021-03-02,49.037,49.086,47.96,48.051,18545740
2021-03-03,47.8,48.139,46.197,46.306,23991340
2021-03-04,46.167,46.7,44.143,44.359,34574690
2021-03-05,45.425,45.6,43.3,45.014,42414000
2021-03-08,44.683,44.796,41.926,42.125,45243280
2021-03-09,43.569,44.69,43.06,44.36,37884490
2021-03-10,44.735,45.403,43.51,43.759,19914280
2021-03-11,44.902,45.745,44.2092,45.369,26169550
