Date,Open,High,Low,Close,Volume
2021-01-01,341.83,355.4,331.16,341.83,195655.5926
2021-01-02,354.55,368,333.05,354.55,342010.7259
2021-01-03,423.61,433.83,354.22,423.61,739824.8515
2021-01-04,405.49,464.33,380.42,405.49,711761.9146
2021-01-05,418.09,425.44,389.46,418.09,351147.8164
2021-01-06,453.44,458,410.63,453.44,368396.777
2021-01-07,448,484,426.82,448,471462.8675
2021-01-08,436.98,454.41,401.95,436.98,449738.2462
2021-01-09,574.88,588.67,417.52,574.88,825506.0286
2021-01-10,599.98,629.79,548.4,599.98,1365089.9024
2021-01-11,476.78,602.92,400,476.78,1337570.2858
2021-01-12,451.88,510,443.01,451.88,628843.8071
2021-01-13,496.06,500.88,435.1,496.06,469471.022
2021-01-14,527,538.88,483.5,527,476933.7092
2021-01-15,490.7,536.39,452.61,490.7,488575.1431
2021-01-16,489.74,515.55,473.41,489.74,405440.8685
2021-01-17,479.37,495.84,461.45,479.37,256429.1529
2021-01-18,508.95,514.54,469.28,508.95,310010.5671
2021-01-19,507.04,553.73,502.76,507.04,484274.0851
2021-01-20,496.95,518.62,470.01,496.95,372676.3606
2021-01-21,418.68,499.4,405.48,418.68,396640.7398
2021-01-22,439.79,450.46,391.77,439.79,358565.4193
2021-01-23,431.36,444,416.05,431.36,167946.0876
2021-01-24,439.52,448.84,421.4,439.52,142813.3179
2021-01-25,432.28,465.2,430.43,432.28,215535.2416
2021-01-26,427.46,438.69,413.02,427.46,178944.061
2021-01-27,377.17,428.08,369.79,377.17,277907.151
2021-01-28,404.75,414.66,370.14,404.75,199449.3445
2021-01-29,407.03,435.08,391.12,407.03,413125.5386
2021-01-30,417.02,419.91,392.13,417.02,212546.2787
2021-01-31,399.3,417.05,390.51,399.3,150953.5772
2021-02-01,414.48,445.72,389.51,414.48,319432.9976
2021-02-02,430.31,434.94,410.97,430.31,208441.0914
2021-02-03,446.1,449.8,428.09,446.1,213884.2272
2021-02-04,420.91,454.94,412.74,420.91,237044.7332
2021-02-05,447.72,449,417.54,447.72,196582.9991
2021-02-06,457.78,490.25,445.79,457.78,466508.6643
2021-02-07,444.8,464.06,429.37,444.8,263930.5692
2021-02-08,483.99,488.86,436.54,483.99,287368.3658
2021-02-09,514.42,519.5,472.7,514.42,430012.3195
2021-02-10,494.85,538.96,467.51,494.85,478451.2213
2021-02-11,530.4,542.47,490.51,530.4,309368.4576
2021-02-12,576.43,580,509.84,576.43,385756.2749
2021-02-13,668.3,668.6,540,668.3,577319.1425
2021-02-14,720.44,749,652,720.44,781088.0223
2021-02-15,715.52,773.84,601,715.52,895763.4429
2021-02-16,705.39,745,668.8,705.39,491219.6416
2021-02-17,716.45,726.9,675.26,716.45,353699.3646
2021-02-18,703.7,730,688.75,703.7,266720.7695
2021-02-19,718.98,744.12,681.26,718.98,358793.8387
2021-02-20,678.29,748.88,626.65,678.29,463755.2178
2021-02-21,706.28,736.61,665.51,706.28,360628.167
2021-02-22,628.98,710.42,535.17,628.98,597641.0301
2021-02-23,515.84,632.53,407.8,515.84,907191.4964
2021-02-24,526.99,556.13,495.53,526.99,404924.0895
2021-02-25,499.67,558,493.62,499.67,317396.6914
2021-02-26,484.46,508.6,457.22,484.46,371279.7972
2021-02-27,483.35,510,473.09,483.35,190832.4591
2021-02-28,460.12,485.25,431.4,460.12,283779.0355
2021-03-01,501.61,506.35,457.28,501.61,197158.9882
2021-03-02,517.62,549.87,494.06,517.62,351409.6226
2021-03-03,520.82,555.71,510.79,520.82,253513.1959
2021-03-04,505.31,538.73,492.43,505.31,192087.4619
2021-03-05,497.22,505.83,472.7,497.22,147000.3845
2021-03-06,500.38,505.87,482.28,500.38,82735.5578
2021-03-07,516.56,519.11,500.31,516.56,104970.7107
2021-03-08,529.15,529.84,500.33,529.15,151597.326
2021-03-09,545.32,547.13,523.22,545.32,143611.2855
2021-03-10,546.27,568.24,517,546.27,229766.3039
2021-03-11,549.85,565.15,528,549.85,244274.8919
2021-03-12,538.44,564.08,508.89,538.44,209147.5598
2021-03-13,593.99,608.96,521.27,593.99,260595.4858
2021-03-14,552.02,601.98,551.18,552.02,197851.568
2021-03-15,523.2,568.16,514.56,523.2,218431.8332
2021-03-16,528.5,538.45,502.2,528.5,143752.2021
2021-03-17,541.57,542.04,511.4,541.57,90157.5347
2021-03-18,528.17,547,522.59,528.17,106568.4963
2021-03-19,532.37,551,516.92,532.37,93469.5901
2021-03-20,536.05,551.88,529.51,536.05,80188.496
2021-03-21,523.59,543.26,515,523.59,74186.5893
2021-03-22,509.07,539.63,506,509.07,129368.9268
2021-03-23,510.76,533.59,505.4,510.76,143098.4987
2021-03-24,474.22,529.58,441.47,474.22,151972.9914
2021-03-25,472.8,482.4,451,472.8,133333.2748
2021-03-26,505.81,507.69,470.36,505.81,125094.9622
2021-03-27,500.58,509.66,484.88,500.58,68717.5698
2021-03-28,497.04,505.59,485,497.04,65710.0419
2021-03-29,518.36,525,491.5,518.36,86795.7935
2021-03-30,525.75,536.55,511.3,525.75,84618.1645
2021-03-31,541.06,545.15,502.63,541.06,129530.0869
2021-04-01,556.66,560,528.65,556.66,148840.2563
2021-04-02,580.64,598.54,545.13,580.64,206037.0349
2021-04-03,530.59,595.91,529.1,530.59,184193.0682
2021-04-04,560.78,564.4,521.07,560.78,107555.1452
2021-04-05,647.21,650,553.66,647.21,293929.3576
2021-04-06,662.5,673.9,614.68,662.5,304984.2993
2021-04-07,615.93,694.71,594.29,615.93,400244.948
2021-04-08,643.35,643.82,609.14,643.35,145110.4967
2021-04-09,631.21,649.7,625,631.21,111815.695
2021-04-10,673.1,681.9,624.37,673.1,198066.1015
2021-04-11,689.65,715.7,669.48,689.65,262377.8927
2021-04-12,670.39,700,652.05,670.39,163792.2563
2021-04-13,745.14,752,666.8,745.14,322260.752
2021-04-14,814.85,846,744.88,814.85,592566.445
2021-04-15,864.82,876.87,797.7,864.82,329984.5866
2021-04-16,1103.53,1175.14,816.19,1103.53,1040206.0864
2021-04-17,991.76,1219.98,988.62,991.76,733523.9936
2021-04-18,972.51,1015.3,806.89,972.51,781742.5103
2021-04-19,891.27,1040.52,872.18,891.27,538626.7032
2021-04-20,940.79,972.69,828,940.79,474777.9441
2021-04-21,909.2,998.8,899.31,909.2,390598.0524
2021-04-22,853.08,971.61,840,853.08,418319.8838
2021-04-23,839.34,874.44,685.36,839.34,608416.4285
2021-04-24,770.41,843.01,747.79,770.41,255044.99
2021-04-25,758.87,807.01,715.28,758.87,164175.2322
2021-04-26,848.88,850,750.44,848.88,240883.2874
2021-04-27,890.58,892,832.19,890.58,190490.3312
2021-04-28,910.44,929,852.39,910.44,251408.9211
2021-04-29,880.43,915,859.01,880.43,154378.4938
2021-04-30,995.51,1000.83,869.05,995.51,211812.1928
2021-05-01,1003.77,1031.27,975.9,1003.77,186785.0876
2021-05-02,972.25,1011,950.32,972.25,120636.3434
2021-05-03,1015.02,1049,971.2,1015.02,170309.4877
2021-05-04,950.89,1055.99,930.69,950.89,400173.4545
2021-05-05,1453.49,1477,939.01,1453.49,982455.5735
2021-05-06,1509.27,1610.3,1270.12,1509.27,1022211.6969
2021-05-07,1340.72,1511.42,1269.44,1340.72,571117.7272
2021-05-08,1396.86,1449.63,1322.33,1396.86,354887.1774
2021-05-09,1427.8,1430,1282.73,1427.8,257872.904
2021-05-10,1321.31,1571.87,1198.15,1321.31,480686.2285
2021-05-11,1547.51,1550,1300,1547.51,351316.2073
2021-05-12,1236.46,1650,1200,1236.46,490390.1715
2021-05-13,1258.52,1344.1,1133.42,1258.52,551513.1734
2021-05-14,1296.38,1361.44,1223.79,1296.38,246717.0517
2021-05-15,1171.75,1336.84,1161.79,1171.75,241359.9606
2021-05-16,1166.69,1282,1098.93,1166.69,281277.7559
2021-05-17,1069.74,1168.14,988.43,1069.74,404222.9891
2021-05-18,1089.32,1166.13,1051.2,1089.32,231294.377
2021-05-19,694.51,1113.06,490,694.51,943458.6576
2021-05-20,817.65,864.28,600,817.65,587781.521
2021-05-21,687.5,850.93,604,687.5,699870.0632
2021-05-22,629.85,721.76,598.98,629.85,456596.5332
2021-05-23,552.37,659.85,468.13,552.37,687431.9297
2021-05-24,754,759.99,538.11,754,470042.8089
2021-05-25,718.79,792.61,667.6,718.79,453339.0302
2021-05-26,763.96,788.66,707.24,763.96,269036.8172
2021-05-27,750.03,806.87,700.52,750.03,233887.6658
2021-05-28,688.28,761.57,652.25,688.28,302614.7902
2021-05-29,651.96,721.25,617.57,651.96,197313.5157
2021-05-30,661.66,688.61,616.04,661.66,138072.2039
2021-05-31,702.46,711.4,634.34,702.46,173886.9311
2021-06-01,691.13,721.33,668.13,691.13,161829.1859
2021-06-02,697.36,716.44,674.59,697.36,120872.0084
2021-06-03,718.91,735.53,687.43,718.91,133112.2068
2021-06-04,670.74,720,642.67,670.74,138850.619
2021-06-05,649.31,688.93,634.13,649.31,110720.0594
2021-06-06,656.1,670,644.57,656.1,63516.7124
2021-06-07,596.45,670.63,590.47,596.45,108223.5666
2021-06-08,595.31,604.89,542.63,595.31,213866.1133
2021-06-09,634,634.63,566.11,634,154574.4486
2021-06-10,601.11,639.2,588.19,601.11,117895.9485
2021-06-11,577.04,611.6,569.43,577.04,101686.7829
2021-06-12,580,591.84,547.18,580,96151.2398
2021-06-13,613.46,615.49,558.61,613.46,82082.3743
2021-06-14,641.5,642,598.94,641.5,104342.5077
2021-06-15,627.17,650.35,616.43,627.17,90740.1898
2021-06-16,593.73,628.17,589.58,593.73,84039.8414
2021-06-17,598.95,621,583.66,598.95,72418.1969
2021-06-18,563.21,599.48,544.69,563.21,91446.3239
2021-06-19,552.12,581.59,551.33,552.12,59695.9386
2021-06-20,556.16,560.86,513.36,556.16,95965.8188
2021-06-21,455.4,559.88,454.13,455.4,226905.2822
2021-06-22,444.06,478.76,387.61,444.06,331912.8058
2021-06-23,472.79,485.9,428,472.79,172528.5647
2021-06-24,486.96,495.82,455.24,486.96,108182.7434
2021-06-25,449.22,497.55,449.18,449.22,130475.4108
2021-06-26,459.58,464.49,428.43,459.58,122490.9044
2021-06-27,477.79,478.31,446.35,477.79,76419.4543
2021-06-28,501.83,518.8,472.31,501.83,118530.6264
2021-06-29,524.01,546.83,499.89,524.01,151297.8194
2021-06-30,526.8,534.33,498.14,526.8,110061.5491
2021-07-01,495.79,526.81,485.46,495.79,114834.0225
2021-07-02,495.76,504.73,475.69,495.76,89209.2541
2021-07-03,505.24,514.87,487.84,505.24,59372.4959
2021-07-04,526.73,542.04,495.26,526.73,88071.0866
2021-07-05,504.31,527.43,487,504.31,107406.787
2021-07-06,511.55,525.96,499.62,511.55,89128.3994
2021-07-07,509.35,537.74,505.35,509.35,108366.9924
2021-07-08,490.3,510.81,479.02,490.3,103159.7422
