Date,Open,High,Low,Close,Volume
2025-08-06,38.86,39.75,37.8,38.86,9392500
2025-08-07,36.8,39.85,35.85,36.8,9586800
2025-08-08,36.8,37.86,36.47,36.8,4753500
2025-08-11,37.65,38.57,36.8,37.65,5760400
2025-08-12,41.25,41.72,38.18,41.25,13302200
2025-08-13,44.08,46.5,42.65,44.08,17088500
2025-08-14,45.11,45.18,41.42,45.11,9761100
2025-08-15,45.28,47.21,43.72,45.28,12431900
2025-08-18,46.5,47.12,44.75,46.5,9804600
2025-08-19,43.1,46.3,41.92,43.1,12378500
2025-08-20,44.51,44.88,40.56,44.51,14718500
2025-08-21,44.83,45.8,43.62,44.83,9620700
2025-08-22,48.54,48.97,44.64,48.54,13924000
2025-08-25,49.35,49.83,47.83,49.35,10668100
2025-08-26,49.94,51.01,48.94,49.94,9307900
2025-08-27,50.85,50.97,49.25,50.85,6844400
2025-08-28,54.8,55.07,51.02,54.8,13062600
2025-08-29,52.94,54.52,52.59,52.94,10197400
2025-09-02,51.35,52.12,48.87,51.35,10226500
2025-09-03,52.45,53.35,50.05,52.45,7663300
2025-09-04,54.91,55.25,52.75,54.91,9831900
2025-09-05,57.07,57.33,54.37,57.07,9229200
2025-09-08,53.44,58.75,53.32,53.44,8561100
2025-09-09,55,55.8,52,55,10151300
2025-09-10,62.96,65.63,60,62.96,21924000
2025-09-11,67.29,68.74,63.85,67.29,12241400
2025-09-12,67.26,67.26,62.62,67.26,13499600
2025-09-15,67.02,68.55,63.94,67.02,11143600
2025-09-16,73.29,73.42,69.94,73.29,14054600
2025-09-17,79.67,80.71,72.35,79.67,16355500
2025-09-18,80.97,84.02,77.61,80.97,15379800
2025-09-19,84.93,85.4,81.61,84.93,16593600
2025-09-22,86.27,86.89,81,86.27,10907700
2025-09-23,77.38,86,75.6,77.38,22135800
2025-09-24,69.18,69.57,64.27,69.18,33315700
2025-09-25,68.69,69.49,61.37,68.69,17712800
2025-09-26,70.32,71.46,66.62,70.32,9355500
2025-09-29,73.6,75.55,71.92,73.6,10757900
2025-09-30,84.57,85.67,70.89,84.57,25107900
2025-10-01,90.19,91.23,82.67,90.19,20299800
2025-10-02,88,92.16,85.03,88,15349200
2025-10-03,90.29,93.8,86.5,90.29,14071000
2025-10-06,86.97,95.69,86.27,86.97,12271400
2025-10-07,86.06,92.34,83.47,86.06,10816900
2025-10-08,87.58,90,85.5,87.58,7972900
2025-10-09,86.65,89.44,85.08,86.65,8237100
