Date,Open,High,Low,Close,Volume
2021-01-01,37.7762,38.959,36.9555,37.7762,2435989.127
2021-01-02,38.2331,38.8798,36.8,38.2331,3018062.206
2021-01-03,41.2575,41.7017,37.763,41.2575,4903626.697
2021-01-04,41.1333,43.2039,38.02,41.1333,5306248.166
2021-01-05,41.8219,41.8375,38.8014,41.8219,3513141.346
2021-01-06,42.2417,42.267,40.4531,42.2417,3784444.687
2021-01-07,43.5728,44.9,41.366,43.5728,5026746.669
2021-01-08,42.356,43.722,40.2313,42.356,3548923.788
2021-01-09,43.8479,44.0552,41.5,43.8479,2720363.636
2021-01-10,42.4031,45.162,40,42.4031,4277406.29
2021-01-11,38.1674,42.5094,35.0374,38.1674,6372598.994
2021-01-12,38.2541,40.1989,37,38.2541,3261261.81
2021-01-13,40.1114,40.4499,37.02,40.1114,3512089.385
2021-01-14,41.8723,42,39.5739,41.8723,3306689.933
2021-01-15,40.8668,42.5622,38.6616,40.8668,3431358.936
2021-01-16,43.142,44.12,40.625,43.142,3243054.414
2021-01-17,45.8675,46.7228,40.9192,45.8675,3878914.299
2021-01-18,45.3412,46.8888,44.0278,45.3412,3069449.938
2021-01-19,42.5241,47.2187,41.7,42.5241,5151546.872
2021-01-20,42.6069,43.0992,40.2,42.6069,3709936.492
2021-01-21,38.6343,42.7176,38.2,38.6343,3460575.242
2021-01-22,40.8936,41.528,36.8518,40.8936,3088685.295
2021-01-23,40.9109,41.88,39.4555,40.9109,2531809.648
2021-01-24,41.8263,42.2,40.3144,41.8263,2340747.623
2021-01-25,41.8347,43.4241,40.5364,41.8347,2778238.02
2021-01-26,41.8396,42.598,39.6955,41.8396,2758108.622
2021-01-27,40.8826,42.0984,39.6102,40.8826,2638401.378
2021-01-28,42.5254,43.085,40.317,42.5254,2984098.651
2021-01-29,42.8618,44,41.8017,42.8618,3433689.484
2021-01-30,44.7849,45.1071,42.5911,44.7849,2767954.291
2021-01-31,44.3292,45.8269,43.3,44.3292,2431692.198
2021-02-01,51.4781,52.3736,43.4331,51.4781,6095055.413
2021-02-02,51.0071,53,49.1572,51.0071,4675040.877
2021-02-03,52.12,52.7,49.7823,52.12,2949735.036
2021-02-04,55.9599,57.0547,51.25,55.9599,4004741.294
2021-02-05,67.7005,68.73,55.9202,67.7005,5040545.223
2021-02-06,72.8356,75.5,61.7,72.8356,8482528.531
2021-02-07,68.3542,74.8199,64.1803,68.3542,5969908.442
2021-02-08,79.8374,79.8823,67.6152,79.8374,7860567.389
2021-02-09,107.3469,116.24,78.0381,107.3469,12487305.868
2021-02-10,128.9711,148.4,107.2811,128.9711,16613534.274
2021-02-11,124.085,132.8,117.7289,124.085,5920400.255
2021-02-12,136.6139,141.32,120.89,136.6139,5626020.824
2021-02-13,133.3496,138.5067,125,133.3496,3785723.402
2021-02-14,135.8623,139,128.4615,135.8623,4405507.885
2021-02-15,130.303,139.369,118,130.303,4772752.806
2021-02-16,130.183,133.4925,126,130.183,3258276.714
2021-02-17,165.3233,175.9997,126.7546,165.3233,10185662.26
2021-02-18,195.6,199.88,162.7969,195.6,11226893.373
2021-02-19,333.111,348.6969,194.9279,333.111,20188858.198
2021-02-20,253,335,223,253,13497656.247
2021-02-21,295.2597,309.4995,249.7044,295.2597,10646422.307
2021-02-22,267.5147,296,220.5,267.5147,12604399.402
2021-02-23,231.3646,269.444,186.1,231.3646,15879767.559
2021-02-24,254.5056,281,213.0257,254.5056,11777825.187
2021-02-25,234.9146,265.4014,231.5,234.9146,6871992.794
2021-02-26,221.717,239.4,209.105,221.717,7410706.385
2021-02-27,225.3853,237.77,219.011,225.3853,4192697.152
2021-02-28,210.2138,229.4,195,210.2138,5674373.249
2021-03-01,254.9637,260,209.1204,254.9637,7911568.194
2021-03-02,239.6841,264.9,227,239.6841,5386013.794
2021-03-03,240.5701,254.8481,236.002,240.5701,4278388.733
2021-03-04,229.6369,249.9885,225.5308,229.6369,3999983.836
2021-03-05,225.4714,232.2,215.6439,225.4714,3654842.805
2021-03-06,226.3814,232.4996,219.1514,226.3814,2663375.536
2021-03-07,240.11,243.95,224.9542,240.11,3519962.929
2021-03-08,240.5509,243.0986,228.7029,240.5509,3045991.968
2021-03-09,293.2052,297.2962,235.6001,293.2052,7937298.708
2021-03-10,278.4499,295.5,263.8184,278.4499,6012304.148
2021-03-11,290.0301,315.2855,272.12,290.0301,6598662.207
2021-03-12,263.2201,290.5,247.5547,263.2201,5905880.87
2021-03-13,276.2822,284.2857,255.4206,276.2822,3902398.386
2021-03-14,263.238,276.8847,263.0003,263.238,2432196.535
2021-03-15,254.5144,267.7453,249.5327,254.5144,3362734.143
2021-03-16,258.5352,259.7847,240.199,258.5352,3013229
2021-03-17,269.7896,272.1787,248.2001,269.7896,2856836.919
2021-03-18,261.4816,277.8,257.01,261.4816,3152509.589
2021-03-19,262.935,269,255,262.935,2262870.653
2021-03-20,264.3023,274.6805,261.4,264.3023,2377018.11
2021-03-21,264.6513,268.0305,257.0001,264.6513,1973476.754
2021-03-22,254.7976,277,252.9164,254.7976,3265655.831
2021-03-23,255.4646,262.97,251.838,255.4646,2587450.732
2021-03-24,248.5236,268.7062,240.3333,248.5236,3270691.795
2021-03-25,233.9466,250.0912,224.9686,233.9466,3498082.827
2021-03-26,255.2105,255.2113,233.8114,255.2105,2635329.155
2021-03-27,269.2234,276,249.5001,269.2234,3089181.848
2021-03-28,268.4263,281.3939,261,268.4263,3272613.755
2021-03-29,275.2991,277.9813,264.4585,275.2991,2728496.99
2021-03-30,311.2962,311.5325,271.2857,311.2962,5532768.33
2021-03-31,302.3724,316.6997,284,302.3724,4719335.506
2021-04-01,334.7991,339,300.7,334.7991,4390708.581
2021-04-02,338.2932,356.9882,324.6162,338.2932,4205858.478
2021-04-03,321.9497,349.1347,315.91,321.9497,3099870.848
2021-04-04,348.8617,352.3275,316,348.8617,2730876.03
2021-04-05,368.0263,380,335.8442,368.0263,3473780.055
2021-04-06,403.3648,411.755,363.8333,403.3648,4481056.436
2021-04-07,375.5538,414.3803,356,375.5538,6179859.708
2021-04-08,418.7048,422.6323,371.78,418.7048,4092498.638
2021-04-09,453.9937,453.9937,403.19,453.9937,3670424.433
2021-04-10,471.2975,487.4062,450,471.2975,4659107.212
2021-04-11,525.9275,529.211,458.0165,525.9275,3644396.11
2021-04-12,596.7104,638.5673,515.1,596.7104,9279328.84
2021-04-13,551.6442,602.7871,530.2288,551.6442,5447746.544
2021-04-14,550.0182,590.5369,521.1313,550.0182,4213337.251
2021-04-15,541.8824,556.9,533.7166,541.8824,2306850.045
2021-04-16,508.2743,547.6074,489.7356,508.2743,4192218.462
2021-04-17,514.6861,547.95,506,514.6861,2949040.221
2021-04-18,481.4367,520.4237,428,481.4367,4468597.46
2021-04-19,504.0322,540,467.8846,504.0322,5031325.713
2021-04-20,586.3635,589.5,470.207,586.3635,5730895.325
2021-04-21,543.6327,613.8975,535.9186,543.6327,5685067.894
2021-04-22,505.2411,582.7051,480,505.2411,6375583.139
2021-04-23,526.5357,530,450,526.5357,6855584.921
2021-04-24,496.992,528.8088,482.3052,496.992,3005329.075
2021-04-25,505,517.74,478.01,505,2489756.6252
2021-04-26,535.33,550,501.5,535.33,3098650.6351
2021-04-27,568.78,579.5,525,568.78,2807308.6198
2021-04-28,562.78,578.88,538,562.78,2384514.8852
2021-04-29,599.7,615.29,554,599.7,4336516.3347
2021-04-30,622.65,628,585.72,622.65,3430512.4025
2021-05-01,620,645.57,609.21,620,2427568.3909
2021-05-02,621.78,629,595.3,621.78,2066258.2844
2021-05-03,676.15,680,621.22,676.15,2873379.617
2021-05-04,609.3,677.71,604.14,609.3,3765315.6951
2021-05-05,651.1,656.67,605,651.1,2270137.4732
2021-05-06,633.99,653.77,620,633.99,2065376.5442
2021-05-07,624.3,644.02,611.43,624.3,1979435.9584
2021-05-08,646.1,657.91,618.36,646.1,2186084.7749
2021-05-09,661.74,679,630.54,661.74,2343402.1219
2021-05-10,631.1,691.77,588,631.1,3074645.0692
2021-05-11,671.91,673,621.11,671.91,2640713.327
2021-05-12,594.65,684.91,581.4,594.65,2813834.8185
2021-05-13,571.1,633.5,526.6,571.1,5485323.7047
2021-05-14,602.61,615,566,602.61,2187570.2996
2021-05-15,563.41,611.31,560,563.41,2259793.5825
2021-05-16,564.32,606.78,534.88,564.32,2939528.1774
2021-05-17,512.07,564.66,483,512.07,4029118.3527
2021-05-18,507.88,534,490,507.88,2720596.4374
2021-05-19,334.8,516.5,280,334.8,11497731.3774
2021-05-20,391.17,423.83,284.27,391.17,8116861.4224
2021-05-21,326.01,415.71,274,326.01,8827845.3858
2021-05-22,299.76,335.82,284.55,299.76,5303046.012
2021-05-23,260.72,313.45,211.7,260.72,8801148.1832
2021-05-24,345.64,350,257.4,345.64,7794003.641
2021-05-25,343.18,378.12,306.61,343.18,7638986.0132
2021-05-26,379.16,388.28,336.21,379.16,5336916.0722
2021-05-27,369.67,387.56,340,369.67,4275801.5014
2021-05-28,328.82,373.68,312.3,328.82,5253443.3619
2021-05-29,305.04,347,295.22,305.04,3764083.2923
