Date,Open,High,Low,Close,Volume
2021-01-01,29331.69,29600,28624.57,29331.69,54182.925
2021-01-02,32178.33,33300,28946.53,32178.33,129993.8734
2021-01-03,33000.05,34778.11,31962.99,33000.05,120957.5668
2021-01-04,31988.71,33600,28130,31988.71,140899.8857
2021-01-05,33949.53,34360,29900,33949.53,116049.997
2021-01-06,36769.36,36939.21,33288,36769.36,127139.2013
2021-01-07,39432.28,40365,36300,39432.28,132825.7004
2021-01-08,40582.81,41950,36500,40582.81,139789.9575
2021-01-09,40088.22,41380,38720,40088.22,75785.9797
2021-01-10,38150.02,41350,35111.11,38150.02,118209.5445
2021-01-11,35404.47,38264.74,30420,35404.47,251156.1383
2021-01-12,34051.24,36628,32531,34051.24,133948.152
2021-01-13,37371.38,37850,32380,37371.38,124477.9149
2021-01-14,39144.5,40100,36701.23,39144.5,102950.3894
2021-01-15,36742.22,39747.76,34408,36742.22,118300.9209
2021-01-16,35994.98,37950,35357.8,35994.98,86348.4315
2021-01-17,35828.61,36852.5,33850,35828.61,80157.7274
2021-01-18,36631.27,37469.83,34800,36631.27,70698.1188
2021-01-19,35891.49,37850,35844.06,35891.49,79611.3078
2021-01-20,35468.23,36415.31,33400,35468.23,89368.4229
2021-01-21,30850.13,35600,30071,30850.13,135004.0767
2021-01-22,32945.17,33826.53,28850,32945.17,142971.684
2021-01-23,32078,33456,31390.16,32078,64595.2877
2021-01-24,32259.9,33071,30900,32259.9,57978.038
2021-01-25,32254.2,34875,31910,32254.2,88499.2269
2021-01-26,32467.77,32921.88,30837.37,32467.77,84972.2069
2021-01-27,30366.15,32557.29,29241.72,30366.15,95911.9617
2021-01-28,33364.86,33783.98,29842.1,33364.86,92621.1456
2021-01-29,34252.2,38531.9,31915.4,34252.2,231827.0056
2021-01-30,34262.88,34933,32825,34262.88,84889.6813
2021-01-31,33092.98,34342.69,32171.67,33092.98,68742.2804
2021-02-01,33526.37,34717.27,32296.16,33526.37,82718.2769
2021-02-02,35466.24,35984.33,33418,35466.24,78056.6599
2021-02-03,37618.87,37662.63,35362.38,37618.87,80784.3337
2021-02-04,36936.66,38708.27,36161.95,36936.66,92080.7359
2021-02-05,38290.24,38310.12,36570,38290.24,66681.3343
2021-02-06,39186.94,40955.51,38215.94,39186.94,98757.3112
2021-02-07,38795.69,39700,37351,38795.69,84363.6798
