Date,Open,High,Low,Close,Volume
2021-01-04,13.46,13.67,13.18,13.39,6790831
2021-01-05,13.46,14.69,13.45,14.57,8560430
2021-01-06,14.61,14.86,14.35,14.42,5435177
2021-01-07,14.56,14.87,14.39,14.68,3964337
2021-01-08,14.66,14.77,14.09,14.31,2989144
2021-01-11,13.85,14.33,13.75,14.19,2067558
2021-01-12,14.21,14.32,13.72,13.77,4068836
2021-01-13,13.77,13.86,13.34,13.68,2811235
2021-01-14,13.8,14.045,13.48,13.84,4067194
2021-01-15,13.76,13.76,12.83,12.96,9669232
2021-01-19,13.04,13.15,12.5,12.92,7146279
2021-01-20,13.09,13.19,12.43,12.63,5747101
2021-01-21,12.65,12.73,12.21,12.41,3564083
2021-01-22,12.24,12.47,12.16,12.37,3982561
2021-01-25,12.42,12.8,12.3,12.73,5074415
2021-01-26,13.01,13.293,12.85,12.94,3921588
2021-01-27,12.77,12.96,12.31,12.62,6506370
2021-01-28,12.58,12.83,12.51,12.79,4644325
2021-01-29,12.79,13.0738,12.36,12.42,6053637
2021-02-01,12.6,15.16,12.485,14.63,23199970
2021-02-02,14.39,14.81,13.54,13.67,9844036
2021-02-03,13.66,14,13.37,13.67,5019129
2021-02-04,13.68,13.705,13.1024,13.45,4691877
2021-02-05,13.67,14.21,13.44,14,6963214
2021-02-08,14.36,14.93,14.16,14.76,6629200
2021-02-09,14.86,15.49,14.86,15.14,8816496
2021-02-10,16.09,16.75,15.52,16.44,12055930
2021-02-11,16.48,16.6,15.34,15.66,8259279
2021-02-12,15.59,15.945,15.32,15.77,5040298
2021-02-16,16.54,17.06,16.41,16.94,8521214
2021-02-17,17.17,17.18,16.25,16.76,7028735
2021-02-18,16.88,16.88,15.97,15.98,5882258
2021-02-19,16.19,16.77,16.01,16.6,5793443
2021-02-22,16.46,16.81,16.245,16.32,5530309
2021-02-23,16.02,16.18,15.055,16.02,5866906
2021-02-24,15.74,16.27,15.63,16.16,4028737
2021-02-25,16.35,16.77,16.16,16.41,6915102
2021-02-26,16.16,16.33,15.452,15.66,5206391
2021-03-01,16.06,16.13,15.73,16.01,7323384
2021-03-02,16,17.59,15.96,17.27,12947930
2021-03-03,17.45,17.99,17.135,17.37,8228497
2021-03-04,16.84,17.2,15.805,16.27,8783732
2021-03-05,16.58,16.63,14.5,15.8,9737678
2021-03-08,16.06,16.285,15.42,15.43,3869478
2021-03-09,15.57,16.065,15.54,15.75,5843198
2021-03-10,15.87,16.17,15.69,16.1,2934004
2021-03-11,16.34,16.69,16.2,16.51,3682712
2021-03-12,16.45,17.275,16.26,17.24,4573843
2021-03-15,17.5,18.65,17.38,18.62,7547307
2021-03-16,18.71,19.71,18.17,18.7,14764990
2021-03-17,18.93,19.305,18.43,19.28,12479970
2021-03-18,19.12,19.35,17.69,17.83,7581073
2021-03-19,17.77,17.98,17.2313,17.77,6520570
2021-03-22,17.98,18.23,17.56,17.6,3734596
2021-03-23,17.44,17.4999,16.615,16.77,7494132
2021-03-24,16.99,17.19,16.7,16.77,4818724
2021-03-25,16.34,16.8,15.98,16.74,5583817
2021-03-26,17.08,17.22,16.225,16.65,5428570
2021-03-29,16.71,16.71,15.59,16.5,6976888
2021-03-30,16.28,16.35,15.75,16.05,8081343
2021-03-31,16.45,17.225,16.33,16.61,8329997
2021-04-01,17.02,17.53,16.71,17.25,5088105
2021-04-05,17.48,18.5,17.3073,18.33,7034825
2021-04-06,18.4,18.55,17.59,17.75,5199168
2021-04-07,17.67,17.8,17.08,17.32,3631545
2021-04-08,17.2,17.705,17.2,17.64,3445312
2021-04-09,17.65,17.72,17.195,17.21,2973717
2021-04-12,17.14,17.21,16.3784,16.75,6034356
2021-04-13,16.75,16.925,16.5886,16.79,2869219
2021-04-14,16.91,17.07,16.54,16.56,3380143
2021-04-15,16.9,16.95,16.42,16.59,3319415
