Date,Open,High,Low,Close,Volume
2025-08-06,360.16,364.07,358.7,360.16,1058800
2025-08-07,354.33,365.4,349.66,354.33,1526600
2025-08-08,352.06,357.59,351.5,352.06,1373000
2025-08-11,349.09,354.16,346.77,349.09,1624500
2025-08-12,353.61,353.66,345.48,353.61,1263000
2025-08-13,349.12,356.4,346.09,349.12,1208400
2025-08-14,348.92,350,346.28,348.92,1220400
2025-08-15,349.88,351.03,344.79,349.88,1567700
2025-08-18,356.25,356.91,348.06,356.25,1496100
2025-08-19,346.88,355.5,346.06,346.88,1825300
2025-08-20,345.45,346.44,339.62,345.45,1779500
2025-08-21,347.57,348.84,343.46,347.57,1038000
2025-08-22,349.63,354.96,346.79,349.63,1198300
2025-08-25,345.19,349.05,344.66,345.19,1022400
2025-08-26,344.03,345.56,343.14,344.03,1718600
2025-08-27,346.88,347.68,343.11,346.88,1069800
2025-08-28,354.29,355.49,347.72,354.29,1081300
2025-08-29,350.43,355.23,346.19,350.43,1304300
2025-09-02,342.81,346.86,340.67,342.81,1202500
2025-09-03,347.32,347.43,340.57,347.32,1141100
2025-09-04,349.33,350.12,344.43,349.33,905400
2025-09-05,351.01,355.31,345.88,351.01,1115800
2025-09-08,360.64,361.36,353,360.64,1773400
2025-09-09,361.77,362.71,356.4,361.77,1271800
2025-09-10,338.53,348.53,326.35,338.53,5847800
2025-09-11,354.7,357.76,338.9,354.7,3571600
2025-09-12,343.48,355.07,342.09,343.48,1616900
2025-09-15,351.52,352,342.26,351.52,1405100
2025-09-16,349.01,352.57,347.95,349.01,1459000
2025-09-17,347.27,349.88,341.2,347.27,1671600
2025-09-18,364.88,366.05,356.43,364.88,1762800
2025-09-19,373.35,374.3,365.52,373.35,5005100
2025-09-22,373.37,373.9,364.7,373.37,1620300
2025-09-23,366.3,371.84,363.98,366.3,1527900
2025-09-24,356.96,366.71,355.8,356.96,1655800
2025-09-25,351.06,355.03,350.03,351.06,1921200
2025-09-26,350.11,351.09,346.99,350.11,1299300
2025-09-29,348.52,352.88,347.81,348.52,1207600
2025-09-30,351.26,352.05,346.92,351.26,1195200
2025-10-01,351.97,355.15,347.41,351.97,1156800
2025-10-02,347.24,355.14,346.35,347.24,1649600
2025-10-03,347.27,353.15,345,347.27,1056300
2025-10-06,353.36,354.85,350,353.36,1441200
2025-10-07,345.48,353.33,342.08,345.48,949300
2025-10-08,350,354.26,346.07,350,1292800
2025-10-09,348.67,348.77,343.58,348.67,1227200
2025-10-10,327,350.26,325.86,327,2156100
2025-10-13,332.23,334.2,324.94,332.23,1724000
2025-10-14,325.75,329.85,318.02,325.75,1602500
2025-10-15,324.1,330.65,321.39,324.1,1599600
2025-10-16,324.25,327.05,320.08,324.25,1788400
2025-10-17,326.12,328.21,320,326.12,1481700
2025-10-20,329.64,331.12,326.39,329.64,1458300
2025-10-21,333.45,335.12,327.11,333.45,1258400
2025-10-22,330.51,336.5,326.16,330.51,1996400
2025-10-23,337.27,338.18,327.62,337.27,1533700
2025-10-24,345.1,351.13,339.76,345.1,1856400
2025-10-27,351.4,357.53,346,351.4,4236500
2025-10-28,341.3,348.08,327.17,341.3,3216000
2025-10-29,341.43,347,334,341.43,2412600
2025-10-30,336.09,342.2,333.41,336.09,1559500
2025-10-31,338.69,340.73,336.22,338.69,1429800
2025-11-03,335.41,341.71,331,335.41,1469100
2025-11-04,333.22,336.06,325.59,333.22,3048000
2025-11-05,327.63,332.56,324.23,327.63,2229600
2025-11-06,324.45,327.26,318.57,324.45,3178000
2025-11-07,325.05,326.61,319.19,325.05,1612800
2025-11-10,328.94,330.84,323.32,328.94,2008200
2025-11-11,318.51,326.79,316.22,318.51,1905500
2025-11-12,315.54,321.63,314.76,315.54,1649900
2025-11-13,315.99,317.47,312.99,315.99,1773600
2025-11-14,314.93,319.65,310.65,314.93,1363700
2025-11-17,311.29,315.83,309.64,311.29,1519700
2025-11-18,303.21,310.34,302.14,303.21,2025900
2025-11-19,306.76,310.12,302.43,306.76,1434800
2025-11-20,302.14,316.71,301.63,302.14,1570500
2025-11-21,300.58,303.9,295.18,300.58,1748300
2025-11-24,304.47,305.72,299.65,304.47,2997000
2025-11-25,303.66,305.75,298.17,303.66,1976100
2025-11-26,306.35,308.18,304.03,306.35,1396700
2025-11-28,311.84,311.96,306.33,311.84,875000
2025-12-01,309.62,313.05,306.83,309.62,1740900
2025-12-02,317.94,319.07,311.23,317.94,1928200
2025-12-03,336.11,338,315.68,336.11,2676800
2025-12-04,337.3,339.59,334.32,337.3,1348600
2025-12-05,337.53,341.04,336.16,337.53,1325600
2025-12-08,337.29,340.83,336.52,337.29,1024000
2025-12-09,335.07,338.04,333.46,335.07,994300
2025-12-10,338.06,341.31,333.24,338.06,1192200
2025-12-11,335.43,338,329.35,335.43,1109000
