Date,Open,High,Low,Close,Volume
2024-07-03,207.5836,212.43,202.01,207.5836,1612700
2024-07-05,208.7891,212.76,208.07,208.7891,1601600
2024-07-08,213.1766,216.43,211.25,213.1766,1634400
2024-07-09,213.4038,222.37,215.06,213.4038,1773200
2024-07-10,216.9514,219.96,213.74,216.9514,2584300
2024-07-11,214.2734,220.543,215.19,214.2734,2438200
2024-07-12,214.5699,221.14,212.307,214.5699,1760700
2024-07-15,210.3603,219.65,211.638,210.3603,2164300
2024-07-16,202.455,215.01,204.06,202.455,4049600
2024-07-17,184.4605,203.06,185.77,184.4605,6748700
2024-07-18,185.0633,192.84,178.07,185.0633,5484900
2024-07-19,187.0594,189.94,186.4,187.0594,2827000
2024-07-22,188.1662,196.82,188.61,188.1662,1868800
2024-07-23,187.6227,192.162,188.3,187.6227,1856600
2024-07-24,173.0077,188.29,174.7,173.0077,4910100
2024-07-25,168.4128,176.84,165.87,168.4128,5542000
2024-07-26,172.9682,177.07,171.44,172.9682,3469300
2024-07-29,170.6361,177.15,171.128,170.6361,2100100
2024-07-30,166.6933,175.03,165.75,166.6933,3517100
2024-07-31,187.5535,196.5,183,187.5535,7483700
2024-08-01,175.4682,194.27,176.62,175.4682,4482100
2024-08-02,165.1024,175.33,161.438,165.1024,6099200
2024-08-05,167.9582,172.76,155.6,167.9582,5430800
2024-08-06,178.8972,183.83,168.39,178.8972,6322100
2024-08-07,177.5335,190.09,176.9,177.5335,6154900
2024-08-08,184.8163,187.63,176.42,184.8163,3338800
2024-08-09,187.6227,190.1,183.07,187.6227,3204000
2024-08-12,185.4575,190.83,183.7,185.4575,2232300
2024-08-13,187.5167,190.85,187.07,187.5167,2349000
2024-08-14,184.2893,189.89,182.21,184.2893,2327900
2024-08-15,188.4869,192.58,185.49,188.4869,4241900
2024-08-16,188.081,191.36,185.83,188.081,2572300
2024-08-19,190.853,192.88,185.56,190.853,2025100
2024-08-20,188.8137,193.5,189.639,188.8137,2507000
2024-08-21,194.7735,197.33,190.98,194.7735,2404200
2024-08-22,193.0013,198.808,194.71,193.0013,1520300
2024-08-23,193.041,197.33,192.52,193.041,2683300
2024-08-26,192.9419,197.99,193.08,192.9419,1953400
2024-08-27,194.1795,198.3,193.57,194.1795,1703200
2024-08-28,191.8332,197.45,192.41,191.8332,2493200
2024-08-29,192.4964,199.11,192.31,192.4964,2463800
2024-08-30,194.7339,197.81,195.15,194.7339,2239400
2024-09-03,176.0029,195.8,177.18,176.0029,4252300
2024-09-04,175.7456,182.75,176,175.7456,3310400
2024-09-05,174.3101,179.75,175.11,174.3101,2444900
2024-09-06,171.3797,176.64,171.94,171.3797,3390300
2024-09-09,173.1716,176.35,171.04,173.1716,2184400
2024-09-10,178.4483,181.205,173.86,178.4483,2301800
2024-09-11,185.3783,188.15,179.145,185.3783,2846900
2024-09-12,188.0315,191.68,184.19,188.0315,2154600
2024-09-13,194.0211,197.81,189.18,194.0211,2613600
2024-09-16,197.2583,199.53,192.69,197.2583,2264000
2024-09-17,199.2186,204.7,198.25,199.2186,2881700
2024-09-18,198.3276,204.953,198.42,198.3276,1796000
2024-09-19,206.4159,208.64,202.47,206.4159,3432600
2024-09-20,252.4313,255.24,233,252.4313,15031400
2024-09-23,254.5499,271.85,252.11,254.5499,10270000
2024-09-24,250.9562,259.44,251.088,250.9562,4562700
2024-09-25,260.2325,267.09,253.24,260.2325,6246200
2024-09-26,254.2034,270.12,254.5,254.2034,4072200
2024-09-27,254.4311,262.4,255.34,254.4311,2598100
2024-09-30,257.4209,261.12,251.275,257.4209,2899300
2024-10-01,262.955,266,253.96,262.955,3179800
2024-10-02,262.7274,269.72,261.65,262.7274,3233600
2024-10-03,274.5975,279.51,268,274.5975,4274200
2024-10-04,282.666,286,275.6,282.666,3829200
2024-10-07,275.7756,288.753,274,275.7756,3477000
2024-10-08,276.5973,281.4,273.1,276.5973,2599100
2024-10-09,259.6583,276.05,257.5,259.6583,5235800
2024-10-10,259.688,267.76,259.03,259.688,2733500
2024-10-11,263.5589,266.9,249.05,263.5589,4477700
2024-10-14,269.0238,272.82,265.21,269.0238,2229300
2024-10-15,263.4897,269.8,262.34,263.4897,3000900
2024-10-16,277.0032,280.24,264.12,277.0032,2469300
2024-10-17,268.4892,285,270.54,268.4892,3209900
2024-10-18,267.4596,272.58,265,267.4596,1708800
2024-10-21,270.984,274.12,268.01,270.984,1650900
2024-10-22,263.3411,271.425,265.85,263.3411,2134100
2024-10-23,263.3907,267.926,262.61,263.3907,2633700
2024-10-24,261.8562,267.8,262.57,261.8562,1553700
2024-10-25,261.7671,269.74,263.09,261.7671,2016200
2024-10-28,264.3114,271.19,265.01,264.3114,1542500
2024-10-29,262.3512,267.23,261.7,262.3512,1829700
2024-10-30,259.1633,268,261.43,259.1633,1831000
2024-10-31,260.3315,264.19,259.35,260.3315,2290900
2024-11-01,255.5201,264.77,256.82,255.5201,2804500
2024-11-04,223.6915,235.498,224.68,223.6915,10719400
2024-11-05,231.4135,236.86,227,231.4135,6347400
2024-11-06,232.6411,242,233.76,232.6411,4790100
2024-11-07,239.1752,248.35,238.397,239.1752,4154900
2024-11-08,236.9773,248,236.83,236.9773,5162100
2024-11-11,234.8984,243.91,234.29,234.8984,3382100
2024-11-12,226.414,235.98,225.69,226.414,4460000
2024-11-13,223.7014,232.77,225.61,223.7014,2979500
2024-11-14,223.1272,231.54,225.12,223.1272,2513200
2024-11-15,222.3865,227.75,221.66,222.3865,2717400
2024-11-18,228.3358,232.04,221.18,228.3358,3293200
2024-11-19,232.5995,234.89,226.1,232.5995,2197500
2024-11-20,233.4324,241.48,232.14,233.4324,2567600
2024-11-21,249.7138,252.19,234.11,249.7138,3586400
2024-11-22,247.7803,253.23,245.03,247.7803,2471600
2024-11-25,246.8284,255.61,243,246.8284,3459600
2024-11-26,264.4781,267.13,249.2,264.4781,3881600
2024-11-27,251.2507,266,250.85,251.2507,2298200
2024-11-29,254.394,260.789,255.2,254.394,1185700
2024-12-02,247.4729,258.44,249.51,247.4729,1908400
2024-12-03,245.4204,254.18,246.58,245.4204,1784600
2024-12-04,252.0539,257.66,251,252.0539,2701200
2024-12-05,253.9279,259.76,253.1,253.9279,2118200
2024-12-06,251.4887,258.57,250.42,251.4887,1329700
2024-12-09,237.825,254,236.33,237.825,3262400
2024-12-10,230.3784,239.5,230.71,230.3784,2771500
2024-12-11,234.6025,239.448,232.12,234.6025,2386700
2024-12-12,237.002,248.13,238.92,237.002,2822000
2024-12-13,237.0516,243.42,236.5,237.0516,2004800
2024-12-16,237.2797,243.7,237.248,237.2797,1974400
2024-12-17,232.2624,238.08,228.86,232.2624,2506500
2024-12-18,223.854,236.99,224.77,223.854,3173700
2024-12-19,223.269,233.79,224.98,223.269,3626800
2024-12-20,225.1033,231.7,219.64,225.1033,4985400
2024-12-23,226.3527,229.36,221.7,226.3527,1935200
2024-12-24,227.8499,230.11,227.156,227.8499,978400
2024-12-26,226.7097,230.23,227.319,226.7097,920500
2024-12-27,224.6274,228.18,222.74,224.6274,1466000
2024-12-30,224.4093,229,222.25,224.4093,1587100
2024-12-31,221.8213,227.03,222.88,221.8213,1885700
2025-01-02,240.5518,243.72,225.138,240.5518,4552500
2025-01-03,250.2691,254.179,244.35,250.2691,4576600
2025-01-06,262.0488,267.82,251.51,262.0488,4116000
2025-01-07,253.4718,265.48,249.56,253.4718,3112400
2025-01-08,241.7813,255.99,228.05,241.7813,8414200
2025-01-10,302.6134,310,280.13,302.6134,14707200
2025-01-13,276.8825,300.46,278.86,276.8825,6920600
2025-01-14,286.4312,294.4,281.4,286.4312,4852400
2025-01-15,298.2307,305.108,293.02,298.2307,4140700
2025-01-16,312.5786,320.51,302.47,312.5786,5269100
2025-01-17,313.6891,320.16,311.04,313.6891,2820000
2025-01-21,320.9077,330.34,318.33,320.9077,4032300
2025-01-22,329.6631,336.448,319,329.6631,4576600
2025-01-23,343.297,352,333,343.297,4853500
2025-01-24,344.5067,350,341.95,344.5067,3226600
2025-01-27,272.6783,302.67,270.44,272.6783,16083200
2025-01-28,276.4462,284.37,259.09,276.4462,9989300
2025-01-29,289.4257,294.19,276.06,289.4257,6638500
2025-01-30,305.945,310.69,298.79,305.945,6023100
2025-01-31,297.4473,312,297.945,297.4473,4719900
2025-02-03,303.7239,308.65,284.02,303.7239,3723500
2025-02-04,303.7438,307.09,293.5,303.7438,2996300
2025-02-05,311.1805,318.37,302.85,311.1805,3578600
2025-02-06,309.1676,316.58,305.87,309.1676,2480100
2025-02-07,307.1746,319.61,309.305,307.1746,2298000
2025-02-10,319.1129,322,312.575,319.1129,2729800
2025-02-11,310.9325,319.16,309.44,310.9325,2642900
2025-02-12,311.1507,317.43,303.79,311.1507,1766400
2025-02-13,308.8602,317.738,305.09,308.8602,2707200
2025-02-14,314.6212,318.19,306.22,314.6212,2193000
2025-02-18,322.8511,329.57,315.815,322.8511,3253000
2025-02-19,318.9493,329.888,318.13,318.9493,3079100
2025-02-20,306.8077,322,304.18,306.8077,3860000
2025-02-21,282.0386,310.46,277.77,282.0386,6478000
2025-02-24,265.4597,290.01,262.65,265.4597,7221400
2025-02-25,262.0786,268.05,248.56,262.0786,5094600
2025-02-26,267.8593,279.95,268.05,267.8593,4724900
2025-02-27,247.6315,280.6,248.79,247.6315,5131000
2025-02-28,248.4298,251.539,241.61,248.4298,6029600
2025-03-03,230.3288,249.722,229.24,230.3288,5315000
2025-03-04,229.6943,239.63,221.25,229.6943,5525500
2025-03-05,227.3839,233.54,223.42,227.3839,3840200
2025-03-06,205.9365,222.78,204.71,205.9365,7710800
2025-03-07,211.14,216.14,203.1,211.14,4986200
2025-03-10,200.8781,208.24,195.56,200.8781,7689500
2025-03-11,207.2061,211.64,199.925,207.2061,5051000
2025-03-12,213.9315,224.33,210,213.9315,7320400
2025-03-13,208.4876,216.77,203.72,208.4876,3654300
2025-03-14,215.0342,217.5,209.03,215.0342,3829900
2025-03-17,217.1005,222.065,214.36,217.1005,3547600
2025-03-18,209.4612,218.135,209.25,209.4612,2716500
2025-03-19,216.6138,220.37,211.12,216.6138,3091900
2025-03-20,217.9946,222.43,214,217.9946,2250500
2025-03-21,221.0146,222.82,212.55,221.0146,3733500
2025-03-24,227.1141,231.15,226.6,227.1141,2773600
2025-03-25,225.3757,230.872,222,225.3757,2849900
2025-03-26,215.5409,226.1,214,215.5409,4059000
2025-03-27,207.8221,217.55,207.52,207.8221,4178300
2025-03-28,204.0371,215.415,203.89,204.0371,5572000
2025-03-31,200.3019,203.56,195.55,200.3019,4518500
2025-04-01,205.5769,207.76,198.09,205.5769,2863100
2025-04-02,213.0474,215.34,202.27,213.0474,3179100
2025-04-03,188.987,204.047,189.78,188.987,5557500
2025-04-04,169.8339,182.99,165.08,169.8339,9358600
2025-04-07,178.6058,189.79,161.35,178.6058,7458400
2025-04-08,183.7218,193.3,181.99,183.7218,6895700
2025-04-09,214.0309,217.9,182.61,214.0309,7984300
2025-04-10,203.1431,211.475,199.55,203.1431,4048600
2025-04-11,206.8783,208.53,198,206.8783,2960700
2025-04-14,205.3385,217.21,203.87,205.3385,3427300
2025-04-15,207.0472,212,206.35,207.0472,1986000
2025-04-16,202.845,207.4,201.44,202.845,2433300
2025-04-17,205.3186,208.82,203.604,205.3186,1962800
2025-04-21,191.3413,204.87,188.006,191.3413,3290900
2025-04-22,199.5569,202.42,195.85,199.5569,2457800
2025-04-23,208.4181,217.34,208.27,208.4181,2976100
2025-04-24,216.6336,220.19,209.57,216.6336,2336500
2025-04-25,221.5212,223.945,216.5,221.5212,2710400
2025-04-28,223.3392,225.49,219.69,223.3392,2396300
2025-04-29,224.9584,227.36,220.5,224.9584,2038900
2025-04-30,221.9683,223.875,216.75,221.9683,2185200
2025-05-01,239.0301,243.98,230.31,239.0301,4557800
2025-05-02,245.6313,250.64,241.563,245.6313,3316000
2025-05-05,246.6347,250,241.46,246.6347,3117800
2025-05-06,272.0164,279.89,256.12,272.0164,7195600
2025-05-07,266.3539,278.52,264.66,266.3539,5165600
2025-05-08,268.8077,273.98,265.07,268.8077,2862300
2025-05-09,269.5826,274.95,266.06,269.5826,3245900
2025-05-12,283.4009,291.99,283.45,283.4009,4744900
2025-05-13,289.5998,296.17,279.19,289.5998,3651100
2025-05-14,286.252,292,282.93,286.252,3129300
2025-05-15,282.5267,288.72,283.28,282.5267,2187300
2025-05-16,289.5976,291.17,284.2,289.5976,2104900
2025-05-19,292.4824,294.37,282,292.4824,1972700
2025-05-20,290.8708,293.03,289.67,290.8708,1481300
2025-05-21,285.6085,292.207,285.21,285.6085,2040900
2025-05-22,289.9457,295.2,282.72,289.9457,2390800
2025-05-23,295.9342,302.6,293.11,295.9342,5373300
2025-05-27,307.4438,310.26,296.265,307.4438,3611500
2025-05-28,306.439,313.085,306.66,306.439,2512000
2025-05-29,301.7835,314.5,300.1,301.7835,2710600
2025-05-30,304.549,306.5,299.26,304.549,3656100
2025-06-02,311.7909,313.9,304.57,311.7909,2097100
2025-06-03,311.393,342,309.5,311.393,10696100
2025-06-04,297.9736,310.41,298.94,297.9736,4966800
2025-06-05,288.364,302,289.36,288.364,4673800
2025-06-06,297.2374,299.77,286,297.2374,3735300
2025-06-09,298.0929,308.82,297.01,298.0929,2997400
2025-06-10,289.498,300.5,287.71,289.498,3374300
2025-06-11,290.662,298.47,289.8,290.662,2751400
2025-06-12,298.8091,301.32,289.08,298.8091,2084000
2025-06-13,295.3374,299.95,294.09,295.3374,1525900
2025-06-16,306.3992,309.96,300,306.3992,2592700
2025-06-17,304.1013,313.54,302.7,304.1013,2158100
2025-06-18,304.8275,309.539,303.25,304.8275,1451500
2025-06-20,303.3254,308.2,302.69,303.3254,4194800
2025-06-23,313.5616,315.79,304.69,313.5616,2314500
2025-06-24,318.9831,324.31,316.85,318.9831,2385000
2025-06-25,313.492,323.64,314.855,313.492,2263900
2025-06-26,320.8234,323.605,314.73,320.8234,2192400
2025-06-27,318.4956,328.44,317.8,318.4956,3689700
2025-06-30,321.0721,324.74,318.22,321.0721,1968000
2025-07-01,306.3097,320.725,302.25,306.3097,3553000
2025-07-02,305.0264,310.32,303.01,305.0264,2106500
2025-07-03,310.249,313.94,306.448,310.249,1465800
2025-07-07,316.5857,320.41,309.09,316.5857,2002100
2025-07-08,311.204,320.685,307.75,311.204,1793000
2025-07-09,315.4516,319.755,310.25,315.4516,1685700
2025-07-10,311.9799,317.36,307.235,311.9799,1745800
2025-07-11,319.8585,323,309.745,319.8585,2015600
2025-07-14,324.2852,326.55,313.885,324.2852,2000100
2025-07-15,316.3271,327.99,314.2,316.3271,2742400
2025-07-16,306.5883,322,301.37,306.5883,2952800
2025-07-17,306.4688,314.82,305.01,306.4688,1984900
2025-07-18,319.7391,327.01,310.92,319.7391,3532900
2025-07-21,316.2176,325.64,316.65,316.2176,1937600
2025-07-22,316.1281,318.742,311.395,316.1281,1780100
2025-07-23,322.0072,343.23,322.8,322.0072,3821400
2025-07-24,319.9878,326.92,320.896,319.9878,1818100
2025-07-25,325.6381,328.28,321.03,325.6381,1383900
2025-07-28,326.9413,332,322.5,326.9413,1701400
2025-07-29,328.7915,339.24,328.7,328.7915,2696000
2025-07-30,343.4644,348.135,331.5,343.4644,3026600
2025-07-31,346.021,354.01,344.275,346.021,3581100
2025-08-01,338.9879,343.38,327.01,338.9879,2871900
2025-08-04,353.0341,357,344.576,353.0341,2899300
2025-08-05,341.7733,353.777,338.96,341.7733,3380500
2025-08-06,336.6899,344.06,332.3,336.6899,2946500
2025-08-07,334.6507,345.25,322,334.6507,3632000
2025-08-08,334.0091,342.2,332.25,334.0091,1961000
2025-08-11,329.7564,338.3,328,329.7564,1829800
2025-08-12,336.7994,339.73,330.92,336.7994,1890600
2025-08-13,325.9166,342.75,322.5,325.9166,2788100
2025-08-14,324.5041,333.59,323.26,324.5041,2020700
2025-08-15,320.5449,327.936,319.68,320.5449,1749100
2025-08-18,321.4691,326,319.78,321.4691,1860300
2025-08-19,315.9564,321.799,313.85,315.9564,2122300
2025-08-20,312.9436,315.53,304.78,312.9436,2638500
2025-08-21,311.2604,318.2,310.7,311.2604,1622600
2025-08-22,308.91,318,309.2,308.91,1856300
2025-08-25,309.4279,317.62,309.985,309.4279,1386200
2025-08-26,315.3041,318.48,310.31,315.3041,1674000
2025-08-27,314.6667,319.49,314.14,314.6667,1369900
2025-08-28,318.2621,323.97,315.8,318.2621,1751500
2025-08-29,306.7387,317.99,305.89,306.7387,2326300
2025-09-02,305.9519,307.455,296.99,305.9519,2426900
2025-09-03,307.2367,309.59,303.92,307.2367,1374400
2025-09-04,307.8144,312.16,307.25,307.8144,1757700
2025-09-05,300.3645,312.99,293.155,300.3645,2821200
2025-09-08,297.6157,304.79,296.36,297.6157,2333700
2025-09-09,299.6076,305.3,296.35,299.6076,2081600
2025-09-10,318.7103,328.301,308.5,318.7103,4040700
2025-09-11,316.7184,322.261,316.11,316.7184,2263800
