Date,Open,High,Low,Close,Volume
2021-01-04,52.94,53.05,51.1227,51.18,2437055
2021-01-05,51.08,51.72,50.84,51.21,1628482
2021-01-06,51.13,52.09,51.06,51.45,2259785
2021-01-07,51.79,52.45,51.6,52.39,1264845
2021-01-08,52.84,53.435,52.54,52.93,1145789
2021-01-11,52.24,53.79,52.09,52.79,1526923
2021-01-12,52.72,54.28,52.7,54.2,1087593
2021-01-13,54.86,55.32,53.13,53.2,1353078
2021-01-14,53.6,54.7675,53.4,54.46,1190022
2021-01-15,54.37,54.62,53.31,53.31,1079611
2021-01-19,53.45,53.71,52.52,52.62,1203177
2021-01-20,53.03,53.21,52.1273,52.84,1072561
2021-01-21,54.95,54.98,53.7801,54.6,1764944
2021-01-22,54.16,55.39,54.15,55.03,1217188
2021-01-25,55.22,56.32,54.59,55,1138072
2021-01-26,54.98,55.45,54.38,55.12,1095240
2021-01-27,54.64,56.9899,53.855,56.51,2040659
2021-01-28,56.02,56.1,53.35,54.07,2728645
2021-01-29,53.63,54.89,52.98,53.39,2591251
2021-02-01,53.79,55.15,52.92,54.86,1538959
2021-02-02,54.99,55.06,53.19,53.74,2331786
2021-02-03,53.79,54.23,53.01,54.03,1464603
2021-02-04,54.25,55.32,54.11,54.9,666104
2021-02-05,55.28,55.5,54.8406,55.33,774969
2021-02-08,55.64,56.56,55.41,56.26,699579
2021-02-09,56.23,56.3,55.39,55.8,711846
2021-02-10,55.87,56.1927,55,55.49,807725
2021-02-11,55.95,56.105,55.4275,55.65,837480
2021-02-12,55.62,56.59,55.3515,56.22,697295
2021-02-16,56.1,56.5,55.52,55.62,750190
2021-02-17,55.58,55.83,54.44,55.21,1477492
2021-02-18,54.96,55.24,54.06,54.48,971443
2021-02-19,54.9,55.35,54.37,54.4,1221566
2021-02-22,54.09,54.98,53.835,54.49,1300347
2021-02-23,54.2,54.46,52.2001,54.22,1460892
2021-02-24,53.97,54.25,52.87,52.89,2264936
2021-02-25,52.91,53.21,51.2,51.85,1424847
2021-02-26,52.47,52.78,51.295,52.17,1243640
2021-03-01,52.68,53.38,52.29,53.02,1332433
2021-03-02,53.08,53.5,51.32,51.54,1972455
2021-03-03,51.66,51.71,50.545,50.56,2276125
2021-03-04,52.14,53.48,48.74,48.87,4298986
2021-03-05,49.21,50.2,47.52,49.55,2513438
2021-03-08,49.37,50.3,49.03,49.2,1563699
2021-03-09,49.99,51.05,49.79,50.48,1295580
2021-03-10,51.11,51.36,50.29,50.85,934296
2021-03-11,53.2,54.48,52.41,53.26,2134405
2021-03-12,52.73,54.44,52.73,54.34,1377451
2021-03-15,54.56,56.4,54.56,56.37,1363573
2021-03-16,56.36,57.57,56.275,57.24,1166095
2021-03-17,56.74,57.35,56.28,56.92,1428100
2021-03-18,55.95,56.905,55.12,55.25,934027
2021-03-19,55.46,55.945,54.73,55.42,1817204
2021-03-22,55.43,56.225,55.25,55.71,842178
2021-03-23,55.7,55.79,53.47,53.94,1289076
2021-03-24,53.94,54.12,52.49,52.51,960631
2021-03-25,52.38,54,51.99,53.81,1161027
2021-03-26,54.11,55.64,53.82,55.61,1426391
2021-03-29,55.47,56.44,54.57,54.91,1012973
2021-03-30,54.32,54.96,53.765,54.71,799248
2021-03-31,54.85,55.175,54.24,54.72,1314002
2021-04-01,54.98,56.63,54.8,56.6,1004456
2021-04-05,56.95,57.4582,56.61,56.79,842820
2021-04-06,56.49,56.5,55.54,55.9,1085803
2021-04-07,55.97,56.147,55.46,56,729791
2021-04-08,56.59,56.82,55.65,56.63,1154079
2021-04-09,56.59,56.798,56.14,56.46,933906
2021-04-12,56.22,57.65,55.92,56.2,783238
2021-04-13,56.2,56.3,55.59,56.06,762695
2021-04-14,56.21,56.64,55.76,55.92,1273349
2021-04-15,56.25,56.97,56.18,56.48,1120573
2021-04-16,56.75,57.23,56.41,56.87,1098737
2021-04-19,56.59,56.85,54.63,54.88,1894647
2021-04-20,54.78,55.17,53.27,54.17,1705167
2021-04-21,54.53,55.37,54.3,54.92,1115663
2021-04-22,54.83,55.061,53.84,53.85,886554
2021-04-23,54,54.71,53.65,54.46,886692
2021-04-26,54.6,54.72,53.96,54.31,1523253
2021-04-27,54.14,54.31,52.83,52.91,1381588
2021-04-28,52.76,52.91,51.76,52.06,1589896
2021-04-29,52.41,52.85,52,52.75,1112840
2021-04-30,52.35,52.43,50.28,50.47,2127983
2021-05-03,50.64,51.825,50.61,51.36,1068377
2021-05-04,51,51.07,49.62,50.7,2140597
2021-05-05,51.06,51.63,50.595,51.35,1030406
2021-05-06,51.18,52.91,51.1,52.85,2001075
2021-05-07,53.21,54.15,52.75,53.87,1207382
2021-05-10,53.9,54.34,53.351,53.52,1393236
2021-05-11,52.48,53.87,52.13,53.68,1185457
2021-05-12,52.73,52.995,49.505,49.52,2410786
2021-05-13,49.87,51.02,49.57,50.64,1455386
2021-05-14,50.89,52.02,50.5,51.74,1068635
2021-05-17,51.26,52.37,51.26,52.06,948480
2021-05-18,52.31,52.865,51.95,52.03,1483089
2021-05-19,51.13,52.19,51.01,51.9,1111584
2021-05-20,51.91,53.66,51.67,53.41,1592018
2021-05-21,53.78,54.06,52.8,52.9,743391
2021-05-24,53.26,54.06,53.1498,53.46,877624
2021-05-25,53.59,53.88,52.95,53,1109319
2021-05-26,52.97,53.32,52.7,52.96,807407
2021-05-27,52.99,53.915,52.81,52.94,1075256
2021-05-28,53.11,53.33,52.42,52.87,1304749
2021-06-01,53.11,53.5,52.5,53.5,1585863
2021-06-02,53.71,54.43,53.42,54.41,2250057
2021-06-03,57.95,59.5,57.95,58.38,5760176
2021-06-04,58.74,60.63,58.58,60.01,3165516
2021-06-07,60,60.81,59.8,60.77,1872585
2021-06-08,60.88,61.09,60.27,60.47,1243621
2021-06-09,60.5,60.98,60.04,60.08,1600514
2021-06-10,60.46,60.46,58.83,59.01,1517918
2021-06-11,59.16,59.31,58.4,58.89,1189195
2021-06-14,58.74,58.82,57.72,58.2,1196709
2021-06-15,57.95,58.165,57.33,57.63,1171308
2021-06-16,57.61,57.78,57,57.54,1620559
2021-06-17,57.26,57.83,56.6,56.82,1181918
2021-06-18,56.39,56.58,55.48,56.15,2225592
2021-06-21,56.16,57.365,55.97,57.11,1239399
2021-06-22,57.04,57.97,56.92,57.71,1764411
2021-06-23,57.62,57.91,57.18,57.18,1019257
2021-06-24,57.8,58.06,57.04,57.65,1099895
2021-06-25,57.81,58.475,57.72,58.14,1847778
2021-06-28,58.15,58.38,57.39,57.53,895191
2021-06-29,57.67,57.74,56.91,57.32,629078
2021-06-30,57.25,57.4,56.56,56.89,1105287
2021-07-01,57.13,58.44,57.13,57.8,1361331
2021-07-02,57.95,58.13,57.5,57.92,643154
2021-07-06,58.27,58.38,57.16,57.73,843676
2021-07-07,57.82,58.02,56.2216,56.8,1074169
2021-07-08,55.98,57.19,55.44,56.48,878231
2021-07-09,56.88,57.78,56.88,57.66,933104
2021-07-12,57.88,57.9581,56.44,56.76,991948
2021-07-13,57.05,57.23,56.4765,56.86,937400
2021-07-14,57.1,57.4925,56.77,56.96,660530
2021-07-15,56.7,57,56.11,56.49,630441
2021-07-16,56.51,56.7,54.99,55.05,1483325
2021-07-19,54.155,54.46,53.66,54.15,1686316
2021-07-20,54.5,54.88,54.05,54.54,1416426
2021-07-21,54.77,55.72,54.32,55.55,1287848
2021-07-22,55.54,55.59,54.78,55.42,665627
2021-07-23,55.71,56.385,55.25,56.21,748019
2021-07-26,56.12,56.97,56.1,56.61,807006
2021-07-27,56.5,56.55,55.65,56.45,699238
2021-07-28,56.28,57.14,56.09,56.79,676282
2021-07-29,57.19,58.31,57.1,57.78,650618
2021-07-30,57.49,58.32,57.31,58.14,756212
2021-08-02,58.48,58.85,57.76,57.83,739890
2021-08-03,57.85,58.435,57.3701,58.29,680539
2021-08-04,58,58.15,56.93,56.95,740926
2021-08-05,56.87,57.1,56.47,56.8,517594
2021-08-06,56.87,57.34,56.8,56.86,428812
2021-08-09,56.76,57.46,56.6,56.86,393957
2021-08-10,56.94,57.01,56.23,56.45,918063
2021-08-11,56.54,56.89,55.83,56.46,892154
2021-08-12,56.5,56.54,55.61,56.11,801441
2021-08-13,56.34,56.39,55.81,55.92,569917
2021-08-16,55.75,56.05,55.36,55.99,737663
2021-08-17,55.74,55.84,54.96,55.4,1117167
2021-08-18,55.6,55.95,54.73,54.79,1430177
2021-08-19,54.44,55.16,54.263,54.96,982404
2021-08-20,54.9,55.16,54.58,54.99,2361541
2021-08-23,55.17,55.88,54.97,55.86,2475458
2021-08-24,56.19,56.33,55.8698,56.27,1577811
2021-08-25,56.35,57.4761,56.1,56.75,918410
2021-08-26,56.89,57.05,56.28,56.72,765469
2021-08-27,56.87,57.42,56.62,57.18,1218861
2021-08-30,57.48,57.78,57.1,57.24,890130
2021-08-31,57.24,57.43,56.83,57.13,1016915
2021-09-01,57.135,57.35,56.24,56.88,1685344
