Date,Open,High,Low,Close,Volume
2021-01-04,76.01,78.53,75.38,76.01,1166900
2021-01-05,79.09,79.99,75.51,79.09,1519700
2021-01-06,79.39,81.3,78.5,79.39,1307500
2021-01-07,83.24,83.45,80.24,83.24,989000
2021-01-08,82.37,84.69,81.44,82.37,1062000
2021-01-11,85.22,85.45,79.69,85.22,1331000
2021-01-12,87.21,91.09,86.52,87.21,2380200
2021-01-13,87.53,90.66,86.99,87.53,946800
2021-01-14,88.68,90.21,87.45,88.68,1938400
2021-01-15,88.27,89.28,85.59,88.27,1279300
2021-01-19,92.94,93.63,90.14,92.94,1899500
2021-01-20,91.9,95,90.88,91.9,1449300
2021-01-21,93.27,93.79,91.54,93.27,915100
2021-01-22,93.87,94.53,92.03,93.87,983800
2021-01-25,91.49,96.23,90.85,91.49,1259700
2021-01-26,89.91,93.26,89.27,89.91,1203300
2021-01-27,87.23,90.11,85.57,87.23,1606200
2021-01-28,87.05,88.47,85.15,87.05,1498300
2021-01-29,84.07,88.77,83.94,84.07,1392200
2021-02-01,87.28,87.67,84.17,87.28,1427800
2021-02-02,87.82,90.2,86.78,87.82,1521900
2021-02-03,86.62,89.47,85.35,86.62,1235700
2021-02-04,89.05,90.56,86.06,89.05,1109700
2021-02-05,88,91.98,87.84,88,1165000
2021-02-08,88.73,91.77,87.84,88.73,2363500
2021-02-09,94.03,96.66,89.01,94.03,2296100
2021-02-10,94.4,98.52,93.5,94.4,1766700
2021-02-11,99.58,100.44,95,99.58,1487400
2021-02-12,89.92,98.03,89.58,89.92,7156500
2021-02-16,91.95,92.61,90.22,91.95,2142600
2021-02-17,90.31,93.42,88.8,90.31,1687400
2021-02-18,87.64,89.49,86.51,87.64,1326200
2021-02-19,90.28,92.11,89.33,90.28,1463200
2021-02-22,87.47,89.99,87.22,87.47,873400
2021-02-23,84.65,85.35,80.55,84.65,1892300
2021-02-24,89.31,89.53,82.82,89.31,1484100
2021-02-25,82.51,89.11,82.46,82.51,1229600
2021-02-26,84.3,85.88,82.15,84.3,1078200
2021-03-01,86.81,87.37,85.2,86.81,822700
2021-03-02,84.95,88.11,84.84,84.95,874500
2021-03-03,80.64,85.94,80.17,80.64,1146500
2021-03-04,75.61,80.75,73.53,75.61,1829000
2021-03-05,74.61,77.62,69.64,74.61,2503700
2021-03-08,71.67,76.3,71.13,71.67,2386800
2021-03-09,73.78,75.53,73.12,73.78,2481900
2021-03-10,73.1,76.81,72.96,73.1,1613500
2021-03-11,76.51,77.11,75.07,76.51,1605800
2021-03-12,71.46,74.88,70.7,71.46,3726800
2021-03-15,71.1,71.61,69.44,71.1,2903800
2021-03-16,71.8,72.73,70.65,71.8,1442400
2021-03-17,73.39,73.93,70.8,73.39,1814400
2021-03-18,68.43,72.74,68,68.43,2215200
2021-03-19,69.06,70.18,66.53,69.06,3525500
2021-03-22,67.47,69.97,67.24,67.47,2069300
2021-03-23,65.85,68,65.25,65.85,2275000
2021-03-24,67.26,71.99,64.07,67.26,6624500
2021-03-25,66.74,67.79,62.08,66.74,6850300
2021-03-26,70.55,70.65,66.62,70.55,3105200
2021-03-29,66.79,70.8,66.63,66.79,2750600
2021-03-30,66.58,66.82,63.72,66.58,1939600
2021-03-31,68.37,69.13,66.59,68.37,1740200
2021-04-01,71.4,71.72,69.62,71.4,2061900
2021-04-05,75.26,75.69,71.83,75.26,3054600
2021-04-06,75.47,76.09,74.51,75.47,3016500
2021-04-07,74.35,76.13,74.14,74.35,1578000
2021-04-08,76.22,76.39,74.9,76.22,1913100
2021-04-09,76.21,76.62,75.07,76.21,1256000
