Date,Open,High,Low,Close,Volume
2024-09-04,166.5,169.04,160.67,163.22,7826441
2024-09-05,161.62,166.37,158.12,159.7,5732706
2024-09-06,163.24,164.15,146.12,147.35,11026600
2024-09-09,151.27,157.4,150.06,155.05,9256668
2024-09-10,155.01,159.14,149.51,158.46,5824762
2024-09-11,153.56,158.84,149.95,157.15,6417381
2024-09-12,158.61,165.43,156.1,162.89,6697238
2024-09-13,162.24,168.93,161.58,163.05,5953642
2024-09-16,158.5,163.16,155.88,161.5,4686237
2024-09-17,164.14,167.67,160.5,162.45,5225172
2024-09-18,161.54,169.1,160.8,162.64,5027374
2024-09-19,172,175.39,167,168.24,9299066
2024-09-20,168.99,173.3914,165.4,170.09,8152342
2024-09-23,171.3,173.5667,168.7,170.22,4933242
2024-09-24,170.38,172.25,163.8081,171.68,6035486
2024-09-25,170.3,173.935,166.88,167.08,5359903
2024-09-26,170.61,181.49,170.26,179.93,12455160
2024-09-27,183.07,192.45,179.5,191.23,10563370
2024-09-30,184.19,185.4099,177,178.17,11739580
2024-10-01,178.72,178.9,160,165.01,15210470
2024-10-02,163.03,169.29,161.39,164.47,7881090
2024-10-03,162.83,166.41,161.41,163.1,4298586
2024-10-04,167.96,171.2431,164,170.91,6874436
2024-10-07,172,176.1483,166.892,168.92,6797536
2024-10-08,166.36,170.0499,165.02,167.69,5696090
2024-10-09,167.69,172.49,165.78,166.97,5725046
2024-10-10,166.05,167.31,161.87,164.27,5379854
2024-10-11,165.54,179.1799,165.22,176.38,10767070
2024-10-14,181.185,197.69,178.27,196.35,18131380
2024-10-15,195.68,204.9,188.31,196.34,17324800
2024-10-16,203.53,212.4199,197.6002,210.48,13969970
2024-10-17,209.2,209.45,201.13,204.2,8908025
2024-10-18,208.05,220.26,207.1403,220.21,13569590
2024-10-21,215.4,216.86,208.13,213.72,12686430
2024-10-22,209.45,215.95,207.3,210.72,7485083
2024-10-23,206.3,209.7,194.6,198.93,10350140
2024-10-24,206.868,210.55,200.8,209.16,9925395
2024-10-25,208.3,213.67,203.4,205.04,9261318
2024-10-28,213.35,218,210.5,216.1,10458710
2024-10-29,220.905,223.9,216.11,219.66,11542190
2024-10-30,213.1,220.46,209.47,211.74,9515860
2024-10-31,203.73,206,178.82,179.25,18892020
2024-11-01,180,190.94,179.54,182.88,14443370
2024-11-04,180.09,186.95,176.38,186.27,11348810
2024-11-05,185.59,197.25,185.51,193.96,9950753
2024-11-06,221.479,257.6799,221.11,254.31,35456030
2024-11-07,245.63,259.69,242.3401,255.58,16655330
2024-11-08,257.67,273.5,257.15,270.74,17431710
2024-11-11,300.305,334.86,296,324.24,42437500
2024-11-12,310.05,327,306.1,319.13,24819580
2024-11-13,325.01,332.35,282.66,284.72,27997390
2024-11-14,290.81,292.5653,274.3006,278.84,17375320
2024-11-15,282.51,306.455,276.0207,305.85,18020590
2024-11-18,301.835,329.59,288.5,325.41,25713700
2024-11-19,322.08,327.24,315.5,324.57,13447870
2024-11-20,332.25,341.75,303.8018,320.01,22875210
2024-11-21,329.95,330.5,288.55,295.23,25187380
2024-11-22,294.885,311.37,290.8,304.64,12187190
2024-11-25,309,317.46,291.2,312.22,14645910
2024-11-26,298.26,309.1999,289.125,293.29,13215740
2024-11-27,302.78,314.29,295.36,310.98,13290830
2024-11-29,311.95,316.3,295.81,296.2,9550236
2024-12-02,302.03,311.47,299.5,302.4,11221110
2024-12-03,296.782,314.43,296.65,309.35,10069340
2024-12-04,312,332,309.12,330.94,15798010
2024-12-05,343.36,349.4928,315.17,320.57,19769910
2024-12-06,328.555,349.75,325.499,343.62,16759230
2024-12-09,339.91,340.16,309.68,310.52,16974810
2024-12-10,318.03,318.7399,298.52,302.42,11930550
2024-12-11,311.85,320.9,308.82,313.81,10253360
2024-12-12,317.76,323.5,307.75,312.96,8324441
2024-12-13,316,317.18,305.25,310.58,5832592
2024-12-16,316.895,326.23,314.77,315.31,11461360
2024-12-17,319.835,323.0666,303.5,311.64,7440580
2024-12-18,308,312.14,275.81,279.86,12615170
2024-12-19,290.64,295.483,268.88,273.92,11708600
2024-12-20,266.13,281.74,261.87,278.71,10009830
2024-12-23,274.52,275.33,263.07,268.15,6853452
2024-12-24,273.22,284,271.86,279.62,4805053
2024-12-26,275.575,279.236,271.39,274.41,4419780
2024-12-27,274.2,274.25,263.21,265.71,5553958
2024-12-30,259.98,260.5,247.6,255.56,7727062
2024-12-31,262.97,263.66,246.37,248.3,5414921
2025-01-02,256.48,262.31,251,257.21,6289520
2025-01-03,259.89,271.59,258.59,270.65,5990830
2025-01-06,279.07,293.6,271.75,287.76,10834990
2025-01-07,286.74,287.58,260.24,264.33,11614720
2025-01-08,263.88,267,252.99,260.01,5951138
2025-01-10,257.77,261.8699,248.05,258.78,5579228
2025-01-13,246.98,251.81,240.77,251.2,7019454
2025-01-14,261.725,263,251,255.37,5704136
2025-01-15,266.87,278.32,264.44,274.93,9113854
2025-01-16,274,285.02,268.14,281.63,6751127
2025-01-17,292,300.3499,289.3299,295.48,11290140
2025-01-21,298.52,303.0999,273.62,294.19,12912360
2025-01-22,290.455,298.7999,286.28,295.85,6668857
2025-01-23,289.735,303.56,287.9,296.01,11534820
2025-01-24,300,310.6125,297.62,298,9763288
2025-01-27,283.7,289.78,265.2,277.99,12238830
2025-01-28,280.495,284.84,276,281.82,4516627
2025-01-29,281.82,294.38,277.01,291,6255868
2025-01-30,293.715,306,293.02,301.3,8637528
2025-01-31,300.86,304.73,287.22,291.33,6534008
2025-02-03,272.98,288.76,269.3,284.41,9517730
2025-02-04,283,289.39,278.63,280.39,6013474
2025-02-05,283.61,285.76,274.56,275.14,5373185
2025-02-06,279.52,284.6,269,270.37,6717660
2025-02-07,274.045,282.57,271.75,274.49,7885553
2025-02-10,280.4,285.558,274.6,280.22,5521775
2025-02-11,277.55,279,265.83,266.9,6914996
2025-02-12,264.39,277.8,263.48,274.9,6362794
2025-02-13,284,302.4,282.5,298.11,18900230
2025-02-14,288.015,291.55,274,274.31,19269690
2025-02-18,278.8,279.18,260.5,264.63,11564810
2025-02-19,265.755,267,257.68,258.67,6813776
2025-02-20,260.66,262.25,250.3701,256.59,6400698
2025-02-21,266.99,267.8,234.76,235.38,17195490
2025-02-24,239.14,240.24,223.6,227.07,12124970
2025-02-25,219.97,222.85,205.12,212.49,15192610
2025-02-26,212.63,218.57,207.99,212.96,7900637
2025-02-27,218.13,221.58,207.79,208.37,8082369
2025-02-28,205.27,216.44,201.1,215.62,9031205
2025-03-03,232.23,233.4,203.44,205.75,15997820
2025-03-04,200.52,218.94,193.09,212.55,13060880
2025-03-05,214.89,223.1499,208,222.45,9581601
2025-03-06,214.51,226.6,213,214.17,8405387
2025-03-07,214.89,222.05,206.77,217.45,8615050
2025-03-10,205.075,206.8398,176.85,179.23,18664120
2025-03-11,186,195.69,183.3039,191.69,11382230
2025-03-12,195.4,199.2,183.75,191.73,9616785
2025-03-13,188.62,188.85,177.11,177.49,9559390
2025-03-14,183.81,186.74,179.16,183.12,9454350
2025-03-17,182,193.24,180.77,188.96,7216486
2025-03-18,185,186.49,178.78,181.14,7408224
2025-03-19,184.8336,193.7774,182.8,189.75,8194232
2025-03-20,185.888,193.93,185.8794,190.38,6717964
2025-03-21,185.57,190.7249,183.75,189.86,7344825
2025-03-24,197.5,203.25,194.415,203.04,9489458
2025-03-25,202.13,206.93,198.34,204.23,7877691
2025-03-26,203,205.9999,192.2906,193.95,7147921
2025-03-27,192.97,195.3256,187.8001,188.58,5426320
2025-03-28,185.72,186.79,172.99,173.93,10040220
2025-03-31,169.38,173.58,163.52,172.23,7781307
2025-04-01,172.82,176.05,168.545,174.52,5489688
2025-04-02,170.57,184.11,170.35,182.95,8208560
2025-04-03,168.58,172.03,164.65,170.76,9556230
2025-04-04,166.02,167.5,147.17,160.55,14570760
2025-04-07,146.042,167.4,142.58,157.28,13251700
2025-04-08,165.2,167.8,147.35,151.47,11117450
2025-04-09,150.08,183.9,150.08,177.09,15257950
2025-04-10,168.5,173.815,159.1125,169.62,11196330
2025-04-11,171.3,178,167,175.5,7769267
2025-04-14,180.5,182.39,172.005,176.58,6427119
2025-04-15,177.74,179.7678,172.3,175.57,5369511
2025-04-16,170.5,174.8,168.5,172.21,5226684
2025-04-17,172.6,177.5,171.3,175.03,5125340
2025-04-21,175.1,177.98,171.4072,175,5054685
2025-04-22,178.79,193.49,178.4,190,12807010
2025-04-23,197.75,200.8,191.52,194.8,9870189
2025-04-24,193.415,204.21,193.1,203.87,6840552
2025-04-25,205.57,211.62,203.74,209.64,8060880
2025-04-28,208.2,208.78,197.42,205.27,7624239
2025-04-29,205.3,207.4,203.135,206.13,4254888
2025-04-30,199.67,203.04,195.55,202.89,4769427
2025-05-01,208.455,208.75,201.16,201.3,6243165
2025-05-02,204.7,209,202.36,204.93,6133292
2025-05-05,201.725,204.11,198.65,199.4,5108712
2025-05-06,195.38,198.76,193.34,196.89,4672601
2025-05-07,199.825,200.4831,193.81,196.56,4857343
2025-05-08,205.305,210.47,202.81,206.5,14389950
2025-05-09,204.52,214.13,198.77,199.32,16384200
2025-05-12,208.94,213.6,205.61,207.22,14944200
2025-05-13,231.71,260.42,231.49,256.9,39119020
2025-05-14,256.855,264.49,253.55,263.41,18344720
2025-05-15,256.5,257.85,240,244.44,25917210
2025-05-16,249.755,270.45,248.83,266.46,72627550
2025-05-19,259.78,267.6,259.7,263.99,12437620
2025-05-20,265.12,265.3599,257.2485,261.38,8624570
2025-05-21,260.2,270.38,257.75,258.99,11747970
2025-05-22,265.13,277.01,263.51,271.95,15613720
2025-05-23,263,268.04,260.34,263.16,9290348
2025-05-27,269.025,270.1,264.67,266.4,7884467
2025-05-28,265.7,265.7,253.8,254.29,8305297
2025-05-29,258.72,258.94,246.76,248.84,7697224
2025-05-30,246.87,249.96,244.13,246.62,6070949
2025-06-02,247.46,249.86,240.91,246.72,6187956
2025-06-03,248.39,260.6,246.2182,258.91,9946425
2025-06-04,257.525,261.57,254.34,256,6026838
2025-06-05,261.05,265.65,240.08,244.2,12017060
2025-06-06,250.525,256.17,249.78,251.27,7360213
2025-06-09,255.66,258.25,252.4,256.63,6064774
2025-06-10,258.875,262.4,251.63,254.94,5857966
2025-06-11,257.21,259.9,249.06,250.68,5986082
2025-06-12,246.515,247.75,239.3459,241.05,7725301
2025-06-13,237.45,243.2,235.292,242.71,7062666
2025-06-16,247.765,263.3,245.32,261.57,12034650
2025-06-17,256.63,259.6275,248.68,253.85,9050764
2025-06-18,254,299.32,251.88,295.29,37434260
2025-06-20,303.58,310.75,298.1,308.38,31468820
