Date,Open,High,Low,Close,Volume
2021-01-04,28.1881,32,31.45,28.1881,652600
2021-01-05,28.8173,32.56,32.02,28.8173,412400
2021-01-06,29.3312,33.49,33.05,29.3312,504100
2021-01-07,30.4832,34.4,33.94,30.4832,409400
2021-01-08,30.0402,34.46,33.38,30.0402,680000
2021-01-11,28.897,33.13,32.29,28.897,478800
2021-01-12,29.4553,33.3,32.57,29.4553,341800
2021-01-13,28.9945,33.38,32.65,28.9945,217400
2021-01-14,29.2426,33.23,32.79,29.2426,237000
2021-01-15,28.3742,32.81,31.7,28.3742,411000
2021-01-19,28.7375,32.52,32.03,28.7375,369300
2021-01-20,29.2426,33.2,32.81,29.2426,254500
2021-01-21,29.2869,33.5,32.86,29.2869,296300
2021-01-22,28.7109,32.5,32.01,28.7109,283800
2021-01-25,28.1793,32.5,31.41,28.1793,332900
2021-01-26,27.7273,31.77,31.03,27.7273,240100
2021-01-27,26.3715,30.46,29.21,26.3715,542700
2021-01-28,27.2577,30.87,30,27.2577,509300
2021-01-29,26.3184,30.73,29.7,26.3184,325600
2021-02-01,27.9223,31.58,30.74,27.9223,883700
2021-02-02,27.6033,31.82,30.89,27.6033,476400
2021-02-03,27.8337,31.65,31.04,27.8337,288500
2021-02-04,27.7096,31.5,31.1,27.7096,279200
2021-02-05,28.321,31.99,31.3,28.321,272500
2021-02-08,29.2781,33.11,32.3,29.2781,513700
2021-02-09,29.6237,33.5,33.17,29.6237,560600
2021-02-10,30.1819,34.55,33.59,30.1819,607200
2021-02-11,30.2706,34.45,33.89,30.2706,340000
2021-02-12,30.2706,34.34,33.7,30.2706,404900
2021-02-16,32.1137,36.51,35.63,32.1137,557000
2021-02-17,32.6277,36.91,36.16,32.6277,549300
2021-02-18,32.929,37.33,36.7,32.929,1131900
2021-02-19,34.8608,39.48,38.25,34.8608,1557700
2021-02-22,35.7469,41.05,40.01,35.7469,1723300
2021-02-23,35.8798,40.52,38.5,35.8798,1493700
2021-02-24,35.6228,40.28,39.14,35.6228,897000
2021-02-25,34.0721,40.4,38.33,34.0721,931400
2021-02-26,32.7695,38.1,36.65,32.7695,925000
2021-03-01,33.5847,38.1,37.46,33.5847,828000
2021-03-02,33.567,38.1,37.22,33.567,927200
2021-03-03,33.6822,38.49,37.66,33.6822,905700
2021-03-04,31.3339,37.41,34.92,31.3339,1537900
2021-03-05,32.2466,36.48,35.07,32.2466,580900
2021-03-08,32.0871,36.63,35.59,32.0871,722600
2021-03-09,32.1758,36.7,35.78,32.1758,579800
2021-03-10,32.2555,36.62,35.99,32.2555,732100
2021-03-11,33.9835,38.48,37.2,33.9835,921500
2021-03-12,33.7354,38.07,37.34,33.7354,320700
2021-03-15,33.5847,38.1,37.46,33.5847,411300
2021-03-16,32.9024,37.81,37.1,32.9024,332200
2021-03-17,33.2746,37.81,36.7,33.2746,251100
2021-03-18,32.5745,37.67,36.64,32.5745,325400
2021-03-19,32.0871,36.49,35.75,32.0871,439300
2021-03-22,32.3087,36.61,36.01,32.3087,300100
2021-03-23,30.5807,35.85,34.36,30.5807,838500
2021-03-24,30.0933,34.79,33.9,30.0933,554800
2021-03-25,29.8895,33.9,32.85,29.8895,487900
2021-03-26,31.2276,35.38,34.4,31.2276,348300
2021-03-29,31.0769,35.26,34.79,31.0769,455500
2021-03-30,31.3162,35.5,34.76,31.3162,190100
2021-03-31,31.5111,35.69,35.32,31.5111,280500
2021-04-01,32.2644,36.44,35.75,32.2644,347900
2021-04-05,33.186,37.7,36.85,33.186,750200
2021-04-06,33.4163,37.9,37.28,33.4163,543900
2021-04-07,33.0707,37.65,37,33.0707,271200
2021-04-08,33.5581,37.94,37.4,33.5581,532800
2021-04-09,33.2125,37.68,37.32,33.2125,148300
2021-04-12,31.9719,37.26,36.01,31.9719,390200
2021-04-13,32.6011,36.85,36.16,32.6011,418300
2021-04-14,33.9569,38.54,37.26,33.9569,1225200
2021-04-15,35.2595,39.83,39,35.2595,1205400
2021-04-16,35.2152,40.02,39.41,35.2152,606300
2021-04-19,35.038,40.3,39.3,35.038,669000
2021-04-20,33.9746,39.64,38.19,33.9746,615900
2021-04-21,34.5329,39,37.76,34.5329,524200
2021-04-22,33.9392,39.01,37.92,33.9392,361600
2021-04-23,34.7544,39.27,38.68,34.7544,855700
2021-04-26,35.9862,40.65,39.8,35.9862,1186800
2021-04-27,35.8975,40.84,40.33,35.8975,669100
2021-04-28,36.0127,40.8,40.02,36.0127,426300
2021-04-29,35.9507,41.76,40.03,35.9507,632300
2021-04-30,34.9671,40.49,39.36,34.9671,792700
2021-05-03,35.4456,40.2,39.7,35.4456,533600
2021-05-04,35.8975,40.58,39.8,35.8975,835700
2021-05-05,37.2622,42.08,40.93,37.2622,1172200
2021-05-06,37.9268,42.83,42,37.9268,1307000
2021-05-07,39.2826,44.36,43.25,39.2826,1871800
2021-05-10,39.8763,46.96,44.9,39.8763,3672600
2021-05-11,39.8763,45.15,43.03,39.8763,1560000
2021-05-12,38.2547,44.8,43.03,38.2547,1619400
2021-05-13,37.1293,43.17,41.27,37.1293,1390300
2021-05-14,37.209,42.19,41.4,37.209,1658800
2021-05-17,37.6255,42.51,41.67,37.6255,1070400
2021-05-18,37.9888,43.44,42.61,37.9888,872500
2021-05-19,36.057,41.7,40.31,36.057,1476000
2021-05-20,35.871,40.8,40.22,35.871,865300
2021-05-21,35.4279,40.99,39.55,35.4279,716000
2021-05-24,35.4102,40.01,39.56,35.4102,524300
2021-05-25,34.8785,40.03,39.15,34.8785,748700
2021-05-26,35.3481,39.95,39.27,35.3481,718200
2021-05-27,36.6596,41.49,40.3,36.6596,1157200
2021-05-28,36.5444,41.49,40.9,36.5444,855600
2021-06-01,37.1559,42.26,41.79,37.1559,1217400
2021-06-02,36.7039,42.15,41.3,36.7039,766400
2021-06-03,35.7203,40.9,40.08,35.7203,1460500
2021-06-04,36.3406,41.15,40.51,36.3406,515300
2021-06-07,35.5254,40.94,39.81,35.5254,742900
2021-06-08,35.3836,40.14,39.57,35.3836,542000
