Date,Open,High,Low,Close,Volume
2024-08-08,25.62,27.18,25.05,26.87,1358473
2024-08-09,26.63,27.68,26.58,27.47,1192403
2024-08-12,27.4,28.17,27.17,27.6,1159156
2024-08-13,27.91,29.005,27.6,28.67,1427722
2024-08-14,28.89,29.1,28.0487,28.73,1015329
2024-08-15,29.5,30.38,29.11,30.34,1795414
2024-08-16,30.11,30.7,29.9,30.42,1189876
2024-08-19,30.37,31.79,29.8415,31.79,1585551
2024-08-20,31.61,32.29,31.5,32,2221675
2024-08-21,32,36.11,31.84,36.08,3730683
2024-08-22,36.16,36.218,34.951,35.22,1868288
2024-08-23,35.71,36.8049,35.48,36.45,3228388
2024-08-26,36.5,36.5,33.93,35.21,2816995
2024-08-27,34.78,35.6,33.75,35.38,1587226
2024-08-28,34.96,35.22,33.18,34.1,1911046
2024-08-29,34,35.95,33.88,35.2,1973650
2024-08-30,35.2,35.85,34.67,34.91,2374560
2024-09-03,34.41,34.41,31.38,31.63,3319992
2024-09-04,31.48,32.06,30.6,31.3,3960665
2024-09-05,27.33,28.21,24.9401,26.65,10574820
2024-09-06,27.5,27.5,24.08,24.38,7003797
2024-09-09,24.79,25.34,24.24,24.26,3018779
2024-09-10,24.53,25.33,24.465,24.9,3459953
2024-09-11,25.11,27.55,25.04,26.65,3691256
2024-09-12,26.55,28.34,26.31,27.77,2838064
2024-09-13,27.99,28.626,27.03,28.51,2188645
2024-09-16,28.24,28.61,27.66,27.76,1751052
2024-09-17,27.9,28.475,26.96,27.24,2085108
2024-09-18,27.24,28.54,27.03,27.05,1794606
2024-09-19,28.3,29.58,28.0001,28.98,2885256
2024-09-20,28.85,29.36,28.31,29.18,3540947
2024-09-23,29.48,30.3,29.16,29.79,1735510
2024-09-24,29.91,29.99,28.75,29.88,1818152
2024-09-25,29.9,30.9499,29.58,29.82,1836443
2024-09-26,31,31.36,29.91,31.23,1882420
2024-09-27,31.3,31.635,30.76,31.45,1836890
2024-09-30,30.94,31.98,30.42,30.8,2691977
2024-10-01,30.88,30.905,29.6111,29.96,1629774
2024-10-02,29.96,30.8,29.16,30.43,1715186
2024-10-03,30.15,32.46,30.0603,30.89,2281977
2024-10-04,31.81,32.7,31.48,32.57,1966795
2024-10-07,32.37,33.0499,31.71,32.54,1870348
2024-10-08,32.83,33.8,32.5,33.71,1551883
2024-10-09,34.39,35.87,34.26,35.17,3138816
2024-10-10,34.85,37.29,34.69,37.24,2319411
2024-10-11,37.06,39,36.6,38.26,3072039
2024-10-14,39.11,40.3706,37.76,38.15,3026646
2024-10-15,38.1,38.29,35.63,36.38,3408928
2024-10-16,36.82,37.5,35.82,36.99,1979357
2024-10-17,37.86,38.76,37.46,37.61,2256406
2024-10-18,37.9,39.06,37.065,37.31,1663739
2024-10-21,37.46,39.95,37.24,39.93,2515484
2024-10-22,39.74,40.19,38.73,39.7,1640239
2024-10-23,39.45,40.33,38.01,38.665,2480735
2024-10-24,38.6,39.3056,38.01,39.01,1422488
2024-10-25,39.4,40.19,38.895,39.18,1641386
2024-10-28,39.22,40.59,38.91,40.14,1918638
2024-10-29,40.32,41.92,40.2301,41.7,1674815
2024-10-30,40.7,41.28,39.69,40.13,1768361
2024-10-31,39.75,39.76,36.89,37.7,3302201
2024-11-01,37.95,40.86,37.95,40.43,3521006
2024-11-04,39.85,40.49,39.24,40.07,1965494
2024-11-05,40.755,42.92,40.6,41.85,2661502
2024-11-06,43.83,44.82,43.0708,44.35,2585595
2024-11-07,45.19,47.13,45.11,47.02,3029832
2024-11-08,47.13,48.32,46.1,48,2901003
2024-11-11,48.33,48.94,45.135,46.48,2227985
2024-11-12,46.8,47.58,45.72,46.45,1931931
2024-11-13,47,47.58,45.855,45.87,1935436
2024-11-14,46,46.4541,41.61,41.9,4080395
2024-11-15,41.42,41.42,39.18,39.76,3817595
2024-11-18,40.15,41.32,39.95,40.6,2068175
2024-11-19,40.18,44.22,40.12,43.94,2205658
2024-11-20,44,44.6,42.25,42.97,1980867
2024-11-21,44.45,47.53,44.37,46.28,3090824
2024-11-22,46.63,47.65,45.8,45.84,2133971
2024-11-25,46.61,48.65,46.43,47.07,3023515
2024-11-26,47.24,48.39,45.83,46.67,2883400
2024-11-27,46.78,47.23,44.81,45.71,2770767
2024-11-29,46.13,51.4,46.085,48.96,2905957
2024-12-02,49.38,49.74,47.49,47.8,6631741
2024-12-03,64.445,72.3,64,70.69,16634630
2024-12-04,72.11,75.3,67.51,69.01,7857288
2024-12-05,69.2,72.27,66.01,70.4,5725468
2024-12-06,70.66,75.315,70,74.23,4595392
2024-12-09,74.12,74.68,66.8,67.03,5667779
2024-12-10,68.68,68.8109,63.12,66.26,3922109
2024-12-11,67.91,70.36,66.53,69.46,4519610
2024-12-12,68.6,70,67.32,68.42,3075300
2024-12-13,71.99,76.525,70.61,75.95,6696979
2024-12-16,78.188,78.97,74.4,77.25,5158347
2024-12-17,76.3,76.44,69.73,69.83,4697964
2024-12-18,71.07,71.7712,64.87,66.46,4526644
2024-12-19,68.46,69.74,65.54,67.04,3065126
2024-12-20,65.51,69.664,64.33,68.51,6449683
2024-12-23,69.69,70.4,67.55,68.92,2273860
2024-12-24,69.75,71.7,68.82,71.22,1574663
2024-12-26,71.5,74.2,71.31,72.02,2571944
2024-12-27,71.54,71.86,67.4,69.29,2915452
2024-12-30,67.67,71.06,66.94,69.6,2298611
2024-12-31,69.39,70.46,67.04,67.21,2742684
2025-01-02,68.66,70.97,65.53,70.93,3056002
2025-01-03,71.765,73.11,69.39,72.39,2900445
2025-01-06,75.415,78.8,75.02,76.64,5725787
2025-01-07,77.06,77.24,71.36,75.28,5360150
2025-01-08,74.54,74.54,69.91,73.02,3719743
2025-01-10,72.31,75.29,70.72,73.8,3841703
2025-01-13,70.21,70.81,67.25,69.04,4340941
2025-01-14,70.88,71.72,68.36,69.39,3121961
2025-01-15,71.5,76,70.63,75.48,4452568
2025-01-16,76.714,78.46,75.2801,75.6,4018766
2025-01-17,77.7,82,75.26,80.02,6461203
2025-01-21,83.75,85.56,76.12,81.52,6235010
2025-01-22,83.75,86.69,83.2,85.5,4873038
2025-01-23,83.57,85.9183,82.5201,84.18,3278851
2025-01-24,84.65,85.343,80.3401,80.47,3291623
2025-01-27,68.26,68.5502,51.8,55.6,20178250
2025-01-28,59.55,60.025,54.81,58.15,8567929
2025-01-29,59.4,60.81,57.23,58.79,5664873
2025-01-30,62.915,66.29,62.61,64.6,5217405
2025-01-31,67.21,76.05,66.88,70.02,9179836
2025-02-03,63.804,72.57,62.51,71.81,6875276
2025-02-04,73.04,76.85,70.5148,76.25,5001791
2025-02-05,77,80.14,74.15,79.59,4492654
2025-02-06,81.41,83.43,78,79.64,4706830
2025-02-07,80.14,82.51,76,77.28,4204618
2025-02-10,78.97,80.22,76.5,77.08,4311543
2025-02-11,75,79.41,73.5,73.56,3480973
2025-02-12,69.68,73.83,68.45,71.35,4600818
2025-02-13,71.19,75.1,69.49,70.48,3880037
2025-02-14,69.52,71.06,64.9301,70.7,4937124
2025-02-18,72.91,76.8187,72,75.24,4399628
2025-02-19,74.48,75.03,70.34,71.76,3558958
2025-02-20,70.75,71.91,65.08,71.28,5387945
2025-02-21,72.15,73.78,66.64,66.78,4181281
2025-02-24,64.95,65.62,58.785,60.225,8294394
2025-02-25,59.01,59.195,53.9,56.97,7192090
2025-02-26,59.61,63.7,58.58,61.29,4812500
2025-02-27,62.74,62.75,52.16,52.6,7391024
2025-02-28,50.54,56.255,48.51,55.18,8884581
2025-03-03,56.8,57.5,49.65,50.42,6847987
2025-03-04,49.01,55.87,48.4,54.32,11929500
2025-03-05,47.205,48.51,43.9,46.73,18851190
2025-03-06,43.58,43.95,39.88,42.07,11877510
2025-03-07,43.25,44.34,39.47,43.7,8374668
2025-03-10,41.822,42.46,38.6954,39.45,6023081
2025-03-11,39.38,43.87,39.2,43.36,6282697
2025-03-12,45.738,47.58,44.87,47.53,7387124
2025-03-13,46.46,47.27,43.86,44.95,3986384
2025-03-14,46.49,49.2,46.21,49.15,5097968
2025-03-17,49.125,49.13,46.15,47.02,5608632
2025-03-18,46.685,47,43.4604,44.07,5275792
2025-03-19,44.61,47.53,43.95,46.77,4636890
2025-03-20,45.58,47.31,45.401,46.49,2653314
2025-03-21,44.92,46.63,43.57,46.34,3273357
2025-03-24,47.665,50.75,47.6,50.53,5601882
2025-03-25,49.536,50.475,48.5787,49.18,3052759
2025-03-26,48.53,48.865,44.18,44.95,4799213
2025-03-27,43.47,43.57,41.31,42.43,6272936
2025-03-28,41.87,42.535,40.18,40.51,3012002
2025-03-31,38.54,40.35,37.41,40.16,5106743
2025-04-01,40,41.73,39.03,41.72,3728020
2025-04-02,40.08,44.773,40.025,43.04,5069816
2025-04-03,38.325,39.21,37.07,37.14,6092461
2025-04-04,33.985,34.1,30.82,33.3,8429048
2025-04-07,30.08,38.99,29.09,35.91,7606482
2025-04-08,38.44,39.94,34.1,35.3,6529042
2025-04-09,36.3,44.28,35.31,43.27,7185372
2025-04-10,41.66,41.66,37.44,38.24,5404688
2025-04-11,37.75,38.985,37.3985,38.72,2543711
2025-04-14,40.83,41.53,37.93,39.1,2801739
2025-04-15,39.23,40.48,38.7,39.18,2443333
2025-04-16,36.915,38.02,36.08,37.72,2794254
2025-04-17,37.16,37.766,36.16,36.63,2411708
2025-04-21,35.65,35.86,33.04,34.86,4360622
2025-04-22,35.665,37.61,35.58,37.02,4446828
2025-04-23,40.74,42.47,39.71,40.49,4368241
2025-04-24,40.8,43.69,40.52,42.39,4466971
2025-04-25,41.99,44.1,41.8801,43.68,2370289
2025-04-28,43.97,44,41.771,43.04,3181438
2025-04-29,43,43.66,42.5437,43.21,2143821
2025-04-30,40.99,43.09,40.175,43.05,3043107
2025-05-01,46.22,47.17,45.15,45.54,3893234
2025-05-02,47.41,48.75,46.7394,48.26,4043469
2025-05-05,47.41,49.44,47.16,48.69,2688806
