Date,Open,High,Low,Close,Volume
2025-08-06,247.72,248.8,245.58,247.72,5834700
2025-08-07,239.47,251.53,235.59,239.47,10010200
2025-08-08,239.11,241.53,236.44,239.11,8812000
2025-08-11,231.32,240.46,230.22,231.32,10740100
2025-08-12,230.31,232.31,225.16,230.31,13178000
2025-08-13,235.65,235.97,228.27,235.65,10209200
2025-08-14,232.01,235.62,231.51,232.01,7544800
2025-08-15,241.03,243.07,233.26,241.03,12942800
2025-08-18,242.55,243.09,238.09,242.55,8809200
2025-08-19,244.56,247.05,242.03,244.56,8642200
2025-08-20,245.01,246.13,243.02,245.01,8195100
2025-08-21,244.4,244.85,238.62,244.4,5646800
2025-08-22,246.84,248.07,242.69,246.84,6694300
2025-08-25,246.42,247.92,245.35,246.42,4957700
2025-08-26,242.32,247.38,241.43,242.32,8862300
2025-08-27,248.7,248.91,244.18,248.7,6506900
2025-08-28,253.05,254.16,248.83,253.05,8461200
2025-08-29,254.76,256.14,251.39,254.76,7363200
2025-09-02,251.38,253.5,247.3,251.38,9312500
2025-09-03,254.95,256.49,249.09,254.95,17417900
2025-09-04,242.59,243.79,233.25,242.59,30967500
2025-09-05,249.3,249.67,242.93,249.3,13029400
2025-09-08,250.8,251.46,245.86,250.8,12602200
2025-09-09,250.59,253.85,249.74,250.59,10901900
2025-09-10,241.15,252.51,240.32,241.15,11363600
2025-09-11,244.84,245.73,242.08,244.84,6944900
2025-09-12,241.34,246.15,239.84,241.34,8386400
2025-09-15,241.11,243.28,239.44,241.11,7244600
2025-09-16,237.91,241.26,235.86,237.91,8779800
2025-09-17,241.22,242,238.4,241.22,10124000
2025-09-18,243.28,246.28,241.95,243.28,9344400
2025-09-19,246.08,246.19,242.35,246.08,11813900
2025-09-22,248.67,249.45,242.16,248.67,7523800
2025-09-23,243.56,250.33,243.13,243.56,7669800
2025-09-24,244.88,247.82,242.01,244.88,6707100
2025-09-25,239.96,243.66,238.51,239.96,8145500
2025-09-26,242.43,243.53,239.36,242.43,4974600
2025-09-29,244.09,244.81,241.87,244.09,6373500
2025-09-30,236.03,244.2,234.84,236.03,10801100
2025-10-01,234.72,241.48,232.55,234.72,10016600
2025-10-02,237.9,238.42,232.64,237.9,7679200
2025-10-03,239.37,241.81,237.52,239.37,8849800
2025-10-06,244.77,249.44,234.44,244.77,13922600
2025-10-07,238.76,246.35,236.58,238.76,8387400
2025-10-08,239.44,240.33,234.68,239.44,7120200
2025-10-09,244.32,244.95,236.18,244.32,7929100
2025-10-10,240.69,248.03,239.73,240.69,7988300
2025-10-13,247.73,248.33,241.38,247.73,8276500
2025-10-14,238.79,247.26,238.57,238.79,9123900
2025-10-15,235.61,240.33,234.93,235.61,8389200
2025-10-16,244.99,255.69,241.67,244.99,24869700
2025-10-17,242.08,249.75,241.17,242.08,10851200
2025-10-20,253.24,254.35,243.3,253.24,9963900
2025-10-21,262.33,266.03,252.96,262.33,13354700
2025-10-22,255.59,261.32,255.46,255.59,9370000
2025-10-23,254,257.5,253.08,254,6110100
2025-10-24,253.78,257.44,252.96,253.78,5490800
2025-10-27,254.42,257.04,253.87,254.42,4942400
2025-10-28,253.22,257.78,253.1,253.22,6435600
2025-10-29,250.43,252.53,248.02,250.43,7904200
2025-10-30,255.6,258.22,248.97,255.6,7767800
2025-10-31,259.34,260.75,251.59,259.34,6878300
2025-11-03,260.27,260.49,254.05,260.27,7054300
2025-11-04,253.4,258.2,252.42,253.4,6792200
2025-11-05,251.64,255.78,250.98,251.64,5241200
2025-11-06,238.29,249.51,233.52,238.29,11041800
2025-11-07,238.9,239.98,234.82,238.9,5741500
2025-11-10,240.72,240.92,234.12,240.72,6486600
2025-11-11,243.5,244.69,240.17,243.5,5762800
2025-11-12,245.01,247.41,242.68,245.01,4278200
2025-11-13,239.44,244.89,238.93,239.44,5542100
2025-11-14,242.66,244.17,236.45,242.66,5512900
2025-11-17,236.06,241.83,234.62,236.06,5280900
2025-11-18,232.54,236.81,229.33,232.54,8045100
2025-11-19,226.95,231.33,224.14,226.95,9710700
2025-11-20,224.45,230.12,222.38,224.45,7521100
2025-11-21,226.18,227.74,221.05,226.18,7479300
2025-11-24,225.89,227.9,224.12,225.89,8563300
2025-11-25,233.16,233.67,225.59,233.16,10233000
2025-11-26,227.21,231.86,225.07,227.21,8506600
2025-11-28,229.59,231.61,227.69,229.59,3691500
2025-12-01,231.87,233.29,227.66,231.87,5634700
2025-12-02,233.75,235.68,230.67,233.75,7626200
2025-12-03,237.74,238.28,232.2,237.74,13782000
2025-12-04,246.44,247.95,236.63,246.44,20912100
2025-12-05,259.5,260.81,248.48,259.5,15852400
2025-12-08,258.47,263.2,255.29,258.47,10805400
2025-12-09,259.95,261.17,257.94,259.95,8045900
2025-12-10,263.12,264.84,258.09,263.12,8894700
2025-12-11,261.27,266.8,259.7,261.27,7783800
2025-12-12,261.15,263.4,259.84,261.15,6006600
2025-12-15,253.54,261.2,252.05,253.54,10271800
2025-12-16,253.86,254.81,251.08,253.86,6145300
2025-12-17,257.08,260.9,255.2,257.08,6269000
2025-12-18,257.21,259.42,255.52,257.21,5654200
2025-12-19,259.26,261.39,254.86,259.26,20732100
2025-12-22,263.97,263.97,257.77,263.97,5664200
2025-12-23,262.77,263.58,259.87,262.77,4745100
2025-12-24,264.6,265.64,261.9,264.6,2076600
2025-12-26,265.42,267.24,264.14,265.42,2456400
2025-12-29,265.57,268.44,264.05,265.57,4300100
2025-12-30,265.26,267.61,264.67,265.26,3291800
2025-12-31,264.25,265.44,263.73,264.25,3367900
2026-01-02,252.99,264.72,251.85,252.99,9680600
2026-01-05,255.62,258.94,251.68,255.62,6421500
2026-01-06,262.24,262.89,254.36,262.24,6103300
2026-01-07,265.46,267.16,262.84,265.46,5976200
2026-01-08,259.88,264.54,259.76,259.88,5243500
2026-01-09,259.29,260.38,255.87,259.29,5174400
2026-01-12,258.75,260.91,255.13,258.75,4927700
2026-01-13,240.46,260.26,239.76,240.46,13661000
2026-01-14,238.97,241.64,235.87,238.97,10149300
2026-01-15,232.95,238.24,231.09,232.95,11489600
2026-01-16,226.54,232.37,225.88,226.54,13902600
2026-01-20,219.52,227.37,218.81,219.52,13050800
2026-01-21,221.03,222.83,218.41,221.03,12616600
2026-01-22,227.52,228.15,220.56,227.52,9483000
2026-01-23,227.48,230.27,226.08,227.48,9408000
2026-01-26,228.83,230.37,227.02,228.83,7239600
2026-01-27,227.96,235.15,225.71,227.96,9838400
2026-01-28,227.39,231.28,227.1,227.39,8465900
2026-01-29,213.55,216.74,208.26,213.55,18555600
2026-01-30,211.76,215.01,210.5,211.76,11090400
2026-02-02,210.28,216.35,209.28,210.28,7950900
