Date,Open,High,Low,Close,Volume
2025-08-06,136.96,137.33,133.1,136.96,7405500
2025-08-07,136.38,149,131.2,136.38,16640900
2025-08-08,130.91,139.75,129.36,130.91,10874900
2025-08-11,128.83,132.55,128.42,128.83,8536100
2025-08-12,128.96,129.9,126.28,128.96,6829400
2025-08-13,128.71,129.86,126.98,128.71,4753800
2025-08-14,124.52,127.9,124.18,124.52,6438900
2025-08-15,127.25,128.22,123.42,127.25,4566500
2025-08-18,129.07,129.55,127.18,129.07,2625400
2025-08-19,128.99,131.23,127.84,128.99,4477100
2025-08-20,128.46,128.73,125.56,128.46,3914700
2025-08-21,129.15,129.24,126.67,129.15,2965100
2025-08-22,131.22,132.38,128.08,131.22,3826900
2025-08-25,128.38,130.89,128.09,128.38,2621600
2025-08-26,126.31,129.02,126.25,126.31,5024400
2025-08-27,131.73,131.86,128.01,131.73,6071200
2025-08-28,140.96,141.36,134.12,140.96,9304200
2025-08-29,136.68,142.5,136.04,136.68,5105200
2025-09-02,134.69,135.6,132,134.69,4848400
2025-09-03,132.6,134.45,131.12,132.6,3718600
2025-09-04,131.78,132.32,129.06,131.78,2955200
2025-09-05,136.08,136.25,132.4,136.08,4851100
2025-09-08,136.44,136.91,134.65,136.44,4757600
2025-09-09,140.46,140.68,136.48,140.46,4493200
2025-09-10,139.13,145.15,138.69,139.13,4859400
2025-09-11,139.15,141.04,138.55,139.15,2819200
2025-09-12,136.5,139.81,136.24,136.5,3034100
2025-09-15,138.65,139.85,136.1,138.65,4719100
2025-09-16,134.59,136.15,132.69,134.59,5104100
2025-09-17,134.23,136.54,132.28,134.23,3558500
2025-09-18,136.81,137.27,134.53,136.81,3718300
2025-09-19,138.82,139.08,135.86,138.82,10124400
2025-09-22,138.35,139.41,134.96,138.35,3740600
2025-09-23,137.49,139.82,136.71,137.49,3857500
2025-09-24,136.57,139.31,135.26,136.57,2806500
2025-09-25,136.6,136.97,133.14,136.6,2171800
2025-09-26,139.07,140.2,135.4,139.07,2755500
2025-09-29,145.26,145.87,139.1,145.26,4559400
2025-09-30,142.4,144.49,139.63,142.4,4305200
2025-10-01,152.7,154.37,143.83,152.7,8079500
2025-10-02,151.57,154.77,150.54,151.57,4948000
2025-10-03,151.82,155.24,151.51,151.82,5141400
2025-10-06,157.36,159.68,153.01,157.36,4732300
2025-10-07,154.52,156.58,152.5,154.52,3375700
2025-10-08,164.12,165.15,154.99,164.12,7521900
2025-10-09,164.07,165.63,162.15,164.07,3396100
2025-10-10,158.74,166.89,158.15,158.74,4062300
2025-10-13,164.2,165,159.93,164.2,2941400
2025-10-14,160.88,162.14,158.3,160.88,2936700
2025-10-15,160.02,162,157.51,160.02,3024800
2025-10-16,151.17,164.54,149.02,151.17,5323600
2025-10-17,152.87,156.24,151.7,152.87,4223900
2025-10-20,156.29,158.08,154.18,156.29,2559200
2025-10-21,156.25,159.04,155.57,156.25,2105100
2025-10-22,154.21,157.55,152.57,154.21,2471000
2025-10-23,156.59,156.83,153.13,156.59,2166900
2025-10-24,156.47,160.2,156.39,156.47,2437400
2025-10-27,157.62,159.31,156.53,157.62,2452900
2025-10-28,157.27,160.12,156.64,157.27,1855800
2025-10-29,156,157.11,154.01,156,4308600
2025-10-30,157.07,159.89,153,157.07,2530600
2025-10-31,162.81,163.59,159.34,162.81,4038300
2025-11-03,162.08,165.58,160.3,162.08,4311400
2025-11-04,157.51,162.88,156,157.51,3815000
2025-11-05,154.98,159.05,154.69,154.98,5345400
2025-11-06,190.82,194.87,177.57,190.82,21307200
2025-11-07,191.24,191.32,180.77,191.24,9288200
2025-11-10,199.72,201.46,191.67,199.72,6580000
2025-11-11,197.86,201.69,196.11,197.86,5251700
2025-11-12,190.89,199.75,188.52,190.89,4670700
2025-11-13,185.97,190.59,185.32,185.97,4452200
2025-11-14,185.01,187.61,179,185.01,3850000
2025-11-17,180.26,184.79,178.95,180.26,3974800
2025-11-18,176.46,180.21,175,176.46,3600200
2025-11-19,176.31,179.5,174.82,176.31,3564800
2025-11-20,159.57,175.46,158.85,159.57,8715500
2025-11-21,157.55,159.84,151.96,157.55,6127600
2025-11-24,158.44,160.17,155.88,158.44,6818000
2025-11-25,158.99,160.59,155.88,158.99,3318800
2025-11-26,158.4,161.72,157.06,158.4,3458300
2025-11-28,160.01,161.6,159.25,160.01,2471900
2025-12-01,157.9,160.35,157.13,157.9,3577200
2025-12-02,156.48,163.43,155.88,156.48,5757700
2025-12-03,155.83,156.39,153.19,155.83,3728900
2025-12-04,153,155.72,151.66,153,3657500
2025-12-05,151.41,153.05,150.07,151.41,6441200
2025-12-08,154.28,156.1,152.52,154.28,3896500
2025-12-09,152.57,153.7,151.38,152.57,2824600
2025-12-10,151.2,153.23,150.64,151.2,2281600
2025-12-11,149.9,151.1,148.62,149.9,2692400
2025-12-12,146,150.18,144.97,146,3725100
2025-12-15,142.05,147.44,141.76,142.05,3823900
2025-12-16,140.05,142.55,138.83,140.05,4047300
2025-12-17,136.71,140.85,136.37,136.71,3790000
2025-12-18,138.29,141.57,137.41,138.29,4380200
2025-12-19,140.39,141.25,137.71,140.39,6302900
2025-12-22,141.84,143.41,140.63,141.84,3049000
2025-12-23,141.23,142.48,138.33,141.23,3084500
2025-12-24,138.04,139.65,135.11,138.04,2005400
2025-12-26,138.32,138.45,137.45,138.32,1256400
2025-12-29,137.94,138.55,137.03,137.94,2095800
2025-12-30,137.48,138.83,137.21,137.48,1615000
2025-12-31,135.99,137.53,135.92,135.99,1603900
2026-01-02,133.77,137.35,132.27,133.77,2565800
2026-01-05,133.64,135.66,132.37,133.64,3828000
2026-01-06,137.1,137.25,131.58,137.1,3631000
2026-01-07,141.45,145.9,137.02,141.45,5865000
2026-01-08,130.68,140.52,130.55,130.68,5476900
2026-01-09,125.49,131.47,125.21,125.49,7057700
2026-01-12,126.57,129.24,124.35,126.57,6778900
2026-01-13,125.5,128.86,123.36,125.5,5210000
2026-01-14,122.41,125.67,120.6,122.41,4841300
2026-01-15,120.86,124.28,120.46,120.86,6196500
2026-01-16,119.02,121.8,117.81,119.02,5871300
2026-01-20,117,119.89,115.82,117,4929200
2026-01-21,123.46,127,118.75,123.46,9731800
2026-01-22,131.25,133.5,127.46,131.25,9645800
2026-01-23,130.13,131.86,129.09,130.13,4073300
2026-01-26,136.64,137.08,130.13,136.64,5395500
2026-01-27,138.21,141.9,136.34,138.21,5931800
2026-01-28,140.56,143.39,139.02,140.56,6364100
2026-01-29,128.18,136.64,125.61,128.18,9773900
2026-01-30,129.32,130.42,127.2,129.32,5338900
2026-02-02,129.05,131.44,127.71,129.05,4691300
2026-02-03,119.66,128.72,117.3,119.66,7743300
2026-02-04,115.71,119.75,113.02,115.71,6621400
2026-02-05,106.73,114.65,105.8,106.73,6563800
2026-02-06,111.69,112.38,105.66,111.69,7125900
2026-02-09,114.01,115.85,111.48,114.01,10282900
2026-02-10,129.67,133.44,123.31,129.67,18828200
2026-02-11,127.33,131.38,122.31,127.33,8463300
2026-02-12,126.13,133.35,121.77,126.13,6416900
2026-02-13,125.2,129.47,122.52,125.2,6395100
2026-02-17,122.56,129.83,120.13,122.56,5108500
2026-02-18,121.78,122.29,115.6,121.78,7061600
2026-02-19,120.6,121.81,118.42,120.6,3703500
2026-02-20,115.66,123.06,114.78,115.66,4549100
2026-02-23,102.61,113.87,101.43,102.61,11431200
2026-02-24,104.43,105.78,98.01,104.43,7572800
2026-02-25,110.33,110.85,104.43,110.33,6218700
2026-02-26,116.46,117.85,112.19,116.46,7108000
2026-02-27,111.96,113.47,109.4,111.96,4953900
2026-03-02,111.11,112.23,108.75,111.11,7207000
2026-03-03,111.77,113.93,105.17,111.77,5269900
2026-03-04,118.33,120.4,111,118.33,5190100
2026-03-05,122.36,125.21,118.55,122.36,4619900
2026-03-06,125.75,126.17,120.27,125.75,4045900
2026-03-09,128.56,128.69,124.08,128.56,4764200
2026-03-10,123.08,129.4,121.95,123.08,4011300
2026-03-11,127.49,127.73,123.25,127.49,3484700
2026-03-12,127.16,131.33,126.45,127.16,3628200
2026-03-13,124.52,129.78,123.24,124.52,3993000
2026-03-16,126.57,129.26,125.39,126.57,3683200
2026-03-17,128.87,132.15,126.01,128.87,2933400
2026-03-18,131.26,133.6,127.39,131.26,3454300
2026-03-19,129.94,133.4,126.73,129.94,4034400
2026-03-20,125.08,128.45,124.47,125.08,10459700
2026-03-23,129.23,130.58,124,129.23,3549700
