Date,Open,High,Low,Close,Volume
2021-01-04,33.376,37.4506,36.3355,33.376,6927203
2021-01-05,33.8226,37.4962,36.2392,33.8226,4051555
2021-01-06,34.1034,38.1298,36.9539,34.1034,5155844
2021-01-07,35.1486,38.6974,37.775,35.1486,4542635
2021-01-08,35.5537,39.2347,38.3933,35.5537,5304213
2021-01-11,34.8217,38.9458,38.3325,34.8217,2937402
2021-01-12,35.3373,38.9052,38.3071,35.3373,2739511
2021-01-13,32.7958,38.003,35.5702,32.7958,15098974
2021-01-14,33.7259,37.4303,36.1176,33.7259,8655156
2021-01-15,34.1909,37.9625,36.9336,34.1909,6529052
2021-01-19,34.4671,38.0284,37.6584,34.4671,4898170
2021-01-20,35.4755,39.1181,37.9726,35.4755,6958771
2021-01-21,35.4064,39.3918,38.4693,35.4064,4772095
2021-01-22,34.9644,38.6113,38.0284,34.9644,2249417
2021-01-25,34.8447,38.7126,37.258,34.8447,2686437
2021-01-26,35.0104,38.7684,37.9878,35.0104,2520508
2021-01-27,34.0067,38.3882,37.1059,34.0067,5637650
2021-01-28,34.0343,38.1095,36.9387,34.0343,5227858
2021-01-29,33.5601,37.8003,36.6802,33.5601,3720683
2021-02-01,34.0482,37.8713,36.8474,34.0482,3231379
2021-02-02,35.5307,39.3969,38.7329,35.5307,8058324
2021-02-03,35.7978,39.701,38.9002,35.7978,2721754
2021-02-04,36.516,40.2129,39.559,36.516,2943321
2021-02-05,36.6541,40.5879,40.1368,36.6541,3535616
2021-02-08,36.8061,40.9072,40.294,36.8061,9876049
2021-02-09,36.6449,40.5119,39.9392,36.6449,8452332
2021-02-10,36.6403,40.5474,39.7466,36.6403,9603578
2021-02-11,36.6035,40.6082,39.4577,36.6035,3077091
2021-02-12,36.8567,40.5778,39.9645,36.8567,3497340
2021-02-16,36.5759,41.0086,39.7719,36.5759,6170952
2021-02-17,36.493,40.5322,39.8429,36.493,3593819
2021-02-18,36.691,40.816,39.6199,36.691,3027174
2021-02-19,37.1882,41.2164,40.5677,37.1882,3269853
2021-02-22,37.1882,41.5509,40.3142,37.1882,5745968
2021-02-23,37.0916,40.9934,39.0421,37.0916,5043975
2021-02-24,37.6118,41.5205,40.7552,37.6118,3969676
2021-02-25,36.6864,41.3583,40.0253,36.6864,5594047
2021-02-26,37.3264,42.1642,40.5474,37.3264,6943776
2021-03-01,38.2564,42.2909,41.0948,38.2564,4621753
2021-03-02,38.0815,42.3568,41.632,38.0815,2937205
2021-03-03,38.4912,42.6609,41.8348,38.4912,5848564
2021-03-04,38.1229,42.7775,41.2772,38.1229,5422791
2021-03-05,39.297,43.4313,42.2554,39.297,6930557
2021-03-08,39.1865,43.9382,43.0512,39.1865,6884981
2021-03-09,39.8218,44.5312,43.5884,39.8218,4318897
2021-03-10,40.3697,44.6579,43.9686,40.3697,4408866
2021-03-11,40.8026,45.3472,44.6021,40.8026,7447286
2021-03-12,40.8946,45.0279,44.4298,40.8946,2858088
2021-03-15,41.1156,45.2712,44.7136,41.1156,5621472
2021-03-16,41.0143,45.5094,44.7339,41.0143,5880329
2021-03-17,42.0273,46.3811,44.668,42.0273,6162468
2021-03-18,40.5677,45.849,44.6275,40.5677,6201731
2021-03-19,40.3467,44.9873,44.3741,40.3467,7791772
2021-03-22,40.2178,44.744,44.0598,40.2178,6212385
2021-03-23,39.4811,44.5768,42.9853,39.4811,5250745
2021-03-24,39.7574,44.298,43.5073,39.7574,5446269
2021-03-25,39.5916,44.0446,43.0309,39.5916,3417039
2021-03-26,40.9729,45.109,43.6949,40.9729,5169063
2021-03-29,40.6138,45.4283,44.4856,40.6138,4094567
2021-03-30,40.7887,45.1343,44.4045,40.7887,4601036
2021-03-31,40.5861,45.109,44.5717,40.5861,3239271
