Date,Open,High,Low,Close,Volume
2021-01-01,0.0057,0.0057,0.0046,0.0057,3019717963
2021-01-02,0.0105,0.014,0.0055,0.0105,46333347255
2021-01-03,0.0098,0.014,0.0093,0.0098,29648808916
2021-01-04,0.0098,0.0115,0.0076,0.0098,14328029441
2021-01-05,0.01,0.0103,0.0089,0.01,5427135672
2021-01-06,0.0104,0.011,0.0096,0.0104,6108894506
2021-01-07,0.0097,0.0106,0.0088,0.0097,3523998014
2021-01-08,0.0097,0.0103,0.0088,0.0097,2971766597
2021-01-09,0.0102,0.0108,0.0096,0.0102,3706408260
2021-01-10,0.0098,0.0109,0.009,0.0098,3113405972
2021-01-11,0.0088,0.0098,0.0067,0.0088,5840909392
2021-01-12,0.0081,0.0091,0.0078,0.0081,2526092815
2021-01-13,0.0087,0.0087,0.0078,0.0087,1818357046
2021-01-14,0.0094,0.0101,0.0083,0.0094,4000190243
2021-01-15,0.0094,0.0098,0.0083,0.0094,3236586057
2021-01-16,0.0092,0.0096,0.0091,0.0092,1640096206
2021-01-17,0.0091,0.0094,0.0088,0.0091,1438377582
2021-01-18,0.0092,0.0093,0.0089,0.0092,1156154741
2021-01-19,0.009,0.0097,0.009,0.009,1749440421
2021-01-20,0.009,0.0091,0.0085,0.009,1162054114
2021-01-21,0.0082,0.0091,0.008,0.0082,1258982248
2021-01-22,0.0085,0.0088,0.0076,0.0085,1152693965
2021-01-23,0.0086,0.0088,0.0084,0.0086,718712164
2021-01-24,0.0087,0.009,0.0085,0.0087,901503263
2021-01-25,0.0084,0.0089,0.0082,0.0084,998144121
2021-01-26,0.0082,0.0085,0.008,0.0082,719489035
2021-01-27,0.0074,0.0082,0.0073,0.0074,1121405247
2021-01-28,0.0365,0.0375,0.0073,0.0365,102989795103
2021-01-29,0.0459,0.0875,0.0313,0.0459,109073693231
2021-01-30,0.0283,0.0509,0.0222,0.0283,54559388569
2021-01-31,0.037,0.0495,0.0268,0.037,44577797729
2021-02-01,0.0348,0.0438,0.0329,0.0348,23868437622
2021-02-02,0.0313,0.0353,0.0288,0.0313,11550248752
2021-02-03,0.0373,0.0398,0.0308,0.0373,12960787222
2021-02-04,0.0529,0.0598,0.0358,0.0529,48795642519
2021-02-05,0.0467,0.0543,0.0432,0.0467,16560079172
2021-02-06,0.0577,0.0589,0.0444,0.0577,17252485844
2021-02-07,0.0779,0.0873,0.0531,0.0779,38837846298
2021-02-08,0.0787,0.0854,0.0622,0.0787,26387019347
2021-02-09,0.07,0.0838,0.063,0.07,14602698981
2021-02-10,0.0726,0.0816,0.066,0.0726,14156312430
2021-02-11,0.0696,0.0756,0.068,0.0696,6327153991
2021-02-12,0.0698,0.073,0.0608,0.0698,7517732599
2021-02-13,0.0662,0.0717,0.0656,0.0662,3844449349
2021-02-14,0.0627,0.0665,0.0556,0.0627,8229158262
2021-02-15,0.0565,0.0642,0.0475,0.0565,11321001492
2021-02-16,0.0535,0.0598,0.0506,0.0535,6643077510
2021-02-17,0.0495,0.0551,0.0478,0.0495,6168131231
2021-02-18,0.0588,0.0646,0.0489,0.0588,13034098004
2021-02-19,0.055,0.0597,0.0537,0.055,6405564988
2021-02-20,0.0542,0.0607,0.051,0.0542,7359009281
2021-02-21,0.056,0.06,0.0532,0.056,5548376495
2021-02-22,0.0536,0.0608,0.0461,0.0536,8420498923
2021-02-23,0.0477,0.0539,0.0413,0.0477,5958874372
2021-02-24,0.0568,0.0606,0.0459,0.0568,11172353520
2021-02-25,0.0499,0.0581,0.0495,0.0499,4913047375
2021-02-26,0.0505,0.0526,0.0484,0.0505,3147923785
2021-02-27,0.0501,0.0521,0.0491,0.0501,2268877377
2021-02-28,0.0482,0.0502,0.0447,0.0482,2384823456
2021-03-01,0.0506,0.0525,0.0479,0.0506,2752580452
2021-03-02,0.0504,0.0525,0.0491,0.0504,2378364146
2021-03-03,0.0504,0.0522,0.05,0.0504,1841086026
2021-03-04,0.05,0.0512,0.0476,0.05,1943532071
2021-03-05,0.0495,0.0511,0.048,0.0495,1714962753
2021-03-06,0.051,0.0526,0.0491,0.051,2749264710
2021-03-07,0.052,0.0525,0.0504,0.052,1494562661
2021-03-08,0.063,0.0631,0.0516,0.063,7572972187
2021-03-09,0.0579,0.063,0.056,0.0579,4412560062
2021-03-10,0.0559,0.0588,0.0545,0.0559,2390746818
2021-03-11,0.0559,0.057,0.0543,0.0559,1647182774
2021-03-12,0.0553,0.057,0.0541,0.0553,1821925239
2021-03-13,0.0628,0.063,0.0547,0.0628,3660176589
2021-03-14,0.0582,0.0637,0.0582,0.0582,5115194076
2021-03-15,0.057,0.0598,0.055,0.057,2409422648
2021-03-16,0.0587,0.0591,0.0553,0.0587,2003574159
2021-03-17,0.0579,0.059,0.0565,0.0579,1162146770
2021-03-18,0.0573,0.0593,0.0569,0.0573,1338098958
2021-03-19,0.0582,0.0599,0.0564,0.0582,1691688848
2021-03-20,0.0588,0.0606,0.058,0.0588,1939829246
2021-03-21,0.0575,0.0596,0.0567,0.0575,1204263965
2021-03-22,0.0549,0.058,0.0544,0.0549,1270766976
2021-03-23,0.0534,0.0561,0.0526,0.0534,1437944729
2021-03-24,0.0515,0.0568,0.0508,0.0515,1666398121
2021-03-25,0.0513,0.0524,0.0496,0.0513,1665397693
2021-03-26,0.0539,0.054,0.0512,0.0539,873797527
2021-03-27,0.0544,0.0554,0.0534,0.0544,1176365221
2021-03-28,0.0537,0.0549,0.0529,0.0537,675382127
2021-03-29,0.0541,0.0547,0.0532,0.0541,977387405
2021-03-30,0.054,0.0556,0.0533,0.054,1399307591
2021-03-31,0.0538,0.0545,0.0513,0.0538,1085164149
2021-04-01,0.0622,0.0714,0.0535,0.0622,15242021778
2021-04-02,0.0576,0.0629,0.0572,0.0576,3415466916
2021-04-03,0.0555,0.0596,0.0555,0.0555,2066362739
2021-04-04,0.0574,0.0582,0.0551,0.0574,1563798693
2021-04-05,0.06,0.0607,0.0562,0.06,2638868932
2021-04-06,0.0644,0.066,0.058,0.0644,4762148739
2021-04-07,0.0588,0.0674,0.0571,0.0588,4840051853
2021-04-08,0.0618,0.0623,0.0586,0.0618,1745571706
2021-04-09,0.0616,0.0643,0.0605,0.0616,2149603024
2021-04-10,0.0637,0.0658,0.0609,0.0637,2780510108
2021-04-11,0.0743,0.08,0.0634,0.0743,14967931146
2021-04-12,0.0707,0.0755,0.0685,0.0707,4300356226
2021-04-13,0.0944,0.0962,0.0706,0.0944,13605840277
2021-04-14,0.1214,0.1454,0.0921,0.1214,36680989724
2021-04-15,0.1824,0.1919,0.1198,0.1824,24615971220
2021-04-16,0.3654,0.45,0.1791,0.3654,57510545356
2021-04-17,0.2823,0.3812,0.231,0.2823,24857057931
2021-04-18,0.3223,0.351,0.2397,0.3223,18379866877
2021-04-19,0.4089,0.4355,0.308,0.4089,20873394140
2021-04-20,0.3173,0.4246,0.27,0.3173,20969142688
2021-04-21,0.3058,0.3477,0.296,0.3058,9460395395
2021-04-22,0.2607,0.3094,0.253,0.2607,11199121834
2021-04-23,0.2498,0.2695,0.1597,0.2498,17170003022
2021-04-24,0.27,0.29,0.2278,0.27,10626242110
2021-04-25,0.2516,0.2893,0.224,0.2516,5726007353.4
2021-04-26,0.2716,0.2808,0.247,0.2716,4881379028.6
2021-04-27,0.2723,0.2799,0.2644,0.2723,3367212939.4
2021-04-28,0.3231,0.348,0.2551,0.3231,13418044375.1
2021-04-29,0.3048,0.326,0.2955,0.3048,4149329330.8
2021-04-30,0.3375,0.34,0.3021,0.3375,4042637011.8
2021-05-01,0.3909,0.3975,0.3276,0.3909,7062340392.2
2021-05-02,0.374,0.4,0.362,0.374,5092764030.1
2021-05-03,0.4414,0.4479,0.3739,0.4414,6428014853.9
2021-05-04,0.5385,0.6119,0.3979,0.5385,21282557921.9
2021-05-05,0.654,0.6966,0.5167,0.654,19076895175.7
2021-05-06,0.5811,0.665,0.54,0.5811,8546432048.7
2021-05-07,0.6898,0.733,0.5172,0.6898,12586268621.3
2021-05-08,0.6371,0.74,0.6,0.6371,11387955620.8
2021-05-09,0.5706,0.7001,0.416,0.5706,26072068896
2021-05-10,0.4507,0.5726,0.4184,0.4507,9677354634.4
2021-05-11,0.4933,0.5485,0.4429,0.4933,7553577270.2
2021-05-12,0.3916,0.522,0.382,0.3916,5372061299.6
2021-05-13,0.4894,0.52,0.3516,0.4894,10449387293.9
2021-05-14,0.5597,0.59,0.4641,0.5597,10623296337
2021-05-15,0.5085,0.5641,0.4901,0.5085,5232752313.5
2021-05-16,0.5137,0.5489,0.45,0.5137,5377121653.3
2021-05-17,0.4875,0.5162,0.4556,0.4875,4268994077.1
2021-05-18,0.4757,0.5154,0.4678,0.4757,3039758659.2
2021-05-19,0.3294,0.4794,0.2111,0.3294,11489907654.4
2021-05-20,0.3976,0.435,0.294,0.3976,8529470589.6
2021-05-21,0.3578,0.412,0.3136,0.3578,5243254333.5
2021-05-22,0.342,0.364,0.3167,0.342,3793145642.7
2021-05-23,0.3063,0.3509,0.2478,0.3063,5634274411.3
2021-05-24,0.3659,0.375,0.2951,0.3659,4854625486.1
2021-05-25,0.346,0.38,0.3214,0.346,3709319825.9
2021-05-26,0.3528,0.3667,0.3363,0.3528,2385684153.7
2021-05-27,0.334,0.3531,0.327,0.334,1794158136.6
2021-05-28,0.3112,0.3475,0.3005,0.3112,2620384686.8
2021-05-29,0.3028,0.3179,0.28,0.3028,2016681043.4
2021-05-30,0.3018,0.3108,0.2865,0.3018,1514854219.6
2021-05-31,0.3256,0.3299,0.2939,0.3256,1897905257.4
2021-06-01,0.3701,0.3848,0.3112,0.3701,4488851727.4
2021-06-02,0.4234,0.4483,0.3511,0.4234,8351828077.5
2021-06-03,0.4008,0.442,0.3772,0.4008,5070741840.7
2021-06-04,0.3763,0.4025,0.35,0.3763,4035854544.9
2021-06-05,0.3713,0.395,0.3597,0.3713,2396911157.1
2021-06-06,0.3714,0.377,0.3663,0.3714,1194622756
2021-06-07,0.3315,0.38,0.3275,0.3315,2064211543.4
2021-06-08,0.3259,0.3418,0.2953,0.3259,2908803652.9
2021-06-09,0.3432,0.3548,0.3123,0.3432,2068160059
2021-06-10,0.3261,0.3452,0.3225,0.3261,1348789846.5
2021-06-11,0.3187,0.3338,0.3107,0.3187,1204137023.4
2021-06-12,0.3122,0.3193,0.3,0.3122,1217468360.1
2021-06-13,0.3239,0.33,0.3074,0.3239,1042596039.8
2021-06-14,0.3277,0.3378,0.32,0.3277,1310349921.9
2021-06-15,0.3203,0.3307,0.3164,0.3203,1015598512.1
2021-06-16,0.3078,0.3215,0.305,0.3078,888434880.9
2021-06-17,0.3062,0.3141,0.3026,0.3062,680701230.2
2021-06-18,0.2933,0.3077,0.28,0.2933,1314700190.7
2021-06-19,0.2857,0.2979,0.2856,0.2857,624846001.4
2021-06-20,0.2805,0.2899,0.2551,0.2805,1528605029.5
2021-06-21,0.1787,0.2814,0.1649,0.1787,7023706752.6
2021-06-22,0.1907,0.2174,0.1632,0.1907,7520083611.8
2021-06-23,0.2347,0.2485,0.1805,0.2347,5839514040
2021-06-24,0.2638,0.2695,0.222,0.2638,3579998951.2
2021-06-25,0.2374,0.2896,0.2289,0.2374,5942192455.5
2021-06-26,0.2458,0.2554,0.2306,0.2458,2653188955.6
2021-06-27,0.2645,0.2675,0.24,0.2645,1968559379.6
2021-06-28,0.2571,0.2673,0.2505,0.2571,1734504424.8
2021-06-29,0.2635,0.2757,0.2525,0.2635,1927372368.1
2021-06-30,0.2539,0.2639,0.2378,0.2539,1610075649
2021-07-01,0.2438,0.2614,0.2382,0.2438,2253058516.9
2021-07-02,0.245,0.2492,0.2384,0.245,1081847381.6
