Date,Open,High,Low,Close,Volume
2021-01-04,87.5112,92.4,88.26,87.5112,253900
2021-01-05,89.6392,92.05,89.2,89.6392,293500
2021-01-06,97.3567,100.03,93.07,97.3567,432700
2021-01-07,99.1611,101.33,98.55,99.1611,195200
2021-01-08,97.1214,101.33,97.82,97.1214,199800
2021-01-11,96.1015,98.6,97.29,96.1015,163800
2021-01-12,97.288,99.35,98.05,97.288,242000
2021-01-13,96.3565,99.35,97.83,96.3565,181600
2021-01-14,97.2587,99.84,98.09,97.2587,126800
2021-01-15,96.3258,99,96.23,96.3258,183100
2021-01-19,96.3553,99.59,97.62,96.3553,252100
2021-01-20,97.1113,99.48,97.95,97.1113,201500
2021-01-21,93.1346,99.05,94.84,93.1346,310200
2021-01-22,95.5108,97.35,94.07,95.5108,271100
2021-01-25,92.408,96.95,92.88,92.408,372600
2021-01-26,92.1919,95,93.38,92.1919,198500
2021-01-27,87.0075,91.96,87.77,87.0075,270500
2021-01-28,89.4917,91.88,89.35,89.4917,250300
2021-01-29,86.7031,90.89,87.88,86.7031,252500
2021-02-01,89.1578,91.16,87.36,89.1578,270400
2021-02-02,90.5325,92.45,90.45,90.5325,108500
2021-02-03,90.4933,92.35,90.45,90.4933,143400
2021-02-04,91.5832,93.43,91.74,91.5832,189800
2021-02-05,92.4374,94.87,93.79,92.4374,156100
2021-02-08,94.0576,96.3,94.49,94.0576,195000
2021-02-09,93.439,96.2,94.36,93.439,147600
2021-02-10,93.7925,96.32,94.26,93.7925,177400
2021-02-11,92.8793,96.01,92.94,92.8793,223900
2021-02-12,91.7599,94.43,93.1,91.7599,161400
2021-02-16,91.9661,94.25,93.08,91.9661,217500
2021-02-17,90.4147,93.57,91.84,90.4147,172300
2021-02-18,88.7847,91.82,89.64,88.7847,246100
2021-02-19,90.5914,92.46,90.61,90.5914,228600
2021-02-22,91.7501,94.11,90.51,91.7501,226700
2021-02-23,93.3703,95.72,92.67,93.3703,211500
2021-02-24,96.9346,98.81,94.57,96.9346,242900
2021-02-25,98.1915,104,97.98,98.1915,582700
2021-02-26,95.609,100.57,97.11,95.609,415300
2021-03-01,99.7429,102.29,98.61,99.7429,396100
2021-03-02,98.2307,101.43,98.88,98.2307,320300
2021-03-03,99.9098,104.42,100.79,99.9098,244500
2021-03-04,98.4664,102.23,99.64,98.4664,315200
2021-03-05,102.5904,105.15,100.68,102.5904,320900
2021-03-08,105.1238,108.63,104.69,105.1238,213600
2021-03-09,105.3889,108.71,106.4,105.3889,237400
2021-03-10,109.8173,112.31,107.23,109.8173,400100
2021-03-11,110.4556,113.46,110.82,110.4556,296700
2021-03-12,113.2148,115.59,112.81,113.2148,264000
2021-03-15,111.8695,114.74,112.11,111.8695,226900
2021-03-16,110.4359,113.61,110.71,110.4359,174400
2021-03-17,111.5553,113.71,110.44,111.5553,242400
2021-03-18,111.084,114.42,112.81,111.084,346300
2021-03-19,110.8189,113.7,110.45,110.8189,803600
2021-03-22,107.8044,113.5,109.05,107.8044,198100
2021-03-23,103.1403,109.46,104.64,103.1403,333800
2021-03-24,104.3579,108.69,105.99,104.3579,295300
2021-03-25,107.6178,110.28,104.85,107.6178,245900
2021-03-26,110.1021,112.4,109.87,110.1021,201900
2021-03-29,108.2561,113.81,109.18,108.2561,220600
2021-03-30,110.8582,113.33,110.2,110.8582,197100
2021-03-31,110.1315,114.56,111.5,110.1315,278000
2021-04-01,111.6044,113.7,111.95,111.6044,215800
2021-04-05,112.1837,115.88,113.62,112.1837,212800
2021-04-06,112.5372,115.78,114,112.5372,298300
2021-04-07,112.1837,115.14,113.35,112.1837,230700
2021-04-08,113.3424,115.62,112.65,113.3424,226700
2021-04-09,114.884,117.48,115,114.884,256900
2021-04-12,116.3863,118.93,117.48,116.3863,221700
2021-04-13,115.1786,118.27,116.1,115.1786,216900
2021-04-14,116.1703,119.39,117.45,116.1703,203700
2021-04-15,116.7306,118.89,117.41,116.7306,185700
2021-04-16,117.8906,120.97,119.23,117.8906,253800
2021-04-19,117.6645,120.03,118.64,117.6645,297000
2021-04-20,116.0229,120.1,116.87,116.0229,217600
2021-04-21,117.2713,120.07,117.93,117.2713,251000
2021-04-22,116.8682,120.59,118.37,116.8682,288800
2021-04-23,118.903,121.88,118.71,118.903,246900
2021-04-26,118.6966,122.4,120.65,118.6966,198700
2021-04-27,118.618,121.93,120.19,118.618,170800
2021-04-28,118.5197,121.28,119.42,118.5197,185400
2021-04-29,119.542,122.05,119.22,119.542,221900
2021-04-30,117.7628,121.93,118.55,117.7628,571100
2021-05-03,118.4705,122.19,120.1,118.4705,596800
2021-05-04,118.6573,121.04,119.39,118.6573,578600
2021-05-05,120.2694,122.51,119.48,120.2694,385200
2021-05-06,121.9896,124.53,122.29,121.9896,232100
2021-05-07,123.1791,125.81,122.04,123.1791,174300
2021-05-10,122.2452,127.33,124.26,122.2452,204800
2021-05-11,122.0585,124.84,122.05,122.0585,235900
2021-05-12,117.4875,124.95,119.34,117.4875,267100
2021-05-13,121.0853,124.12,118.64,121.0853,308800
2021-05-14,122.6581,124.86,122.12,122.6581,211900
2021-05-17,123.0709,125.33,122.74,123.0709,147200
2021-05-18,119.8172,125.59,121.78,119.8172,177100
2021-05-19,119.3749,121.67,119.04,119.3749,244200
2021-05-20,119.7189,122.19,120.35,119.7189,201600
2021-05-21,119.8762,123.89,121.67,119.8762,178400
2021-05-24,120.8297,123.73,121.74,120.8297,134500
2021-05-25,119.2373,123.71,121.25,119.2373,176900
