Date,Open,High,Low,Close,Volume
2021-01-04,23.9,24.2,20.42,23.9,2007700
2021-01-05,23.09,23.64,21.51,23.09,1177000
2021-01-06,23.13,26.277,22.91,23.13,1448900
2021-01-07,26.56,26.9,24.13,26.56,1143800
2021-01-08,28.83,31.03,25.69,28.83,1960400
2021-01-11,30.22,31.765,26.5,30.22,1382400
2021-01-12,30.44,31.68,29.8,30.44,838100
2021-01-13,28.41,31.952,28.1,28.41,1156900
2021-01-14,24.56,29.49,22.28,24.56,4886700
2021-01-15,23.03,24.98,21.1,23.03,3135200
2021-01-19,26.2,26.29,23.5,26.2,1578400
2021-01-20,26.55,27.75,25.08,26.55,1208100
2021-01-21,24.95,26.359,24.6,24.95,843500
2021-01-22,23.48,24.52,22.844,23.48,1255900
2021-01-25,21.9,23.15,21.57,21.9,1667700
2021-01-26,23.11,24.34,21.961,23.11,1280200
2021-01-27,22.57,23.72,21.691,22.57,907900
2021-01-28,23.45,23.84,22.5,23.45,691200
2021-01-29,22.35,23.83,21.81,22.35,700500
2021-02-01,23.22,23.91,22.12,23.22,660100
2021-02-02,24.57,24.9,23.21,24.57,719700
2021-02-03,25.17,25.49,24.144,25.17,406500
2021-02-04,25.53,26.3,24.997,25.53,421500
2021-02-05,25.09,26,24.115,25.09,325500
2021-02-08,24.44,25.84,23.9,24.44,548700
2021-02-09,24.73,25.73,23.61,24.73,684400
2021-02-10,24.81,25.75,24.05,24.81,671500
2021-02-11,26.24,26.48,23.085,26.24,1283200
2021-02-12,25.49,26.88,25.41,25.49,366400
2021-02-16,24.31,26.47,23.88,24.31,759000
2021-02-17,23.83,24.65,23.25,23.83,510000
2021-02-18,23.17,24.19,22.4,23.17,1121400
2021-02-19,23.57,23.99,23.26,23.57,520700
2021-02-22,23.07,25.16,22.6,23.07,873100
2021-02-23,22.26,22.884,20.3,22.26,1266000
2021-02-24,21.93,23.17,21.51,21.93,695300
2021-02-25,19.18,22.425,19,19.18,1153100
2021-02-26,21.26,21.6,19.07,21.26,1190700
2021-03-01,21.08,22.45,20.767,21.08,641300
2021-03-02,21.97,22.37,20.64,21.97,477100
2021-03-03,19.87,22.15,19.7,19.87,740000
2021-03-04,18.13,20.28,16.22,18.13,1708100
2021-03-05,17.62,18,15,17.62,1409200
2021-03-08,15.5,17.91,15.22,15.5,989100
2021-03-09,15.85,17.25,15.735,15.85,655200
2021-03-10,17.34,17.5,16.05,17.34,1135700
2021-03-11,19,19.05,17.412,19,512500
2021-03-12,18.98,19.05,17.9,18.98,318200
2021-03-15,19.9,20.37,19,19.9,643400
2021-03-16,20.07,21.2,19.41,20.07,901800
2021-03-17,21.52,21.57,19,21.52,888900
2021-03-18,19.75,21.33,19.36,19.75,877400
2021-03-19,21.91,22.08,19.753,21.91,2793500
2021-03-22,20.22,21.99,19.98,20.22,1200700
2021-03-23,18.79,20.295,18.58,18.79,1091900
2021-03-24,18.93,19.19,18.53,18.93,1100400
2021-03-25,17.46,18.46,16.85,17.46,1562500
2021-03-26,18,18.91,17.77,18,727600
2021-03-29,18.1,18.5,17.72,18.1,503800
2021-03-30,18.31,18.465,16.87,18.31,1458400
2021-03-31,19.72,19.92,18.46,19.72,487700
2021-04-01,18.14,20.04,17.73,18.14,641400
2021-04-05,18.86,19.19,18.16,18.86,527200
2021-04-06,17.45,19.16,17.35,17.45,939000
2021-04-07,16.96,17.69,16.86,16.96,815400
2021-04-08,16.74,17.1,16.41,16.74,881200
2021-04-09,17.15,17.24,16.57,17.15,209300
2021-04-12,16.41,17.237,16.185,16.41,309700
2021-04-13,15.47,16.846,15.425,15.47,503600
2021-04-14,15.6,16.499,15.38,15.6,645300
