Date,Open,High,Low,Close,Volume
2021-01-01,728.91,749,714.29,728.91,675114.0933
2021-01-02,774.56,787.69,714.91,774.56,1352618.5767
2021-01-03,978.28,1011.07,768.71,978.28,2813603.8862
2021-01-04,1041.43,1162.97,890,1041.43,4245010.94
2021-01-05,1099.56,1134.6,974.45,1099.56,2706995.6752
2021-01-06,1208.42,1213,1057.26,1208.42,2390136.5933
2021-01-07,1224.87,1289,1131,1224.87,1972922.8206
2021-01-08,1216.93,1273.75,1065,1216.93,2131172.9234
2021-01-09,1276,1304.37,1171.36,1276,1448871.1151
2021-01-10,1254.25,1348.33,1170,1254.25,1951179.35
2021-01-11,1087.01,1260,915,1087.01,4099450.9005
2021-01-12,1050.16,1150.02,1006.33,1050.16,2302645.3405
2021-01-13,1129.89,1137.65,987.48,1129.89,1564202.3908
2021-01-14,1231.62,1247.55,1086.7,1231.62,1555737.3856
2021-01-15,1168.53,1256.98,1069.42,1168.53,1944038.8374
2021-01-16,1227.83,1298,1151.77,1227.83,1575384.438
2021-01-17,1232.45,1269.02,1165,1232.45,1317285.0058
2021-01-18,1258.45,1260.75,1182.58,1258.45,998050.1107
2021-01-19,1365.36,1438.3,1251.49,1365.36,2278852.5576
2021-01-20,1376.99,1407.93,1235.42,1376.99,2219137.6214
2021-01-21,1110.96,1390,1086,1110.96,2310208.573
2021-01-22,1232.62,1273.79,1042.31,1232.62,2020593.2167
2021-01-23,1233.6,1272.44,1195.9,1233.6,1009545.0826
2021-01-24,1392.51,1398.83,1220,1392.51,1510879.5382
2021-01-25,1317.88,1475,1293.69,1317.88,1885441.3129
2021-01-26,1365.97,1378.49,1244.56,1365.97,1682923.658
2021-01-27,1239.03,1373.9,1207,1239.03,2009772.0836
2021-01-28,1329.69,1360,1217.23,1329.69,1365269.7196
2021-01-29,1379.5,1436.9,1285.35,1379.5,2253963.1868
2021-01-30,1378.05,1406,1326.41,1378.05,1040042.2363
2021-01-31,1312.55,1380.74,1281.12,1312.55,958704.8557
2021-02-01,1374.17,1377.99,1269.99,1374.17,1096397.9186
2021-02-02,1511.87,1547.9,1360.28,1511.87,1944227.9988
2021-02-03,1664.49,1669.35,1508.39,1664.49,1535869.888
2021-02-04,1595.67,1695.2,1554.44,1595.67,1646502.3296
2021-02-05,1719.19,1760.49,1591,1719.19,1194123.2995
2021-02-06,1676.35,1743.67,1642.94,1676.35,1149808.331
2021-02-07,1611.62,1693,1490.46,1611.62,1281734.8681
2021-02-08,1750.15,1775.57,1563.89,1750.15,1339777.0954
2021-02-09,1769.13,1821.88,1708.49,1769.13,1185071.8959
