Date,Open,High,Low,Close,Volume
2025-08-06,354.05,358.51,350.27,354.05,4507500
2025-08-07,357.07,358.19,350.96,357.07,3057700
2025-08-08,359.72,360.99,356.31,359.72,2139200
2025-08-11,357.02,360.13,354.93,357.02,2850000
2025-08-12,360.18,360.49,355.76,360.18,2488900
2025-08-13,354.42,362.06,348.76,354.42,2751600
2025-08-14,352.05,355.61,349,352.05,1895500
2025-08-15,348.01,351.95,347.26,348.01,1899700
2025-08-18,350.46,351.01,345.71,350.46,1158500
2025-08-19,346,350.46,344.26,346,1870500
2025-08-20,343.24,344.57,336.34,343.24,2454300
2025-08-21,342.41,345.61,341.33,342.41,1455400
2025-08-22,344.62,350.05,342.13,344.62,1964900
2025-08-25,342.79,347.12,342.75,342.79,1251400
2025-08-26,349,350.1,342.74,349,1994900
2025-08-27,348.38,350.64,346.99,348.38,1434500
2025-08-28,352.29,354.09,349.64,352.29,1773100
2025-08-29,346.14,353.46,342.3,346.14,2386100
2025-09-02,340.8,341.64,336.97,340.8,2464100
2025-09-03,340.04,343.1,336.74,340.04,1521200
2025-09-04,345.23,345.28,338.67,345.23,1859300
2025-09-05,346.03,348.26,339.33,346.03,2120700
2025-09-08,346.49,349.55,344.78,346.49,1632000
2025-09-09,345.24,347.26,340.69,345.24,1763300
2025-09-10,359.14,362.29,353.93,359.14,3484000
2025-09-11,356.99,362.17,356.29,356.99,2253200
2025-09-12,362.76,364.52,355.7,362.76,3108400
2025-09-15,372.31,374.91,366.02,372.31,3031500
2025-09-16,368,375.72,366.47,368,2251100
2025-09-17,360.23,368.27,356.19,360.23,3481400
2025-09-18,368.08,370.85,361.32,368.08,1857900
2025-09-19,371.28,372.13,366.8,371.28,3483100
2025-09-22,375.06,379.63,368.72,375.06,2399300
2025-09-23,365.35,378.72,362.91,365.35,2776200
2025-09-24,369.01,370.41,365.06,369.01,2290800
2025-09-25,361.61,365,357.24,361.61,2029100
2025-09-26,362.44,363.36,357.17,362.44,1625400
2025-09-29,364,367.79,363.87,364,1466300
2025-09-30,371.03,371.77,363.3,371.03,1805800
2025-10-01,370.63,374.78,365.92,370.63,1590400
2025-10-02,373.52,378.3,367.61,373.52,1777800
2025-10-03,370.25,374.79,368.42,370.25,1372100
2025-10-06,376.75,382.36,374.32,376.75,1852100
2025-10-07,367.75,381.55,364.33,367.75,2321600
2025-10-08,373.46,375.68,367.04,373.46,2168600
2025-10-09,373.95,378.59,370.08,373.95,1723200
2025-10-10,365.91,384.29,365.91,365.91,2164700
2025-10-13,372.14,375.93,369.63,372.14,2089900
2025-10-14,371.13,375.89,361.23,371.13,1669400
2025-10-15,378.44,382.64,372.17,378.44,1589200
2025-10-16,372.36,383.35,368.95,372.36,1597300
2025-10-17,370.09,375.75,367.08,370.09,1732900
2025-10-20,374.44,375.76,371.38,374.44,1331400
2025-10-21,370.25,375.21,368.25,370.25,2334700
2025-10-22,357.5,376.32,350.52,357.5,4029400
2025-10-23,369.2,370.61,358.25,369.2,1601600
2025-10-24,373.06,378.03,372.89,373.06,1650200
2025-10-27,376.48,377.73,373.29,376.48,1772200
2025-10-28,372.78,377.79,370.22,372.78,1551400
2025-10-29,384.42,386.65,373.05,384.42,2245000
2025-10-30,379.8,386.76,376,379.8,3112800
2025-10-31,378.28,390.21,375.96,378.28,2407300
2025-11-03,383.25,384.06,375,383.25,3254500
2025-11-04,374.47,379.34,349.07,374.47,7551400
2025-11-05,383.18,391.83,374.45,383.18,3075600
2025-11-06,375.19,384.35,371.66,375.19,2235800
2025-11-07,371.58,373.87,362.07,371.58,2604600
2025-11-10,377.35,380.32,370.22,377.35,1801700
2025-11-11,365.76,377.77,364.6,365.76,3103300
2025-11-12,367.24,369.82,364.22,367.24,1962100
2025-11-13,352,366.32,350.31,352,2762400
2025-11-14,350.33,358.89,344.97,350.33,3385200
2025-11-17,340.74,351.42,337.85,340.74,3019500
2025-11-18,336.31,340.99,333.14,336.31,3158100
2025-11-19,343.63,344.19,336.7,343.63,2650800
2025-11-20,326.27,355.68,325.04,326.27,4550600
2025-11-21,329.77,330.27,318.32,329.77,4397400
2025-11-24,328.5,333.67,327.34,328.5,3672800
2025-11-25,334.68,337.08,322.81,334.68,3968800
2025-11-26,339.69,342.58,335.21,339.69,2474500
2025-11-28,343.86,345.85,339.64,343.86,935100
2025-12-01,337.72,341.88,336.42,337.72,2248800
2025-12-02,331.16,341.77,330.93,331.16,3850000
2025-12-03,333.6,334.23,321.68,333.6,3079400
2025-12-04,336.95,338.9,330.55,336.95,2351500
2025-12-05,335.68,339.42,334.03,335.68,1845400
2025-12-08,341.38,343.67,334.16,341.38,3734100
2025-12-09,339.76,346.6,339.55,339.76,2149700
2025-12-10,351.38,352.29,340.21,351.38,2554100
2025-12-11,348.31,349.08,339.56,348.31,2405600
2025-12-12,330.04,347.93,327.47,330.04,3921900
2025-12-15,331.26,334.07,329.78,331.26,2569000
2025-12-16,328,332.35,324.8,328,2527100
2025-12-17,313.97,329.18,310.09,313.97,7694400
2025-12-18,314.1,321.19,312.16,314.1,3826600
2025-12-19,315.94,318.83,313.6,315.94,7357000
2025-12-22,318.51,320.88,316.41,318.51,2080400
2025-12-23,320.92,322.31,317.33,320.92,2196900
2025-12-24,321.77,322.17,319.27,321.77,766500
2025-12-26,320.28,321.64,319.44,320.28,1100800
2025-12-29,319.57,323.52,318.79,319.57,1948700
2025-12-30,318.98,320.39,318.18,318.98,1727000
2025-12-31,316.64,320.11,316.27,316.64,1553900
2026-01-02,325.39,326.29,319.34,325.39,2559600
2026-01-05,320.37,329,320.04,320.37,3381700
2026-01-06,331.02,331.12,313.91,331.02,3246600
2026-01-07,320.78,331.32,318.69,320.78,3166100
2026-01-08,318.7,318.98,313.93,318.7,4582300
2026-01-09,322.61,323.32,318.91,322.61,2690000
2026-01-12,327.17,328.24,321.2,327.17,2166600
2026-01-13,330.43,332.04,327.83,330.43,2524500
2026-01-14,329.2,332.51,326.31,329.2,2148000
