Date,Open,High,Low,Close,Volume
2021-01-04,25.2208,27.76,26.47,25.2208,31398600
2021-01-05,26.3638,28.58,27.11,26.3638,26109100
2021-01-06,28.0273,30.51,28.84,28.0273,40670400
2021-01-07,28.9658,31.78,30.66,28.9658,29770900
2021-01-08,28.9472,31.36,30.11,28.9472,27541700
2021-01-11,28.1759,30.55,28.05,28.1759,22233900
2021-01-12,28.7986,31.08,29.83,28.7986,21250100
2021-01-13,28.399,31.24,30.48,28.399,19828200
2021-01-14,29.7279,32.49,30.97,29.7279,21668100
2021-01-15,28.2038,31.43,30.07,28.2038,19927600
2021-01-19,29.4676,31.92,30.64,29.4676,19517800
2021-01-20,28.78,32.39,30.91,28.78,17343200
2021-01-21,27.9157,31.26,29.92,27.9157,16866800
2021-01-22,28.3339,30.64,28.84,28.3339,17457100
2021-01-25,26.9307,30.69,28.04,26.9307,29254100
2021-01-26,25.1,29.78,26.77,25.1,33161600
2021-01-27,23.9663,26.38,24.71,23.9663,37297900
2021-01-28,25.8249,28.05,26.32,25.8249,26791400
2021-01-29,25.0071,28.17,26.51,25.0071,20156500
2021-02-01,26.2337,28.57,27.57,26.2337,22619600
2021-02-02,26.1501,28.33,27.42,26.1501,17952300
2021-02-03,27.1351,29.26,28.41,27.1351,19500400
2021-02-04,27.6927,29.8,29.05,27.6927,16730700
2021-02-05,29.4862,31.9,30.21,29.4862,33126400
2021-02-08,29.8487,32.35,31.73,29.8487,17556000
2021-02-09,29.7557,32.11,31.02,29.7557,18609800
2021-02-10,29.0309,33.97,31.11,29.0309,39036500
2021-02-11,28.7986,31.67,30.55,28.7986,15555500
2021-02-12,29.0216,31.55,30.58,29.0216,12012400
2021-02-16,30.5735,33.09,32.2,30.5735,28964900
2021-02-17,31.7351,34.58,32.67,31.7351,27492900
2021-02-18,31.7258,34.88,33.55,31.7258,18734500
2021-02-19,34.8389,37.67,35.02,34.8389,40020200
2021-02-22,35.3872,39.1,37.31,35.3872,33293500
2021-02-23,35.1735,37.99,34.88,35.1735,26070200
2021-02-24,35.2106,38.13,36.55,35.2106,25156600
2021-02-25,33.1569,38,35.19,33.1569,25657100
2021-02-26,31.5121,35.4,33.15,31.5121,37782500
2021-03-01,32.4321,35.36,34.24,32.4321,21582800
2021-03-02,32.6923,36.2,34.89,32.6923,21625500
2021-03-03,32.525,36.01,34.51,32.525,18613200
2021-03-04,30.3876,34.76,31.5,30.3876,38045300
2021-03-05,32.5436,35.19,32.5,32.5436,31507000
2021-03-08,31.9953,35.48,33.8,31.9953,24959400
2021-03-09,31.4656,34.17,32.78,31.4656,24411800
2021-03-10,32.0232,34.82,33.66,32.0232,20367800
2021-03-11,34.8203,37.61,35.69,34.8203,25590500
2021-03-12,34.7739,37.49,36.52,34.7739,19752500
2021-03-15,34.3464,37.57,36.56,34.3464,18329100
2021-03-16,32.5157,37.03,34.95,32.5157,21242400
2021-03-17,33.5565,36.58,34.02,33.5565,31499300
2021-03-18,32.9153,37.14,35.28,32.9153,25504200
