Date,Open,High,Low,Close,Volume
2025-08-06,689.17,693.4,679.02,689.17,301700
2025-08-07,693.15,698.71,683.73,693.15,256800
2025-08-08,690.48,707.42,682.81,690.48,376100
2025-08-11,692.03,694.02,686.13,692.03,251900
2025-08-12,717.28,718.67,688.06,717.28,379600
2025-08-13,700.8,731.9,681.4,700.8,662100
2025-08-14,689.08,707.42,687.47,689.08,432700
2025-08-15,680.09,701.2,670.94,680.09,408900
2025-08-18,694.97,694.97,677.63,694.97,266800
2025-08-19,683.15,693.6,680.81,683.15,372500
2025-08-20,680.31,684.29,655.22,680.31,418900
2025-08-21,693.21,694.38,677.63,693.21,311700
2025-08-22,688.7,716.08,687.63,688.7,526200
2025-08-25,690.4,699.21,683.58,690.4,219000
2025-08-26,706.59,708.19,690.49,706.59,430100
2025-08-27,709.02,716.43,702.2,709.02,388100
2025-08-28,729.18,731.97,709.26,729.18,366200
2025-08-29,702.58,728.23,690.66,702.58,375100
2025-09-02,697.82,699.43,669.43,697.82,363100
2025-09-03,699.89,705.12,695.6,699.89,320600
2025-09-04,723.13,723.77,701.08,723.13,343800
2025-09-05,705.51,726.17,681.23,705.51,523800
2025-09-08,715.06,717.57,702.95,715.06,337900
2025-09-09,708.72,716.69,697.27,708.72,311600
2025-09-10,751.25,756.26,721.05,751.25,616700
2025-09-11,764.04,771.34,754.14,764.04,559800
2025-09-12,752.83,769.31,751,752.83,301700
2025-09-15,781.16,781.57,754.14,781.16,397000
2025-09-16,776.3,784.34,768.05,776.3,406100
2025-09-17,762.04,781.81,757.02,762.04,533000
2025-09-18,798.47,805.66,766.46,798.47,366300
2025-09-19,796.8,801.72,781.97,796.8,685900
2025-09-22,820.69,823.35,790.31,820.69,424600
2025-09-23,803.33,824.06,794.15,803.33,332900
2025-09-24,790.56,816.41,786.98,790.56,284400
2025-09-25,780.99,788.77,756.14,780.99,469700
2025-09-26,803.45,807.05,779.11,803.45,287700
2025-09-29,800.89,822.56,798.51,800.89,300100
2025-09-30,824.24,827.03,804.35,824.24,309400
2025-10-01,833.38,842.84,810.83,833.38,296600
2025-10-02,832.03,851.34,819.07,832.03,305000
2025-10-03,817.08,839.83,815.07,817.08,285400
2025-10-06,824.48,842,822.32,824.48,245900
2025-10-07,815.6,835.94,795.1,815.6,349400
2025-10-08,843.66,850.67,816.01,843.66,244300
2025-10-09,833.75,845.93,820.62,833.75,240600
2025-10-10,815.14,857.58,814.18,815.14,312200
2025-10-13,845.03,860.79,831.45,845.03,240200
2025-10-14,830.95,850.53,812.78,830.95,338500
2025-10-15,836.16,849.62,826.24,836.16,480700
2025-10-16,837.83,848.27,826.7,837.83,316600
2025-10-17,826.98,840.94,809.08,826.98,388700
2025-10-20,835.8,853.49,831.32,835.8,259100
2025-10-21,828.42,834.05,811.17,828.42,331600
2025-10-22,789.82,846.72,769.6,789.82,685100
2025-10-23,824.06,835.37,790.46,824.06,653000
2025-10-24,980.55,1001.5,948.92,980.55,1051800
2025-10-27,975.34,1006.53,964.65,975.34,484800
2025-10-28,979.86,988.12,965.34,979.86,357200
2025-10-29,1009.49,1018.57,989.86,1009.49,383000
2025-10-30,962.21,1019.1,956.07,962.21,509200
2025-10-31,964.48,986.08,950.1,964.48,313300
2025-11-03,976.56,981.57,959.21,976.56,235700
2025-11-04,954.87,966.28,924,954.87,398000
2025-11-05,986.66,996.18,954.97,986.66,319100
2025-11-06,956.69,990.88,946.93,956.69,305400
2025-11-07,954.18,955.76,909.07,954.18,488500
2025-11-10,973.03,992.87,963.95,973.03,279800
2025-11-11,953.45,973.84,940.93,953.45,223300
2025-11-12,972.07,979.89,956.7,972.07,309900
2025-11-13,897.05,974.24,891.89,897.05,654700
2025-11-14,909.13,930.91,841.22,909.13,589300
2025-11-17,919.34,937.29,904.58,919.34,401400
2025-11-18,920.51,936.42,895.31,920.51,353700
2025-11-19,930.02,949.46,910.53,930.02,348500
2025-11-20,875.74,975.05,869.43,875.74,650100
2025-11-21,893.62,896.05,849.56,893.62,535300
2025-11-24,944.58,958.33,909.62,944.58,3206200
2025-11-25,956.54,956.76,909.55,956.54,377600
2025-11-26,970.45,982.41,959.77,970.45,342400
2025-11-28,976.43,980.41,964.55,976.43,172500
2025-12-01,960.7,964.45,946.01,960.7,402400
2025-12-02,935.29,988.17,934.46,935.29,465900
2025-12-03,948.81,952.99,909.58,948.81,300300
2025-12-04,1004.13,1006.08,939.51,1004.13,518300
2025-12-05,1000.96,1014.25,976.66,1000.96,381400
2025-12-08,988.97,1036.13,985.6,988.97,647700
2025-12-09,983.1,997.31,977.49,983.1,344900
2025-12-10,1020.83,1028.42,967.8,1020.83,401500
2025-12-11,1024.39,1024.87,974.54,1024.39,438900
2025-12-12,967.45,1023.34,911.93,967.45,869200
2025-12-15,967.98,985.69,960.9,967.98,400300
2025-12-16,968,984.59,952.65,968,428400
2025-12-17,883.33,976.11,878.13,883.33,800100
2025-12-18,918.06,926,895.72,918.06,512500
2025-12-19,940.25,952.35,921.57,940.25,8010000
2025-12-22,950.3,973.84,943.38,950.3,452000
