Date,Open,High,Low,Close,Volume
2025-08-06,8.45,8.65,8.4,8.45,1749600
2025-08-07,9.07,9.39,8.81,9.07,2766000
2025-08-08,9.19,9.39,8.97,9.19,2410000
2025-08-11,9.14,9.41,8.84,9.14,5401000
2025-08-12,7.37,8.32,7.12,7.37,10157000
2025-08-13,7.55,7.63,7.11,7.55,6225500
2025-08-14,7.57,7.68,7.33,7.57,4173900
2025-08-15,7.95,8.69,7.57,7.95,6269400
2025-08-18,8.06,8.48,7.91,8.06,4508000
2025-08-19,7.82,8.19,7.7,7.82,3473400
2025-08-20,7.48,7.86,7.36,7.48,3668800
2025-08-21,6.84,7.5,6.78,6.84,5128800
2025-08-22,7.54,7.64,6.77,7.54,5573000
2025-08-25,7.47,7.73,7.35,7.47,3673400
2025-08-26,7.58,7.84,7.4,7.58,3014400
2025-08-27,7.28,7.6,7.27,7.28,2944300
2025-08-28,7.75,7.76,7.26,7.75,2523500
2025-08-29,7.4,7.85,7.39,7.4,2530800
2025-09-02,6.93,7.22,6.9,6.93,3355700
2025-09-03,6.75,7.2,6.7,6.75,4057200
2025-09-04,6.75,6.89,6.69,6.75,4404400
2025-09-05,7.55,7.59,6.93,7.55,6326000
2025-09-08,7.21,7.6,7.17,7.21,2780500
2025-09-09,6.78,7.25,6.76,6.78,4249400
2025-09-10,6.76,7.25,6.71,6.76,5593400
2025-09-11,6.94,7.09,6.6,6.94,4164800
2025-09-12,7,7.17,6.79,7,7052800
2025-09-15,7.39,7.41,7.09,7.39,3856900
2025-09-16,7.5,8.3,7.48,7.5,5825400
2025-09-17,7.44,7.8,7.26,7.44,3937400
2025-09-18,7.92,8.09,7.54,7.92,5627500
2025-09-19,9.36,9.48,8,9.36,8252800
2025-09-22,10.6,10.86,9.23,10.6,12216800
2025-09-23,10.21,11.15,10.05,10.21,10005600
2025-09-24,11.18,12.1,10.62,11.18,13856600
2025-09-25,11.73,11.97,10.51,11.73,14215100
2025-09-26,11.91,12.15,11.26,11.91,7294300
2025-09-29,11.4,12.88,11.2,11.4,8071700
2025-09-30,10.8,11.34,10.47,10.8,6113700
2025-10-01,13.45,13.52,10.95,13.45,11096700
2025-10-02,13.05,14.15,12.66,13.05,8908000
2025-10-03,13.79,14.22,13,13.79,8837900
2025-10-06,15.26,15.5,13.76,15.26,9559300
2025-10-07,13.83,15.81,13.6,13.83,9486300
2025-10-08,14.96,15.45,14.01,14.96,5916300
2025-10-09,14.9,15.27,14.1,14.9,6402100
2025-10-10,13.09,15.46,12.98,13.09,9816900
2025-10-13,15.89,16.34,13.97,15.89,10184600
2025-10-14,18.45,19.39,15.16,18.45,15089000
2025-10-15,21.44,21.87,19.69,21.44,18888200
2025-10-16,19.58,22.12,18.64,19.58,11333100
2025-10-17,18.33,19.94,18.23,18.33,6882200
2025-10-20,18.45,19.92,18.01,18.45,5775800
2025-10-21,16.26,17.57,16.01,16.26,7328900
2025-10-22,15.22,16.13,14.31,15.22,8524300
2025-10-23,16.03,16.4,15.28,16.03,5512200
2025-10-24,19.52,19.54,17.08,19.52,9200900
2025-10-27,18.74,20.33,18.38,18.74,7749600
2025-10-28,18.1,19.31,17.9,18.1,4433400
2025-10-29,20.28,21.21,18.52,20.28,9075000
2025-10-30,20.47,21.4,19.41,20.47,8803400
2025-10-31,21,21.73,19.95,21,6578000
2025-11-03,20.81,22.44,20.71,20.81,7600500
2025-11-04,19.18,20.99,19.01,19.18,5288200
2025-11-05,20.72,21.72,19.41,20.72,6634700
2025-11-06,19.82,21.2,19.36,19.82,5313400
2025-11-07,20.79,21.06,17.68,20.79,6457800
