Date,Open,High,Low,Close,Volume
2021-01-04,78.12,78.45,75.7242,77.52,140525
2021-01-05,77.22,80.95,77.22,80.45,168561
2021-01-06,81.19,82.3,80.66,81.82,234158
2021-01-07,81.82,83.14,80.78,83,122069
2021-01-08,83.79,84.07,82.57,83.65,97949
2021-01-11,82.38,84.66,82.38,84.58,106184
2021-01-12,85.7,87.06,83.55,84.05,167620
2021-01-13,84.04,84.315,82.8,83.05,104957
2021-01-14,83.25,87.28,82.92,85.53,185979
2021-01-15,84.24,84.685,82.47,82.57,238999
2021-01-19,84.29,86.57,84.29,85.33,244651
2021-01-20,85.78,86.99,84.02,84.56,140585
2021-01-21,85.39,86.55,84.11,85.09,139847
2021-01-22,84.19,86.2,83.98,85.82,134155
2021-01-25,85.77,87.235,84.79,85.53,170484
2021-01-26,85.5,87.02,82.56,83.04,130501
2021-01-27,81.6,82.7498,79.59,80.72,173313
2021-01-28,81.63,81.82,80,80.28,150309
2021-01-29,79.98,80.78,78.44,78.94,195338
2021-02-01,79.59,80.9218,78.83,80.78,153407
2021-02-02,87.95,90,82.46,83.77,436035
2021-02-03,83.33,84.33,81.3,84.1,245550
2021-02-04,84,87.61,83.39,87.47,222563
2021-02-05,87.61,89.46,86.83,89.26,200600
2021-02-08,89.26,90.61,88.9,89.89,178631
2021-02-09,89.8,89.8,88.13,88.24,120267
2021-02-10,88.44,89.35,86.66,87.08,126070
2021-02-11,87.33,88.78,87.21,88.4,153152
2021-02-12,88.13,89,87.39,87.8,84885
2021-02-16,88.5,88.74,87,87.4,122045
2021-02-17,86.54,88.21,86.01,86.16,136313
2021-02-18,85.85,87.01,85.065,86.63,179497
2021-02-19,86.94,88.7,86.53,88.14,150745
2021-02-22,87.21,89.81,86.7675,88.72,142711
2021-02-23,87.64,88.69,86.5,88.12,194971
2021-02-24,88.23,90.33,88.23,90.16,114869
2021-02-25,89.31,90.04,87.66,87.89,224511
2021-02-26,88.21,89.17,86.725,88.33,188448
2021-03-01,90.1,91.68,89.22,91.66,182418
2021-03-02,91.61,91.95,89.0809,89.38,274215
2021-03-03,89.08,89.4,87.01,87.39,138156
2021-03-04,87.01,87.83,84.4,85.13,182330
2021-03-05,86.26,87.22,84.72,86.95,244322
2021-03-08,87.22,87.95,85.83,85.92,118537
2021-03-09,87.45,87.99,86.6,86.85,129089
2021-03-10,88.08,88.71,87.42,88.32,105717
2021-03-11,89.81,92.23,89.39,92.05,162278
2021-03-12,91.97,93.25,91.41,92.93,115596
2021-03-15,92.43,93.33,91.58,93.12,122217
2021-03-16,93.29,94.25,92.63,93.48,106920
2021-03-17,93.23,93.23,91.55,92.5,132508
2021-03-18,91.4,93.42,90.42,90.83,202289
2021-03-19,91.17,91.48,89.37,89.46,549932
2021-03-22,89.41,89.665,87.64,87.8,152862
2021-03-23,86.93,87.76,84.69,85.3,126899
2021-03-24,86.23,87.69,85.51,85.53,256100
2021-03-25,84.83,86.07,83.66,85.38,158929
2021-03-26,85.62,90.96,85.62,90.82,161106
2021-03-29,90.19,92.13,88.72,88.84,191231
2021-03-30,88.52,89.58,87.92,89.56,120849
2021-03-31,90,91.87,89.96,90.39,290445
2021-04-01,90.93,91.91,90.42,91.36,186832
2021-04-05,92.25,93.44,91.68,92.73,119209
2021-04-06,92.73,93.49,90.385,90.52,90593
2021-04-07,90.24,90.6,88.23,88.53,83115
2021-04-08,89.2,89.6,88.29,89.12,140904
2021-04-09,89.05,89.74,88.32,89.43,76050
2021-04-12,89.44,90.07,88.5,89.09,68667
2021-04-13,89.04,89.81,87.85,88.35,96386
2021-04-14,88.47,89.4,87.77,88.49,87486
2021-04-15,89.54,90.05,88.9841,89.93,53603
2021-04-16,90.42,90.42,89.08,89.4,84448
2021-04-19,88.74,89,87.21,88.87,114475
2021-04-20,88.74,89.5485,86.83,87.67,148847
2021-04-21,87.75,89.22,87.75,88.8,95689
2021-04-22,89.48,90.17,88.4,89.08,174988
2021-04-23,89.5,91.98,89.5,91.16,99848
2021-04-26,91.71,92.16,90.85,92.11,90664
2021-04-27,91.64,92.555,91.25,92.28,105834
2021-04-28,91.92,92.2,91.28,92.15,79651
2021-04-29,92.72,93.31,91.1,91.95,141870
2021-04-30,90.83,90.83,85.475,85.62,209556
2021-05-03,86.48,87.03,85.26,86.11,270767
2021-05-04,82.52,85.69,82,84.94,343691
2021-05-05,85.6,86.745,84.66,85.86,95381
2021-05-06,85.42,86.795,85.16,86.23,164654
2021-05-07,86.43,86.5,84.68,85.25,102007
2021-05-10,84.81,85.25,82.81,82.92,155825
2021-05-11,81.52,83.18,81.059,82.04,195987
2021-05-12,80.92,81.87,77.3,77.5,202873
2021-05-13,78.03,79.46,77.71,78.7,402214
2021-05-14,79.7,82.1051,79,81.71,184393
2021-05-17,80.85,81.7589,80.52,81.5,125957
2021-05-18,81.58,82.86,81.01,81.01,144196
2021-05-19,79.6,83.7825,79.6,83.5,191695
2021-05-20,83.68,84.55,83.21,84.5,143513
2021-05-21,84.94,86.05,84.415,84.83,135344
2021-05-24,85.39,87.08,85.39,86.12,141378
2021-05-25,86.31,87.66,85.18,85.58,167329
2021-05-26,85.88,87.78,85.34,87.63,139085
2021-05-27,87.65,89.01,87.4201,89,265423
2021-05-28,89.34,90.13,89.01,89.69,162762
2021-06-01,90.17,90.655,89.48,90.32,175738
2021-06-02,90.82,91.195,89.57,90.88,170899
2021-06-03,90.39,91.88,89.84,91.85,142640
2021-06-04,92.26,93.93,91.97,93.65,139426
2021-06-07,93.76,94.59,93.04,94.08,108613
2021-06-08,94.86,95.83,94.485,95.43,114486
2021-06-09,95.66,95.95,93.94,94.34,103942
2021-06-10,94.64,94.9344,93.54,93.96,115748
2021-06-11,94.5,94.875,93.45,94.09,133222
2021-06-14,93.96,95.16,93.96,94.56,126122
2021-06-15,94.72,95.08,93.77,94.29,126681
2021-06-16,94.61,94.92,92.9301,94.18,122883
2021-06-17,94.26,94.7,93.12,93.9,152166
2021-06-18,92.6,92.6,90.6,91.17,290004
2021-06-21,91.8,94.335,91.25,93.76,155150
2021-06-22,93.29,93.76,92.62,93.4,84787
2021-06-23,93.75,94.19,93.06,93.32,105963
2021-06-24,93.98,95.25,93.42,95.05,100808
2021-06-25,95.32,96.03,95.09,95.29,516787
2021-06-28,95.34,96.21,95.11,95.97,109414
2021-06-29,96.27,97.04,96.11,96.67,62075
2021-06-30,96.47,96.54,95.86,95.87,97852
2021-07-01,96.57,96.57,95.515,95.9,81552
2021-07-02,96.31,96.44,95.04,95.33,80508
2021-07-06,95.33,95.33,92.58,92.83,281377
2021-07-07,92.87,93.72,90.92,91.51,174397
2021-07-08,89.55,92.42,89.43,91.28,155914
2021-07-09,92.09,93.03,91.56,92.81,75758
2021-07-12,93.22,93.35,91.87,93.14,115123
2021-07-13,92.38,93.03,91.74,93.01,88096
2021-07-14,93.81,94.71,92.55,92.72,88033
2021-07-15,92.33,92.35,90.2,91.31,77494
2021-07-16,92.29,92.29,90.22,90.34,100400
2021-07-19,89.69,91.17,89.13,89.85,126052
2021-07-20,90.35,93.25,90.35,92.02,169820
2021-07-21,92.29,94.1,92.29,93.95,96602
2021-07-22,93.81,94.38,91.16,91.44,186900
2021-07-23,91.32,92.3612,90.69,92.22,81024
2021-07-26,92.73,94.27,92.16,92.63,79081
2021-07-27,92,92,88.29,90.29,73153
2021-07-28,90.16,92.83,90.04,92.06,152119
2021-07-29,93,94.2,91.96,93.59,66310
2021-07-30,93.17,94.63,92.9,94.52,91264
2021-08-02,94.82,96.04,93.15,93.34,86308
2021-08-03,93.25,93.88,91.99,93.02,142980
2021-08-04,92.02,93.01,92,92.7,81673
2021-08-05,93.35,93.845,92.6,92.99,59382
2021-08-06,93.49,94.62,92.82,93.44,111574
2021-08-09,93.29,93.86,92.535,93.41,57996
2021-08-10,93.89,93.89,92.51,93.22,64208
2021-08-11,93.55,93.55,92.07,92.78,66640
2021-08-12,93.18,93.98,91.77,91.86,95189
2021-08-13,91.47,91.47,90.16,90.68,98212
2021-08-16,90.6,90.93,89.4,89.5,136094
2021-08-17,94.78,96.57,92.86,96.46,322022
2021-08-18,96.46,99.66,96.08,98.77,213099
2021-08-19,97.65,101.27,97.08,101.05,271233
2021-08-20,101.1,104.05,100.06,104.05,254432
2021-08-23,104.81,105.275,98.88,99.01,310435
2021-08-24,99,100.51,99,99.81,281277
2021-08-25,99.44,99.48,97.74,98.08,213769
2021-08-26,97.65,98.48,96.95,97.87,173123
2021-08-27,98.41,102,98.16,101.35,182302
2021-08-30,101.67,103.99,100.93,103.75,157264
2021-08-31,104,104,101.38,103.02,170548
2021-09-01,103.24,104,101.9401,103.73,106953
2021-09-02,103.73,105.26,102.83,105.11,164566
2021-09-03,104.48,106.43,104.19,105,143278
2021-09-07,104.72,106.45,103.91,104.65,114704
2021-09-08,104.15,105.15,103.325,105.02,99335
2021-09-09,105.4,106.9669,104.78,105.25,123321
2021-09-10,106.24,106.38,103.22,103.49,100914
2021-09-13,104.01,106.43,103.1475,106.21,96660
2021-09-14,106.68,107.69,105.3,106.13,113839
2021-09-15,106.58,107.74,105.2,106.9,137560
2021-09-16,106.9,107.33,105.775,106.68,206996
2021-09-17,106.96,107.66,105.16,105.36,499967
2021-09-20,103.71,104.225,101,102.49,150139
2021-09-21,103.54,103.54,101.77,102.54,64687
2021-09-22,103.28,104.25,102.84,103.82,102539
2021-09-23,104.86,106.88,104.52,106.27,74015
2021-09-24,105.81,106.87,105.51,106.45,103847
2021-09-27,106.57,109.56,106.5,108.81,116770
2021-09-28,108.13,108.81,106.17,106.53,103830
2021-09-29,106.43,107.6,102.65,103.21,193261
2021-09-30,104.33,105.35,101.07,102.51,170222
2021-10-01,103.26,105.84,102.25,104.63,186931
2021-10-04,104.07,104.65,102.41,103.1,97708
2021-10-05,103.21,105.51,102.99,104.74,87493
2021-10-06,103.8,104.38,99.84,100.35,229503
2021-10-07,101.15,103.2,100.62,101.71,182608
2021-10-08,101.8,101.8,100.25,100.94,110814
2021-10-11,100.25,102.67,100.25,101.69,53648
2021-10-12,102.21,102.21,100.49,100.49,100019
2021-10-13,100.77,101.3,99.51,100.26,79955
2021-10-14,101.24,102.535,100.76,101.72,150962
2021-10-15,103.08,103.08,98.17,98.18,185807
2021-10-18,98.57,99.2,96.631,98.81,354189
2021-10-19,99.24,100.09,97.91,97.99,97219
