Date,Open,High,Low,Close,Volume
2025-08-06,89.33,89.5,84.41,89.33,640000
2025-08-07,92.5,94.97,90.92,92.5,841200
2025-08-08,92.88,96.34,91.69,92.88,657500
2025-08-11,90.97,92.45,84.21,90.97,752300
2025-08-12,93.63,93.86,89.67,93.63,384700
2025-08-13,93.33,96.78,92.41,93.33,453100
2025-08-14,91.7,95.85,90.35,91.7,313500
2025-08-15,94.72,95.92,90.15,94.72,550000
2025-08-18,93.75,95.32,91.45,93.75,391800
2025-08-19,86.12,93.32,85.86,86.12,587300
2025-08-20,93.65,93.66,88.73,93.65,528200
2025-08-21,98.31,100.25,92.41,98.31,535000
2025-08-22,103.27,105.61,94,103.27,650400
2025-08-25,102.94,105.5,102.65,102.94,458900
2025-08-26,109.67,109.69,103.7,109.67,478300
2025-08-27,109.11,109.2,103.7,109.11,491900
2025-08-28,107.77,109.64,104.81,107.77,515000
2025-08-29,117.95,118.5,107.9,117.95,627500
2025-09-02,128.06,129.73,118.31,128.06,1113500
2025-09-03,130.54,134.99,127.72,130.54,718700
2025-09-04,126.44,129.59,123.19,126.44,635100
2025-09-05,136.69,140.04,130.48,136.69,750100
2025-09-08,142.98,144.26,138.44,142.98,662600
2025-09-09,140.02,147.24,138.29,140.02,777800
2025-09-10,150.3,150.95,143.2,150.3,497000
2025-09-11,159.21,159.21,148.5,159.21,554600
2025-09-12,159.18,162.37,155.79,159.18,503100
2025-09-15,164.67,167.15,155.25,164.67,554900
2025-09-16,153.38,166.41,150.63,153.38,761500
2025-09-17,150.06,159.44,144.16,150.06,703800
2025-09-18,149.87,150.07,140.13,149.87,560600
2025-09-19,173.37,174.41,150.99,173.37,958100
2025-09-22,188.11,188.82,177.25,188.11,762600
2025-09-23,187.14,195.81,184.68,187.14,777900
2025-09-24,172.86,189.05,172.76,172.86,599400
2025-09-25,179.09,179.38,171.9,179.09,515400
2025-09-26,190.5,192.71,179.69,190.5,766900
2025-09-29,199.03,208,196.87,199.03,829300
2025-09-30,204.88,211.46,191.23,204.88,836900
2025-10-01,210.08,217.35,205.51,210.08,758700
2025-10-02,209,218.9,185.07,209,1312400
2025-10-03,209,215.2,204.78,209,645800
2025-10-06,222.24,230.7,215.68,222.24,925700
2025-10-07,209.87,224.41,207.01,209.87,839800
2025-10-08,228.54,229,215.13,228.54,725000
2025-10-09,198.96,230.82,189.15,198.96,1949200
2025-10-10,198.8,205.99,192.57,198.8,917600
2025-10-13,227.15,228.49,216.68,227.15,922000
2025-10-14,219.1,227.7,213.1,219.1,548700
2025-10-15,245.38,248.5,227.31,245.38,882700
2025-10-16,270.83,276.7,247.9,270.83,1057200
2025-10-17,212.24,250.72,200.02,212.24,2769700
