Date,Open,High,Low,Close,Volume
2025-08-06,663.38,665.12,642.87,663.38,1894900
2025-08-07,644.73,668.21,637.4,644.73,2239900
2025-08-08,647.95,655.1,638.05,647.95,1888700
2025-08-11,649.62,652.27,636.25,649.62,1687600
2025-08-12,656.29,661.67,649.86,656.29,1803400
2025-08-13,633.2,664.98,613.15,633.2,3936400
2025-08-14,624.17,639.16,619.19,624.17,2534400
2025-08-15,620.82,622.93,606.79,620.82,2488200
2025-08-18,623.92,627.44,613.15,623.92,1860400
2025-08-19,602.07,619.89,594.14,602.07,3096700
2025-08-20,603.53,606.7,580.21,603.53,3575800
2025-08-21,604.94,618.91,604.25,604.94,2566600
2025-08-22,606,622.88,601.44,606,2727700
2025-08-25,601.25,613.39,595.99,601.25,2130000
2025-08-26,624.81,627.48,601.98,624.81,2689400
2025-08-27,621.3,628.83,616.91,621.3,1862900
2025-08-28,632.58,645.81,625.68,632.58,2256400
2025-08-29,611.89,633.89,608.27,611.89,2266400
2025-09-02,578.66,592.96,566.86,578.66,5267300
2025-09-03,576.03,585.26,564.44,576.03,3657500
2025-09-04,597.76,599.32,579.04,597.76,3195400
2025-09-05,581.06,603.44,564.51,581.06,3477700
2025-09-08,599.18,604.94,583.91,599.18,2513700
2025-09-09,604.64,606.62,593.73,604.64,1863900
2025-09-10,642.43,644.06,621.91,642.43,3878700
2025-09-11,633.04,652.35,619.01,633.04,4099900
2025-09-12,624.45,645.74,623.05,624.45,2640400
2025-09-15,627.58,638.77,623,627.58,1851900
2025-09-16,616.83,632.41,607.66,616.83,3104100
2025-09-17,613.71,618.03,600.06,613.71,2058400
2025-09-18,609.93,626,609.93,609.93,2245600
2025-09-19,623.07,624.56,595.46,623.07,4107300
2025-09-22,643.24,647.36,619.02,643.24,2566000
2025-09-23,632.3,643.59,621.11,632.3,2427200
2025-09-24,627.87,640.87,623.09,627.87,1617200
2025-09-25,606.45,618.66,592.34,606.45,3202500
2025-09-26,604.11,614.06,597.06,604.11,1845300
2025-09-29,601.37,615.36,595.33,601.37,2188700
2025-09-30,613.82,613.86,602.24,613.82,1818700
2025-10-01,605.09,609.59,593.96,605.09,2423600
2025-10-02,605.17,621.41,602.56,605.17,2044600
2025-10-03,593.95,610.68,586.97,593.95,2668500
2025-10-06,602.16,607.52,592.66,602.16,1950800
2025-10-07,605.06,608.32,590.96,605.06,2161700
2025-10-08,624.35,625.34,597.95,624.35,2286500
2025-10-09,633.16,636.03,620.02,633.16,2414000
2025-10-10,603.5,633.16,601.54,603.5,3003600
2025-10-13,647.11,654.84,612.06,647.11,3406800
2025-10-14,643.28,655.73,614.76,643.28,2890500
2025-10-15,614.87,663.53,612.51,614.87,3246000
2025-10-16,600.94,622.53,594.16,600.94,3500600
2025-10-17,598.95,607.75,590.61,598.95,2747700
2025-10-20,593.27,609.18,592.88,593.27,2634400
2025-10-21,584.55,595.98,580.98,584.55,3956400
2025-10-22,575.23,608.72,532.01,575.23,10333100
2025-10-23,594.35,599.2,579.22,594.35,3952700
2025-10-24,583.61,612.99,583.4,583.61,3694200
2025-10-27,583.61,593.28,579.23,583.61,2842400
2025-10-28,570.22,591.13,564.24,570.22,3589300
2025-10-29,577.2,584.79,568.51,577.2,2808500
2025-10-30,573.3,591.88,568.74,573.3,2305100
2025-10-31,584.36,591.21,575.73,584.36,2789500
2025-11-03,580.48,592.48,575.99,580.48,1853200
2025-11-04,547.23,575.44,540.71,547.23,3994900
2025-11-05,558.95,566.77,540.56,558.95,2844700
2025-11-06,549.43,559.75,544.68,549.43,2215300
2025-11-07,574.36,576.12,538.38,574.36,2823800
2025-11-10,579.02,595.04,567.44,579.02,2555800
2025-11-11,575.31,582.02,562.35,575.31,1748500
2025-11-12,574.63,588.15,573.24,574.63,2026300
2025-11-13,557.42,573.55,536.64,557.42,5166900
2025-11-14,577.54,591.02,542.18,577.54,4037300
2025-11-17,576.25,591.56,569.08,576.25,2998000
2025-11-18,554.19,575.71,552.1,554.19,2986000
2025-11-19,594.57,599.2,560.05,594.57,4212100
2025-11-20,557.28,627.17,556.94,557.28,4874600
2025-11-21,555.1,564.99,529.45,555.1,4872800
2025-11-24,579.71,582.22,557.51,579.71,2748900
2025-11-25,571.79,581.22,552.51,571.79,2356500
2025-11-26,588.93,596.18,578.7,588.93,2223800
2025-11-28,598.97,598.97,587.74,598.97,1006600
2025-12-01,576.13,589.21,574.03,576.13,2302500
2025-12-02,600.77,609.02,584.22,600.77,2890800
2025-12-03,601.16,608.03,574.61,601.16,2754500
2025-12-04,628.27,638.28,602.09,628.27,3698500
2025-12-05,630.47,639.14,620.37,630.47,2348000
2025-12-08,621.07,635.55,606.59,621.07,2540100
2025-12-09,624.46,636.03,612.38,624.46,3017500
2025-12-10,722.03,730.02,678.09,722.03,11396400
2025-12-11,703.26,710.2,680.29,703.26,4830900
2025-12-12,670.81,698,655.49,670.81,5225700
2025-12-15,680.44,694.12,674.1,680.44,3529600
2025-12-16,685.3,698.94,670.11,685.3,3572200
2025-12-17,613.37,693.07,612.27,613.37,6770100
2025-12-18,638.57,657.81,635.68,638.57,4426500
2025-12-19,657.4,659.71,640.74,657.4,4489100
2025-12-22,660.92,670.5,655.92,660.92,2694300
2025-12-23,660.56,663.93,653.12,660.56,1997600
