Date,Open,High,Low,Close,Volume
2025-08-06,310.5,311.24,309.84,310.5,7418200
2025-08-07,313.12,313.14,310.7,313.12,10891500
2025-08-08,313.05,313.53,311,313.05,19886800
2025-08-11,308.55,309.66,307.63,308.55,10326700
2025-08-12,308.27,309.31,306.71,308.27,9697400
2025-08-13,309.21,310.39,308.45,309.21,4718600
2025-08-14,307.25,308.34,306.52,307.25,5817700
2025-08-15,307.43,308,306.87,307.43,5990100
2025-08-18,306.95,307.89,306.63,306.95,6150100
2025-08-19,305.27,307.48,305.19,305.27,5029900
2025-08-20,308.36,308.47,307.4,308.36,6515400
2025-08-21,307.29,308.15,307.03,307.29,4809000
2025-08-22,310.58,311.02,306.43,310.58,8526500
2025-08-25,309.83,310.84,309.67,309.83,4044400
2025-08-26,312.08,312.21,310.31,312.08,11698500
2025-08-27,312.71,312.91,310.77,312.71,4320100
2025-08-28,315.03,315.08,313.07,315.03,9610200
2025-08-29,318.07,318.09,314.64,318.07,15642600
2025-09-02,325.59,325.92,320.24,325.59,21247500
2025-09-03,328.14,329.45,326.73,328.14,16062200
2025-09-04,326.69,327.56,325.35,326.69,11703100
2025-09-05,331.05,331.44,328.93,331.05,16065200
2025-09-08,334.82,335.67,333.23,334.82,18617300
2025-09-09,334.06,338.31,333.85,334.06,21641900
2025-09-10,335.26,336.5,326.19,335.26,11945700
2025-09-11,334.76,335.16,332.97,334.76,9082600
2025-09-12,335.42,336.39,335.23,335.42,9619700
2025-09-15,338.91,339.28,336.23,338.91,10569900
2025-09-16,339.59,340.88,338.62,339.59,12161500
2025-09-17,336.97,341.24,335.52,336.97,16535300
2025-09-18,335.62,336.32,333.81,335.62,14913300
2025-09-19,339.18,339.23,336.31,339.18,14982600
2025-09-22,345.05,345.07,341.84,345.05,12386400
2025-09-23,346.46,348.75,345.32,346.46,18384000
2025-09-24,343.32,346.83,342.14,343.32,12709100
2025-09-25,344.75,345.83,342.47,344.75,12639600
2025-09-26,346.74,348.25,345.31,346.74,11698200
2025-09-29,352.46,352.83,351.28,352.46,15719600
2025-09-30,355.47,355.57,350.87,355.47,13312400
2025-10-01,356.03,356.97,354.79,356.03,15573600
2025-10-02,354.79,358.67,351.4,354.79,16162100
2025-10-03,357.64,358.14,355.8,357.64,14464000
2025-10-06,364.38,365.3,361.37,364.38,17093700
2025-10-07,366.26,367.27,364.55,366.26,16836800
2025-10-08,372.3,373.57,370.5,372.3,28052300
2025-10-09,365.43,373.22,362.83,365.43,33674800
2025-10-10,369.12,370.31,365.44,369.12,24192800
2025-10-13,378.09,378.86,375.58,378.09,18514400
2025-10-14,380.79,382.38,377.9,380.79,18409600
2025-10-15,387.39,387.76,384.59,387.39,20598300
2025-10-16,396.45,396.87,390.4,396.45,33621400
2025-10-17,388.99,397.28,385.22,388.99,62025000
2025-10-20,403.15,403.3,394.2,403.15,34523000
2025-10-21,377.24,388.89,375.65,377.24,54101400
2025-10-22,377.28,378.47,368.93,377.28,30524100
2025-10-23,378.79,382.25,378.65,378.79,13695500
2025-10-24,377.52,380.77,376.81,377.52,13263800
2025-10-27,367.01,371.59,365.34,367.01,23657600
2025-10-28,364.38,365.3,360.12,364.38,19257600
2025-10-29,363,370.08,361.36,363,18891800
2025-10-30,370.13,370.36,364.5,370.13,14812800
2025-10-31,368.12,370.66,365.5,368.12,11077900
2025-11-03,368.78,370.84,367.54,368.78,7254300
2025-11-04,362.32,365.74,361.39,362.32,11540100
2025-11-05,366.51,367.1,364.65,366.51,8357300
