Date,Open,High,Low,Close,Volume
2024-08-22,46.93,47.115,46.05,46.12,1918582
2024-08-23,46.62,47.19,46.13,46.98,1034437
2024-08-26,46.29,47.57,46.29,47.3,978200
2024-08-27,47.21,47.8099,46.57,47.01,758823
2024-08-28,46.97,47.34,45.47,46.1,1514728
2024-08-29,46.61,48.75,46.61,47.89,1199479
2024-08-30,47.97,48.38,46.4301,47.4,3248887
2024-09-03,46.63,47.11,44.5,44.68,5198681
2024-09-04,50.43,54.88,50.19,54.35,13611620
2024-09-05,54.72,56.899,54.36,55.85,4384036
2024-09-06,55.75,56.03,52.86,53.09,2322643
2024-09-09,53.85,54.8,52.8211,53.5,1765853
2024-09-10,53.99,56.33,53.25,56.2,2399878
2024-09-11,56.11,56.64,54.41,55.29,1516208
2024-09-12,54.42,54.55,53.1202,54.15,1636225
2024-09-13,54.31,55.33,53.92,54.49,1464191
2024-09-16,54.46,54.46,52.65,52.74,2232033
2024-09-17,53.33,53.33,51.3,51.63,1604681
2024-09-18,51.12,52.47,50.54,51.17,1416228
2024-09-19,52.58,53.86,52.08,52.35,1901685
2024-09-20,51.9,52.5,51.48,52.05,2041233
2024-09-23,52.58,53.8421,52.299,53.18,2154698
2024-09-24,53.45,53.79,52.52,53.09,1014247
2024-09-25,52.9,53.48,51.57,51.65,1111024
2024-09-26,52.23,52.45,50.35,51.41,1205467
2024-09-27,51.72,51.82,50.85,51.65,948113
2024-09-30,51.38,52.06,50.215,51.54,980979
2024-10-01,51.55,51.55,49.2732,49.68,1175551
2024-10-02,50.04,50.54,49.53,50.23,1160170
2024-10-03,49.09,50.06,48.53,48.76,1155835
2024-10-04,49.8,50.465,48.925,50.16,1066734
2024-10-07,50.29,50.7481,49.16,49.47,1132467
2024-10-08,49.58,50.28,49.03,49.97,1013363
2024-10-09,52.66,53.99,51.74,53.84,3679954
2024-10-10,53.25,55.19,53.25,54.36,1611714
2024-10-11,54.41,55.55,54.12,54.73,1596311
2024-10-14,54.96,55.39,53.74,54.97,947670
2024-10-15,55,55.2,54.03,54.42,857266
2024-10-16,54.75,54.75,53.5001,54.35,839820
2024-10-17,54.28,55.09,53.84,54.43,1060921
2024-10-18,55.19,56.605,54.33,55.34,1992137
2024-10-21,57.17,57.9,55.17,55.43,1783258
2024-10-22,55.2,55.2,53.885,54.85,1589321
2024-10-23,54.55,54.6199,52.44,53.06,1064229
2024-10-24,53.93,56.58,53.815,55.64,1824015
2024-10-25,56,56.93,54.77,55.12,946798
2024-10-28,55.53,55.99,53.71,53.88,1279254
2024-10-29,53.95,55.73,53.591,54.73,902247
2024-10-30,55.37,55.65,54.21,54.56,1204298
2024-10-31,54.5,54.92,53.28,53.75,1072289
2024-11-01,55.73,57.34,54.815,56.94,2165299
2024-11-04,56.94,56.94,55.08,55.99,1171963
2024-11-05,55.45,56.99,55.44,56.42,854487
2024-11-06,57.93,60.68,57.93,60.21,2609862
2024-11-07,60.09,61.66,59.15,61.19,1555832
2024-11-08,60.6,61.04,58.72,60.5,1195295
2024-11-11,61.96,62.5823,60,60.15,2535408
2024-11-12,59.73,60.5,59,59.95,1028020
2024-11-13,60.15,63.34,60.15,60.93,1987981
2024-11-14,60.58,62.4,59.3905,61.15,2159480
2024-11-15,61.59,61.59,58.18,59.87,1605511
2024-11-18,59.73,60.07,58.47,59.96,1314418
2024-11-19,58.85,61.01,58.52,60.91,1701985
2024-11-20,61.14,62.18,59.76,62.15,1846669
