Date,Open,High,Low,Close,Volume
2025-08-06,51.13,55.7,50.22,51.13,46133300
2025-08-07,51.05,53.53,50.25,51.05,32134500
2025-08-08,51.94,52.71,50.42,51.94,23206200
2025-08-11,49.98,52.1,49.56,49.98,27019900
2025-08-12,47.96,48.98,47.25,47.96,30022400
2025-08-13,48.33,48.65,46.76,48.33,19269100
2025-08-14,47.13,47.8,45.28,47.13,24049200
2025-08-15,46.02,47.35,45.34,46.02,18163400
2025-08-18,45.1,45.76,44.55,45.1,21557700
2025-08-19,42.18,45.1,41.92,42.18,22071400
2025-08-20,43.38,43.66,40.93,43.38,24709600
2025-08-21,43.96,44.93,42.98,43.96,27665700
2025-08-22,44.57,45.71,42.63,44.57,28003400
2025-08-25,42.99,44.83,42.97,42.99,17811100
2025-08-26,45.35,46.29,43.1,45.35,29415900
2025-08-27,44.01,45.92,43.99,44.01,19903400
2025-08-28,44.12,45.1,43.8,44.12,17802000
2025-08-29,42.35,44.49,42.21,42.35,16151100
2025-09-02,41.53,42.14,40.78,41.53,14391200
2025-09-03,44.46,45.67,42.5,44.46,30523600
2025-09-04,48.11,48.29,44.3,48.11,44797900
2025-09-05,48.41,49.16,46.86,48.41,24064500
2025-09-08,49.64,51.58,49.09,49.64,34988000
2025-09-09,47.79,50.46,47.48,47.79,22266900
2025-09-10,47.78,51.42,47.52,47.78,29097500
2025-09-11,51.76,52.49,48.6,51.76,34586700
2025-09-12,55.5,55.93,50.25,55.5,35502300
2025-09-15,53.96,56.52,53.91,53.96,28041700
2025-09-16,50.89,54.34,48.69,50.89,49261600
2025-09-17,50.35,51,49.17,50.35,26977800
2025-09-18,56.2,56.31,50.27,56.2,37206000
2025-09-19,57.82,59.36,56.17,57.82,36251600
2025-09-22,57.7,58.94,56.43,57.7,18736300
2025-09-23,56,57.73,55.31,56,22345900
2025-09-24,53.25,56.76,53.02,53.25,23273000
2025-09-25,54.87,55.1,50.7,54.87,22269400
2025-09-26,58.4,58.4,54.11,58.4,27271500
2025-09-29,59.12,60.55,58.25,59.12,26127900
2025-09-30,56.72,59.17,55.78,56.72,20804800
2025-10-01,56.31,57.61,55.09,56.31,24723500
2025-10-02,57.87,59.27,56.75,57.87,25918200
2025-10-03,52.54,58.93,52.51,52.54,35805500
2025-10-06,54.76,54.79,52.7,54.76,27144400
2025-10-07,57.97,58.25,54.5,57.97,33007600
2025-10-08,58.17,60.13,57.04,58.17,32546700
2025-10-09,58.25,59.99,56.25,58.25,19685700
2025-10-10,53.95,59.22,53.02,53.95,31952800
2025-10-13,54.73,56.27,53.84,54.73,23360300
2025-10-14,54.02,55.14,51.73,54.02,21104000
2025-10-15,62.76,65.3,54.44,62.76,55066000
2025-10-16,59.15,63.63,57.81,59.15,38182400
2025-10-17,49.78,57.45,49.6,49.78,74581700
2025-10-20,51.36,52.41,50.22,51.36,30101300
2025-10-21,49.36,51.36,49.25,49.36,29718000
2025-10-22,47.46,48.9,46.15,47.46,23866300
2025-10-23,48.49,48.59,46.89,48.49,18463700
2025-10-24,48.78,50.99,48.76,48.78,16063500
2025-10-27,48.23,50.19,48.16,48.23,16742100
2025-10-28,47.12,49.17,47.12,47.12,13822100
2025-10-29,46.63,48.46,46.03,46.63,19797100
2025-10-30,44.06,46.92,44.05,44.06,17049000
2025-10-31,45.46,47.24,45,45.46,21891900
2025-11-03,44.39,47.15,44.01,44.39,40539900
2025-11-04,42.79,48.34,42.4,42.79,61191400
2025-11-05,43.73,46.82,43.68,43.73,36297500
2025-11-06,41.52,44,39.84,41.52,43246900
2025-11-07,41.03,41.28,39.34,41.03,28934600
2025-11-10,41.05,42.7,40.22,41.05,21798900
2025-11-11,39.75,41.28,38.87,39.75,22892200
2025-11-12,39.02,40.25,38.26,39.02,21967400
2025-11-13,36.05,38.96,35.78,36.05,34913200
2025-11-14,36.98,38.09,34.93,36.98,31484900
2025-11-17,35.58,37.63,33.91,35.58,30155500
2025-11-18,36.26,36.74,34.13,36.26,26537300
2025-11-19,35.83,36.6,34.43,35.83,20963500
2025-11-20,33.62,37.22,33.47,33.62,28325500
2025-11-21,34.71,34.99,32.88,34.71,18775400
2025-11-24,37.78,38.14,35.01,37.78,20835800
2025-11-25,37.09,38.36,36.9,37.09,14394300
2025-11-26,38.4,38.79,37.36,38.4,13448300
2025-11-28,39.76,39.87,38.52,39.76,9363600
2025-12-01,37.51,39.25,37.47,37.51,13564100
2025-12-02,36.31,38.28,36.22,36.31,12076000
2025-12-03,37.07,37.12,35.78,37.07,10875200
2025-12-04,40.02,40.46,37.72,40.02,24755200
2025-12-05,39.2,40.99,39.17,39.2,22174100
2025-12-08,39.12,39.6,38.24,39.12,9713100
2025-12-09,39.82,40.74,38.93,39.82,12617600
2025-12-10,37.88,39.78,37.61,37.88,16426400
2025-12-11,37.77,37.86,36.65,37.77,10260300
2025-12-12,37.21,38.88,36.85,37.21,10345200
2025-12-15,36.25,38.03,35.68,36.25,11294500
2025-12-16,36.86,36.9,35.41,36.86,10360000
2025-12-17,34.97,37.61,34.9,34.97,11451500
2025-12-18,34.77,36.03,34.31,34.77,11728300
2025-12-19,35.56,35.86,34.6,35.56,13764600
2025-12-22,35.05,36.27,34.78,35.05,12908200
2025-12-23,34.8,35.14,34.1,34.8,9523700
2025-12-24,34.67,35.04,34.13,34.67,4922700
2025-12-26,34.31,34.62,33.5,34.31,9909800
2025-12-29,34.1,34.75,33.8,34.1,9225200
2025-12-30,33.04,34.42,33.04,33.04,11262600
2025-12-31,32.47,32.95,32.06,32.47,14117900
2026-01-02,33.41,33.73,32.05,33.41,13320900
2026-01-05,34.71,35.83,33.19,34.71,17344400
2026-01-06,35.46,35.95,34.32,35.46,11836300
2026-01-07,35.46,36.45,34.94,35.46,10986400
2026-01-08,33.87,35.16,33.51,33.87,15611100
2026-01-09,31.69,34.35,31.66,31.69,25399600
2026-01-12,32.34,32.76,29.92,32.34,25633800
2026-01-13,32.2,33.27,31.71,32.2,15262300
2026-01-14,31.32,32.04,30.75,31.32,15132500
2026-01-15,31.23,31.66,30.73,31.23,13666300
2026-01-16,31.38,31.82,30.64,31.38,14591200
2026-01-20,30.47,31.3,30.02,30.47,16471800
2026-01-21,28.89,30.64,27.96,28.89,27909600
2026-01-22,30.52,30.77,29,30.52,14169200
2026-01-23,29.62,30.99,29.4,29.62,14237400
2026-01-26,30.28,30.95,29.42,30.28,12684500
2026-01-27,29.68,30.17,28.93,29.68,16634000
2026-01-28,28.67,29.98,28.33,28.67,15053600
2026-01-29,29.87,30.7,28.47,29.87,22116300
2026-01-30,27.09,30.27,26.87,27.09,21908300
2026-02-02,26.44,27.4,26.42,26.44,13612500
2026-02-03,25.54,26.82,24.64,25.54,21365600
2026-02-04,24.4,27.2,23.99,24.4,31676000
2026-02-05,23.48,27.77,22.95,23.48,71253500
2026-02-06,23.02,23.62,21.12,23.02,46351700
2026-02-09,19.33,19.52,16.35,19.33,144202400
2026-02-10,17.24,19.38,17.2,17.24,51693900
2026-02-11,16.69,17.63,16.6,16.69,33587600
2026-02-12,15.8,16.96,15.63,15.8,31825600
2026-02-13,16.3,16.87,16.08,16.3,26248400
2026-02-17,16.27,16.92,15.79,16.27,22435100
2026-02-18,15.84,16.4,15.57,15.84,17282700
2026-02-19,15.82,16.55,15.46,15.82,32798100
2026-02-20,15.63,16.3,15.29,15.63,25353500
2026-02-23,15.51,15.8,15.15,15.51,43356400
2026-02-24,15.46,16.06,13.74,15.46,63952600
2026-02-25,15.82,16.46,15.06,15.82,38317800
2026-02-26,15.6,16.36,14.98,15.6,29431200
2026-02-27,14.52,15.29,14.48,14.52,23484600
2026-03-02,16.48,16.48,14.31,16.48,32836200
2026-03-03,15.82,16.91,15.27,15.82,27508200
2026-03-04,16.45,16.74,15.8,16.45,20438100
2026-03-05,15.88,16.84,15.59,15.88,19004100
2026-03-06,15.74,15.84,15.21,15.74,21093800
2026-03-09,22.16,23.51,20.97,22.16,174964100
2026-03-10,23.47,26.03,22.43,23.47,118638500
2026-03-11,25.88,27.54,22.81,25.88,111773500
2026-03-12,23.84,27.24,23.76,23.84,68303400
2026-03-13,24.77,24.82,23.25,24.77,42982500
2026-03-16,24.88,25.17,23.52,24.88,37972100
2026-03-17,24.98,25.24,23.99,24.98,35316100
2026-03-18,23.15,25.04,23.15,23.15,35354200
2026-03-19,24.16,24.39,22.61,24.16,29908800
2026-03-20,22.02,24.25,21.7,22.02,33380800
2026-03-23,22.46,23.1,22.25,22.46,20283800
2026-03-24,21.34,22.3,21.09,21.34,26400700
2026-03-25,20.84,22,20.57,20.84,21696400
2026-03-26,20.86,21.22,20.02,20.86,26020000
2026-03-27,19.38,20.6,19.18,19.38,22374100
2026-03-30,18.78,19.67,18.62,18.78,19219600
2026-03-31,20.76,21,18.64,20.76,34530500
2026-04-01,19.84,21.62,19.7,19.84,26625200
2026-04-02,19.14,19.5,18.75,19.14,23512000
2026-04-06,20.33,20.37,19.51,20.33,19583300
2026-04-07,19.5,20,18.96,19.5,21488000
2026-04-08,19.39,20.95,19.04,19.39,20079200
2026-04-09,19.75,19.77,18.96,19.75,14700400
2026-04-10,19.43,20.15,19.18,19.43,16054500
2026-04-13,21.15,21.8,19.3,21.15,24685800
2026-04-14,21.36,21.96,20.92,21.36,19377300
2026-04-15,24.29,24.69,21.28,24.29,45776800
2026-04-16,26.99,27.81,24.76,26.99,80363700
