Date,Open,High,Low,Close,Volume
2021-01-04,142.7875,158.9,155.15,142.7875,276873
2021-01-05,144.9467,159.615,156.17,144.9467,243608
2021-01-06,153.7761,168.17,158.31,153.7761,543601
2021-01-07,154.1694,169.49,166.745,154.1694,277560
2021-01-08,153.1996,169.72,166.21,153.1996,282052
2021-01-11,154.9106,170.54,165.61,154.9106,359489
2021-01-12,157.2986,172.17,169.895,157.2986,251692
2021-01-13,151.571,171.8,165.22,151.571,289127
2021-01-14,150.5005,168.4679,163.2638,150.5005,242897
2021-01-15,148.7438,163.45,160.49,148.7438,182324
2021-01-19,151.4612,166.81,162.615,151.4612,319610
2021-01-20,152.3853,167.25,165.03,152.3853,207330
2021-01-21,151.4703,167.3899,164.66,151.4703,239348
2021-01-22,152.2755,166.53,163.54,152.2755,224509
2021-01-25,150.1345,166.11,163.33,150.1345,202278
2021-01-26,149.5032,164.8899,162.1861,149.5032,266894
2021-01-27,147.4537,162.29,157.75,147.4537,388160
2021-01-28,146.2459,162.7415,159.55,146.2459,267896
2021-01-29,142.3666,160.19,153.67,142.3666,684220
2021-02-01,145.4408,159.32,156.6,145.4408,244652
2021-02-02,144.9742,159.13,149.07,144.9742,797865
2021-02-03,147.6916,162.0319,158.19,147.6916,687377
2021-02-04,145.4134,163.495,158.57,145.4134,348094
2021-02-05,148.1399,162,156.64,148.1399,301298
2021-02-08,150.2626,164.71,161.37,150.2626,212626
2021-02-09,148.7255,165,161.525,148.7255,222047
2021-02-10,148.1857,163.58,161.25,148.1857,174727
2021-02-11,150.3815,165.16,160.985,150.3815,347875
2021-02-12,151.1593,165.23,162.73,151.1593,148095
2021-02-16,152.4036,169.15,165.11,152.4036,368545
2021-02-17,154.0322,169.59,165,154.0322,432742
2021-02-18,153.5473,168.93,165.26,153.5473,297461
2021-02-19,155.981,171.18,168.56,155.981,170457
2021-02-22,163.0353,178.58,169.0107,163.0353,568810
2021-02-23,164.9202,180.26,176.56,164.9202,544200
2021-02-24,162.8524,180.29,177.1,162.8524,446717
2021-02-25,163.3032,178.33,173.07,163.3032,495023
2021-02-26,163.3124,179.2,176.23,163.3124,566950
2021-03-01,167.5628,183.685,179.52,167.5628,240259
2021-03-02,166.5049,182.27,180,166.5049,288409
2021-03-03,165.0236,181.69,178.32,165.0236,383075
2021-03-04,160.8927,179.675,173.11,160.8927,258452
