Date,Open,High,Low,Close,Volume
2021-01-04,44.9029,51.39,49.4,44.9029,46102500
2021-01-05,45.7527,50.83,49.33,45.7527,24866600
2021-01-06,46.1957,52.15,50.2,46.1957,36809600
2021-01-07,47.1811,52.69,51.3,47.1811,32092300
2021-01-08,46.6929,52.53,51.27,46.6929,34625400
2021-01-11,46.5935,52.24,51.25,46.5935,32925000
2021-01-12,48.1303,53.85,51.56,48.1303,39883900
2021-01-13,51.4842,60.25,56.9,51.4842,124070700
2021-01-14,53.5635,60.14,57.84,53.5635,74680900
2021-01-15,52.0538,59.65,57.5,52.0538,50265400
2021-01-19,52.4244,58.34,57.1,52.4244,35647100
2021-01-20,53.0392,59.22,58.09,53.0392,28701300
2021-01-21,56.4654,63.95,58.22,56.4654,86519500
2021-01-22,51.2221,59.62,56.65,51.2221,85729300
2021-01-25,50.1192,56.5,54.06,50.1192,61968500
2021-01-26,49.9112,56.2,54.85,49.9112,31485900
2021-01-27,48.4467,54.85,53.3,48.4467,49722900
2021-01-28,50.6887,57.4,54.7,50.6887,49202600
2021-01-29,50.1824,57.16,55.36,50.1824,37256200
2021-02-01,51.2492,57.39,55.71,51.2492,26926600
2021-02-02,52.4335,58.28,56.88,52.4335,23580900
2021-02-03,52.1442,58.33,57.38,52.1442,21893200
2021-02-04,53.4702,58.88,57.19,53.4702,29853800
2021-02-05,52.9154,59.08,58.12,52.9154,23432600
2021-02-08,53.8068,59.22,57.95,53.8068,34358300
2021-02-09,53.4612,59.31,57.94,53.4612,28754100
2021-02-10,53.5339,59.42,58.12,53.5339,16325100
2021-02-11,55.171,60.99,58.86,55.171,27539100
2021-02-12,56.217,62.51,60.43,56.217,26214200
2021-02-16,56.8173,62.87,61.7,56.8173,26326300
2021-02-17,56.2534,62.19,61.21,56.2534,21055400
2021-02-18,56.0351,61.98,60.64,56.0351,17846100
2021-02-19,57.3084,63.26,61.85,57.3084,28290100
2021-02-22,55.2165,62.7,60.66,55.2165,32288200
2021-02-23,55.5894,61.5,59.17,55.5894,27374600
2021-02-24,57.4721,63.28,60.38,57.4721,24669900
2021-02-25,54.9346,63.54,60.13,54.9346,36394000
2021-02-26,55.2802,61.69,59.68,55.2802,38216800
2021-03-01,57.1902,63.08,61.65,57.1902,28495400
2021-03-02,55.6986,63.14,61.11,55.6986,23320000
2021-03-03,54.4798,61.52,59.7,54.4798,28740400
2021-03-04,53.0519,60.24,57.91,53.0519,40210400
2021-03-05,55.2438,61.18,58.51,55.2438,39511700
2021-03-08,54.4343,61.7,59.72,54.4343,33112400
2021-03-09,56.9992,63.17,60.84,56.9992,36387500
2021-03-10,56.6172,64.12,62.13,56.6172,27160300
2021-03-11,57.5813,64.09,62.39,57.5813,30701800
2021-03-12,57.2083,63.3,62.24,57.2083,20173000
2021-03-15,58.0178,63.88,62.48,58.0178,21247400
2021-03-16,58.9182,65.73,64.08,58.9182,30186600
2021-03-17,59.8277,66.29,63.71,59.8277,32394700
2021-03-18,57.9632,65.7,63.65,57.9632,30094200
2021-03-19,57.9905,64.99,62.92,57.9905,54951700
2021-03-22,59.6913,66.38,64.56,59.6913,34380100
2021-03-23,57.7359,66.05,63.17,57.7359,35160000
2021-03-24,56.4262,67.44,61.99,56.4262,74584700
2021-03-25,56.408,62.44,60.98,56.408,35401400
2021-03-26,59.0001,64.97,61.77,59.0001,34705800
2021-03-29,58.6636,65.13,63.61,58.6636,26161600
2021-03-30,57.9996,64,63.15,57.9996,20709500
2021-03-31,58.2088,64.49,63.58,58.2088,33013200
2021-04-01,58.709,64.89,63.58,58.709,31416300
2021-04-05,60.519,66.74,64.7,60.519,27947500
2021-04-06,59.6277,66.58,65.29,59.6277,28771400
2021-04-07,60.2552,66.57,65.36,60.2552,17793300
2021-04-08,60.9828,67.29,66.36,60.9828,22224200
2021-04-09,62.0833,68.4,66.63,62.0833,27177100
2021-04-12,59.4912,68.49,64.71,59.4912,51266900
2021-04-13,59.3184,65.63,64.21,59.3184,26822000
2021-04-14,58.3816,65.38,63.84,58.3816,25768400
2021-04-15,59.1365,65.22,63.68,59.1365,24927700
2021-04-16,58.8909,65.52,64.57,58.8909,24625500
2021-04-19,57.8723,64.74,63.07,57.8723,23997700
2021-04-20,57.0264,63.76,62.41,57.0264,19872100
2021-04-21,57.936,63.78,62.3,57.936,24364200
2021-04-22,56.9082,63.91,62.28,56.9082,38257600
2021-04-23,53.8795,60,57.9,53.8795,77479500
2021-04-26,53.443,59.52,58.46,53.443,39645900
2021-04-27,52.7244,58.63,57.77,52.7244,38167700
2021-04-28,52.4061,58.16,57.15,52.4061,30387400
