Date,Open,High,Low,Close,Volume
2021-01-04,379.74,384.62,366.17,371.7,1839788
2021-01-05,370.44,374,367.31,368.87,1117837
2021-01-06,359.17,364.01,357.69,361,1537625
2021-01-07,363.24,370.228,360.33,368.63,1108980
2021-01-08,369.79,375.03,368.5952,374.46,1259108
2021-01-11,376.13,376.76,366.38,372.34,1514875
2021-01-12,371.83,372.63,362.35,365.67,1242518
2021-01-13,364.97,367.33,360.5,364.96,1019574
2021-01-14,365.288,369.63,364.97,365.51,1146186
2021-01-15,364.88,373.84,363.03,371.01,1597810
2021-01-19,374.87,386.38,374.36,384.95,1578492
2021-01-20,391.667,398.12,388.98,389.46,2051787
2021-01-21,386.21,388.42,377.81,381.75,1736759
2021-01-22,384.4,384.4,374.64,374.85,1150622
2021-01-25,378.04,378.84,364.31,374.43,1588202
2021-01-26,374.03,376.14,370.28,374.8,663510
2021-01-27,368.005,375,359.33,363.11,1928234
2021-01-28,366.345,376.668,365.71,369.95,1395420
2021-01-29,366.36,369.89,359.69,361.23,1523587
2021-02-01,365.49,378.45,364.59,373.58,1260150
2021-02-02,376.33,385.47,375.53,384.11,1123618
2021-02-03,382.68,383.68,377,380.15,807411
2021-02-04,381.94,392.95,380,392.73,1522077
2021-02-05,392.54,396.47,387.72,389.38,867301
2021-02-08,393.48,395.15,386.88,389.74,898646
2021-02-09,385.85,392.86,384.64,391.55,817724
2021-02-10,395.84,399.04,390.59,397.29,1150353
2021-02-11,400,409.3,396.59,408.82,1226886
2021-02-12,410,414.47,407.12,413.99,1066862
2021-02-16,417.54,423.74,417.27,422.26,1378700
2021-02-17,419.93,420.41,412.05,415.81,1164767
2021-02-18,414.38,420,408.43,415.39,1044387
2021-02-19,413.35,417.81,409.155,411.35,1287942
2021-02-22,408.16,408.835,401.24,401.55,1179232
2021-02-23,398.12,402.8,390.24,399.09,2483052
2021-02-24,388.29,415.43,382.8,413.18,3307968
2021-02-25,407.59,408.95,386.65,387.98,2148129
2021-02-26,390.46,396.61,385,390.14,1765306
2021-03-01,396.33,407.86,394.22,406.41,1545057
2021-03-02,406.49,406.52,398.67,401.75,1198481
2021-03-03,399.08,401.01,388.46,388.71,1369851
2021-03-04,388.42,392.08,373.57,376.33,1929984
2021-03-05,381.93,384,367.78,382.21,1588277
2021-03-08,381.54,388.11,369.8,370.42,1652920
2021-03-09,380.88,388.69,379.78,384.58,1770707
2021-03-10,394.57,394.57,382.25,382.82,1388787
2021-03-11,390.48,401.03,390.32,399.17,1445331
2021-03-12,394.21,396.63,387.38,395.95,1305069
2021-03-15,393.37,398,390.38,396.84,1408188
2021-03-16,400.51,401.89,392.49,395.42,1077263
2021-03-17,392.85,395.83,385.75,391.72,1765860
2021-03-18,384.07,385.63,373.46,373.97,1868410
2021-03-19,374.25,385.31,373.29,381.28,4423179
2021-03-22,381.81,386.06,380.07,383.02,1468817
2021-03-23,386.025,387.8,381.53,383.2,1154533
2021-03-24,384.32,386.19,376.73,377.29,1138430
2021-03-25,374.55,375.87,365.15,372.39,1510716
2021-03-26,369.16,377.05,367.94,376.58,2107162
2021-03-29,377.64,379.69,369.345,374.62,1631190
2021-03-30,371.08,376.1189,368.74,373.66,998036
2021-03-31,378.07,386,376.46,383.06,1512850
2021-04-01,388.92,397.41,388.49,395.23,1445074
2021-04-05,397.57,402.89,396.38,402.14,1473625
2021-04-06,399.59,405,396.85,401.2,813252
2021-04-07,400.16,403.115,399.02,401.05,713723
2021-04-08,403.54,412.48,402.9,411.32,1396972
2021-04-09,412.41,418.3665,409.29,417.61,1003513
2021-04-12,415.528,417.125,412.485,415.93,1251570
2021-04-13,416.44,419.53,414.31,418.94,1550319
2021-04-14,422.77,422.77,410.44,411.29,1016622
2021-04-15,414.66,418.35,413.17,417.56,914788
2021-04-16,419.18,420.18,414.27,415.82,973127
2021-04-19,415.82,417,400.97,402.29,1130950
2021-04-20,401.06,406.93,399.24,405.37,1095761
2021-04-21,405.9,409.78,401.985,408.95,857403
2021-04-22,407.42,411.51,404.23,406.78,761662
2021-04-23,409.19,416.2,408.43,414.92,981471
2021-04-26,414.44,418.68,410.9,418.29,716534
2021-04-27,420,420.885,414,416.12,619454
2021-04-28,415.27,417.46,411.4,415.8,541928
2021-04-29,417.2,418.1,411.5646,416.15,636715
