Date,Open,High,Low,Close,Volume
2021-01-04,275.28,275.28,262.96,266.6666,1781586
2021-01-05,264.63,270.4633,263.13,268.35,1364022
2021-01-06,265.0933,266.6666,262.2866,264.2633,2071377
2021-01-07,266.29,270.135,263.3333,269.4033,1285461
2021-01-08,268.0733,275.1316,268.02,272.9166,1428585
2021-01-11,272.81,272.81,267.9467,271.2166,1644735
2021-01-12,270.4466,271.01,262.7666,262.81,1903857
2021-01-13,262.4566,274.6666,262,270.4833,2550423
2021-01-14,271.43,271.9233,265.0166,265.7133,1460775
2021-01-15,266.6866,267.3533,259,259.4733,2318544
2021-01-19,261.6966,264,258.4737,259.47,1921368
2021-01-20,261.85,267.2233,260.5433,266.19,1648416
2021-01-21,265.4433,267.3333,260.8666,266.2233,1980189
2021-01-22,261.0133,263.0733,247.8433,248.0266,5299339
2021-01-25,249.1366,251.55,245.2133,250.67,3307209
2021-01-26,251.4933,257.5433,251.005,256.55,3036951
2021-01-27,253.4666,256.4633,248.9867,252.91,2317536
2021-01-28,255.6833,259.4133,254.9766,255.12,1721286
2021-01-29,251.4546,253.7233,247.1666,249.2133,1890336
2021-02-01,250.6666,253.6233,246.6666,248.7033,1884078
2021-02-02,251.22,256.1633,251.22,252.6133,1654410
2021-02-03,251.6633,252.5866,248.2033,248.4666,1532115
2021-02-04,250,254.88,248.42,252.35,2277081
2021-02-05,254.8666,255.4433,253.5,254.0833,1307157
2021-02-08,256.0866,258.3466,253.9533,256.6633,1287435
2021-02-09,257.6633,262.97,256.9266,259.7833,1516623
2021-02-10,262.3333,264.8366,259.6385,262.6966,1681977
2021-02-11,264.6666,266.8,262.74,266.2766,1283847
2021-02-12,266.42,269.4733,264.5972,269.27,1291338
2021-02-16,270,270.93,262.9633,263.9833,2019861
2021-02-17,260.6666,262.8,258.14,260.02,1118193
2021-02-18,258.19,258.8066,252.5966,255.8433,1931970
2021-02-19,257.75,257.75,249.8933,250.05,2239029
2021-02-22,250.5966,250.93,245.6666,247.1333,1911231
2021-02-23,247.3333,249.5433,244.0333,248.2366,2106345
2021-02-24,247.91,253.2233,246.095,252.9033,1320669
2021-02-25,251.62,252.9633,243.9666,247.2633,1336245
2021-02-26,247.9666,249.2347,242.1033,245.6,2007417
2021-03-01,249.68,253.59,248.555,253.07,1677681
2021-03-02,253.3333,253.3333,248.9266,250,1172979
2021-03-03,248.6866,248.6866,240.4936,242.3833,1521351
2021-03-04,241.6666,242.4133,233.01,236.39,2427678
2021-03-05,237.4166,239.48,229.08,237.79,2277414
2021-03-08,235.1166,236.8566,227.4666,228.3,1917576
2021-03-09,232.5133,236.75,230.0033,234.2666,2090769
2021-03-10,240.3266,242.5366,237.61,239.9366,2198130
2021-03-11,243.4533,246.3266,241.4523,244,1492920
2021-03-12,240.3733,245.47,240,244.6633,1467165
2021-03-15,242.44,245.85,241.6833,245.02,1202760
2021-03-16,246.8033,247.1666,240.5033,242.21,1277475
2021-03-17,241.4433,242.99,237.6,241.5466,1056459
2021-03-18,238.5733,239.8566,231.6866,233.1066,1940772
2021-03-19,233.8333,238.24,231.7966,235.83,2377704
2021-03-22,235.9066,240.385,234.38,238.2433,1309698
2021-03-23,238.8366,240.3266,235.8833,236.94,1005012
2021-03-24,237.3333,240.1133,235.1633,237.0233,1452348
2021-03-25,236.883,238.14,231.2066,234.8333,1380102
2021-03-26,235.6933,243.9466,234.9166,243.5833,1707765
2021-03-29,243.15,244.7133,239.1083,241.3166,1351050
2021-03-30,239.7033,242.9966,238.1733,242.1633,1442496
2021-03-31,242.8533,247.9766,242.42,246.3133,1695303
2021-04-01,249.9966,252.69,248.6266,249.2,1357707
2021-04-05,250.07,256.8766,250.07,255.31,1697742
2021-04-06,255.71,258.755,253.6,255.6166,1155801
2021-04-07,255.7966,257.005,253.19,253.6733,1101093
2021-04-08,255.3166,258.0333,255.3166,256.7833,906069
2021-04-09,257.86,262.1066,256.16,261.4933,1065981
2021-04-12,259.3766,261.8866,259.105,259.7533,1008585
2021-04-13,259.65,265.6083,259.65,264.8233,1286346
2021-04-14,264,266.7483,261.6,261.9433,1113039
2021-04-15,264.22,269.3333,263.1,268.24,1236984
2021-04-16,269.2166,271.1333,267.2833,270.8566,1618452
2021-04-19,269.59,271.8933,267.5066,270.3966,1557975
2021-04-20,268.8866,274.8433,268.8833,270.37,2079501
2021-04-21,280.3066,297.93,273.3333,297.1266,6293788
2021-04-22,294.9633,295.9616,286.1866,286.5533,3643398
2021-04-23,283.73,294.305,280.9066,291.8433,2500638
2021-04-26,288.8133,290.69,286.7246,288.6466,1753548
2021-04-27,289,289,286.1666,287.1266,1531086
2021-04-28,287.5233,291.9433,286.9933,289.5966,1712103
2021-04-29,291.2333,291.2333,285.94,287.74,1154505
2021-04-30,285.6566,288.6366,285.09,288.3333,1433007
2021-05-03,291.1566,291.6633,286.7133,289.1833,1133508
2021-05-04,287.24,287.36,278.035,282.9966,1970916
2021-05-05,284.71,286.9933,278.8433,279.4666,1468398
2021-05-06,278.0866,280.8966,275.22,280.82,1263801
2021-05-07,281.7666,287.7583,281.7666,285.6966,1471788
2021-05-10,286.3433,287.3333,277.6866,278.2633,1508385
2021-05-11,274.3866,280.2716,273.6633,278.9166,1454001
2021-05-12,274.6833,275.16,268.09,270.5966,1708374
2021-05-13,271.07,275.69,271.07,273.53,1186506
2021-05-14,274.3226,279.8116,273.8366,277.7933,1086807
2021-05-17,276.26,276.26,270.5333,272.3366,2046159
