Date,Open,High,Low,Close,Volume
2021-01-04,246.039,270.28,257.7,246.039,1252000
2021-01-05,251.1992,266.32,258.96,251.1992,1074900
2021-01-06,250.6511,270.94,261.81,250.6511,850600
2021-01-07,262.9185,279.35,268.36,262.9185,1011700
2021-01-08,267.6346,287.34,279.56,267.6346,1051800
2021-01-11,273.239,290.85,278.01,273.239,1203900
2021-01-12,275.0159,296.3,287,275.0159,1323500
2021-01-13,274.1747,293.52,285.16,274.1747,1154500
2021-01-14,287.1982,315.87,301.91,287.1982,2431200
2021-01-15,287.4345,304.81,296,287.4345,1606600
2021-01-19,296.8383,316.8,307.84,296.8383,1275000
2021-01-20,287.6236,317.6,302.25,287.6236,1019600
2021-01-21,288.4458,308.9,300.43,288.4458,1063100
2021-01-22,288.2662,309.36,304.47,288.2662,725000
2021-01-25,291.9427,312.33,303.3,291.9427,955700
2021-01-26,286.8864,310.74,302.82,286.8864,832100
2021-01-27,268.8255,298.81,283.05,268.8255,1657800
2021-01-28,275.1198,296.74,288.45,275.1198,1021200
2021-01-29,264.6953,289.2,279.72,264.6953,1163800
2021-02-01,276.5564,294.02,282.49,276.5564,1052500
2021-02-02,282.3782,299.62,293.62,282.3782,1106900
2021-02-03,270.5833,301.6,285.54,270.5833,1279900
2021-02-04,278.078,298.18,286.32,278.078,1401800
2021-02-05,272.2184,298.15,286.59,272.2184,890400
2021-02-08,285.6672,302.59,288.66,285.6672,1018200
2021-02-09,281.934,305.45,296.52,281.934,735500
2021-02-10,281.2725,304.14,296,281.2725,546900
2021-02-11,306.6674,326.49,299.41,306.6674,2285700
2021-02-12,313.595,334.77,318.92,313.595,1503000
2021-02-16,318.6702,342.21,332.5,318.6702,1395900
2021-02-17,312.1679,334.7,323.37,312.1679,1062800
2021-02-18,308.1497,328,321.14,308.1497,1005500
2021-02-19,313.3714,338,327.99,313.3714,1512400
2021-02-22,299.6205,326.98,313.85,299.6205,1123100
2021-02-23,302.1035,321.47,303.67,302.1035,1745700
2021-02-24,311.2487,328.73,310.08,311.2487,1170100
2021-02-25,288.8454,326.35,302.48,288.8454,1528000
2021-02-26,294.9485,314.73,303.17,294.9485,1316000
2021-03-01,308.9363,326.4,315.01,308.9363,1294000
2021-03-02,293.6122,326.68,309.65,293.6122,1175900
2021-03-03,287.9166,315.06,303.53,287.9166,1155200
2021-03-04,272.5735,306.26,282.33,272.5735,1655300
2021-03-05,280.3919,297.25,278.18,280.3919,1631100
2021-03-08,259.704,293.83,273.24,259.704,2182500
2021-03-09,278.7146,296.29,282.29,278.7146,1944100
2021-03-10,268.6217,300.38,282.73,268.6217,1688000
2021-03-11,280.8563,301.97,290,280.8563,1709500
2021-03-12,278.8757,294.78,285.97,278.8757,1298400
2021-03-15,283.3203,299.32,291.42,283.3203,1321900
2021-03-16,286.1539,305.96,298.88,286.1539,1544200
2021-03-17,289.414,309.91,291.12,289.414,1906300
2021-03-18,273.6349,299.75,287.78,273.6349,2041200
2021-03-19,277.5583,297.24,284.49,277.5583,3220700
2021-03-22,289.3856,308.13,298.31,289.3856,1820000
2021-03-23,281.5197,307.48,296.11,281.5197,1766300
2021-03-24,282.3063,317,297.55,282.3063,1669200
2021-03-25,283.7468,301,286.94,283.7468,1188000
2021-03-26,303.2027,320.25,298.71,303.2027,1650500
2021-03-29,297.8673,317.85,306.88,297.8673,1428400
2021-03-30,300.483,318.51,311.69,300.483,924100
2021-03-31,313.1156,333.3,321.17,313.1156,1811800
2021-04-01,329.122,347.79,337,329.122,1885700
2021-04-05,336.5045,359.69,346.07,336.5045,1496100
2021-04-06,328.4681,353.8,340.56,328.4681,1690400
2021-04-07,329.8328,352.7,343.68,329.8328,985500
2021-04-08,335.5189,354.27,348.42,335.5189,1125000
2021-04-09,334.3911,355.08,348.23,334.3911,913800
2021-04-12,327.0465,350.7,343.33,327.0465,1376100
2021-04-13,326.1273,349.52,339.12,326.1273,1226400
2021-04-14,318.8965,346.67,335.18,318.8965,1186100
2021-04-15,320.8298,342.16,335.71,320.8298,1198100
2021-04-16,315.5795,339.86,332.98,315.5795,958100
2021-04-19,307.42,333.62,318.28,307.42,1551700
2021-04-20,302.2362,325.84,317.78,302.2362,1477200
2021-04-21,314.433,332.22,319.57,314.433,1697700
2021-04-22,308.0739,331.87,322.76,308.0739,1045400
2021-04-23,314.6982,334.1,326.69,314.6982,1182000
2021-04-26,318.2426,337.57,330.99,318.2426,1039400
2021-04-27,313.2009,340,329.26,313.2009,939800
2021-04-28,307.8464,330.74,324.23,307.8464,983200
2021-04-29,309.2869,328.73,318.66,309.2869,1294900
2021-04-30,298.8529,321.65,312.92,298.8529,1434100
2021-05-03,294.9485,318.8,308.49,294.9485,1412200
2021-05-04,291.8305,308.09,299.42,291.8305,1592200
2021-05-05,295.6024,316.74,306.4,295.6024,1157100
2021-05-06,299.3647,316.28,307.69,299.3647,935200
2021-05-07,302.9753,323,316.66,302.9753,848300
2021-05-10,284.2112,313.88,299.46,284.2112,1576900
2021-05-11,284.5713,301.56,289.72,284.5713,987700
2021-05-12,271.7396,295.76,285.89,271.7396,1400300
2021-05-13,281.2354,300.67,293.73,281.2354,1533300
2021-05-14,290.6366,309.09,296.02,290.6366,1508100
2021-05-17,283.0034,300.85,292.18,283.0034,1352800
2021-05-18,279.3914,302.99,293.48,279.3914,1087600
2021-05-19,288.916,304.24,286.58,288.916,1301000
2021-05-20,297.8704,315,305.43,297.8704,1449900
2021-05-21,294.8095,314.97,308.71,294.8095,1049700
2021-05-24,301.8532,320.12,313.81,301.8532,1209100
2021-05-25,302.205,323.91,316.54,302.205,1258300
2021-05-26,301.7011,322,315.71,301.7011,1078100
2021-05-27,300.8932,321.58,315.9,300.8932,1195100
2021-05-28,301.2258,320.31,316.46,301.2258,885500
2021-06-01,300.1233,324.75,314.39,300.1233,1024700
2021-06-02,299.9901,318.48,312.8,299.9901,881700
2021-06-03,293.5168,312.46,307.33,293.5168,1243000
2021-06-04,301.3209,318.07,311.15,301.3209,898400
2021-06-07,302.8038,319.33,312.63,302.8038,1098500
2021-06-08,298.2886,323.65,311.85,298.2886,615000
2021-06-09,298.6308,322.82,313.86,298.6308,748000
2021-06-10,303.5262,320.6,314.53,303.5262,690900
