Date,Open,High,Low,Close,Volume
2021-01-04,96.72,98.27,94.7,96.72,1024000
2021-01-05,101.38,101.62,96.18,101.38,1464000
2021-01-06,102.68,104.12,99.775,102.68,1466000
2021-01-07,104.61,104.74,102,104.61,1118400
2021-01-08,106.55,106.87,103.54,106.55,1546200
2021-01-11,107.89,108.64,105.42,107.89,1811300
2021-01-12,108.93,112.08,106.435,108.93,1756500
2021-01-13,107.29,110.98,107.143,107.29,887900
2021-01-14,106.24,110.785,106,106.24,842300
2021-01-15,106.32,107.88,104.53,106.32,793900
2021-01-19,94.6,96.78,91.91,94.6,11441800
2021-01-20,96.01,98.99,94.12,96.01,5342300
2021-01-21,97.47,97.99,94.455,97.47,3298000
2021-01-22,99,100.82,97,99,2341200
2021-01-25,98.86,102.22,97.65,98.86,1805800
2021-01-26,97.55,99.98,97.44,97.55,1223000
2021-01-27,99.54,101.4,95.25,99.54,1773800
2021-01-28,95.52,100,95.383,95.52,1553000
2021-01-29,93.8,97.97,93.41,93.8,1589900
2021-02-01,95.62,96.2,92.93,95.62,2281200
2021-02-02,88.14,91.86,85.9,88.14,6703600
2021-02-03,88.54,90.91,87.89,88.54,2574900
2021-02-04,89.55,89.633,87.64,89.55,2316800
2021-02-05,88.78,91.13,87.97,88.78,1264400
2021-02-08,88.14,91.8,87.69,88.14,3559900
2021-02-09,87.07,89.7,86.43,87.07,2236800
2021-02-10,88.72,89.5,86.09,88.72,1472600
2021-02-11,92.55,93.48,88.52,92.55,2583400
2021-02-12,93.95,96.32,92.46,93.95,4068800
2021-02-16,94.23,95.91,94.11,94.23,1197100
2021-02-17,92.76,94.362,91.14,92.76,1153300
2021-02-18,91.42,92.1,90.54,91.42,913300
2021-02-19,91.74,93.14,91.36,91.74,1537500
2021-02-22,90,91.53,89.53,90,960900
2021-02-23,90.01,90.22,85.29,90.01,1364900
2021-02-24,93.53,93.73,89.23,93.53,1170200
2021-02-25,89.72,93.53,89.07,89.72,974600
2021-02-26,90,91.58,88.28,90,687400
2021-03-01,91.19,91.93,90.31,91.19,1103700
2021-03-02,88.89,91.88,88.83,88.89,826400
2021-03-03,86.57,88.84,86.15,86.57,895600
2021-03-04,85.32,88.5,84.14,85.32,1415900
2021-03-05,86.11,86.35,82.586,86.11,1248900
2021-03-08,82.91,86,82.91,82.91,1475200
2021-03-09,85.69,86.98,84.03,85.69,1383400
2021-03-10,84.97,85.52,82.7,84.97,1688600
2021-03-11,86.66,88.51,85.9,86.66,1147600
2021-03-12,88.72,89.28,84.145,88.72,1499700
2021-03-15,90.38,90.98,88.1,90.38,851100
2021-03-16,90.17,91.85,89.12,90.17,724600
2021-03-17,88.41,89.41,86.93,88.41,1642600
2021-03-18,84.92,88.13,84.75,84.92,1821000
2021-03-19,83.54,85.36,83.5,83.54,1793800
2021-03-22,85.51,86.404,83.9,85.51,1226600
2021-03-23,82.5,84.44,82.22,82.5,1337400
2021-03-24,79,83.22,78.001,79,3150600
2021-03-25,85.74,87.079,81.53,85.74,5475600
