Date,Open,High,Low,Close,Volume
2024-07-22,45.704,46.99,46.24,45.704,1101500
2024-07-23,45.6746,47.19,46.65,45.6746,436500
2024-07-24,42.9074,45.18,43.865,42.9074,1130900
2024-07-25,42.4771,44.55,42.82,42.4771,1293100
2024-07-26,42.9171,44.19,43.36,42.9171,468100
2024-07-29,43.3669,44.78,44.04,43.3669,822000
2024-07-30,42.4869,44.52,42.96,42.4869,534900
2024-07-31,43.9536,45.09,44.3,43.9536,837100
2024-08-01,43.0345,46.05,43.63,43.0345,848700
2024-08-02,41.5677,43.36,42.13,41.5677,1525100
2024-08-05,39.9836,41.66,38.51,39.9836,1579400
2024-08-06,40.4823,42.097,40.411,40.4823,679000
2024-08-07,39.9152,42.36,40.8,39.9152,599300
2024-08-08,41.1961,42.22,40.98,41.1961,445200
2024-08-09,41.4993,42.49,41.81,41.4993,423500
2024-08-12,41.6166,42.82,42.285,41.6166,375200
2024-08-13,42.8682,43.88,42.95,42.8682,551100
2024-08-14,42.5553,44.05,43.11,42.5553,569200
2024-08-15,43.8852,44.9,44.05,43.8852,648600
2024-08-16,43.9439,45.11,44.52,43.9439,410700
2024-08-19,44.6577,45.67,44.81,44.6577,654800
2024-08-20,44.5208,45.943,45.29,44.5208,479300
2024-08-21,44.7457,45.98,45.341,44.7457,543000
2024-08-22,43.6016,46.08,44.54,43.6016,782200
2024-08-23,44.423,45.67,44.79,44.423,803800
2024-08-26,43.8265,45.4,44.4,43.8265,660900
2024-08-27,43.6798,44.849,44.27,43.6798,387300
2024-08-28,43.142,44.791,43.75,43.142,639100
2024-08-29,42.9465,44.95,43.79,42.9465,680100
2024-08-30,43.6505,44.64,43.97,43.6505,443900
2024-09-03,42.1935,44.42,42.961,42.1935,699600
2024-09-04,42.3011,43.67,42.78,42.3011,690800
2024-09-05,42.9562,44.55,43.34,42.9562,755200
2024-09-06,41.2842,44.27,42.22,41.2842,899600
2024-09-09,41.8709,43.069,42.39,41.8709,397500
2024-09-10,42.5162,43.55,42.786,42.5162,1030300
2024-09-11,43.5723,44.59,42.73,43.5723,804000
2024-09-12,44.1492,45.21,44.45,44.1492,582700
2024-09-13,44.247,45.338,44.94,44.247,814100
2024-09-16,43.8559,44.95,44.34,43.8559,416100
2024-09-17,44.1297,45.6,44.85,44.1297,520200
2024-09-18,44.0514,45.8,44.92,44.0514,634800
2024-09-19,45.6844,46.83,46.07,45.6844,1055400
2024-09-20,45.4693,46.84,46.1,45.4693,792600
2024-09-23,45.8213,47.01,46.61,45.8213,524000
2024-09-24,46.1831,47.24,46.42,46.1831,576500
2024-09-25,46.3982,47.55,47.08,46.3982,556800
2024-09-26,46.2907,48.05,47.04,46.2907,1152500
2024-09-27,46.2907,47.55,47.13,46.2907,462300
2024-09-30,46.6231,47.68,47.024,46.6231,479200
2024-10-01,45.9289,47.72,46.48,45.9289,786100
2024-10-02,45.6844,46.88,46.25,45.6844,744100
2024-10-03,45.6551,47.04,46.421,45.6551,296200
2024-10-04,46.4471,47.5,46.8,46.4471,593300
2024-10-07,45.5768,47.45,46.59,45.5768,510200
2024-10-08,46.3982,47.5,46.9,46.3982,610600
2024-10-09,46.3982,47.54,47.07,46.3982,483700
2024-10-10,46.408,47.66,47.025,46.408,466700
2024-10-11,45.9582,47.26,46.695,45.9582,528400
2024-10-14,46.4373,47.73,47.35,46.4373,500100
