Date,Open,High,Low,Close,Volume
2025-08-06,770.18,771.83,758.68,770.18,9733900
2025-08-07,760.04,773.18,757.77,760.04,9019700
2025-08-08,767.5,768.1,756.8,767.5,7320800
2025-08-11,764.08,771.65,762.88,764.08,7612000
2025-08-12,788.15,791.81,770.62,788.15,14563100
2025-08-13,778.25,793.6,776.41,778.25,8811800
2025-08-14,780.3,785.96,770.7,780.3,8116200
2025-08-15,783.39,794.38,778.99,783.39,13375400
2025-08-18,765.57,773.99,754.79,765.57,16513700
2025-08-19,749.72,765.37,747.6,749.72,12286700
2025-08-20,745.97,748.44,729.29,745.97,11898200
2025-08-21,737.37,743.75,731.39,737.37,8876300
2025-08-22,753.02,755.13,732.67,753.02,10612700
2025-08-25,751.53,757.1,748.37,751.53,6861200
2025-08-26,752.33,753.1,746.19,752.33,7601800
2025-08-27,745.63,752.38,741.1,745.63,8315400
2025-08-28,749.35,751.29,739.06,749.35,7468000
2025-08-29,736.97,745.39,733.63,736.97,9070500
2025-09-02,733.39,734.28,720.04,733.39,9350900
2025-09-03,735.32,738.52,732.27,735.32,7699300
2025-09-04,746.9,759.38,744.07,746.9,11439100
2025-09-05,750.69,756.17,743.28,750.69,9663400
2025-09-08,750.54,764.71,750.26,750.54,13087800
2025-09-09,763.91,764.5,751.66,763.91,10999000
2025-09-10,750.22,763.91,749.24,750.22,12478300
2025-09-11,749.14,755.33,746.62,749.14,7923300
2025-09-12,753.82,755.8,742.02,753.82,8248600
2025-09-15,762.91,772.26,750.23,762.91,10533800
2025-09-16,777.17,779.53,763.31,777.17,11782500
2025-09-17,773.9,781.45,764.51,773.9,9400900
2025-09-18,778.42,786.93,771.55,778.42,10955000
2025-09-19,776.56,788.95,767.39,776.56,23696800
2025-09-22,763.88,784.42,763.19,763.88,11706900
2025-09-23,754.14,769.31,749.82,754.14,10872600
2025-09-24,759.39,759.84,751.27,759.39,8828200
2025-09-25,747.66,755.51,743.31,747.66,10591100
2025-09-26,742.51,750.67,736.12,742.51,9696300
2025-09-29,742.16,749.53,737.92,742.16,9246800
2025-09-30,733.15,741.73,725.09,733.15,16226800
2025-10-01,716.14,720.64,709.01,716.14,20419600
2025-10-02,725.84,726.55,716.94,725.84,11415300
2025-10-03,709.37,729.78,708.99,709.37,16154300
2025-10-06,714.47,715.68,689.36,714.47,21654700
2025-10-07,711.89,717.3,704.57,711.89,12062900
2025-10-08,716.64,718.45,706.63,716.64,10790600
2025-10-09,732.29,732.29,711.25,732.29,12717200
2025-10-10,704.12,734.04,703.33,704.12,16980100
2025-10-13,714.51,718.74,706.46,714.51,9251800
2025-10-14,707.47,714.36,698.16,707.47,8829800
2025-10-15,716.35,722.69,708.33,716.35,10246800
2025-10-16,710.88,724.28,702.7,710.88,9017000
2025-10-17,715.72,717.34,704.94,715.72,12232400
2025-10-20,730.95,732.54,718.98,730.95,8900200
2025-10-21,732.05,737.27,727.53,732.05,7647300
2025-10-22,732.19,739.36,722.82,732.19,8734500
2025-10-23,732.77,741.17,731.88,732.77,9856000
2025-10-24,737.13,739.97,729.93,737.13,9151300
2025-10-27,749.57,754.49,746.76,749.57,11321100
2025-10-28,750.19,757.13,744.28,750.19,12193800
2025-10-29,750.41,757.89,741.27,750.41,26818600
2025-10-30,665.36,679.82,649.08,665.36,88440100
2025-10-31,647.27,673.76,644.49,647.27,56953200
2025-11-03,636.65,658.23,635.12,636.65,33003600
2025-11-04,626.27,640.67,624.96,626.27,27356600
2025-11-05,634.89,641.16,625.49,634.89,20219900
2025-11-06,617.91,634.94,616.97,617.91,23628800
2025-11-07,620.67,621.09,600.2,620.67,29946800
2025-11-10,630.71,633.94,617.08,630.71,19245000
2025-11-11,626.03,628.51,618.36,626.03,13302200
2025-11-12,607.99,627.94,606.76,607.99,24493300
2025-11-13,608.87,616.62,601.99,608.87,20973800
2025-11-14,608.44,612.66,594.21,608.44,20724100
2025-11-17,601,610.67,594.41,601,16501300
2025-11-18,596.69,602.65,582.81,596.69,25500600
2025-11-19,589.33,594.34,580.28,589.33,24744700
2025-11-20,588.17,605.71,582.38,588.17,20603000
2025-11-21,593.26,597.12,580.89,593.26,21052600
2025-11-24,612.03,615.67,596.63,612.03,23554900
2025-11-25,635.16,635.99,617.27,635.16,25213000
2025-11-26,632.55,637.29,630.58,632.55,15209500
2025-11-28,646.87,646.97,634.44,646.87,11033200
2025-12-01,639.8,644.24,636.7,639.8,13029900
2025-12-02,646.02,646.79,637,646.02,11640900
2025-12-03,638.53,647.77,636.49,638.53,11134300
2025-12-04,660.43,674.97,658.95,660.43,29874600
2025-12-05,672.3,673.56,661.28,672.3,21207900
2025-12-08,665.69,675.58,663.96,665.69,13161000
