Date,Open,High,Low,Close,Volume
2021-01-04,12.17,12.68,11.87,12.17,760500
2021-01-05,12.66,12.75,12.13,12.66,356000
2021-01-06,13.47,13.66,12.97,13.47,506300
2021-01-07,13.39,13.75,13.25,13.39,374800
2021-01-08,13.46,13.5,13.15,13.46,508900
2021-01-11,13.51,13.53,13.16,13.51,274300
2021-01-12,13.92,13.98,13.52,13.92,443000
2021-01-13,13.79,13.99,13.62,13.79,284800
2021-01-14,13.94,14.21,13.77,13.94,351600
2021-01-15,13.64,13.91,13.18,13.64,301800
2021-01-19,13.63,13.88,13.38,13.63,426400
2021-01-20,13.96,13.99,13.6,13.96,231000
2021-01-21,14.28,14.29,13.72,14.28,454500
2021-01-22,14.06,14.19,13.75,14.06,309600
2021-01-25,13.55,14.05,13.29,13.55,306600
2021-01-26,13.16,13.8,13.03,13.16,336500
2021-01-27,12.66,12.88,12.38,12.66,451400
2021-01-28,12.71,13.07,12.56,12.71,271700
2021-01-29,12.55,12.94,12.4,12.55,241400
2021-02-01,12.91,12.98,12.54,12.91,196200
2021-02-02,13.13,13.35,13.02,13.13,154800
2021-02-03,13.48,13.55,13.11,13.48,232100
2021-02-04,13.71,13.96,13.53,13.71,343900
2021-02-05,13.85,14.04,12.63,13.85,703800
2021-02-08,14.8,14.8,14.05,14.8,492000
2021-02-09,14.48,14.8,14.08,14.48,309200
2021-02-10,14.06,14.5,14.02,14.06,323200
2021-02-11,13.68,14.51,13.56,13.68,489900
2021-02-12,13.66,13.93,13.45,13.66,255300
2021-02-16,13.72,14.24,13.5,13.72,272900
2021-02-17,13.81,13.93,13.48,13.81,203300
2021-02-18,13.57,13.89,13.45,13.57,270500
2021-02-19,14.62,14.76,13.66,14.62,725100
2021-02-22,14.52,15.08,14.45,14.52,461900
2021-02-23,14.52,14.69,13.99,14.52,332000
2021-02-24,14.41,14.75,14.31,14.41,306300
2021-02-25,13.85,14.48,13.75,13.85,327000
2021-02-26,13.87,14.19,13.5,13.87,372900
2021-03-01,14.46,14.49,13.92,14.46,253100
2021-03-02,14.66,14.76,14.3,14.66,309200
2021-03-03,15.25,15.71,14.77,15.25,605700
2021-03-04,14.45,15.79,14.06,14.45,706300
2021-03-05,15.03,15.07,13.98,15.03,387000
2021-03-08,15.04,15.34,14.74,15.04,272900
2021-03-09,14.72,15.22,14.61,14.72,354000
2021-03-10,15.25,15.29,14.81,15.25,309200
2021-03-11,15.45,15.73,15.15,15.45,292700
2021-03-12,15.74,16.08,15.39,15.74,297200
2021-03-15,15.79,15.9,15.52,15.79,207500
2021-03-16,15.03,15.64,14.86,15.03,408200
2021-03-17,15.39,15.4,14.85,15.39,195200
2021-03-18,15.75,16,15.14,15.75,668600
2021-03-19,15.98,16.33,15.62,15.98,782400
2021-03-22,16,16.04,15.34,16,434200
2021-03-23,15.46,15.96,15.44,15.46,823500
2021-03-24,14.64,15.73,14.57,14.64,763400
2021-03-25,15.07,15.14,13.96,15.07,466000
2021-03-26,14.92,15.48,14.6,14.92,503700
2021-03-29,14.56,14.91,14.43,14.56,428400
2021-03-30,15.02,15.06,14.52,15.02,267100
2021-03-31,14.77,15.3,14.75,14.77,384800
2021-04-01,15.12,15.21,14.87,15.12,210100
2021-04-05,15.16,15.33,14.92,15.16,155900
