Date,Open,High,Low,Close,Volume
2021-01-04,29.14,32.49,28.36,29.14,5964500
2021-01-05,29.31,30.74,28.5,29.31,3178200
2021-01-06,29.49,31.65,29.29,29.49,4130500
2021-01-07,29.75,30.385,29.35,29.75,4144900
2021-01-08,29.49,30.39,28.85,29.49,3819300
2021-01-11,29.5,30.23,28.01,29.5,4217200
2021-01-12,34.68,34.725,29.8,34.68,7311700
2021-01-13,34.7,35.3,33.02,34.7,4141800
2021-01-14,33.18,35.42,32.661,33.18,2729400
2021-01-15,31.87,33.43,30.46,31.87,4176200
2021-01-19,35.55,35.95,32.35,35.55,5209400
2021-01-20,34.53,36.8,34.11,34.53,3939000
2021-01-21,33.86,36,33.61,33.86,2495300
2021-01-22,32.68,33.6,32.04,32.68,3020100
2021-01-25,32.6,33.33,29.854,32.6,4008200
2021-01-26,31.61,32.7,31.55,31.61,1831200
2021-01-27,29.88,33.31,28.2,29.88,4703600
2021-01-28,30.28,30.926,29.4,30.28,1769000
2021-01-29,29.17,31.27,28.63,29.17,3121600
2021-02-01,30.93,31.63,29.15,30.93,3237700
2021-02-02,31.41,32.657,30.751,31.41,3055600
2021-02-03,33.42,33.65,30.85,33.42,3079900
2021-02-04,33.8,34.48,32.5,33.8,2620500
2021-02-05,32.25,34.2,31.63,32.25,3535300
2021-02-08,32.56,33.54,31.26,32.56,4210800
2021-02-09,35.56,36.55,31.54,35.56,7818800
2021-02-10,38.17,39.41,35.226,38.17,9203400
2021-02-11,36.54,40.154,35.07,36.54,4675000
2021-02-12,35.26,37.3,35.1,35.26,2481000
2021-02-16,40.75,41.736,37.46,40.75,7432800
2021-02-17,41.29,44,38.08,41.29,6642900
2021-02-18,42.35,43.74,38.52,42.35,5974400
2021-02-19,45.05,46.84,44.27,45.05,5896100
2021-02-22,40.92,46.16,40.26,40.92,4788300
2021-02-23,38.02,39.4,33,38.02,6692000
2021-02-24,43.53,43.94,37.78,43.53,8174200
2021-02-25,45.45,49.43,44.8,45.45,10662200
2021-02-26,42.03,45.94,41.17,42.03,5507100
2021-03-01,46.2,48.53,45.3,46.2,5303600
