Date,Open,High,Low,Close,Volume
2021-01-04,45.3558,48.56,45.84,45.3558,11418600
2021-01-05,46.629,47.61,46.01,46.629,5710100
2021-01-06,45.5516,47.6,46.36,45.5516,6516400
2021-01-07,48.0099,49.13,47.25,48.0099,9090400
2021-01-08,48.0687,50.64,48.41,48.0687,11093200
2021-01-11,49.2048,50.55,48.43,49.2048,9070700
2021-01-12,49.5965,51.23,50.03,49.5965,6391000
2021-01-13,49.2048,50.71,49.43,49.2048,5606800
2021-01-14,50.2527,51.94,49.94,50.2527,9325000
2021-01-15,49.7239,51.7,50.27,49.7239,7994500
2021-01-19,52.7012,54.35,51.66,52.7012,16424000
2021-01-20,52.9657,55.7,53.98,52.9657,11638400
2021-01-21,52.3878,54.62,52.82,52.3878,9322300
2021-01-22,51.5357,53.37,52.58,51.5357,6410500
2021-01-25,53.3084,54.88,52.46,53.3084,10775900
2021-01-26,52.8873,54.94,53.2,52.8873,8299300
2021-01-27,50.0862,53.59,50.94,50.0862,14169100
2021-01-28,51.1048,53.06,51.41,51.1048,9398000
2021-01-29,50.3996,52.5,51.03,50.3996,7818500
2021-02-01,51.7806,53.06,51.61,51.7806,6356500
2021-02-02,51.7708,54.01,51.85,51.7708,8708500
2021-02-03,50.0568,52.99,50.73,50.0568,10115100
2021-02-04,49.2635,51.35,49.94,49.2635,11072100
2021-02-05,49.0187,50.69,49.58,49.0187,9309000
2021-02-08,50.5368,51.62,50.4,50.5368,7499700
2021-02-09,50.194,51.79,51.01,50.194,6605700
2021-02-10,49.5476,51.38,49.84,49.5476,7117900
2021-02-11,51.0362,52.24,50.83,51.0362,8797900
2021-02-12,52.711,54.18,51.53,52.711,11378400
2021-02-16,51.8491,54.56,52.58,51.8491,7841800
2021-02-17,49.3615,52.31,50.07,49.3615,10323800
2021-02-18,49.43,50.99,49.25,49.43,11009500
2021-02-19,50.8208,52.22,50.8,50.8208,9959600
2021-02-22,48.6661,51.4,49.48,48.6661,13798700
2021-02-23,47.8336,49.4,46.68,47.8336,13210700
2021-02-24,48.245,49.28,47.45,48.245,12785300
2021-02-25,45.6006,49.42,46.14,45.6006,11476400
2021-02-26,47.2852,48.59,46.62,47.2852,11501100
2021-03-01,48.4996,49.56,48.19,48.4996,9344400
2021-03-02,46.8444,49.88,47.78,46.8444,9718200
2021-03-03,44.6212,47.57,45.31,44.6212,16898400
2021-03-04,39.2737,43.59,39.89,39.2737,33121300
2021-03-05,40.6547,41.63,37.92,40.6547,21673000
2021-03-08,39.2345,42.92,39.97,39.2345,18059900
2021-03-09,42.9562,44.49,41.62,42.9562,20324000
2021-03-10,41.9573,44.89,42.73,41.9573,21969000
2021-03-11,45.346,46.65,44.28,45.346,18895300
2021-03-12,46.1882,47.47,44.91,46.1882,16216900
2021-03-15,47.3635,48.38,47.15,47.3635,8371900
2021-03-16,46.9718,49.19,47.58,46.9718,9320700
2021-03-17,47.1089,48.5,46.31,47.1089,11421300
2021-03-18,44.6114,47.43,45.48,44.6114,9720000
2021-03-19,46.0315,47.25,45.52,46.0315,10172000
