Date,Open,High,Low,Close,Volume
2025-08-06,521.91,528.63,521,521.91,21355700
2025-08-07,517.83,525.04,514.56,517.83,16079100
2025-08-08,519.02,521.63,516.41,519.02,15531000
2025-08-11,518.76,524.54,516.72,518.76,20194400
2025-08-12,526.18,527.91,519.68,526.18,18667000
2025-08-13,517.57,529.62,516.37,517.57,19619200
2025-08-14,519.46,522.91,517.14,519.46,20269100
2025-08-15,517.17,523.06,516.08,517.17,25213300
2025-08-18,514.11,519.8,511.05,514.11,23760600
2025-08-19,506.83,512.18,505.61,506.83,21481000
2025-08-20,502.8,508.05,501.53,502.8,27723000
2025-08-21,502.15,505.53,500.64,502.15,18443300
2025-08-22,505.13,508.62,500.33,505.13,24324200
2025-08-25,502.17,506.09,502.03,502.17,21638600
2025-08-26,499.96,502.89,496.45,499.96,30835700
2025-08-27,504.64,505.19,497.83,504.64,17277900
2025-08-28,507.53,508.97,503.41,507.53,18015600
2025-08-29,504.59,507.49,502.4,504.59,20961600
2025-09-02,503.03,503.9,494.75,503.03,18128000
2025-09-03,503.26,505.69,500.24,503.26,16345100
2025-09-04,505.87,506.05,501.07,505.87,15509500
2025-09-05,492.95,509.85,490.33,492.95,31994800
2025-09-08,496.14,499.12,492.98,496.14,16771000
2025-09-09,496.35,500.17,495.64,496.35,14410500
2025-09-10,498.3,501.15,494.66,498.3,21611800
2025-09-11,498.94,501.09,495.82,498.94,18881600
2025-09-12,507.79,510.43,501.76,507.79,23624900
2025-09-15,513.23,513.34,504.9,513.23,17143800
2025-09-16,506.93,515.09,506.49,506.93,19711900
2025-09-17,507.91,509.17,503.83,507.91,15816600
2025-09-18,506.34,510.95,505.56,506.34,18913700
2025-09-19,515.79,517.15,508.2,515.79,52474100
2025-09-22,512.32,515.6,510.42,512.32,20009300
2025-09-23,507.12,512.46,505.21,507.12,19799600
2025-09-24,508.04,510.36,504.82,508.04,13533700
2025-09-25,504.93,507.9,502.95,504.93,15786500
2025-09-26,509.34,511.81,504.52,509.34,16213100
2025-09-29,512.47,514.71,506.77,512.47,17617800
2025-09-30,515.81,516.01,507.55,515.81,19728200
2025-10-01,517.56,518.35,509.57,517.56,22632300
2025-10-02,513.6,519.44,508.57,513.6,21222900
2025-10-03,515.21,518.33,512.87,515.21,15112300
2025-10-06,526.38,528.83,516.05,526.38,21388600
2025-10-07,521.81,527.61,519.28,521.81,14615200
2025-10-08,522.68,524.77,520.92,522.68,13363400
2025-10-09,520.24,522.16,515.26,520.24,18343600
2025-10-10,508.84,521.41,507.52,508.84,24133800
2025-10-13,511.92,514.27,509.56,511.92,14284200
2025-10-14,511.44,513.15,503.9,511.44,14684300
2025-10-15,511.3,515.05,507.89,511.3,14694700
2025-10-16,509.49,514.71,506.03,509.49,15559600
2025-10-17,511.45,513.35,505.21,511.45,19867800
2025-10-20,514.65,516.55,511.3,514.65,14665600
2025-10-21,515.52,516.54,510.92,515.52,15586200
2025-10-22,518.38,523.05,515.57,518.38,18962700
2025-10-23,518.4,521.78,516.46,518.4,14023500
2025-10-24,521.44,523.17,518.55,521.44,15532400
2025-10-27,529.32,532.37,526.82,529.32,18734700
2025-10-28,539.83,551.43,538.53,539.83,29986700
2025-10-29,539.31,544.01,534.51,539.31,36023000
2025-10-30,523.58,532.75,519.96,523.58,41023100
2025-10-31,515.67,527.13,512.97,515.67,34006400
2025-11-03,514.89,522.79,512.46,514.89,22374700
2025-11-04,512.2,513.42,505.74,512.2,20958700
2025-11-05,505.06,512.7,504.48,505.06,23024300
2025-11-06,495.04,503.61,493.76,495.04,27406500
2025-11-07,494.76,497.31,491.21,494.76,24019800
2025-11-10,503.9,504.75,496.73,503.9,26101500
2025-11-11,506.57,507.49,500.27,506.57,17980000
2025-11-12,509.02,509.55,497.05,509.02,26574900
2025-11-13,501.21,511.37,499.21,501.21,25273100
2025-11-14,508.07,509.48,495.38,508.07,28505700
2025-11-17,505.39,510,502.82,505.39,19092800
2025-11-18,491.75,500.9,484.76,491.75,33815100
2025-11-19,485.1,493.14,480.83,485.1,23245300
2025-11-20,477.34,492.45,474.42,477.34,26802500
2025-11-21,471.04,477.83,467.2,471.04,31769200
2025-11-24,472.92,475.81,466.95,472.92,34421000
2025-11-25,475.9,478.06,463.83,475.9,28019800
2025-11-26,484.39,487.2,480.1,484.39,25709100
