Date,Open,High,Low,Close,Volume
2025-08-06,383.41,384.42,373,383.41,7242600
2025-08-07,402.01,406.24,387.14,402.01,13051200
2025-08-08,395.13,409.65,389.03,395.13,11200100
2025-08-11,400.25,414.36,398.92,400.25,10394400
2025-08-12,394.39,401.67,390.14,394.39,8333600
2025-08-13,389.9,399.44,383.55,389.9,10884900
2025-08-14,372.94,381,365,372.94,16461700
2025-08-15,366.32,372.62,360.03,366.32,13125300
2025-08-18,363.6,367.57,358.01,363.6,9002000
2025-08-19,336.57,364.63,333.4,336.57,18254600
2025-08-20,344.37,345.5,325.56,344.37,13807200
2025-08-21,337.58,343.27,334.85,337.58,8398500
2025-08-22,358.13,359.53,332.61,358.13,17386900
2025-08-25,343.2,351.51,339.21,343.2,10983400
2025-08-26,351.36,351.99,340.68,351.36,9144200
2025-08-27,342.06,351.77,341.84,342.06,8454300
2025-08-28,338.84,348.17,336.65,338.84,8116100
2025-08-29,334.41,339.63,332.64,334.41,10162300
2025-09-02,341.62,348.6,331.57,341.62,11123000
2025-09-03,330.26,344.5,327.61,330.26,9180200
2025-09-04,327.59,332.56,317.75,327.59,10530000
2025-09-05,335.87,337.2,320,335.87,14047600
2025-09-08,329.9,333.1,321.5,329.9,9954500
2025-09-09,328.53,331.96,324.45,328.53,6587800
2025-09-10,326.45,340.01,321.96,326.45,9741400
2025-09-11,326.02,329.75,322.77,326.02,7506900
2025-09-12,331.44,336.13,327.6,331.44,10809900
2025-09-15,327.79,331.33,320.45,327.79,9527700
2025-09-16,335.09,335.44,324.84,335.09,8651300
2025-09-17,329.71,340.11,323.21,329.71,9691000
2025-09-18,349.12,358.25,334.63,349.12,19697300
2025-09-19,344.75,352.92,337.07,344.75,17699700
2025-09-22,335.93,341.59,329,335.93,10053500
2025-09-23,327.78,339,327.77,327.78,9468800
2025-09-24,323.31,337.06,323.14,323.31,9153100
2025-09-25,300.7,317,292.36,300.7,22087000
2025-09-26,309.06,310,297.71,309.06,11693400
2025-09-29,326.42,327.99,311,326.42,12652000
2025-09-30,322.21,324.5,316.19,322.21,7798800
2025-10-01,338.41,343.73,331.2,338.41,13994800
2025-10-02,352.33,353.22,341.15,352.33,13666800
2025-10-03,351.63,358.54,344.4,351.63,12107900
2025-10-06,359.69,365.21,354.7,359.69,9551000
2025-10-07,328.4,359.44,328.16,328.4,19584100
2025-10-08,330.8,336.36,322.3,330.8,12996300
2025-10-09,320.29,328.99,318.22,320.29,11213200
2025-10-10,304.79,323.43,303.57,304.79,13643700
2025-10-13,315.47,315.95,300.59,315.47,11575000
2025-10-14,300.67,312.71,297.34,300.67,11480500
2025-10-15,296.76,308.88,294.62,296.76,10625600
2025-10-16,283.84,301.58,282.19,283.84,13817900
2025-10-17,289.87,292.8,279,289.87,13110700
2025-10-20,296.61,306.16,294.4,296.61,9679700
2025-10-21,301.91,305.99,291.52,301.91,7902800
2025-10-22,280.81,297.96,276.6,280.81,15129500
2025-10-23,284.92,289.07,278,284.92,9082100
2025-10-24,289.08,292.15,286.11,289.08,7881700
2025-10-27,295.63,299.8,293,295.63,8135900
2025-10-28,284.64,297.2,284.25,284.64,7996800
2025-10-29,275.36,286.18,274,275.36,10184100
2025-10-30,254.57,271.37,254,254.57,15564200
2025-10-31,269.51,276.32,263,269.51,14071800
2025-11-03,264.67,270.36,259.85,264.67,11074600
2025-11-04,246.99,258.21,245.86,246.99,15735100
2025-11-05,255,255.36,247.02,255,9676200
2025-11-06,237.2,252.34,235.03,237.2,14468300
2025-11-07,241.93,243.73,219.68,241.93,16976100
2025-11-10,238.88,249.96,234.6,238.88,9527200
2025-11-11,231.35,239.24,230.55,231.35,8340300
2025-11-12,224.61,234.84,219.8,224.61,10800400
2025-11-13,208.54,226,207.03,208.54,16474500
2025-11-14,199.75,208.84,194.56,199.75,23233800
2025-11-17,195.42,204.15,189.53,195.42,19545000
2025-11-18,206.8,213.83,196,206.8,22049500
2025-11-19,186.5,203.95,181.73,186.5,28025400
2025-11-20,177.13,193.53,171.48,177.13,27684400
2025-11-21,170.5,181.19,166.31,170.5,29651300
2025-11-24,179.04,179.84,166.01,179.04,23282600
2025-11-25,172.19,176.76,166.78,172.19,19112700
2025-11-26,175.64,180.63,169.7,175.64,20016500
2025-11-28,177.18,187.29,175.05,177.18,15114300
2025-12-01,171.42,172.18,155.61,171.42,42940200
2025-12-02,181.33,188.37,176.89,181.33,31285600
2025-12-03,188.39,190.44,177.82,188.39,26686100
2025-12-04,186.01,191,182.35,186.01,16474400
2025-12-05,178.99,185.39,176.3,178.99,20750700
2025-12-08,183.69,185.59,178,183.69,16328100
2025-12-09,188.99,198.4,179.92,188.99,24269600
2025-12-10,184.64,191.07,182.2,184.64,22459000
2025-12-11,183.3,183.5,171.41,183.3,19542400
2025-12-12,176.45,185.25,176.22,176.45,14532100
2025-12-15,162.08,176.5,160.54,162.08,25393400
2025-12-16,167.5,171.49,161.95,167.5,21181000
2025-12-17,160.38,171.16,160.31,160.38,19144900
2025-12-18,158.24,169.51,157.43,158.24,17534700
2025-12-19,164.82,167.75,161.63,164.82,22062400
2025-12-22,164.32,170.67,163.69,164.32,19234500
2025-12-23,157.88,162.73,156.5,157.88,15891200
2025-12-24,158.71,159.28,155.1,158.71,7097600
2025-12-26,158.81,159.91,154.12,158.81,12298200
2025-12-29,155.39,162.93,155.32,155.39,14073500
2025-12-30,155.61,159.38,154.13,155.61,12740200
2025-12-31,151.95,156.8,151.42,151.95,15918100
2026-01-02,157.16,160.79,149.75,157.16,20185600
2026-01-05,164.72,167.7,160.96,164.72,22859000
2026-01-06,157.97,167.14,154.05,157.97,22627800
2026-01-07,161.83,170.16,158.45,161.83,28406900
2026-01-08,166.97,170.62,156.17,166.97,25159400
2026-01-09,157.33,167.2,155.46,157.33,27962600
2026-01-12,162.23,163.82,154.69,162.23,16182000
2026-01-13,172.99,173.76,159.93,172.99,27656200
2026-01-14,179.33,190.2,176.12,179.33,40257000
2026-01-15,170.91,179.25,170.09,170.91,21486500
2026-01-16,173.71,173.88,167.59,173.71,19462500
2026-01-20,160.23,165.72,158.85,160.23,25666700
2026-01-21,163.81,165.72,156.01,163.81,18440800
2026-01-22,160.98,164.64,159.44,160.98,11116000
2026-01-23,163.11,168.96,158.72,163.11,14879300
2026-01-26,160.58,163.92,158.62,160.58,14516500
2026-01-27,161.58,161.67,156.98,161.58,13962200
2026-01-28,158.45,165.72,157,158.45,14082600
2026-01-29,143.19,156,139.36,143.19,34618500
2026-01-30,149.71,151.15,139.9,149.71,22768000
2026-02-02,139.63,147.88,138,139.63,27171500
2026-02-03,133.26,140.23,126.74,133.26,26169000
2026-02-04,129.09,130.82,121.19,129.09,25775600
2026-02-05,106.99,122,104.17,106.99,60129700
2026-02-06,134.93,135.67,114.68,134.93,57771000
2026-02-09,138.44,139.58,125.13,138.44,34291600
2026-02-10,133,139.16,132.68,133,23002100
2026-02-11,126.07,133.91,123.92,126.07,25837800
2026-02-12,123,128.99,120.64,123,20960700
2026-02-13,133.88,135.25,125.76,133.88,24573900
2026-02-17,128.67,132.12,125.91,128.67,18881000
2026-02-18,125.2,132.25,123.62,125.2,17307700
2026-02-19,129.45,130.04,121.87,129.45,15457200
2026-02-20,131.05,136.14,129.41,131.05,17625400
2026-02-23,123.71,130.38,122.83,123.71,18858900
2026-02-24,124.61,126.74,118.4,124.61,15352700
2026-02-25,135.65,137.86,128.94,135.65,24152100
2026-02-26,133.4,135.75,128.64,133.4,18110800
2026-02-27,129.5,131.12,127.86,129.5,14027700
2026-03-02,137.65,140.14,128.94,137.65,25456100
2026-03-03,132.68,136.46,127.8,132.68,19405900
2026-03-04,146.44,149.54,142.19,146.44,37382600
2026-03-05,139.81,146.44,137.21,139.81,21286000
2026-03-06,133.53,136.36,131.77,133.53,19538800
2026-03-09,138.95,140.19,135.3,138.95,20433000
2026-03-10,138.46,142.46,133.94,138.46,18325000
2026-03-11,138.33,142.67,135.14,138.33,15637600
2026-03-12,137.34,138.8,133.38,137.34,15229400
2026-03-13,139.67,147.26,138.44,139.67,23685400
2026-03-16,147.52,148.24,143.31,147.52,22933200
2026-03-17,150.28,152.27,145.23,150.28,18448500
2026-03-18,140.56,146.76,140.35,140.56,21314100
2026-03-19,138.24,139.78,132.76,138.24,19227700
2026-03-20,135.66,139.69,134.13,135.66,28568300
2026-03-23,138.2,139.93,133.97,138.2,21633700
2026-03-24,136.25,140.05,134.28,136.25,19098500
2026-03-25,139.13,143.85,136.8,139.13,18708000
2026-03-26,132.93,139.08,132.69,132.93,15285500
2026-03-27,126.03,130.65,123.98,126.03,21475100
2026-03-30,121.44,130.34,120.8,121.44,15800400
2026-03-31,124.8,125.3,117.75,124.8,21290300
2026-04-01,122.78,126.3,121.44,122.78,15378300
2026-04-02,119.83,122.65,116.4,119.83,17609700
2026-04-06,127.69,128.46,123.2,127.69,18435900
2026-04-07,123.72,126.74,121.14,123.72,14284200
2026-04-08,128.3,134.5,126.13,128.3,17149200
2026-04-09,128.86,132.21,125.8,128.86,14497400
2026-04-10,128.64,132.28,127.4,128.64,13097500
2026-04-13,132.36,132.49,125.04,132.36,12804700
2026-04-14,137.41,143.7,136.32,137.41,20643200
2026-04-15,143.54,143.75,135.49,143.54,13941700
2026-04-16,148.94,149.16,139.33,148.94,17638000
2026-04-17,166.52,173.15,153.77,166.52,52173700
2026-04-20,170.81,171.06,160.64,170.81,22173500
2026-04-21,163.97,172.9,163.75,163.97,22153500
2026-04-22,179.36,183.25,174,179.36,31893900
2026-04-23,172.47,180.92,171.54,172.47,19559000
