Date,Open,High,Low,Close,Volume
2021-01-04,72.2089,78.61,73.75,72.2089,31155900
2021-01-05,75.3391,78.69,76.03,75.3391,33418200
2021-01-06,75.1928,78.45,76.1,75.1928,22390900
2021-01-07,77.1431,80.08,78.05,77.1431,27945300
2021-01-08,75.4951,84.16,77.07,75.4951,51272100
2021-01-11,76.714,79.79,76.42,76.714,19920800
2021-01-12,77.4844,79.62,77.82,77.4844,18231000
2021-01-13,77.9232,80.39,78.55,77.9232,15067700
2021-01-14,79.2787,82.21,79.55,79.2787,17639300
2021-01-15,78.7131,81.88,79.53,78.7131,14322600
2021-01-19,83.3742,85.68,80.96,83.3742,26602500
2021-01-20,81.424,87.25,83.23,81.424,21191700
2021-01-21,82.8964,85.1,82.51,82.8964,14696200
2021-01-22,80.2343,84.95,82.23,80.2343,14229500
2021-01-25,79.2591,83.5,78.89,79.2591,19283400
2021-01-26,77.5331,81.98,79.01,77.5331,13678000
2021-01-27,73.2231,77.59,74.33,73.2231,23513400
2021-01-28,76.441,80.18,76.72,76.441,18351400
2021-01-29,76.324,79.37,76.95,76.324,17934400
2021-02-01,78.4303,81.09,78.48,78.4303,14900200
2021-02-02,79.5907,81.74,79.92,79.5907,11386200
2021-02-03,77.1431,82.53,78.97,77.1431,17456000
2021-02-04,79.2299,81.34,78.96,79.2299,11519700
2021-02-05,79.0836,82.02,80.72,79.0836,10958000
2021-02-08,81.9213,84.06,81.64,81.9213,12394800
2021-02-09,81.2484,84,82.4,81.2484,10362500
2021-02-10,80.3025,84.44,81.3,80.3025,9869200
2021-02-11,84.3299,86.64,84,84.3299,18750400
2021-02-12,85.8218,88.32,85.46,85.8218,14273900
2021-02-16,85.5585,89.22,87.05,85.5585,10312800
2021-02-17,83.9106,87.32,84.9,83.9106,10033500
2021-02-18,86.3387,88.73,85.96,86.3387,19168100
2021-02-19,88.6985,91.49,88.81,88.6985,21886500
2021-02-22,84.1348,90.52,85.92,84.1348,16077000
2021-02-23,86.0363,89.2,82.44,86.0363,23203200
2021-02-24,90.2197,92.6,87.73,90.2197,21281700
2021-02-25,85.9291,93.1,87.58,85.9291,22546200
2021-02-26,89.2543,92.94,88.23,89.2543,22787600
2021-03-01,92.404,95.75,92.57,92.404,19908900
2021-03-02,88.8252,94.9,90.9,88.8252,18679600
2021-03-03,86.8945,93.33,88.39,86.8945,26424100
2021-03-04,82.2333,89.75,81.85,82.2333,31971100
2021-03-05,86.7189,89.32,83.3,86.7189,30329100
2021-03-08,82.9354,89.72,84.87,82.9354,22708300
2021-03-09,87.0798,90.18,86.3,87.0798,22301400
2021-03-10,83.2865,90.01,85.31,83.2865,23407800
2021-03-11,87.0895,90.22,86.85,87.0895,20716500
2021-03-12,85.5878,88.53,86.43,85.5878,21916400
2021-03-15,86.6409,88.91,86.14,86.6409,16144400
2021-03-16,89.1568,94.68,90.11,89.1568,28539000
2021-03-17,92.404,95.49,90.1,92.404,24616700
2021-03-18,87.5868,93.48,89.41,87.5868,27081000
2021-03-19,88.2597,92.68,88.89,88.2597,24963400
2021-03-22,89.0105,92.42,89.65,89.0105,19365800
2021-03-23,83.2767,91.27,84.97,83.2767,32043800
2021-03-24,80.9364,87.15,82.92,80.9364,24232800
2021-03-25,81.9993,84.43,80.49,81.9993,23630200
2021-03-26,85.8023,88.14,84.03,85.8023,23949100
2021-03-29,84.4371,88.25,85.77,84.4371,21772800
2021-03-30,84.3884,87.22,85.25,84.3884,13897000
2021-03-31,86.0168,89.08,86.71,86.0168,25372300
2021-04-01,90.1124,94.38,91.25,90.1124,39700600
2021-04-05,91.4191,94.67,92.47,91.4191,19795100
2021-04-06,91.1656,96.1,92.66,91.1656,22847000
2021-04-07,91.6239,95.07,92.54,91.6239,17621500
2021-04-08,92.9208,96.39,93.78,92.9208,17815600
2021-04-09,92.9306,95.38,93.31,92.9306,14080200
2021-04-12,93.2134,96.96,94.75,93.2134,18818300
2021-04-13,89.8589,96.82,91.4,89.8589,27102100
2021-04-14,88.4157,92.53,89.51,88.4157,19117400
2021-04-15,88.0256,91.96,89.45,88.0256,16017000
2021-04-16,88.4059,91.33,90.08,88.4059,12358700
2021-04-19,86.2119,90.68,86.52,86.2119,21361600
2021-04-20,85.305,88.95,86.53,85.305,17396900
2021-04-21,87.265,89.56,86.33,87.265,14781300
2021-04-22,82.6039,88.36,83.9,82.6039,34044100
2021-04-23,83.8911,86.46,84.57,83.8911,18118600
2021-04-26,85.656,88.3,86.11,85.656,14757700
2021-04-27,87.2357,90.19,88.03,87.2357,17681000
2021-04-28,83.8911,87.76,85.35,83.8911,19433500
2021-04-29,85.8706,88.09,85.55,85.8706,16463300
2021-04-30,83.9301,88.48,85.56,83.9301,14548100
2021-05-03,82.9062,87.01,83.87,82.9062,16300400
2021-05-04,82.3113,85.44,82.03,82.3113,17850500
2021-05-05,83.0329,85.95,84.03,83.0329,13172100
2021-05-06,82.6916,85.12,83.28,82.6916,13716900
2021-05-07,83.8423,86.32,84.99,83.8423,12746100
2021-05-10,78.8398,85,80.8,78.8398,24862900
2021-05-11,78.6741,80.76,76.82,78.6741,23227800
2021-05-12,74.8905,79.97,76.41,74.8905,23472600
2021-05-13,75.2708,78.86,76.53,75.2708,20153800
2021-05-14,77.7184,80.15,77.08,77.7184,18241100
2021-05-17,78.3913,80.42,77.72,78.3913,15011500
2021-05-18,76.9188,80.92,78.8,76.9188,20893800
2021-05-19,77.9427,80.27,76.16,77.9427,27300000
2021-05-20,79.1129,81.49,79.52,79.1129,17123000
2021-05-21,78.7131,81.99,80.37,78.7131,13076900
2021-05-24,80.8389,83.62,81.36,80.8389,15730400
2021-05-25,79.2104,83.71,79.71,79.2104,26272100
2021-05-26,80.1953,82.44,81.02,80.1953,12609800
2021-05-27,81.8433,84.75,82.33,81.8433,22286500
2021-05-28,82.048,84.73,83.22,82.048,11330300
2021-06-01,82.0578,85.76,83.62,82.0578,11067200
2021-06-02,82.2431,84.82,83.45,82.2431,10314200
2021-06-03,79.9905,84.07,81.89,79.9905,14742100
2021-06-04,81.6775,84.37,82.85,81.6775,12591100
2021-06-07,81.9505,84.23,82.65,81.9505,9006400
2021-06-08,78.5278,84.98,80.01,78.5278,29666500
2021-06-09,76.7043,80.56,78.52,76.7043,21434900
2021-06-10,77.3089,80.84,78.53,77.3089,22683300
2021-06-11,77.3674,80.76,79.21,77.3674,12675700
2021-06-14,78.4888,80.94,79.37,78.4888,14303000
2021-06-15,80.1368,82.91,79.92,80.1368,22308600
2021-06-16,78.4888,83.11,80.12,78.4888,18116400
2021-06-17,78.635,81.44,79.36,78.635,16003900
2021-06-18,75.0368,79.28,76.13,75.0368,39881500
2021-06-21,75.1538,77.29,75.71,75.1538,19810100
2021-06-22,75.7291,78.28,77.05,75.7291,16771800
2021-06-23,77.0553,79.87,78.07,77.0553,16662200
2021-06-24,78.5765,80.9,79.92,78.5765,15721000
2021-06-25,79.9905,82.84,81.09,79.9905,19603800
2021-06-28,81.3069,83.6,82.16,81.3069,18365500
2021-06-29,80.8681,83.84,81.87,80.8681,18530800
2021-06-30,82.8672,85.4,83.43,82.8672,40670800
2021-07-01,78.1182,82.25,79.91,78.1182,53299000
2021-07-02,78.3328,80.89,78.89,78.3328,22685500
2021-07-06,79.0641,81.54,79.76,79.0641,21126500
2021-07-07,76.2752,81.81,77.95,76.2752,23026900
2021-07-08,75.1928,77.88,75.96,75.1928,23114500
2021-07-09,76.7823,78.95,76.73,76.7823,15441100
2021-07-12,77.5819,79.73,77.71,77.5819,12639300
2021-07-13,76.4995,79.5,78.1,76.4995,14263400
2021-07-14,76.5385,80.76,78.32,76.5385,15952300
2021-07-15,75.0075,78.46,76.34,75.0075,16616800
2021-07-16,73.145,77.61,74.84,73.145,19132100
2021-07-19,72.7257,74.68,73.2,72.7257,23436900
2021-07-20,73.5156,75.92,73.77,73.5156,14855800
2021-07-21,75.2708,77.24,75.34,75.2708,15945800
2021-07-22,73.6521,76.25,74.46,73.6521,19042200
2021-07-23,74.0519,76.04,74.9,74.0519,12345200
2021-07-26,74.403,77.48,75.51,74.403,12023900
2021-07-27,72.3747,74.79,72.51,72.3747,23940500
2021-07-28,73.6716,76.01,74.38,73.6716,14348300
2021-07-29,75.1636,77.12,75.95,75.1636,14529400
2021-07-30,75.6512,78.11,76.06,75.6512,12528900
2021-08-02,75.7097,79.49,77.47,75.7097,14904200
2021-08-03,78.8496,81.07,77.94,78.8496,25807600
2021-08-04,79.9417,83.09,79.54,79.9417,29176900
2021-08-05,79.4639,83.07,81.16,79.4639,14821000
2021-08-06,79.9613,82.88,81.05,79.9613,14612600
2021-08-09,78.2157,82.04,80.08,78.2157,13363300
2021-08-10,74.0227,79.82,75.77,74.0227,40705000
2021-08-11,73.1645,76.05,73.72,73.1645,31624900
2021-08-12,68.5034,72.2,68.81,68.5034,72492400
2021-08-13,69.1567,71.24,69.88,69.1567,25301400
2021-08-16,69.1665,71.76,69.92,69.1665,18135900
2021-08-17,69.0202,71.45,69.61,69.0202,17545800
2021-08-18,68.8642,71.88,70.58,68.8642,14004300
2021-08-19,68.5327,70.82,69.04,68.5327,18022600
2021-08-20,68.4839,71.03,69.58,68.4839,14603100
2021-08-23,69.9563,71.88,68.9,69.9563,22265000
2021-08-24,70.1904,72.69,71.69,70.1904,18092700
2021-08-25,72.1992,77.03,72.18,72.1992,36552100
2021-08-26,70.9607,73.24,71.7,70.9607,20315100
2021-08-27,72.1602,74.15,72.15,72.1602,14994200
2021-08-30,71.341,74.75,72.83,71.341,12810700
2021-08-31,71.8676,74.62,73.32,71.8676,14807400
2021-09-01,71.8871,74.32,73.02,71.8871,14007100
2021-09-02,72.1504,74.01,72.31,72.1504,14803300
2021-09-03,71.9749,74.72,73.6,71.9749,9222500
2021-09-07,71.8091,74.49,73.16,71.8091,12028400
2021-09-08,70.4732,73.24,71.11,70.4732,17375500
2021-09-09,71.0582,73.27,71.42,71.0582,14638100
2021-09-10,71.6726,75.63,73.46,71.6726,18240600
2021-09-13,72.5015,75.22,73.52,72.5015,15796700
2021-09-14,71.6628,74.12,72.91,71.6628,13945100
2021-09-15,71.9846,73.93,71.76,71.9846,15258800
2021-09-16,72.7745,74.96,72.78,72.7745,12867700
2021-09-17,72.4527,74.5,73.32,72.4527,20449600
2021-09-20,70.5707,72.76,71.19,70.5707,23228300
2021-09-21,70.3464,73.13,71.66,70.3464,16026800
2021-09-22,72.1309,74.58,72.64,72.1309,16996100
2021-09-23,72.1992,74.79,73.25,72.1992,17304500
2021-09-24,72.2089,74.5,73.07,72.2089,14804300
2021-09-27,73.3108,75.88,73.51,73.3108,18435200
2021-09-28,71.2825,74.99,73.06,71.2825,27311500
2021-09-29,69.8588,73.32,70.22,69.8588,38169200
2021-09-30,69.312,72.6,70.86,69.312,16923300
2021-10-01,69.3217,71.57,70.1,69.3217,17813800
2021-10-04,68.9605,71.57,70.36,68.9605,19525700
2021-10-05,68.8433,71.21,69.61,68.8433,14512100
2021-10-06,68.2964,70.38,69.03,68.2964,17899300
2021-10-07,68.8823,71.67,70.12,68.8823,15236100
2021-10-08,68.4722,70.94,69.7,68.4722,13666200
2021-10-11,67.5933,70.36,69.18,67.5933,12700200
2021-10-12,65.1521,69.43,65.67,65.1521,36911700
2021-10-13,64.8201,67.42,66.23,64.8201,17532400
2021-10-14,66.2067,68.08,66.81,66.2067,15541600
2021-10-15,66.0895,68.46,67.48,66.0895,11786100
2021-10-18,65.6794,67.63,66.29,65.6794,11849300
2021-10-19,65.9821,67.89,66.64,65.9821,16930300
2021-10-20,66.6657,69.2,67.01,66.6657,19457800
2021-10-21,67.027,68.7,67.67,67.027,11140700
2021-10-22,65.9235,69.09,67.08,65.9235,17892100
2021-10-25,67.1442,71.12,68.54,67.1442,23341300
2021-10-26,67.3199,69.82,68.47,67.3199,14267900
2021-10-27,66.6364,68.69,67.45,66.6364,13541900
2021-10-28,67.9449,70.35,69.18,67.9449,16966000
2021-10-29,67.4762,69.55,68.04,67.4762,11440900
2021-11-01,69.0386,70.97,68.94,69.0386,11988400
2021-11-02,69.0972,70.85,70.04,69.0972,9761100
2021-11-03,69.5757,71.33,70.26,69.5757,10266900
2021-11-04,70.5424,72.48,71.04,70.5424,15936600
2021-11-05,71.2064,73.74,72.36,71.2064,13019300
2021-11-08,72.8079,75.03,73.12,72.8079,18742300
2021-11-09,73.8136,76.27,74.56,73.8136,20127300
2021-11-10,71.6849,75.15,73.2,71.6849,15228300
2021-11-11,72.7981,74.96,73.62,72.7981,12192600
2021-11-12,75.4835,78.02,74.95,75.4835,26553200
2021-11-15,74.9757,78.28,76.6,74.9757,12650700
2021-11-16,75.005,77.15,75.78,75.005,11807600
2021-11-17,73.6867,76.57,75.19,73.6867,11600500
2021-11-18,75.2101,77.5,75.75,75.2101,16848200
2021-11-19,81.0788,83.86,78.93,81.0788,47216100
2021-11-22,81.8893,87.67,83.66,81.8893,34775200
2021-11-23,83.4029,87.71,84.33,83.4029,31823300
2021-11-24,84.1841,87.16,84.61,84.1841,21666100
2021-11-26,81.4597,84.05,81.98,81.4597,16487200
2021-11-29,84.1157,86.27,84.16,84.1157,18889800
2021-11-30,82.026,86.92,83.95,82.026,27301000
2021-12-01,83.149,89.05,85,83.149,31633400
2021-12-02,80.9323,83.59,81.35,80.9323,22994500
2021-12-03,79.702,84.43,80.64,79.702,19167200
2021-12-06,80.5124,83.23,80.53,80.5124,15094900
2021-12-07,83.813,87.04,84.33,83.813,21716900
2021-12-08,83.9986,86.34,84.03,83.9986,12908500
2021-12-09,82.9342,86.54,84.63,82.9342,11964300
2021-12-10,83.5298,85.68,84.13,83.5298,11955900
2021-12-13,82.3678,87.38,84.2,82.3678,13054400
2021-12-14,81.3327,84.77,82.91,81.3327,12082500
2021-12-15,83.647,85.79,82.06,83.647,13971500
2021-12-16,80.7468,86.32,82.13,80.7468,16503200
2021-12-17,81.0495,83.29,80.94,81.0495,23165900
2021-12-20,80.1023,83.25,80.91,80.1023,22346800
2021-12-21,88.549,91.14,87.35,88.549,58363600
2021-12-22,88.217,90.48,88.92,88.217,18593900
2021-12-23,92.2012,95,90.35,92.2012,36400100
2021-12-27,92.2109,94.93,92.73,92.2109,17110100
2021-12-28,90.7559,93.89,92.06,90.7559,13683800
2021-12-29,93.91,96.75,93.91,93.91,32234600
2021-12-30,91.6836,95.51,93.43,91.6836,19327800
2021-12-31,91.058,94.42,93.03,91.058,13660600
2022-01-03,93.5996,95.84,93.48,93.5996,18705500
2022-01-04,94.1763,96.59,93.54,94.1763,19725000
2022-01-05,92.2799,98.45,94.35,92.2799,28613100
2022-01-06,93.5018,96.71,94.12,93.5018,22320300
2022-01-07,92.3288,97.19,93.94,92.3288,14857900
2022-01-10,91.7813,95.67,91.04,91.7813,20290000
2022-01-11,92.0844,94.27,91.65,92.0844,14924900
2022-01-12,92.974,96.23,93.78,92.974,13339200
2022-01-13,93.4725,98.11,95.3,93.4725,23679800
2022-01-14,95.1734,97.43,94.4,95.1734,18385000
2022-01-18,90.7843,95.95,92.54,90.7843,19900500
2022-01-19,87.9787,94.78,89.77,87.9787,19043800
2022-01-20,83.1595,90.33,84.93,83.1595,24701300
2022-01-21,80.09,85.14,81.52,80.09,29716300
2022-01-24,81.0871,83.04,77.64,81.0871,29757100
2022-01-25,78.9071,82.42,79.65,78.9071,22128400
2022-01-26,80.1291,84.79,80.61,80.1291,21018700
2022-01-27,76.952,83.7,78.39,76.952,22694000
2022-01-28,77.4897,79.28,75.52,77.4897,24434600
2022-01-31,80.4223,82.31,78.02,80.4223,21898200
2022-02-01,79.6207,82.39,80.42,79.6207,15237400
2022-02-02,82.612,84.7,82.54,82.612,19862800
2022-02-03,80.1291,85.18,81.71,80.1291,19598200
2022-02-04,79.347,82.19,79.84,79.347,15657500
2022-02-07,79.0538,82.04,80.48,79.0538,11799800
2022-02-08,82.2308,84.4,81,82.2308,18315700
2022-02-09,86.1409,88.78,83.56,86.1409,22386900
2022-02-10,88.9758,94.64,88.48,88.9758,33820700
2022-02-11,87.7441,94.58,88.95,87.7441,31000000
2022-02-14,87.8419,93.17,88.71,87.8419,23499100
2022-02-15,93.844,96.5,91.01,93.844,27069700
2022-02-16,93.9026,96.49,93.57,93.9026,15573600
2022-02-17,91.625,96,93.49,91.625,17943300
2022-02-18,88.7608,94.68,88.9,88.7608,19530500
2022-02-22,88.5359,93.97,88.67,88.5359,24825700
2022-02-23,85.3491,91.87,87.07,85.3491,19135400
2022-02-24,86.835,88.94,83.79,86.835,24472300
2022-02-25,88.0765,90.48,87.28,88.0765,15008700
2022-02-28,86.8643,89.75,87.16,86.8643,17269800
2022-03-01,84.3227,89.84,84.66,84.3227,20794800
2022-03-02,91.2046,94.07,87.03,91.2046,28398700
2022-03-03,87.1771,92.19,88.39,87.1771,22099800
2022-03-04,80.0704,87.42,80.52,80.0704,28211500
2022-03-07,73.9999,82.97,75.63,73.9999,26715500
2022-03-08,75.4271,80.25,73.93,75.4271,28343200
2022-03-09,77.6559,80.49,77.54,77.6559,19647900
2022-03-10,74.0194,77.74,73.81,74.0194,21692000
2022-03-11,71.1846,76.7,72.64,71.1846,22786500
2022-03-14,67.8414,72.48,68.96,67.8414,24893400
2022-03-15,71.4681,73.53,68.34,71.4681,22851000
2022-03-16,77.8807,79.71,76.15,77.8807,35742800
2022-03-17,78.7117,80.58,77.2,78.7117,21612200
2022-03-18,77.6266,81.2,78.06,77.6266,28601200
2022-03-21,76.5904,79.89,75.53,76.5904,30878200
2022-03-22,77.3431,79.73,77.51,77.3431,16768000
2022-03-23,73.951,78.22,75.08,73.951,28059800
