Date,Open,High,Low,Close,Volume
2025-08-06,55.09,55.89,53.95,55.09,9731100
2025-08-07,65.31,70.54,63.38,65.31,44065000
2025-08-08,68.78,71.49,66.45,68.78,18451900
2025-08-11,70.24,75.96,69.16,70.24,21552700
2025-08-12,75.33,75.92,72,75.33,16106400
2025-08-13,70.63,75.21,69.08,70.63,18701900
2025-08-14,68.46,71.52,67.1,68.46,13114000
2025-08-15,71.62,71.97,67.31,71.62,9237600
2025-08-18,72.54,72.59,68.27,72.54,10007000
2025-08-19,67.19,71.75,66.2,67.19,12276300
2025-08-20,67.47,67.5,62.01,67.47,14162800
2025-08-21,66.18,68.26,65.45,66.18,8019200
2025-08-22,68.98,69.68,64.61,68.98,11017200
2025-08-25,70.02,70.74,67.25,70.02,7898700
2025-08-26,70.48,72.8,69.31,70.48,7516500
2025-08-27,70.1,71.8,68.65,70.1,6471400
2025-08-28,72.04,73.5,70.2,72.04,8909400
2025-08-29,68.32,71.69,67.6,68.32,7594300
2025-09-02,65.72,67.88,64.11,65.72,9333000
2025-09-03,65.65,67,64.83,65.65,6506200
2025-09-04,64.91,66.5,64.41,64.91,5473300
2025-09-05,65.47,67.39,63.26,65.47,5811700
2025-09-08,64.06,66.64,63.8,64.06,23050000
2025-09-09,95.72,98.68,86.12,95.72,88378300
2025-09-10,93.39,100.51,91,93.39,44690600
2025-09-11,89.19,93.87,88.42,89.19,37580600
2025-09-12,90.41,92,86.78,90.41,22844700
2025-09-15,90.96,94.42,88.84,90.96,19391500
2025-09-16,89.43,91.3,88.02,89.43,11737300
2025-09-17,94.08,95,88.83,94.08,24500300
2025-09-18,94.12,97.68,92.03,94.12,18068500
2025-09-19,99.31,99.55,93.25,99.31,18649300
2025-09-22,106.6,108.58,98.52,106.6,24365200
2025-09-23,107.8,109.98,104.25,107.8,16693500
2025-09-24,113.23,114.85,104.85,113.23,25341200
2025-09-25,107.94,114.08,105.88,107.94,19658800
2025-09-26,107.7,109.99,102.8,107.7,14915100
2025-09-29,110.22,112.52,108.33,110.22,12067000
2025-09-30,112.27,117.65,111.66,112.27,20425100
2025-10-01,115.61,115.88,109.76,115.61,12008100
2025-10-02,125.87,126.74,118.57,125.87,26887700
2025-10-03,127.98,132.98,123.6,127.98,21351300
2025-10-06,124.94,135.76,124.93,124.94,16311100
2025-10-07,117.7,128.28,115.72,117.7,19574000
2025-10-08,122,125.31,117.5,122,18005900
2025-10-09,132.64,133.32,119.87,132.64,18124600
2025-10-10,129.58,141.1,128.01,129.58,28268500
2025-10-13,135.46,138.53,132.65,135.46,12788900
2025-10-14,128.15,133.78,125.75,128.15,13109200
2025-10-15,125.83,131.99,122.2,125.83,11708300
2025-10-16,123.04,130.97,122.02,123.04,14207700
2025-10-17,113.44,120.57,110.88,113.44,21366500
2025-10-20,109,117.47,107.51,109,17799500
2025-10-21,104.28,108.18,101.4,104.28,18455900
2025-10-22,98.62,107.8,94.63,98.62,26631500
2025-10-23,106.16,106.62,99.46,106.16,15803800
2025-10-24,117.26,117.45,110.01,117.26,17411900
2025-10-27,125.43,126.5,120.11,125.43,16809800
2025-10-28,121.83,129.03,120.78,121.83,13455500
2025-10-29,125.1,125.95,117.5,125.1,13952800
2025-10-30,124.18,128.44,117.76,124.18,12204400
2025-10-31,130.82,132.15,126.3,130.82,13389000
2025-11-03,120.47,134.93,119.75,120.47,17247000
2025-11-04,110.54,116.78,109,110.54,17818200
2025-11-05,117,118.21,111.43,117,13977700
2025-11-06,109.44,121,108.41,109.44,17314400
2025-11-07,111.28,111.3,101.26,111.28,17614100
2025-11-10,109.95,118.37,108.72,109.95,21363600
2025-11-11,102.22,114.56,99.83,102.22,45261100
2025-11-12,94.36,105.65,91.71,94.36,35913500
2025-11-13,88.63,91.48,84.5,88.63,41803000
2025-11-14,83.54,89,82,83.54,31948000
2025-11-17,85.98,89.65,83.59,85.98,23478700
2025-11-18,90.54,93.69,81.71,90.54,26661600
2025-11-19,95.07,96.72,91.8,95.07,22040600
2025-11-20,84.64,102.69,84.21,84.64,35775700
2025-11-21,83.26,88.74,78.21,83.26,34963200
2025-11-24,91.9,93,85.15,91.9,51066800
2025-11-25,88.88,91.28,84.72,88.88,15021200
2025-11-26,94.69,95.63,90.76,94.69,13545000
2025-11-28,94.87,97.08,93.44,94.87,6018800
2025-12-01,100.15,101.6,89.01,100.15,14462900
2025-12-02,96.45,102.95,96.06,96.45,11332700
2025-12-03,98.92,99.06,91,98.92,11307500
2025-12-04,102.8,103.84,97.47,102.8,11234100
2025-12-05,98.04,101.35,96.2,98.04,13041100
2025-12-08,100.33,100.5,95.3,100.33,8737800
2025-12-09,96.41,100.88,96.1,96.41,10060000
2025-12-10,93.59,97.09,92.2,93.59,10080700
2025-12-11,94.28,95.45,86.7,94.28,11896100
2025-12-12,87.69,95.65,86.2,87.69,14990600
2025-12-15,81.14,88.24,80.06,81.14,17138600
2025-12-16,80.95,81.56,76.88,80.95,13847800
2025-12-17,75.45,84.3,75.25,75.45,17064100
2025-12-18,78.09,80.35,77.01,78.09,10345800
2025-12-19,89.46,90.54,80.16,89.46,17558700
2025-12-22,93.23,95.9,91.1,93.23,11303100
