Date,Open,High,Low,Close,Volume
2021-01-04,74.59,77.7,72.22,74.59,4439600
2021-01-05,75.14,75.9,73.01,75.14,2864500
2021-01-06,73.27,75.23,71.01,73.27,4467800
2021-01-07,79.02,79.19,74.31,79.02,6191900
2021-01-08,79.15,81.94,77.55,79.15,4577900
2021-01-11,76.5,79.89,76.21,76.5,3381500
2021-01-12,77.82,78.22,75.69,77.82,2961400
2021-01-13,82.48,82.7,77.98,82.48,5644000
2021-01-14,80.51,84.78,79.72,80.51,4372900
2021-01-15,77.85,82.47,77.19,77.85,3382200
2021-01-19,81.44,81.67,79.16,81.44,3019700
2021-01-20,83.51,84.02,81.17,83.51,3509800
2021-01-21,83.02,84.99,82.02,83.02,2987200
2021-01-22,83.47,83.843,81.81,83.47,2779600
2021-01-25,82.78,87.15,77.6,82.78,5263600
2021-01-26,77.03,82.75,76.91,77.03,4099400
2021-01-27,74.57,77.66,71.5,74.57,5028600
2021-01-28,78.8,79.72,74.35,78.8,3855700
2021-01-29,76.66,78.5,74.79,76.66,3583900
2021-02-01,80.48,80.56,76.55,80.48,2645400
2021-02-02,83.57,83.74,80.04,83.57,3292800
2021-02-03,82.34,84.8,82.07,82.34,2622100
2021-02-04,83.04,83.97,81.75,83.04,1833200
2021-02-05,85.56,85.94,82.93,85.56,3250100
2021-02-08,91.13,91.95,86.349,91.13,5880200
2021-02-09,93.46,94.82,90.222,93.46,4914200
2021-02-10,90.91,95.77,87.33,90.91,4522500
2021-02-11,91.28,93,89.34,91.28,5335000
2021-02-12,85.95,87.57,83.33,85.95,10650400
2021-02-16,82.07,84.925,81.02,82.07,7335300
2021-02-17,84.4,87.06,80.262,84.4,5794800
2021-02-18,82.79,85.25,81.6,82.79,5202300
2021-02-19,82.17,85.82,81.63,82.17,4910100
2021-02-22,78.38,82.67,78.28,78.38,4310800
2021-02-23,77.28,77.37,70.704,77.28,6740300
2021-02-24,76.43,76.61,73.15,76.43,4900400
2021-02-25,71.72,76.23,70.565,71.72,4565100
2021-02-26,73.97,74.29,70.86,73.97,7740700
2021-03-01,76.9,77.17,74.43,76.9,3262300
2021-03-02,75.5,77.49,74.48,75.5,5204100
2021-03-03,70.83,75.58,70.06,70.83,3560500
2021-03-04,67.3,72.15,64.75,67.3,7396100
2021-03-05,67.03,67.39,60.96,67.03,9858100
2021-03-08,61.77,68.05,61.77,61.77,6720200
2021-03-09,69.43,69.73,63.854,69.43,6089800
2021-03-10,70.49,72.34,68.97,70.49,6062900
2021-03-11,76.61,76.78,72.38,76.61,4746900
2021-03-12,76.3,76.34,72.04,76.3,3229000
2021-03-15,75.15,76.15,73.83,75.15,2622200
2021-03-16,74.04,77.04,72.8,74.04,2949800
2021-03-17,74.82,75.75,70.76,74.82,2631200
2021-03-18,70.42,73.895,69.327,70.42,3725000
2021-03-19,71.69,72.02,69.58,71.69,6369600
2021-03-22,72.76,74.05,71.37,72.76,1935400
2021-03-23,72.37,74.065,71.96,72.37,2121200
2021-03-24,67.83,75,67.8,67.83,3828800
2021-03-25,66.65,67.42,64.02,66.65,4097100
2021-03-26,67.57,68.92,64.75,67.57,2118200
2021-03-29,65.63,67.915,64.91,65.63,2276600
2021-03-30,65.8,66.241,63.25,65.8,3499700
2021-03-31,70.26,71.43,67.02,70.26,2872600
2021-04-01,71.79,74.22,71.54,71.79,2020500
2021-04-05,71.17,72.99,70.04,71.17,2299100
2021-04-06,72.21,73.73,70.8,72.21,1845500
2021-04-07,70.05,72.12,69.51,70.05,5729900
2021-04-08,72.36,73.36,70.66,72.36,5341200
