Date,Open,High,Low,Close,Volume
2021-01-04,105.366,111.472,104.302,105.366,9446000
2021-01-05,106.394,106.666,104.96,106.394,7721000
2021-01-06,101.45,104.188,101.412,101.45,9849000
2021-01-07,102.282,103.38,101.742,102.282,9348000
2021-01-08,105.928,106.322,103.632,105.928,7974500
2021-01-11,104.612,105.392,103.016,104.612,6432500
2021-01-12,102.642,104.502,101.462,102.642,5865000
2021-01-13,104.342,104.74,102.2,104.342,5383500
2021-01-14,102.868,105.6,102.558,102.868,7243500
2021-01-15,102.752,105.312,102.6,102.752,5418500
2021-01-19,103.884,104.59,101.938,103.884,4890500
2021-01-20,108.438,108.694,105.402,108.438,7694500
2021-01-21,108.866,109.28,107.574,108.866,5062000
2021-01-22,108.218,110.868,108.06,108.218,5148500
2021-01-25,107.576,110.564,105.012,107.576,8560500
2021-01-26,106.492,108.156,106.122,106.492,7088500
2021-01-27,103.3,106.614,101.644,103.3,11206500
2021-01-28,110.848,112.776,108.572,110.848,16413500
2021-01-29,108.632,110.4,105.868,108.632,11901000
2021-02-01,111.712,112.946,109.202,111.712,8584500
2021-02-02,116.702,117.764,112.02,116.702,11258000
2021-02-03,115.33,117.486,114.912,115.33,7457500
2021-02-04,117.796,117.8,114.426,117.796,6266500
2021-02-05,117.946,118.508,116.464,117.946,4860000
2021-02-08,117.582,119.674,116.8,117.582,5158500
2021-02-09,116.356,117.72,115.202,116.356,8175000
2021-02-10,117.872,118.756,115.802,117.872,4833500
2021-02-11,118.894,119,117.6,118.894,3656500
2021-02-12,118.258,118.742,117.106,118.258,4115000
2021-02-16,117.148,118.932,116.23,117.148,4457500
2021-02-17,116.188,116.628,114.15,116.188,4435000
2021-02-18,115.16,115.862,113.18,115.16,4868000
2021-02-19,114.146,116.422,111.816,114.146,9790000
2021-02-22,110.052,113.206,109.956,110.052,5194000
2021-02-23,110.35,110.76,104.882,110.35,7856000
2021-02-24,110.366,110.84,107.786,110.366,5567500
2021-02-25,105.758,111.298,105.378,105.758,8808500
2021-02-26,106.692,108.064,104.23,106.692,8995000
2021-03-01,111.294,111.328,108.008,111.294,6160500
2021-03-02,109.86,112.486,109.662,109.86,5607000
2021-03-03,103.2,109.158,102.734,103.2,9030000
2021-03-04,98.126,103.55,96.98,98.126,14156500
2021-03-05,97.392,99.248,93.43,97.392,16164500
2021-03-08,92.81,99.452,92.502,92.81,9849000
2021-03-09,97.79,98.712,95.756,97.79,12241000
2021-03-10,94.8,99.8,94.792,94.8,9635000
2021-03-11,100.574,102.342,98.044,100.574,9616500
2021-03-12,97.844,98.976,96.548,97.844,7523500
2021-03-15,99.354,99.442,97.294,99.354,4835000
2021-03-16,99.798,101.83,99.062,99.798,5692500
2021-03-17,97,98.546,95.274,97,12430000
2021-03-18,93.236,95.96,92.934,93.236,9350000
2021-03-19,94.168,95.114,92.77,94.168,9469500
2021-03-22,95.33,96.888,94.264,95.33,5941500
2021-03-23,95.634,97.288,95.396,95.634,5704500
2021-03-24,94.464,96.3,94,94.464,7382000
2021-03-25,94.436,94.8,92.76,94.436,9519000
2021-03-26,99,99.09,94.2,99,12201000
2021-03-29,97.078,98.588,96.41,97.078,8601500
2021-03-30,97.514,98.198,94.642,97.514,6270000
2021-03-31,100.022,101.378,98.104,100.022,7842000
2021-04-01,101.402,102.582,100.5,101.402,5318000
2021-04-05,102.804,103.214,101.836,102.804,7944000
2021-04-06,101.816,103.028,101.324,101.816,4864500
2021-04-07,102.146,102.578,101.366,102.146,3233500
2021-04-08,104.808,105.764,103.496,104.808,6300000
2021-04-09,106,106.122,102,106,7265000
2021-04-12,107.4,108.244,104.946,107.4,6645000
2021-04-13,109.786,110.256,107.8,109.786,6822000
2021-04-14,108.968,112.038,108.568,108.968,6705500
2021-04-15,111.87,112.034,110.584,111.87,4426000
2021-04-16,111.382,112.158,110.052,111.382,4398500
2021-04-19,109.874,111.376,109.2,109.874,4477000
2021-04-20,108.156,110.584,107.3,108.156,3974000
2021-04-21,109.294,109.814,107.426,109.294,5162500
2021-04-22,109.698,111.6,108.77,109.698,4502000
2021-04-23,110.54,111.178,109.866,110.54,3902500
2021-04-26,111.842,111.878,109.85,111.842,3359500
2021-04-27,112.526,113.058,110.718,112.526,4806000
2021-04-28,111.448,111.958,110.488,111.448,8578000
